# ('cjy_ll_fy', '汾陽話', '汾陽', '#00008B', None, None, '版本：2021-12-21<br>來源：李衛鋒 2018《汾陽方言研究》；趙駿程 1963《汾陽話與普通話》；Hynuza 增補', '324 1 1a 陰平 ꜀,22 2 1b 陽平 ꜁,312 3 2 上 ꜂,,55 5 3 去 ꜄,,2 7 4a 陰入 ꜆,312 8 4b 陽入 ꜇')
□	pʰɿ3	～开：把细长木棍劈开成为更细的长条
□	nᶻɿ1	用手或脚碾碎
□	ʂʅ2	活～：形容人缘好或子孙满堂
□	mi2	～～斜斜：悄没声儿的坏
□	tɕi5	属相蛇
□	kʰi3	～住：跌倒或碰伤
□	mu5	夹～：蛮干莽撞
□	xu3	一～：一下子
□	tɕy1	从某物上面往下拽
□	la2	～喽手：划破手
□	la2	毛衣结得～：毛衣织得稀拉不紧凑
□	la3	～糊：马虎
□	tsʰa2	～家：安排灵柩安葬等事宜的人
□	tsʰa5	～声：声音嘶哑
□	ɻa2	叹词，表示羡慕的惊讶
□	ɳa2	～开些儿
□	pʰia3	～开腿：两腿分开很大的距离
□	lia1	卜～：扑棱，快速扭动或者胡乱踢腿甩臂
□	tɕʰia5	～杀
□	kua2	～～：碗底下的圈脚
□	tʂʰua2	～～：水流貌
□	ʂua1	～咧：指责他人做无意义的事情
□	ɳua2	～～：婴儿重复伸屈五指
□	tɕya1	拟声词，形容生气时大声呵斥的声音
□	lɯ3	碰触
□	ʂɯ5	由于日久而褪色
□	liɯ5	～菜：洗菜
□	liɯ5	圪～：翘的分音词
□	tɕiɯ5	～巴巴：形容很穷
□	ɻuɔ5	～粪：施肥
□	ɳuɔ2	衣裳～啦：衣服旧了快要破
□	ɳuɔ2	～住脖子：脖子抽筋直不了
□	kʰuɔ1	形容虚情假意
□	fai	疼痛时语气词
□	lai3	“摆”的分音后字
□	tsai3	“这块”的合音，～人；～东西；～时候
□	tsʰai1	～母子：不生养的牲畜或者女人
□	sai3	摆动。摆～，～孩儿：抱着孩子来回走动
□	xai5	～擦：把东西弄坏或折腾得乱七八糟
□	xai5	～嚓嚓：稀松不精细
□	tʂuai3	～文
□	ɻuai3	老年人没牙吃东西的动作
□	kʰuai1	～哄：哄骗
□	uai2	堆，量词
□	tsʰei3	～开：撕开
□	ui2	～挪：坐着挪动
□	tɑʊ5	难～：小孩好动淘气
□	nɑʊ2	黏～～：黏糊
□	nɑʊ3	～起：扛起重物
□	lɑʊ3	圪～：“搅”的分音后字
□	tsɑʊ5	困乏
□	toʊ3	～开：把卷着或包着的东西散开
□	toʊ5	～烟：冒烟
□	tʂoʊ3	～住做：看着强制做某事
□	xoʊ2	小
□	tioʊ1	～倒：把人摔到
□	lioʊ1	圪～：樛的分音词，弯曲
□	tɯʋ1	圪～子：拳头
□	kɯʋ1	老鼠
□	tã5	迈脚过去
