"#注释"	"主要参考《瑞安话语音研究（陈海芳）》，有一定的修改，转录者落橙"
"#调值"	"［1］⁵⁵［2］³¹［3］³⁵［4］²⁴［5］⁵²［6］²²［7］⁴³⁴［8］³²³"
"#ɹ̩"	""
"ts"	"［1］知蜘资姿脂兹滋之芝［3］紫只旨指子滓［5］智致至置志痣"
"tsʰ"	"［1］雌{文读}［3］扯此耻齿［5］刺翅次眙"
"dz"	"［2］迟持［4］痔［6］疵治"
"s"	"［1］筛斯撕施私师狮{文读}尸司丝思诗［3］死使史驶{文读}始［5］赐四肆试"
"z"	"［2］驰瓷餈慈词辞祠时鲥而禅{文读}锄［4］是氏尔似祀巳士仕柿市耳{文读}□{在}［6］自示视字伺寺嗣饲事侍"
"#i"	""
"p"	"［1］标彪鞭编边［3］表扁［5］变遍［7］笔"
"pʰ"	"［1］飘篇偏［3］漂{〜白}［5］票{车〜}漂{〜亮}骗片［7］撇匹"
"b"	"［2］嫖{〜赌}便{〜宜}［4］辨辩辫［6］便{方〜}［8］别{区〜}别{离〜}"
"m"	"［2］苗描棉绵眠［4］秒免勉娩［6］庙妙面［8］灭蔑密蜜默"
"t"	"［1］颠"
"tʰ"	"［1］天［7］铁"
"d"	"［2］田填［6］电奠"
"ˀn"	"［5］伲{〜儿：一点点}"
"ȵ"	"［2］泥倪宜仪尼疑严言年研［4］你染［6］谊义议毅验［8］业热译"
"l"	"［2］镰联连莲怜［4］敛［6］练恋［8］立笠{文读}列烈裂劣栗律肋勒"
"tɕ"	"［1］鸡稽饥基几机讥饥尖歼煎肩坚［3］几{茶〜}己纪检剪{文读}展［5］计继系寄记剑箭溅践战建荐见［7］激击接劫哲蛰折节结洁即"
"tɕʰ"	"［1］溪欺签迁千牵谦［3］启起杞浅遣［5］契{〜约}器弃气汽欠［7］吃妾揭切乞赤{〜脖裸：裸漏身体}挈{提着}"
"dʑ"	"［2］茄{〜子}奇骑岐企其棋期旗祈钳钱缠乾虔［4］技妓件［6］健腱［8］撤彻杰极"
"ɕ"	"［1］牺嬉希稀仙鲜先［3］喜髓陕险鲜{〜少}廨显［5］戏线扇宪献［7］胁歇蝎"
"ˀ"	"［1］伊医衣{文读}淹篶烟［3］野倚椅以掩去{〜去}［5］易意厌燕宴［7］噎忆亿益亦一［0］嗰"
"j"	"［2］爷耶兮移炎盐阎檐然燃延筵前贤弦沿佢{眙〜：看他}［4］渐善演也{〜来：又来}［6］夜焰艳羡膳现［8］捷叶页腌协舌翼液"
"#ʋ"	""
"f"	"［1］呼敷孵俘［3］火虎浒斧□{食上生白毛}辅［5］荷{薄〜}货［7］福幅复{〜杂}河何荷{〜花}和{〜气}"
"v"	"［2］禾胡湖狐壶胡{〜须}无葫［4］祸负户抚武鹉侮［6］贺互护［8］服"
"k"	"［1］歌哥锅戈姑孤箍［3］果古股鼓［5］过故固雇顾［7］谷"
"kʰ"	"［1］科棵窠枯［3］颗估{〜计}苦［5］课裤库［7］酷{残〜}哭"
"ˀ"	"［1］乌污阿{〜膠}诬［3］坞［5］恶［7］屋"
"#u"	""
"p"	"［1］菠波{〜浪}"
"pʰ"	"［3］普谱［5］讣赴"
"b"	"［2］菩脯蒲孵［4］部簿［6］步{跑步}薄{〜荷}捕［8］卜{萝〜}仆{〜人}薄"
"m"	"［2］蟆模{〜范}摩［4］某［6］募墓慕［8］目穆牧木幕"
"k"	"［1］瓜花{落花生}［3］寡［5］挂卦"
"kʰ"	"［1］花{落花生}"
"h"	"［1］花［5］化"
"ɦ"	"［2］华划{华龙船}［6］话画"
"ˀ"	"［1］娃蛙洼［7］沃"
"l"	"［2］龙［8］绿录"
"#y"	""
"k"	"［1］官棺观冠［3］管馆［5］贯灌罐观{寺庙}冠{〜军}［7］骨{〜头}"
"kʰ"	"［1］坤［5］睏"
"ȵ"	"［2］危完玩{古〜}元原源螟渔鱼愚［4］软女语［6］愿遇［8］月"
"tɕ"	"［1］闺规龟焦蕉椒招骄娇浇专砖捐居车{〜马炮}拘驹［3］诡轨鬼转{〜送}卷举𢄺{子小切 勦韵，拭也见[玉篇]。中华词典摘，假借体：撨、缴}撨缴［5］桂季贵照叫绢眷{亲〜：亲戚}据锯句［7］拙决诀吮"
"tɕʰ"	"［1］川穿圈{圆〜}区驱［3］犬［5］劝［7］缺"
"dʑ"	"［2］瘸{〜腿}朝潮侨桥传{〜达}拳权渠俱［4］跪赵巨拒矩［6］柜召轿倦具惧［8］剧"
"ɕ"	"［1］挥{文读}辉消销烧嚣欢宣喧昏婚荤虚［3］毁小{文读}少选许［5］笑［7］雪说血忽恤"
"ˀ"	"［1］妖邀要{〜求}腰冤温瘟［3］舀{〜水}碗稳［5］要{重〜}腕怨"
"j"	"［2］□{鸟巢之意}梯摇窑姚丸{药〜} 拴全泉船圆员缘园援玄魂［4］绍扰绕{围〜}缓阮远［6］绕{〜线}耀旋{〜吃〜做}院悬［8］绝悦阅越穴术述"
"#a"	""
"p"	"［1］爸叭［3］摆［5］拜［7］百柏伯迫檗擘"
"pʰ"	"［1］□{有点像柚子的水果}［5］破派［7］拍魄擘{〜开：掰开}"
"b"	"［2］排牌彭膨踫［6］败［8］白"
"ˀm"	"［1］妈［3］妈"
"m"	"［2］埋盲虻［4］买猛［6］卖迈孟［8］麦脉"
"f"	"［1］□{食物软烂}［5］□{形容一个人把手伸得很开}"
"v"	"［2］横{〜直}怀槐［6］坏［8］获划物佛或惑"
"t"	"［3］打［5］带"
"tʰ"	"［1］拖{鞋拖}［5］太泰［7］脱{白读}"
"d"	"［6］大{〜黄：药名}𡉑{一条地方}［8］夺{白读}"
"ˀn"	"［1］奶"
"n"	"［2］□{形容将东西据为己有}［4］乃奶［6］奈"
"ˀl"	"［1］拉"
"l"	"［4］冷［8］落{记性不好，容易落东西}［0］□{你〜儿：你家儿子}"
"ts"	"［1］姐{〜〜}斋争筝［5］债［7］执汁质卒摘责"
"tsʰ"	"［1］差{出〜}钗撑［5］蔡［7］辑缉七漆拆策册"
"dz"	"［2］□{将东西硬夺过来}［6］寨［8］秩侄择泽宅"
"s"	"［1］狮{白读}生牲笙甥［3］洒驶{白读}省［5］晒帅［7］湿瑟虱失室膝□{在}"
"z"	"［2］豺柴［4］□{形容推挤别人以致摔倒}［6］瘦{白读，本字为㾹}［8］集习袭十什{〜物}拾入实日疾"
"k"	"［1］阶秸{麦〜}街更{五〜}庚耕［3］解{〜开，了〜}拐哽梗［5］介界芥届戒懈怪更{〜加}［7］格革隔届{能〜：现在}"
"kʰ"	"［1］揩铅坑［3］卡［5］快［7］磕客"
"ɡ"	"［2］鹅［4］□{锯子锯东西这一动作}"
"h"	"［1］亨［3］蟹{螃〜}［5］㧸［7］吓蛤{文读}"
"ɦ"	"［2］鞋行{〜为}衡［4］幸也［6］械行{品〜}"
"ŋ"	"［4］蚁［6］外硬［8］额"
"ˀ"	"［1］埃{〜及}挨［3］矮也［7］轭螠{〜儿，小蟹，见《六书故》}"
"ˀʋ"	"［1］歪［5］哇{语气表揣测，“对吧？”}"
"#ia"	""
"tɕ"	"［7］急级给{供〜}吉橘"
"tɕʰ"	"［7］泣屈"
"dʑ"	"［8］及掘"
"ȵ"	"［8］孽逆日{生〜}入{〜底}［0］□{你la⁰合音}"
"ɕ"	"［5］卸{文读，上海借音，〜货}［7］吸"
"ˀ"	"［7］乙一"
"#ɛ"	""
"p"	"［3］保堡宝［5］报"
"pʰ"	"［3］剖"
"b"	"［2］袍［4］抱［6］暴爆［8］瀑{〜布}"
"m"	"［2］毛谋矛□{坏}［4］牡亩［6］帽冒茂贸"
"f"	"［3］否"
"v"	"［2］浮［8］复{〜原}"
"t"	"［1］刀［3］祷岛倒［5］到倒［7］啄"
"tʰ"	"［1］涛［3］讨［5］套"
"d"	"［2］掏桃逃淘陶萄［4］道稻［6］导盗"
"ˀn"	"［1］□{打}"
"n"	"［4］脑恼"
"l"	"［2］劳牢［4］老［6］癞赖［8］笠"
"ts"	"［1］遭糟［3］早枣蚤澡［5］躁竈"
"tsʰ"	"［1］操［3］雌草［5］糙"
"s"	"［1］骚{形容小孩很顽皮}［3］扫{〜地}嫂［5］扫{〜帚}"
"z"	"［2］曹槽［4］造皂"
"k"	"［1］高膏羔糕［3］稿搞［5］告"
"kʰ"	"［1］烤［3］考烤［5］靠"
"ɡ"	"［2］□{灌饮}［6］□{形容把一个东西靠在墙壁上}"
"h"	"［3］好"
"ɦ"	"［2］豪毫号［4］浩［6］号{〜数}"
"ŋ"	"［2］熬［6］傲"
"ˀ"	"［1］爊［5］噢{语气，应答表赞同}奥"
"#iɛ"	""
"t"	"［1］踮［3］点典［5］店"
"tʰ"	"［1］添［3］舔"
"d"	"［2］甜［4］簟［6］垫"
"l"	"［2］良凉量{〜长短}粮梁粱［4］两{几〜}［6］亮谅辆量{数〜}［8］略"
"tɕ"	"［1］将{〜来}浆张章樟疆僵缰姜［3］者奖桨蒋长{生〜}涨掌［5］将{大〜}酱帐账胀障涨"
"tɕʰ"	"［1］枪昌腔［3］抢厂［5］畅唱倡"
"dʑ"	"［2］ 长{〜短}场肠强［4］丈仗杖强{倔〜}"
"ˀȵ"	"［1］娘"
"ȵ"	"［2］娘［4］仰［6］念让廿瓤{〜儿：果核儿}"
"ɕ"	"［1］相{互〜}箱厢镶商伤香乡［3］想赏晌享［5］相{〜貌}饷向"
"ˀ"	"［1］衣{衣裳合音}央秧殃［3］养［0］衣{衣裳合音}"
"j"	"［2］ 墙详祥偿裳常烊扬阳杨洋羊降{投〜}［4］象像橡上{〜山}痒［6］匠尚上{〜面}样"
"#e"	""
"p"	"［7］北"
"m"	"［2］蛾{灯蛾}霉煤［8］墨嚜"
"t"	"［5］戴［7］得德答"
"tʰ"	"［1］胎［5］态贷［7］忒"
"d"	"［2］抬苔台{〜湾}［4］待{〜遇}［6］代袋［8］特"
"ˀn"	"［1］奶"
"n"	"［2］南男抩{按}［8］纳"
"l"	"［2］来俫［6］睐"
"ts"	"［1］灾栽［3］宰载{文读}［5］再载{〜重}最［7］则"
"tsʰ"	"［1］猜［3］彩釆［5］菜［7］测"
"s"	"［5］赛［7］塞色"
"z"	"［2］才材财裁［4］在罪{〜过，〜过霉}［8］杂贼"
"k"	"［1］该甘柑［3］改敢感［5］概溉盖［7］鸽国合箇{〜日：今天}"
"kʰ"	"［1］开［3］凯［7］克刻 "
"ɡ"	"［2］佢［4］徛［8］合"
"h"	"［1］呵蛤［3］海［5］熯［7］蛤黑"
"ɦ"	"［2］孩［4］亥［6］害［8］合核盒"
"ŋ"	"［2］呆［6］耐艺"
"ˀ"	"［1］哀庵［5］爱艾暗"
"#ø"	""
"p"	"［1］般爿{后〜：后面}［5］半［7］拨泼{活〜}"
"pʰ"	"［1］潘［5］判［7］泼"
"b"	"［2］般搬盘［4］伴拌丝［6］叛［6］鈸"
"m"	"［2］磨瞒馒模{〜子}［4］满［6］幔漫［8］抹{〜布}末沫抹没{沉〜}"
"t"	"［1］端墩［3］短［5］锻断{决〜}［7］答"
"tʰ"	"［1］吞［3］噋{形容烟雾很重，呛人}［5］探"
"d"	"［2］团臀饨{文读}［4］断{〜种}［6］段缎遁［8］夺{文读}"
"n"	"［4］暖［6］嫩囡"
"ˀl"	"［1］□{圈，绕圈}"
"l"	"［2］论{〜语}［6］乱论{议〜}［8］粒"
"ts"	"［1］钻{动词}尊噆遵［5］钻{木工用具}［7］噆{形容伤口碰到盐时的感觉}"
"tsʰ"	"［1］参村［3］惨［5］寸"
"dz"	"［2］□{形容因脚下不稳把自己摔岀去}［6］□{形容一个瓶子的盖}"
"s"	"［1］酸闩拴孙［3］损［5］昇跡［7］刷"
"z"	"［2］存"
"k"	"［1］甘{文读}柑肝干{〜湿}竿根［3］秆{稻〜}［5］干［7］割葛"
"kʰ"	"［1］看{〜守}刊［3］坎款［5］看{〜见}［7］渴"
"h"	"［1］憨鼾［3］罕［5］汉［7］喝"
"ɦ"	"［2］含寒韩痕［4］旱［6］岸汗焊翰［8］核"
"ˀ"	"［1］安鞍恩［5］按案蔼"
"#ɔ"	""
"p"	"［1］邦帮包胞班斑颁扳［3］饱板版［5］豹扮缕"
"pʰ"	"［1］抛泡攀［3］跑{文读}［5］炮泡{泡在水里}盼"
"b"	"［2］刨［4］膀榜鲍棒绑［6］办瓣［8］拔雹"
"m"	"［2］茅猫矛蛮［4］卯晚［6］骂{文读}貌慢万［8］袜"
"f"	"［1］翻番方肪芳妨［3］反仿纺［5］泛放访［7］法发"
"v"	"［2］凡帆藩烦矶繁还房防亡忘妄患［4］范犯［6］饭望［8］乏"
"t"	"［1］耽担{〜任}丹单{〜独}［3］胆掸{鸡毛揮子}诞［5］担{挑〜}旦［7］搭"
"tʰ"	"［1］饱坍摊［3］毯坦［5］炭叹［7］塔塌溻{汗溻滥爻}"
"d"	"［2］谈痰弹{〜琴}［4］淡［6］但弹{子〜}蛋［8］达"
"n"	"［2］拿难{〜易}［4］哪［6］那闹难{患〜}［8］捺"
"ˀl"	"［1］拉"
"l"	"［2］蓝篮兰拦栏［4］览榄懒［6］滥缆烂［8］蜡腊辣拉"
"ts"	"［1］抓［3］爪斩盏［5］罩笊蘸赞［7］窄"
"tsʰ"	"［1］抄钞餐［3］炒吵铲［5］灿［7］插擦察"
"dz"	"［6］赚暂站{车〜}栈"
"s"	"［1］三杉衫珊山删［3］伞散产［5］散{分〜}［7］萨杀"
"z"	"［2］惭馋残［6］囋［8］闸{遮挡}铡煠甴{曱〜：蟑螂}"
"k"	"［1］交郊膠教{〜书{监{〜 视}艰间{空〜}奸甴曱{〜甴：蟑螂}［3］饺狡绞橄简拣［5］教{〜育}校{〜对}较酵窖监{国子〜}间{〜断}［7］峡夹被甲胛挟{〜菜}"
"kʰ"	"［1］敲嵌［3］巧舰［5］嵌［7］恰"
"ɡ"	"［2］衔［6］夹{形容牙缝里塞了菜末}［8］夹{形容拥挤}"
"h"	"［1］譀{胃胀气}［3］喊慌［5］孝［7］呷瞎譀{说谎、说大话}"
"ɦ"	"［2］咸闲嫌黄{黄昏}［4］限［6］效馅陷还{〜未}二{文读，用於一二一这种训练用语}［8］狭匣{盒}辖"
"ˀŋ"	"［1］眼{〜儿珠}"
"ŋ"	"［2］涯崖岩颜昂［4］咬眼［6］雁［8］鹤额"
"ˀ"	"［7］鸭押压"
"#iɔ"	""
"tɕ"	"［7］着{〜衣}酌脚"
"tɕʰ"	"［1］超［7］怯鹊{喜〜}雀{麻〜}却"
"dʑ"	"［8］着{睡〜}若"
"ˀȵ"	"［1］□{心肝〜：心肝宝贝}"
"ȵ"	"［2］尧［4］鸟［8］捏虐疟箬"
"ɕ"	"［1］稍宵霄萧箫［3］晓［7］屑削"
"ˀ"	"［1］丫{〜头}［7］约"
"j"	"［8］嚼若弱钥药跃"
"#uɔ"	""
"t"	"［1］刁貂雕［5］钓吊"
"tʰ"	"［1］挑［3］挑［5］跳［7］贴帖"
"d"	"［2］条调{〜和}［4］调［6］调{音〜}［8］叠碟牒蝶"
"l"	"［2］燎聊辽撩{〜起来}瞭{瞭解}寥［4］燎{火〜眉毛}了{〜结}［6］疗料廖［8］猎捋掠"
"k"	"［1］关［5］惯［7］扩{包〜}聒刮"
"kʰ"	"［1］宽夸［3］垮［7］阔"
"ɡ"	"［4］□{形容背上背着一个人}［6］ □{形容拿一条状物打人}"
"ɦ"	"［2］凡帆顽还{〜有}烦繁房防亡［4］范犯［6］换患饭万忘妄望［8］活猾滑伐罚"
"ˀ"	"［1］弯湾［3］挽［7］挖"
"#o"	""
"p"	"［1］玻巴芭疤帮［3］把{〜握}榜绑［5］霸壩［7］八博剥驳"
