"#符号说明：-白=文/书*俗?待考"	
"#调值"	"［1］⁵²［2］²⁵［3］²¹¹［5］³³⁴［7］⁴"
"#z̩"	
"p"	"[1]屄[3]比妣彼砒俾[5]幣=泌秘閉=敞弊蔽庇鄙篦斃"
"pʰ"	"[1]丕坯枇披批[2]皮疲枇毗琵啤脾羆便{~宜}[3]否{~極泰來}痞擗胚[5]屁"
"ts"	"[1]孜咨茲姿資齎之知支枝蜘肢滋饑機雞基妓譏嘰奇1{~數}薺-智*{~力}稽几諮資[2]眨*[3]子姊紫仔籽梓咫止紙指旨脂趾址幾己擠紀[5]自字恣眥至滯桎致郅摯志痣制治智稚置痔峙冀驥計記寄技際季悸忌既紀祭繼繫{~鞋帶}緻濟借=這-薺=至*{甚至~}"
"tsʰ"	"[1]差{參~不齊}魑蚩嗤癡妻棲期欺淒眵雌疵刺{昂~魚}[2]瓷慈磁辭詞祠池馳弛遲持匙齊其奇薺祁畦祈頎芪騎歧旗廁-{茅~}茄={~子}蹊茨邪=[3]此齒恥侈企起啟豈砌且2[5]次刺賜翅啻氣契器棄汽"
"s"	"[1]司私絲思飼斯撕嘶屍獅螄師詩施西熙犧曦犀希稀尸[2]時奚溪攜[3]死史豕使駛矢屎始喜洗寫徙且1些=四寺肆泗駟伺似飼祀巳俟嗣市視柿諡拭試示恃侍示仕士世事是勢誓舐逝氏繫{聯~}係戲細謝榭卸=嗜謚系{~統}"
"Ø"	"[1]衣依醫伊咿□{罵人用字，意在指吃}[2]宜夷痍姨頤遺胰儀移疑怡貽飴彝迤爺1{~兒兩個}嵇{姓氏}[3]椅倚以已尾-野=冶矣[5]裔意癔億臆易義議蟻囈藝翌羿異詣肄毅夜勚貤{重複}"
	
"#i"	
"p"	"[1]編鞭砭邊[3]比扁貶匾蝙[5]辨辯辮卞汴變便2{方~}弁遍1"
"pʰ"	"[1]篇偏翩[2]胼駢蹁[3]諞5片騙遍2{~地}"
"m"	"[1]咪眯咩乜[2]棉綿眠[3]米弭湎靦免冕緬勉娩澠丏[5]面麵眄昧-"
"t"	"[1]低掂顛癲巔惦爹1{祖父}[3]詆底砥抵邸點典碘[5]帝諦蒂締弟第地棣奠靛墊店玷電佃殿癜屜*"
"tʰ"	"[1]梯天添[2]啼蹄鵜醍題提甜闐填恬田闐[3]體舔忝腆殄[5]踮涕剃替掭嚏屜"
"n"	"[1]念1{~咕}[2]霓倪鯢尼泥怩-黏1鯰年憐1{可~}[3]你旎擬輦攆撚碾拈妳[5]膩泥2廿念2呢"
"l"	"[2]簾廉鐮聯奩連漣蓮梿鰱然燃[3]臉染冉苒髯[5]戀楝煉練殮鏈斂鍊"
"tɕ"	"[1]煎兼搛肩緘堅尖占沾粘氈詹瞻[3]展搌輾[5]剪翦譾繭揀檢撿儉瞼姐[5]顫戰犍毽健鍵建件見劍箭僭踐賤餞薦漸濺"
"tɕʰ"	"[1]殲騫謙牽慳簽千遷釺仟扡懺躚籤扦韆縴[2]前掮潛乾虔黔鈐錢鉗蕁纏禪蟬嬋箝[3]淺遣譴闡諂[5]歉倩塹纖1欠"
"ɕ"	"[1]仙先鮮掀鍁纖煽扇1[2]賢嫌涎弦-[3]顯蜆燹跣憲筅銑冼險閃陝[5]獻縣現腺線擅嬗善膳繕單1扇2騸訕苫贍綫"
"Ø"	"[1]懨焉嫣淹1閹醃煙咽1胭硯爺2{伯父}淹[2]閻炎爺研妍鹽嚴芫簷延蜒筵沿檐[3]演偃奄掩魘儼衍[5]堰彥諺唁讞豔燕厭饜贗宴晏咽2焰驗殷1{～紅}艷豓"
	
"#uᵝ"	
"p"	"[1]逋姑1{~子；~~}[3]捕哺補卜[5]部簿埠布怖步佈"
"pʰ"	"[1]潽鋪1[2]蒲菩莆葡[3]普譜脯浦溥埔圃[5]匍曝瀑堡2鋪2"
	
"#v̩"	
"f"	"[1]夫麩呋夫膚敷[2]芙扶罘孚浮俘撫蜉孵符巫涪誣[3]府腐腑甫輔斧釜否/1缶/1[5]父賻傅富副訃赴賦附阜駙負付婦"
	
"#əuᵝ"	
"t"	"[1]都嘟[2]□{逃跑}[3]堵睹賭肚1{豬~}[5]度2渡鍍杜肚2{~子}妒蠹"
"tʰ"	"[1]□{像聲詞}[2]徒圖屠塗途荼[3]土釷吐1[5]兔吐2唾"
"l"	"[1]擼=2嚕[2]廬爐蘆盧瀘顱轤濡蠕孺儒如茹擼-1[3]蕊-鹵魯汝乳滷[5]路賂露璐鷺"
"ts"	"[1]朱誅珠株蛛侏諸豬瀦租菹硃[3]主拄煮詛祖俎阻組渚砫[5]苧貯佇注炷柱蛀住駐著助鑄"
"tsʰ"	"[1]粗□{擦}[2]殂徂廚櫥躇蜍除鋤芻雛儲[3]黍暑鼠處□{猛然推頂並接觸}[5]醋處"
"s"	"[1]梳疏蔬樞殊姝輸抒舒紓書蘇酥穌囌[3]數[5]曙署澍樹豎漱庶數戍墅秫恕溯塑訴素愫嗉"
"k"	"[1]呱沽辜咕蛄鴣姑2{~爹爹}菇箍孤[2]鼓?{漲大、凸起}□{像聲詞，常擬屁聲}[3]鼓瞽臌古詁罟賈2蠱股估[5]雇顧故固痼梏"
"kʰ"	"[1]枯骷刳[2]□{小孩哼哮唧唧閑情緒、欲契而未靈的樣子，作~}□{布匹、紙張等皺起的部位，~起來了}[3]苦[5]庫褲"
"x"	"[1]乎烀呼[2]壺胡糊糊葫瑚蝴猢和3狐弧鬍[3]滸虎琥唬戽[5]戶滬護怙瓠互糊-"
