#a	
p	[1]笆[2]百伯{老~：哥哥}擘[5]霸
pʰ	[5]怕[6]稗白{1顏色}
m	[2]麻媽{雞~：母雞}[5]罵[6]麥嗎
f	[1]花[2]華法[5]化[6]話{2名詞}畫
v	[6]話{1說}
t	[1]他{其~}爹{~le⁵：父親}[2]答達{通~}□{跟，和}[3]打
tʰ	[2]塌[6]踏
n	[1]拿[2]□{頭~：頭}[3]納
ts	[1]差{a~滴子：差點兒}[2]摘笮{~酒：壓酒}[5]詐
tsʰ	[2]查察[5]差{c不好}
s	[1]沙[3]撒
tʃ	[1]遮[2]隻炙[3]者
tʃʰ	[2]赤
ʃ	[2]蛇[3]捨[5]赦舍[6]石
k	[1]家加[3]假{形容詞}[5]架嫁價
kʰ	[2]客[6]揢{扼}
ŋ	[2]牙芽衙
h	[1]下{1~嶺：下山}[2]孩{赤~子，嬰兒}嚇[6]下{2~頭、共~：一些}夏{~天}狹
∅	[2]押軛[3]啞[5]啊[6]啊
#ia	
p	[2]壁
tʰ	[2]提{2動詞}□{綑}
n	[6]逆
ts	[2]藉績
tsʰ	[3]且
s	[2]邪惜[3]寫[6]謝
k	[2]隔{~壁}
∅	[2]疫役[3]也野[6]夜
#oa	
k	[3]寡[5]掛
kʰ	[1]誇[3]□{樹枝}
#ai	
p	[2]□{~子：瘸子}[3]擺跛[5]拜
pʰ	[3]派
m	[6]末
f	[2]懷發{2~誓}[6]壞罰
v	[1]歪[2]還{2副詞}
t	[5]戴代{交~}帶
tʰ	[2]臺[6]大待
n	[3]奈{無~}[6]耐
l	[2]來[5]癩□{細~子：小孩}[6]賴
ts	[1]災[5]再載{記~}債
tsʰ	[1]在{1還2~}差{b~遣}[2]豺[5]在{生~}[6]在{3~東方}
s	[2]殺[3]徙[5]□{快~：急忙}
k	[3]解{a2~明}□{那}[5]界戒誡
kʰ	[3]慨
ŋ	[1]我[2]崖
h	[2]骸鞋瞎[3]駭[6]嗐{嘆詞}
∅	[1]挨{~暗le⁵：傍晚}[2]嫼{~燥：生氣}
#ɑ͡ɔ	
p	[1]褒包[3]保寶飽[5]報爆{裂}
pʰ	[1]抱[2]袍[3]跑
m	[1]毛[2]□{沒有，無}[6]冒帽貌
v	[3]□{哭}
t	[1]刀[3]朵{耳~}禱到{得~}[5]到{2~處b}倒{~轉：反而}
tʰ	[2]逃萄{葡~}[3]討[5]道{2難a~}□{動量詞，次}[6]道{1~理}
n	[3]惱[5]□{慢，晚}[6]鬧
l	[2]勞[3]老
ts	[1]□{乾燥}[3]早[5]燥{嫼~：生氣}
tsʰ	[2]嘈[3]草[6]造
s	[5]掃{~除}
tʃ	[1]朝{今~：今天}招[5]照
ʃ	[1]燒[3]少{減~}[6]兆
k	[1]高膏羔交[3]攪[5]告教{~訓}酵窖
kʰ	[5]靠
ŋ	[1]咬
h	[2]毫[3]好{a形容詞}[5]好{b動詞}□{一種句末助詞}[6]號
∅	[3]拗[5]奧
#iɑ͡ɔ	
p	[1]標飙{跳}
m	[2]苗[3]妙
t	[1]鳥[5]釣弔{~死}
tʰ	[1]挑{~唆}[2]條[5]跳
l	[3]了{~ŋ²得：非常}[6]嫐{玩兒}
ts	[3]剿
s	[1]簫[3]小[5]笑鞘誚
tʃ	[5]叫
tʃʰ	[3]巧
ʃ	[3]曉
∅	[1]腰[2]搖窰[5]要{ŋ²~：不要}
#o	
p	[2]博膊駁[5]簸播
pʰ	[2]婆拍薄{2~荷}□{拂}[5]破[6]薄{1形容詞}
m	[1]摸[2]魔[6]磨{~石：石磨}
f	[3]火伙[5]貨[6]禍
v	[2]禾
t	[1]多
tʰ	[1]拖[2]駝駄託[6]惰
l	[6]落駱樂{快~}
ts	[2]作桌捉[3]左[5]做
tsʰ	[1]坐[2]龊{o²~：骯臟}[5]錯[6]座鑿□{寧~：寧可}
s	[1]唆{挑~}[3]鎖
tʃ	[2]着{a穿}斲{砍}
tʃʰ	[6]着{b撞~}
k	[1]歌個{2真~：真的}戈[2]鴿頰各角[3]果裹[5]過{罪~，~渡}
kʰ	[3]可
ŋ	[5]□{愚}□{擡頭}
h	[2]河和{~睦}[5]荷{薄2~}[6]賀合盒學
∅	[2]惡{罪~}龌{~tsʰo²：骯髒}
#io	
pʰ	[6]縛
n	[6]弱
l	[6]略
ts	[2]雀
s	[2]削
tʃ	[2]腳
tʃʰ	[2]瘸
∅	[2]約[6]若藥
#ue	
p	[2]髮發{1~夢：做夢}[5]背{a1後~：後面}
pʰ	[6]背{b~逆}
m	[5]妹
f	[1]灰
v	[6]會
t	[2]奪[5]對隊
tʰ	[1]推[2]脫[5]退[6]代{1世2~}袋
n	[6]內
l	[6]類
tsʰ	[1]催[2]財[5]菜[6]罪
s	[1]雖[2]隨
tʃ	[5]□{~le⁵：嘴巴}
tʃʰ	[1]吹[2]出缺[6]墜
ʃ	[5]稅[6]睡
k	[1]歸{2歸屬}[2]割骨國[3]改柺詭[5]蓋怪
kʰ	[2]闊[5]塊快
ŋ	[6]外
h	[1]開[2]喝[3]海[6]害
∅	[1]哀□{~le⁵：母親}[5]愛
#iue	
∅	[6]月越
#ɐɯ	
m	[2]謀[3]某
t	[3]斗
tʰ	[1]偷[2]頭
