#漢字	音標	解釋	汝城話拼音				
#簡稱	/	汝城	/				
#全稱	/	汝城话	/				
#版本	/	2022-5-7	/				
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f	/				
#韻母	/	#韻母順序，用逗號分開。如：a,o,e	/				
#聲調	/	33 1 1a 陰平 ꜀,45 2 1b 陽平 ꜁,21 3 2 上 ꜂,24 5 3a 陰去 ꜄,44 6 3b 陽去 ꜅#每個聲調包括：五度調值 八聲 四聲 漢字調類 四角調類，調內用空格分隔，調間用逗號分開。					
#說明	/	來源：灼灼其华 参考自曾献飞《汝城方言研究》、《汝城县志》、《广韵》、汉典网#HTML格式，僅允許一行，用<br>換行					
一	iɛ3	~二三	ie3				
一	i6	量词前	i6				
乙	iɛ3		ie3				
二	ȵi6		nji6				
十	sɛ1		se1				
丁	tin1		din1				
厂	tsʰaŋ3		cang3				
七	tɕʰiɛ3		qie3				
卜	puɛ3		bue3				
八	pa3		ba3				
人	ȵin2		njin2				
入	iɛ1		ie1				
儿	ɛ2		e2				
匕	pi3		bi3				
几	tɕi3		ji3				
九	tɕiəu3		jiou3				
刁	tiau1		diao1				
了	liau3		liao3				
刀	tau1		dao1				
力	li6		li6				
乃	nai3		nai3				
又	iəu6		iou6				
三	sa1		sa1				
干	ka1	~燥	ga1				
干	kua5	~部	gua5				
干	kua1		gua1				
于	y1	少~（不经常）	y1				
于	y2	~情~理	y2				
亏	kʰuɛi1		kuei1				
工	koŋ1		gong1				
土	tʰu3		tu3				
士	sɿ6		sii6				
才	tsʰai2		cai2				
下	xɔ3	~雨	ho3				
下	xɔ2	脚~	ho2				
下	xɔ6		ho6				
寸	tsʰuɛn5		cuen5				
大	tai6		dai6				
丈	tʰiaŋ1		tiang1				
与	y3		y3				
万	ua6		ua6				
上	naŋ6	里、内、中、表面。	nang6				
上	saŋ1	~课	sang1				
上	saŋ6		sang6				
小	ɕiau3		xiao3				
口	kʰəu3		kou3				
山	sa1		sa1				
巾	tɕin1		jin1				
千	tɕʰia1		qia1				
乞	tɕʰi3		qi3				
川	tsʰua1		cua1				
亿	i5		i5				
个	kɛi5		gei5				
夕	ɕi1		xi1				
久	tɕiəu3		jiou3				
么	mɔ3		mo3				
勺	su6		su6				
凡	fa2		fa2				
丸	ya2		ya2				
及	tɕʰiɛ1		qie1				
广	kuaŋ3		guang3				
亡	uaŋ2		uang2				
门	mua2		mua2				
丫	ɔ1		o1				
义	ȵi6		nji6				
之	tɕi1		ji1				
尸	sɿ1		sii1				
己	tɕi3		ji3				
已	i3		i3				
巳	sɿ6		sii6				
弓	koŋ1	文	gong1				
弓	tɕioŋ1	白	jiong1				
子	tɕi1	慢慢~	ji1				
子	tɕi6	女~	ji6				
子	tɕi3		ji3				
卫	uɛi6		uei6				
也	iɛ3	文，非~	ie3				
也	iɛ1	白，尔~去？	ie1				
女	ȵy3		njy3				
