cid	character	initial	final	tone	note
1	多	t	uə	53	
2	拖	th	ua	53	
3	大	t	a	212	
4	锣	l	uə	31	
5	左	ts	uə	212	
6	歌	k	uə	53	
7	个	k	uɛ	44	白
7	个	k	ɛ	44	白
7	个	k	ə	44	文
8	可	kh	uə	44	
9	鹅	ŋ	uə	31	
10	饿	ŋ	uə	212	
11	河	x	uə	31	
12	茄	tɕh	iɛ	31	
13	破	ph	uə	212	
14	婆	ph	uə	31	
15	磨	m	uə	212	
16	磨	m	uə	212	
17	躲	t	uə	44	
18	螺	l	uə	31	
19	坐	tsh	uə	212	
20	锁	s	uə	44	
21	果	k	uə	44	
22	过	k	uə	212	
23	课	kh	uə	212	白
23	课	kh	ə	212	文
24	火	x	uə	44	
25	货	x	uə	212	
26	祸	x	uə	212	
27	靴	ɕ	yə	53	
28	把	p	a	44	
29	爬	ph	a	31	
30	马	m	a	44	
31	骂	m	a	212	
32	茶	tsh	a	31	
33	沙	s	a	53	
34	假	tɕ	ia	44	
35	嫁	tɕ	ia	212	
36	牙	ȵ	ia	31	
37	虾	ɕ	ia	53	
38	下	ɕ	ia	212	
39	夏	ɕ	ia	212	
40	哑	∅	ia	53	
41	姐	tɕ	iɛ	212	
42	借	tɕ	iɛ	212	
43	写	ɕ	iɛ	44	
44	斜	ɕ	iɛ	31	
45	谢	ɕ	iɛ	212	
46	车	tʂh	ʅə	53	
47	蛇	ʂ	ʅə	31	
48	射	ʂ	ʅə	44	
49	爷	∅	iɛ	31	
50	野	∅	iɛ	44	
51	夜	∅	iɛ	212	
52	瓜	k	ua	53	
53	瓦	v	a	44	
54	花	x	ua	53	
55	化	x	ua	212	
56	华	x	ua	53	
57	谱	ph	u	44	
58	布	p	u	212	
59	铺	ph	u	53	
61	步	ph	u	212	
62	赌	t	ou	44	
63	土	th	u	44	
64	图	th	u	31	
65	杜	th	u	212	
66	奴	n	ou	31	
67	路	l	ou	212	
68	租	ts	u	44	
69	做	ts	ou	212	白
69	做	ts	uə	53	文
70	错	tsh	uə	53	
71	箍	k	u	53	
72	古	k	u	44	
73	苦	kh	u	44	
74	裤	kh	u	212	
75	吴	∅	u	31	
76	五	∅	u	44	
77	虎	x	u	44	
78	壶	x	u	31	
79	户	x	u	212	
80	乌	∅	u	53	
81	女	ȵ	y	44	
82	吕	l	y	44	
83	徐	ɕ	y	31	
84	猪	tʂ	ʯ	53	
85	除	tʂh	ʯ	31	
86	初	tʂh	ʯ	53	
87	锄	tʂh	ʯ	31	
88	所	ʂ	uə	44	
89	书	ʂ	ʯ	53	
90	鼠	ʂ	ʯ	44	
91	如	ʐ	ʯ	31	
92	举	tɕ	y	44	
93	锯	tɕ	y	212	
94	去	tɕh	i	212	白
94	去	tɕh	y	212	文
95	渠	tɕh	y	31	
96	鱼	∅	y	31	
97	许	ɕ	y	44	
98	余	∅	y	31	
99	府	f	u	44	
100	付	f	u	44	
101	父	f	u	44	
102	武	∅	u	44	
103	雾	∅	u	212	
104	取	tɕh	y	44	
105	柱	tʂ	ʯ	212	
106	住	tʂh	ʯ	212	白
106	住	tʂ	ʯ	212	文
107	数	ʂ	u	44	
108	数	ʂ	u	212	
109	主	tʂ	ʯ	44	
110	输	ʐ	ʯ	53	～赢
110	输	ʂ	ʯ	44	运～
111	竖	ʂ	ʯ	212	
112	树	ʂ	ʯ	212	ʯ
113	句	tɕ	y	212	
114	区	tɕh	y	53	
115	遇	∅	y	212	
116	雨	∅	y	44	
117	芋	∅	y	212	
118	裕	∅	y	31	
119	胎	th	ɛ	53	
120	台	th	ɛ	31	
121	袋	t	ɛ	212	
122	来	l	ɛ	31	
122	来	n	eɪ	31	
123	菜	tsh	ɛ	212	
124	财	tsh	ɛ	31	
125	该	k	ɛ	53	
126	改	k	ɛ	44	
127	开	kh	ɛ	53	
128	海	x	ɛ	44	
129	爱	ŋ	ɛ	212	
130	贝	p	eɪ	212	
131	带	t	ɛ	212	
132	盖	k	ɛ	212	
133	害	x	ɛ	212	
134	拜	p	ɛ	212	
135	排	ph	ɛ	31	
136	埋	m	ɛ	31	
137	戒	tɕ	iɛ	212	
138	摆	p	ɛ	44	
139	派	ph	ɛ	44	
140	牌	ph	ɛ	31	
141	买	m	ɛ	44	
142	卖	m	ɛ	212	
143	柴	tsh	ɛ	31	
