#ɿ
ts [33]姊指{手～}趾[21]自字寺执[54]翅痔志痣□{燎}照[13]是[45]支枝秩激[121]糍祠
tsʰ [33]齿[54]刺赐
s [33]死屎[21]豉伺士仕事[54]四肆试[45]私师狮尸丝诗烧失[121]匙时舌

#i
p [45]膘标鳔彪[121]瓢
pʰ [54]票漂[45]飘
m [21]庙[45]没
t [33]指{～东西}鸟[21]□{荡}□{楞}[54]递钓吊调{音～}调{～动}[45]朝刁貂雕[121]条调{～和}笛
tʰ [54]跳
n [21]尿[121]疑凝
l [33]□{绞}[21]料廖[54]□{投}□{扔}[13]里{～面}[45]□{腻子}撩□{逗}
ts [33]纸[21]似治
tsʰ [45]锹[121]次
s [54]笑[45]消宵霄硝销萧屑
tʃ [33]己纪几[21]□{攮}[54]寄杞记季叫{狗～ }[13]轿[45]饥基焦蕉椒[121]奇骑棋旗乔桥
tʃʰ [45]欺
ȵ [121]蚁
ʃ [33]起喜[54]戏气汽[45]嬉希稀
kʰ [21]困
∅ [21]二贰[54]以亿[45]医衣[121]移姨

#u
f[33]火伙虎夫斧幅[21]祸户护瓠傅豁佛[54]裤戽富副[45]窠敷麸妇[121]胡湖壶葫胡符扶芙浮
t [45]挑
tʃ [45]楂渣
tʃʰ [45]叉钗
k [33]果姑箍古估牯股鼓固[21]过[45]寡
∅ [33]禾[21]务雾[13]武舞[45]乌[121]吴

#y
t[21]厨柱{～ 子}住坠[54]对{～ 谁}队[45]堆[121]锤
tʰ [33]腿退[54]褪[45]□{流}
n [21]内
l [21]泪[54]骡累鹿[13]吕[121]驴雷
ts [21]罪[54]醉
tsʰ [45]催崔
tʃ [33]煮主嘴传{～达}[21]聚[54]锯蛀[13]柱{名字上使用}转{～眼，～送}转{～螺丝，～圈圈}[45]车{～马炮}珠锥灸扎{用针～}专砖[121]徐除随全传{～记}
tʃʰ [45]□{蛆}处吹川穿
ʃ [33]鼠水[21]树睡[45]书舒虚输
∅ [21]芋易{难～}易{交～}郁玉[13]雨[121]于{～此}愚于榆

#a
p [33]饱[21]□{掉}□{丢}□{跌}拔雹柏白[54]鲍豹爆剥北百伯[45]霸包胞[121]排{一～}
pʰ [21]趴拍魄[54]坡泡炮泡{～ 在水里}鉋[45]抛□{颤}
m [21]迈猫墨默麦脉
f [21]划{～船}画筏划
t [33]姐斗抖陡[45]蔸兜[121]豆得德
tʰ [21]踏[45]偷
n [33]□{皱}[21]闹吵{～架}[54]□{褶}[45]哪那
l [33]□{掏}[21]漏肋勒
ts [33]走[21]贼[45]曾□{凶恶}[121]昨
tsʰ [21]皴
s [21]□{抖}塞[54]嗽
tʃ [33]爪[21]赚[54]□{妈}罩[45]差{～别，～不多}摘[121]择
tʃʰ [33]炒吵{～闹}衬[21]撤拆□{缝}[54]奏凑肘撑[45]□{锅}抄
ʃ [33]莎寻省{～长}省{～长}[21]虱色[54]潲瘦[45]□{讨东西}搜馊搜{～集}参生牲甥
k [33]教{～书}搞狗秆梗屐[21]各阁胳格隔[54]教{～育，～他去}窖觉{睡～}够角[45]交胶勾钩沟彀勾庚羹耕□{谷}曲
kʰ [33]考[21]咳刻{时～}刻{用刀～}克[54]扣扼[45]敲抠
ŋ [21]额[13]硬
h [33]□{耍}口[21]吓{～一跳}□{呆子}候□{刃}核客赫吓{恐～ }[54]孝[13]后后{皇～ }[45]坑[121]学
∅ [33]□{紫}[21]坳[54]沤

#ia
t [13]□{篓}
tʃ [33]疹
∅ [21]鸦□{子弹}药[54]要{买}要{～求}要{想～，重～}[45]妖腰

#ua
f [21]化阔
k [21]括骨
kʰ [33]捆
∅ [21]外{外人}

#ɛ
p [33]比表[21]备逼璧壁[45]碑卑
pʰ [33]屁[45]劈
f [33]悔□{愧}[54]痱[45]恢灰飞挥
t [21]箸住地饬[45]猪朱[121]直敌
tʰ [21]踢
n [45]奶{～～}你
l [21]滤癞□{谜}厉利另[45]赖
ts [21]即鲫积迹脊绩[121]绝
tsʰ [33]取[54]□{看}[45]蛆蔡
s [21]席夕[54]暑昔[45]须鳃习[121]锡
tʃ [21]织筑
tʃʰ [21]尺
ʃ [21]石

#iɛ
t [33]□{舀}[21]对{～错}谍[54]胀[121]长{～短}肠
n [21]业[45]母娘
l [33]两{几～几钱}[21]亮力历[121]良凉量粮梁
ts [33]蒋[21]谢酱匠嚼□{牚}足[54]借[45]浆将[121]墙
tsʰ [33]抢[45]枪
s [33]写想[21]邪斜息[54]泻象[45]□{屉}相箱镶
tʃ [21]知急及倔强{勉～，倔～}脚极[45]刚僵姜[121]茄强
tʃʰ [21]吃[45]腔
ȵ [21]入日让[13]两{～个}[121]□{饶}仰酿
ʃ [33]晌享响饷[21]协[54]向[45]蝎香乡
∅ [33]已[21]也叶页揖噎[13]一[121]窑

#uɛ
k [33]诡鬼[21]跪柜[54]桂贵[45]规龟归
∅ [33]位[21]卫味魏[54]喂[13]为[45]好

#uø
n [13]女
ʃ [21]薯[13]竖
kʰ [33]去[45]亏
ŋ [21]遇雁

#ɤ
p[33]摆笔不[21]败鼻[121]排{～队}拜牌稗
pʰ [33]派□{蟹}
m [21]卖蜜[121]埋
f [33]块□{旱}[21]坏话犯汗焊饭罚[54]快发[13]汉[45]翻□{牧}[121]槐烦矾
t [21]特[45]他[121]头
n [33]奶{牛～}[21]捏捏
l [33]冷[21]粒{颗}立笠粒栗[54]捞[13]乐[121]楼
tsʰ [21]七漆[54]做
tʃ [33]蔗展长{生～}涨掌[21]侄丈[54]帐账[45]遮张章樟[121]场常
tʃʰ [33]扯厂[21]出[54]畅唱[45]车{马～}昌菖
ʃ [33]舍衫[21]射麝十拾实射[54]湿裳[13]社[45]赊商伤[121]蛇尝
ŋ [13]咬藕
h [33]喉□{玩}幸[13]厚[121]□{檩}

#uɤ
f [54]鞋[13]法[45]花
tʃ [21]寨□{拽}[13]抓[45]斋债[121]柴
tʃʰ [45]差{出～}
ʃ [21]涮刷[54]晒[45]衰[121]筛
k [21]介怪挂割葛刮[45]瓜街甘肝干关廓
kʰ [21]□{打}
∅ [33]呕[21]滑宦万[54]挖[13]瓦[45]安鞍豌弯湾[121]蛮还{～原}横{～直}横{蛮～}

#ɔ
p [21]八
pʰ [21]扑
m [33]懵[21]抹沫袜莫梦
t [33]堵肚{鱼～，猪～}肚{腹～ }[21]度渡镀镫独读毒
tʰ [33]唾土吐{～痰}[54]吐{呕～}兔
l [21]路露鹭[54]□{诱}[13]□{蘸}[121]卢炉芦鸬刘留榴硫
ts [33]祖酒[21]就[45]租
tsʰ [33]醋[21]搽擦[45]粗错秋
s [21]撒[54]素秀绣[45]苏酥修
tʃ [21]扎{一～ }[54]诈榨炸{～ 弹}[45]周州洲[121]锄酬阄
tʃʰ [21]觉{知～}[54]臭
ʃ [21]□{爸}受寿杀熟赎[54]适[45]梳疏收
k [54]界谷[45]鸽
h [21]哭
∅ [33]哑[21]鸭押压屋[45]丫

#uɔ
p [33]把{～握，～守，～柄}把{柄}补板版榜[21]□{躲}枇办[54]布罢[45]巴疤□{痂}班斑扳毕帮{一～人}[121]婆
