#ɿ		
ts	①資支知之隻资这{白}枝脂 ③子紙只紫指 ⑤自字治至致志翅制 ⑦姪质直植殖织职掷字{又}	
tsʰ	①雌 ②迟辞词池祠 ③此耻齿址 ⑤滞次賜刺 ⑦尺秩赤吃喫	
s	①师狮思斯施詩丝是{白}司 ②时匙 ③死使始矢 ⑤世示視士事伺四似是寺侍式试饰柿 ⑦十食蚀石识失实	
z	⑦日	
#i		
p	③比彼 ⑤敝闭备被 ⑦壁鼻必笔碧逼	
pʰ	②皮 ③鄙 ⑤屁 ⑦辟僻匹劈	
m	②迷眉篾 ③米 ⑦谜泌密蜜	
t	①低 ③底 ⑤帝地弟第隶递 ⑦的笛地{白}	
tʰ	①梯 ②堤提题 ③体 ⑤替剃 ⑦踢剔惕	
n	①的{白} ②离梨犁 ③李里理裹礼 ⑤利例 ⑦立栗力歷	
ȵ	②泥尼疑宜议蚁谊 ③你 ⑤艺义议 ⑦逆溺匿	
tɕ	①鸡饥 ③几己姐起{白} ⑤祭计忌继寄季技妓借记 ⑦集即及吸吉急極激楫缉击积去{白}	
tɕʰ	①棲妻欺溪奚 ②齐其旗奇茄 ③起且 ⑤器气 ⑦七乞迄戚	
ɕ	①希西些兮 ②邪斜 ③洗喜徙写玺 ⑧系细戏謝壻 ⑦习息媳席夕惜锡	
Ø	①衣依医 ②夷移遗爺姨 ③也以矣已椅野蚁 ⑤意憶夜 ⑦一邑逸亦译	
#u		
p	①波菠玻 ③补簸 ⑤布部步簿 ⑦不	
pʰ	①坡铺{~设，床~} ②婆葡 ③普谱颇 ⑤铺{店~} ⑦勃扑仆卜瀑	
m	①摸 ②磨魔 ③母 ⑤暮 ⑦木目没牧	
ts	①租猪诸朱 ③祖主左煮 ⑤座住助柱注住做坐 ⑦卒竹烛触足粥	
tsʰ	①粗初搓 ②除锄 ③楚處 ⑤醋處错 ⑦拙出族促	
s	①蘇书殊输蓑梭 ③鼠署黍锁所数暑琐 ⑤素数树術竖 ⑦戌叔熟宿{~舍}赎属俗速	
z	②如儒 ③乳 ⑦辱入肉{老文读}褥	
t	①都多朵{耳~} ③赌肚躲 ⑤肚度杜舵堕惰 ⑦笃读毒	
tʰ	①拖 ②图徒驼驮 ③土妥 ⑤吐 ⑦突秃	
n	②奴卢驴萝箩锣罗骡螺 ③努 ⑤怒路螺 ⑦陆绿六鹿律	
k	①锅孤 ③果古裹 ⑤故 ⑦骨谷	
kʰ	①枯箍 ③颗棵苦 ⑤裤 ⑦酷哭	
ŋ	③我	
x	①呼{老} ②何河荷禾和壶湖 ③火伙 ⑤户{老} ⑦忽核{果~}	
Ø	①窝乌 ②蛾鹅无吾吴 ③武五午 ⑤戊務雾 ⑦物屋	
#uᶹ		
f	①夫呼 ②浮符扶湖壶 ③府腐虎 ⑤户父附妇负富副付 ⑦福拂佛服	
#y		
tɕ	①拘居 ③举 ⑤巨句聚娶锯剧 ⑦橘局菊锯{又}	
tɕʰ	①区枢 ②瘸渠 ③取 ⑤趣去 ⑦屈掘曲鞠菊	
ɕ	①雖须虚靴 ②徐 ③许 ⑤序遂絮穗 ⑦戌速肅畜旭俗	
ȵ	③女吕	
n	②驴₂ ③旅吕{老}履 ⑤虑	
Ø	②余餘於于魚愚 ③羽雨与 ⑤遇玉芋裕 ⑦鬱域郁育狱欲役疫	
#a		
p	①巴 ②爸 ③把 ⑤坝 ⑦八	
pʰ	①怕耙{丹棱~~柑} ②爬巴{下∽}螃{∽蟹} ⑤怕帕 ⑦拔	
m	①妈 ②麻 ③马 ⑤骂 ⑦抹{~布}	
f	⑦法髮伐罚	
t	③打 ⑤大 ⑦答搭达	
tʰ	①他 ⑦踏塔	
n	①拉他{白} ②拿 ③哪 ⑤那 ⑦腊纳辣蜡	
k	③朒{~~：肉}	
kʰ	③卡 ⑦□{一~毛}	
x	①哈□{抓} ③傻{俗} ⑤下{白}	
ts	①渣楂 ⑤榨炸 ⑦铡炸轧杂闸	
tsʰ	①叉差{~错} ②茶查 ③衩 ⑤岔 ⑦擦插察	
s	①沙杉 ③撒傻 ⑤啥 ⑦撒杀刹	
Ø	①阿	
#ia		
p	③瘪{扁}	
tɕ	①家佳嗟加 ③假贾 ⑤架驾嫁 ⑦甲挟夹	
tɕʰ	③卡 ⑦恰掐	
ɕ	①虾 ②斜霞 ⑤下夏 ⑦匣瞎狭	
Ø	①鴉丫 ②牙芽涯 ③哑雅 ⑤轧压亚 ⑦鸭压	
#ua		
k	①瓜 ③寡 ⑤挂 ⑦刮	
kʰ	①夸 ③垮 ⑤跨	
x	①花 ②華 ⑤画話化劃 ⑦滑	
ts	①抓 ③爪 ⑦啄	
s	③厦耍 ⑦刷	
z	②挼{~面做馒头等}	
