cid	character	initial	final	tone	note
1	多	t	uə	35	～少
1	多	t	uə	55	
2	拖	th	uə	55	
3	大	t	ɑ	53	
4	锣	l	uə	35	
5	左	ts	uə	213	
6	歌	k	ɤ	55	
7	个	k	ɤ	53	
8	可	kh	ɤ	213	
9	鹅	n	ɤ	35	老
9	鹅	∅	ɤ	35	新
10	饿	n	ɤ	53	老
10	饿	∅	ɤ	53	新
11	河	x	ɤ	35	
12	茄	tɕh	iɛ	35	
13	破	ph	ɤ	53	
14	婆	ph	ɤ	35	
15	磨	m	ɤ	35	
16	磨	m	ɤ	53	
17	躲	t	uə	213	
18	螺	l	uə	35	
19	坐	ts	uə	53	
20	锁	s	uə	213	
21	果	k	uə	213	
22	过	k	uə	53	
23	课	kh	ɤ	53	
24	火	x	uə	213	
25	货	x	uə	53	
26	祸	x	uə	53	
27	靴	ɕ	yɛ	55	
28	把	p	ɑ	213	
29	爬	ph	ɑ	35	
30	马	m	ɑ	213	
31	骂	m	ɑ	53	
32	茶	tsh	ɑ	35	
33	沙	s	ɑ	55	
34	假	tɕ	iɑ	213	
35	嫁	tɕ	iɑ	53	
36	牙	∅	iɑ	35	
37	虾	ɕ	iɑ	55	
38	下	ɕ	iɑ	53	
39	夏	ɕ	iɑ	53	
40	哑	∅	iɑ	213	
41	姐	tɕ	iɛ	213	
42	借	tɕ	iɛ	53	
43	写	ɕ	iɛ	213	
44	斜	ɕ	iɛ	35	
45	谢	ɕ	iɛ	53	
46	车	tsh	ɤ	55	
47	蛇	s	ɤ	35	
48	射	s	ɤ	53	
49	爷	∅	iɛ	35	
50	野	∅	iɛ	213	
51	夜	∅	iɛ	53	
52	瓜	k	uɑ	55	
53	瓦	∅	uɑ	213	
54	花	x	uɑ	55	
55	化	x	uɑ	53	
56	华	x	uɑ	35	
57	谱	ph	u	213	
58	布	p	u	53	
59	铺	ph	u	55	
60	簿	p	u	53	
61	步	p	u	53	
62	赌	t	u	213	
63	土	th	u	213	
64	图	th	u	35	
65	杜	t	u	53	
66	奴	n	u	35	
67	路	l	u	53	
68	租	ts	u	55	
69	做	ts	uə	53	
70	错	tsh	uə	53	
71	箍	k	u	55	
72	古	k	u	213	
73	苦	kh	u	213	
74	裤	kh	u	53	
75	吴	∅	u	35	
76	五	∅	u	213	
77	虎	x	u	213	
78	壶	x	u	35	
79	户	x	u	53	
80	乌	∅	u	55	
81	女	ȵ	y	213	
82	吕	l	y	213	
83	徐	ɕ	y	35	
84	猪	ts	u	55	
85	除	tsh	u	35	
86	初	tsh	u	55	
87	锄	tsh	u	35	
88	所	s	uə	213	
89	书	s	u	55	
90	鼠	s	u	213	
91	如	ʐ	u	35	
92	举	tɕ	y	213	
93	锯	tɕ	y	53	
94	去	tɕh	y	53	
95	渠	tɕh	y	35	
96	鱼	∅	y	35	
97	许	ɕ	y	213	
98	余	∅	y	35	
99	府	f	u	213	
100	付	f	u	53	
101	父	f	u	53	
102	武	∅	u	213	
103	雾	∅	u	53	
104	取	tɕh	iou	213	表“拿”义时
104	取	tɕh	y	213	
105	柱	ts	u	53	
106	住	ts	u	53	
107	数	s	u	213	
108	数	s	u	53	
109	主	ts	u	213	
110	输	s	u	55	
111	竖	s	u	53	
112	树	s	u	53	
113	句	tɕ	y	53	
114	区	tɕh	y	55	
115	遇	∅	y	53	
116	雨	∅	y	213	
117	芋	∅	y	53	
118	裕	∅	y	53	
119	胎	th	ai	55	
120	台	th	ai	35	
121	袋	t	ai	53	
122	来	l	ai	35	
123	菜	tsh	ai	53	
124	财	tsh	ai	35	
125	该	k	ai	55	
126	改	k	ai	213	
127	开	kh	ai	55	
128	海	x	ai	213	
129	爱	n	ai	53	老
129	爱	∅	ai	53	新
130	贝	p	ei	53	
131	带	t	ai	53	
132	盖	k	ai	53	
133	害	x	ai	53	
134	拜	p	ai	53	
135	排	ph	ai	35	
136	埋	m	ai	35	
137	戒	tɕ	iɛ	53	
138	摆	p	ai	213	
139	派	ph	ai	53	
140	牌	ph	ai	35	
141	买	m	ai	213	
142	卖	m	ai	53	
143	柴	tsh	ai	35	
144	晒	s	ai	53	
145	街	k	ai	55	老
145	街	tɕ	iɛ	55	新
146	解	k	ai	213	～开
146	解	tɕ	iɛ	213	
147	鞋	ɕ	iɛ	35	
148	蟹	ɕ	iɛ	53	
149	矮	n	ai	213	老
149	矮	∅	ai	213	新
150	败	p	ai	53	
151	币	p	i	53	
152	制	ts	ɿ	53	
153	世	s	ɿ	53	
154	艺	∅	i	53	
155	米	m	i	213	
156	低	t	i	55	
157	梯	th	i	55	
158	剃	th	i	53	
159	弟	t	i	53	
160	递	t	i	53	
161	泥	ȵ	i	35	
162	犁	l	i	35	
163	西	ɕ	i	55	
164	洗	ɕ	i	213	
165	鸡	tɕ	i	55	
166	溪	ɕ	i	55	
167	契	tɕh	i	53	
168	系	ɕ	i	53	
169	杯	p	ei	55	
170	配	ph	ei	53	
171	赔	ph	ei	35	
172	背	p	ei	53	
173	煤	m	ei	35	
174	妹	m	ei	53	
175	对	t	uei	53	
176	雷	l	ei	35	
177	罪	ts	uei	53	
178	碎	s	uei	53	
179	灰	x	uei	55	
180	回	x	uei	35	
181	外	∅	uai	53	
182	会	x	uei	53	
183	怪	k	uai	53	
184	块	kh	uai	53	
185	怀	x	uai	35	
186	坏	x	uai	53	
187	拐	k	uai	213	
188	挂	k	uɑ	53	
189	歪	∅	uai	55	
190	画	x	uɑ	53	
191	快	kh	uai	53	
192	话	x	uɑ	53	
193	岁	s	uei	53	
194	卫	∅	uei	213	～生
194	卫	∅	uei	53	
195	肺	f	ei	53	
196	桂	k	uei	53	
197	碑	p	ei	55	
198	皮	ph	i	35	
199	被	p	ei	53	
200	紫	ts	ɿ	213	
201	刺	tsh	ɿ	53	
202	知	ts	ɿ	35	～道
202	知	ts	ɿ	55	
203	池	tsh	ɿ	35	
204	纸	ts	ɿ	213	
205	儿	∅	ər	35	
206	寄	tɕ	i	53	
207	骑	tɕh	i	35	
208	蚁	∅	i	213	
209	义	∅	i	53	
210	戏	ɕ	i	53	
211	移	∅	i	35	
212	比	p	i	213	
213	屁	ph	i	53	
214	鼻	p	i	35	
215	眉	m	ei	35	
216	地	t	i	53	
217	梨	l	i	35	
218	资	ts	ɿ	55	
219	死	s	ɿ	213	
220	四	s	ɿ	53	
221	迟	tsh	ɿ	35	
222	师	s	ɿ	55	
223	指	ts	ɿ	213	
224	二	∅	ər	53	
225	饥	tɕ	i	55	
226	器	tɕh	i	53	
227	姨	∅	i	35	
228	李	l	i	213	
229	子	ts	ɿ	213	
230	字	ts	ɿ	53	
231	丝	s	ɿ	55	
232	祠	tsh	ɿ	35	
233	寺	s	ɿ	53	
234	治	ts	ɿ	53	
235	柿	s	ɿ	53	
236	事	s	ɿ	53	
237	使	s	ɿ	213	
238	试	s	ɿ	53	
