cid	character	initial	final	tone	note
1	多	t	uɤ	21	
2	拖	th	uɤ	21	
3	大	t	a	55	
4	锣	l	uɤ	24	
5	左	ts	uɤ	53	
6	歌	k	ɤ	21	
7	个	k	ɤ	55	
8	可	kh	ɤ	53	
9	鹅	ŋ	ɤ	24	
10	饿	ŋ	ɤ	55	
11	河	x	uɤ	24	
12	茄	tɕh	iə	24	
13	破	ph	uɤ	55	
14	婆	ph	uɤ	24	
15	磨	m	uɤ	24	～刀
15	磨	m	uɤ	55	～面
16	磨	m	uɤ	55	
17	躲	t	uɤ	53	
18	螺	l	uɤ	24	
19	坐	ts	uɤ	55	
20	锁	s	uɤ	53	
21	果	k	uɤ	53	
22	过	k	uɤ	55	
23	课	kh	uɤ	55	
24	火	x	uɤ	53	
25	货	x	uɤ	55	
26	祸	x	uɤ	55	
27	靴	ɕ	yə	21	
28	把	p	a	53	
29	爬	ph	a	24	
30	马	m	a	53	
31	骂	m	a	55	
32	茶	tsh	a	24	
33	沙	s	a	21	
34	假	tɕ	ia	53	
35	嫁	tɕ	ia	55	
36	牙	ȵ	ia	24	
37	虾	ɕ	ia	21	
38	下	x	a	55	
39	夏	ɕ	ia	55	
40	哑	ȵ	ia	53	
41	姐	tɕ	iə	24	
42	借	tɕ	iə	55	
43	写	ɕ	iə	53	
44	斜	ɕ	iə	24	
45	谢	ɕ	iə	55	
46	车	tʂh	ɤ	21	
47	蛇	ʂ	ɤ	24	
48	射	ʂ	ɤ	55	
49	爷	∅	iə	55	
50	野	∅	iə	53	
51	夜	∅	iə	55	
52	瓜	k	ua	21	
53	瓦	∅	ua	53	
54	花	x	ua	21	
55	化	x	ua	55	
56	华	x	ua	21	
57	谱	ph	u	53	
58	布	p	u	55	
59	铺	ph	u	21	
60	簿	ph	u	55	
61	步	ph	u	55	
62	赌	t	u	53	
63	土	th	u	53	
64	图	th	u	24	
65	杜	t	u	55	
66	奴	n	ou	24	
67	路	n	u	55	
68	租	ts	ʮ	21	
69	做	ts	ou	55	
70	错	tsh	uɤ	21	
71	箍	k	u	21	
72	古	k	u	53	
73	苦	kh	u	53	
74	裤	kh	u	55	
75	吴	∅	u	24	
76	五	∅	u	53	
77	虎	x	u	53	
78	壶	x	u	24	
79	户	x	u	55	
80	乌	∅	u	21	
81	女	ȵ	y	53	
82	吕	l	y	53	
83	徐	ɕ	y	24	
84	猪	tʃ	ʯ	21	
85	除	tʃh	ʯ	24	
86	初	tʃh	ʯ	21	
87	锄	tʃh	ʯ	24	
88	所	ʃ	ʯɤ	53	
89	书	ʃ	ʯ	21	
90	鼠	ʃ	ʯ	53	
91	如	ʒ	ʯ	21	
92	举	tɕ	y	53	
93	锯	tɕ	y	55	
94	去	tɕh	i	55	白
94	去	tɕh	y	55	文
95	渠	tɕh	y	24	
96	鱼	∅	y	24	
97	许	ɕ	y	53	
98	余	∅	y	24	
99	府	f	u	53	
100	付	f	u	53	～款
100	付	f	u	55	姓
101	父	f	u	55	
102	武	v	u	53	
103	雾	v	u	55	
104	取	tɕh	y	53	
105	柱	tʃ	ʯ	55	
106	住	tʃ	ʯ	55	
107	数	ʃ	ʯ	53	
108	数	ʃ	ʯ	55	
109	主	tʃ	ʯ	53	
110	输	ʃ	ʯ	21	
111	竖	ʃ	ʯ	55	
112	树	ʃ	ʯ	55	
113	句	tɕ	y	55	
114	区	tɕh	y	21	
115	遇	∅	y	55	
116	雨	∅	y	53	
117	芋	∅	y	55	
118	裕	∅	y	21	
119	胎	th	ɛ	21	
120	台	th	ɛ	24	
121	袋	t	ɛ	55	
122	来	l	ɛ	24	
123	菜	tsh	ɛ	55	
124	财	tsh	ɛ	24	
125	该	k	ɛ	21	
126	改	k	ɛ	53	
127	开	kh	ɛ	21	
128	海	x	ɛ	53	
129	爱	ŋ	ɛ	55	
130	贝	p	e	55	
131	带	t	ɛ	55	
132	盖	k	ɛ	55	
133	害	x	ɛ	55	
134	拜	p	ɛ	55	
135	排	ph	ɛ	24	
136	埋	m	ɛ	24	
