#ɿ	
ts	①資玆自{白：枉∽} ③子 ⑤自字
tsʰ	①雌 ②辭詞③此 ⑤次赐
s	①思私思師獅事{白：不省∽（不懂事）} ③死 ⑤四似伺寺士事侍
#ʅ	
tʂ	①之知支隻 ③紙只指 ⑤至治志翅姪秩質直值職殖擲滞蟄植
tʂʰ	②遲 ③耻齒 ⑤赤尺吃喫敕秩
ʂ	①詩施是{白}十{白}食{白：豬∽、自來∽}實{白，老實} ②時匙 ③始矢使 ⑤世示市視試是式十實失石食蝕識
ʐ	⑤日
#i	
p	③比彼 ⑤敝閉備鼻必筆碧逼壁臂
pʰ	②皮 ③鄙 ⑤屁避闢僻匹
m	②迷眉 ③米 ⑤謎泌密蜜秘
t	①低地{白：∽下} ③底 ⑤弟第帝地隸的笛
tʰ	①梯 ②提堤题 ③體 ⑤替踢
n	①力{白：氣∽} ②離梨 ③李里理裏禮 ⑤利例立力栗歷
tɕ	①難去{白} ③己幾起{白} ⑤祭計忌寄技妓繼記楫緝集急及吸吉即極激去{白}
tɕʰ	①妻棲溪欺 ②齊其旗奇起{白} ③起 ⑤器氣七乞迄戚
ɕ	①西奚兮希些 ③洗徙喜璽 ⑤細系戲壻習息媳惜夕席泣
ȵ	①膩{白} ②尼泥疑宜 ③你 ⑤兿義議匿逆溺膩
Ø	①衣依醫 ②夷移遗 ③以矣椅裹{白} ⑤意憶邑一逸亦噎
#u	
p	①蔔 ③補 ⑤布部步不簿
pʰ	①步{白：幾∽路}铺 ③譜普 ⑤铺勃卜撲僕
m	②模 ③母 ⑤暮墓没木目
t	①都肚{白：∽皮} ③赌肚 ⑤肚杜篤讀
tʰ	②圖徒 ③土 ⑤吐兔秃突
n	①路{白}露{白，∽水} ②奴驢 ③努吐{白} ⑤怒路律鹿六陸綠
k	①孤 ③古 ⑤故骨
kʰ	①枯 ③苦 ⑤哭酷
ts	①租 ③祖 ⑤助做卒足
tsʰ	①粗初 ②锄 ③楚 ⑤醋族促
s	①蘇酥 ③數 ⑤數素速俗肅宿
tʂ	①猪諸住{白：着不∽} ③主 ⑤柱住注竹觸熵
tʂʰ	②除 ③處 ⑤處出
ʂ	①書殊樹{白} ③暑鼠黍 ⑤樹術熟
ʐ	②如儒 ③乳 ⑤入肉{罕用，最老派保留}辱
ø	①烏屋{白}霧{白，∽露} ②吾無吴 ③五午武 ⑤務戊恶物屋霧
#uᶹ	
f	①夫呼婦{白，媳∽}戶{白，走人∽} ②扶符胡狐乎 ③府腐虎 ⑤父附婦负户忽拂佛服福富斛
#y	
tɕ	①居拘 ③举 ⑤巨娶聚句橘局足
tɕʰ	①區樞 ③取 ⑤去趣鞠屈掘菊曲
ɕ	①须虚雖 ②徐 ③許 ⑤序遂戌畜旭俗
ȵ	③女
n	③吕旅履 ⑤虑
Ø	①芋{白，∽兒} ②魚愚於餘余 ③雨羽舆 ⑤遇玉鬱域疫役郁育狱獄欲芋
#ɑ	
p	①巴 ③把 ⑤罷八
pʰ	②爬 ⑤怕拔
m	①媽 ②麻 ③馬 ⑤駡
f	⑤法髮伐
t	③打 ⑤大答搭達
tʰ	①他踏{白} ⑤踏塔
n	①拉他{白} ②拿 ③哪 ⑤那納臘辣
k	
kʰ	
x	①下{白} ②還{白} ⑤下{白}
ŋ	
ts	⑤雜
tsʰ	
s	①薩 ③撒 ⑤撒
tʂ	⑤紮軋炸铡鍘
tʂʰ	②茶查 ⑤插察刹
ʂ	①沙 ③傻 ⑤殺
#iɑ	
tɕ	①家佳嗟 ③假賈 ⑤架駕夾甲挾閘
tɕʰ	⑤恰
ɕ	①蝦下{白} ②霞斜 ③下狭瞎匣
Ø	①鴉 ②牙涯 ③啞 ⑤亞鴨
#uᴀ	
k	①瓜 ③寡 ⑤掛挂刮
kʰ	①誇 ⑤跨
x	①花 ②華 ⑤化畫話滑
tʂ	①抓 ③爪
ʂ	③耍 ⑤刷
ʐ	②挼{揉，∽面做馒头等}
Ø	①蛙挖 ②娃 ③瓦 ⑤襪
#o	
p	①波菠玻 ⑤剝縛薄
pʰ	①坡 ②婆 ③剖 ⑤破
m	①摸磨{白，∽子} ②磨 ⑤磨₂末莫
t	①多 ③朵朶 ⑤舵奪
tʰ	①拖 ③妥 ⑤脱託
n	①那{白} ②羅騾 ⑤诺洛落
k	①哥歌鍋個{白} ③果 ⑤個過鸽割角郭
kʰ	①科 ③可 ⑤課殻
x	①喝活{白}祸{白} ②何河和荷 ③火 ⑤祸貨賀喝盍合活霍或獲
ŋ	③我 ⑤惡
ts	①坐{白}昨{白} ③左 ⑤坐作昨
tsʰ	⑤錯
s	③所 ⑤索縮
tʂ	⑤桌捉着酌
tʂʰ	⑤戳
ʂ	⑤説
ʐ	⑤若弱
Ø	①窩餓{白} ②鹅 ⑤臥餓握沃
#io	
tɕ	⑤覺角腳
tɕʰ	⑤確雀却
ɕ	①學{白} ⑤學
n	⑤略
ȵ	⑤虐
Ø	⑤岳約藥
#e	
p	⑤北白百伯
pʰ	⑤拍泊迫
m	⑤麥
t	⑤得德
tʰ	⑤特忒
n	①的{白} ⑤勒劣
k	⑤革格
kʰ	⑤刻客磕
x	⑤黑赫核
ŋ	⑤额厄
ts	⑤则贼責窄
tsʰ	①擇{白，∽出來} ⑤侧测拆澤宅擇策
s	⑤澀瑟色
tʂ	①遮這{白} ③者 ⑤摘這
tʂʰ	①車 ③扯 ⑤澈徹撤辙
ʂ	②蛇 ⑤射社涉舌設
ʐ	③惹 ⑤熱
#ie	
p	⑤別
pʰ	⑤撇
m	⑤滅
t	⑤跌
tʰ	⑤帖鐵替{白}締
n	⑤列例{白}
tɕ	③姐 ⑤借接傑竭節結
tɕʰ	②茄 ③且 ⑤切怯截
ɕ	①些 ②邪斜 ③寫⑤謝脅協歇穴恤
ȵ	⑤聶業鑷孽捏臬
Ø	①夜{白，∽饭} ②爺 ③也野 ⑤夜葉謁
#ue	
k	⑤國
kʰ	⑤闊
tʂ	⑤輟綴拙
#ye	
tɕ	⑤絕決
tɕʰ	①截{白，一∽} ②瘸 ⑤缺
ɕ	①靴 ⑤薛血削
Ø	⑤閲月曰越
#ɚ	
Ø	①二{白，∽十} ②而儿 ③爾耳 ⑤二贰
#ai	
p	⑤拜敗
pʰ	②排牌 ⑤派
m	①賣{白} ②埋 ③買 ⑤賣
t	①袋{白，口∽} ⑤代待带袋
tʰ	②台 ③大{白} ⑤泰太
n	①癩{白} ②來 ③乃奶 ⑤赖癩
k	①該街皆 ③改個{白} ⑤蓋
kʰ	①開 ③楷 ⑤概愾
x	①害{白：∽怕} ②鞋 ③海 ⑤亥害
ŋ	①哀 ②崖 ③矮 ⑤艾爱
ts	①災在{白，人還∽（人還在世）} ⑤再在
tsʰ	①猜 ②才 ③採 ⑤蔡菜
s	①腮
tʂ	①齋 ⑤债寨
tʂʰ	②柴
ʂ	①篩 ⑤晒賽
#uai	
k	③個{训读} ⑤怪
kʰ	③塊 ⑤快會{∽計}
x	②懷 ⑤壞
tʂ	
tʂʰ	③揣
ʂ	①衰 ⑤帥
Ø	①歪 ⑤外
#ei	
p	①卑悲碑 ⑤倍貝臂佩秘
pʰ	①披 ③丕 ⑤配
m	②梅 ③美 ⑤妹
f	①飛非 ②肥 ③匪 ⑤肺费廢
n	
#uei	
t	①堆 ⑤兌對
tʰ	①推 ③腿 ⑤退
n	②雷 ③累壘 ⑤内類
k	①歸龜跪{白} ⑤桂贵櫃跪
kʰ	①虧 ②葵
