#ɿ
ts [33]支={～持}資之姿咨知={通～ }[31]子=梓姊={～嫂：妯娌}[52]字致智滞
tsʰ [33]癡[21]持慈詞辭磁飼={～料}雌祠[31]此恥[52]賜
s [33]絲詩師司斯私俬{家～：家具}獅思{1～考}[31]史始={～终}[52]士仕=似寺侍氏伺嗣巳祀試={1 考～}事={～实}思{2 意～}

#i
p [33]碑卑婢[31]比庇髀{大腿}[52]臂閉蔽斃泌痹蓖篦鄙={～视}□{狗～：跳蚤}
pʰ [33]披坯被{～子}批={～评}被{～动}[21]皮疲脾丕琵枇[31]彼[52]鼻幣弊屁陛
m [33]眯咪[21]迷眉謎彌楣糜[31]米[52]祕沕{～水：潜水}
t [33]知-{唔～ }[31]詆[52]蒂
tʰ [21]題提堤啼={哭哭～～ }[31]體[52]第地替遞帝涕屜弟={兄～}
l [33]禮璃裏{城～}里{公～}蟻{1～仔：蚂蚁}[21]離釐狸梨籬痢{癞～：头屑}[31]呂鋁李理旅鯉履[52]慮濾麗利厲勵吏痢{～疾：稀烂的排泄物}莉
ts [33]枝芝滋肢脂支-{两～笔}膣{～屄：女阴}[31]子紫紙指止擠址旨姊-{～妹}趾只[52]至際濟置祭妓痣志{～气}治誌{标～}制{～度}製{～造}
tsʰ [33]妻趨疵蛆[21]徐池遲馳匙瓷臍餈祁齊-{～国}自{1～家：自己}[31]取齒娶侈[52]自{2 }次趣刺翅廁稚痔聚試-{2～衫：试衣服}嚏{替，打阿（哈）～：打喷嚏}飼-{～饭：喂饭}
s [33]西施需撕屍熙犀璽奚兮棲{两～动物}思{～想}須{必～}鬚{胡～ }[21]時[31]死屎始-{开～ }[52]示四是勢視逝誓肆序嗜緖敍巿豉試-{3～下}世{～界}
k [33]居機基譏肌拘箕萁羁車{象棋棋子}幾{1～乎}饑{～荒}飢{～饿}萁{□[lu33]～：一种蕨类植物}[21]佢{第三人称代词，也写作“渠” }[31]舉杞己幾{2～只}几{茶～ }[52]紀具巨記句據寄旣俱鋸冀髻技{杂～丨～术}忌季=
