#ɿ
ts　[311]辎{~重}资滋之芝滓兹脂资技岐蜘{~蛛}知智支枝肢妓{旧}栀{~子花}撕[55]执志{~气，杂~}致至似置{~办；位~}[42]仔痔止子梓旨指紫纸只{~有}[13]治[212]汁质织职□{打~睏：侧着睡}
tsʰ　[311]殖植直值饬侄秩蛰{惊~}嗤{~笑}痴寺饲字稚{幼~}雌雉{~鸡}[55]恃持嗣伺慈磁{~石}迟次自姿咨瓷{~器}糍{~粑}脐刺赐池驰翅词祠辞豉{豆~}□{打~：打喷嚏}[42]此耻齿趾址[13]巳{辰~}[212]湿侈{奢~}
s　[311]蛳{螺~}司丝食蚀实瑟十什{~物}拾{~起来}思撕=斯嘶施私师狮尸士仕事诗侍莳{~田：插秧}[55]试时鲥嗜四肆匙钥{匙~；汤~}□{熨~：铁熨斗}[42]豕死屎使驶史[13]是氏视柿俟市[212]虱涩矢示始失室式识饰释适

#i
p　[311]篦{~子}痹{麻~}琵{~琶}碑蓖{~麻}[55]庇泌秘{~密}鄙闭陛{~下}毙敝蔽贝臂譬{~喻}[42]比{~较}[212]毕必笔
pʰ　[311]僻弼鼻备被{~打，~迫}避吠披脾2辟[55]□{吐}屁皮荸疲脾1彼枇{~杷}[42]□{焦~：锅巴}[13]被{~子}[212]□{女阴}
m　[311]蜜密[55]觅媚迷昧弥靡眉楣秘{~书}
f　[311]非飞妃扉菲[55]肥淝[42]榧{~子}匪翡{~翠}
v　[311]畏未味位={~置}[55]违伟苇{芦~}微维惟唯危为{~什么}为{作~}[13]尾
t　[311]递的{目~}[55]滴1{量词，一~}□{给、被义}
tʰ　[311]地[13]涕{鼻~}
l　[311]力2率{速~}律笠立类泪虑滤利俐痢吏累{劳~，连~}累{~积}[55]梨厉{~害}厘狸{~猫}黎驴离{~别；~开}篱璃{玻~}[42]历{~史}旅履理[13]鲤吕李里{公~，~面}[212]粒
ts　[55]溅{~一身水}髓醉坠[42]嘴[212]□{吮吸}
