cid	character	initial	final	tone	note
1	多	t	uo	35	
2	拖	th	uo	35	
3	大	t	a	51	
4	锣	l	uo	55	
5	左	ts	uo	213	
6	歌	k	ə	35	
7	个	k	ə	51	
8	可	kh	ə	213	
9	鹅	n	ə	55	又
9	鹅	∅	ə	55	又
10	饿	n	ə	51	又
10	饿	∅	ə	51	又
11	河	x	ə	55	
12	茄	tɕh	iɛ	55	～子
12	茄	tɕ	ia	35	雪～
13	破	ph	o	51	
14	婆	ph	o	55	
15	磨	m	o	55	～刀
15	磨	m	o	51	～豆腐
16	磨	m	o	51	
17	躲	t	uo	213	
18	螺	l	uo	55	
19	坐	ts	uo	51	
20	锁	s	uo	213	
21	果	k	uo	213	
22	过	k	uo	51	
23	课	kh	ə	51	
24	火	x	uo	213	
25	货	x	uo	51	
26	祸	x	uo	51	
27	靴	ɕ	yɛ	35	
28	把	p	a	213	
29	爬	ph	a	55	
30	马	m	a	213	
31	骂	m	a	51	
32	茶	tʂh	a	55	
33	沙	ʂ	a	35	
34	假	tɕ	ia	213	
35	嫁	tɕ	ia	51	
36	牙	∅	ia	55	
37	虾	ɕ	ia	35	
38	下	ɕ	ia	51	
39	夏	ɕ	ia	51	
40	哑	∅	ia	213	
41	姐	tɕ	iɛ	213	
42	借	tɕ	iɛ	51	
43	写	ɕ	iɛ	213	
44	斜	ɕ	iɛ	55	
45	谢	ɕ	iɛ	51	
46	车	tʂh	ə	35	
47	蛇	ʂ	ə	55	
48	射	ʂ	ə	51	
49	爷	∅	iɛ	55	
50	野	∅	iɛ	213	
51	夜	∅	iɛ	51	
52	瓜	k	uɑ	35	
53	瓦	∅	uɑ	213	
54	花	x	uɑ	35	
55	化	x	uɑ	51	
56	华	x	uɑ	55	
57	谱	ph	u	213	
58	布	p	u	51	
59	铺	ph	u	35	
60	簿	p	u	51	
61	步	p	u	51	
62	赌	t	u	213	
63	土	th	u	213	
64	图	th	u	55	
65	杜	t	u	51	
66	奴	n	u	55	
67	路	l	u	51	
68	租	ts	u	35	
69	做	ts	ou	51	又
69	做	ts	uo	51	又
70	错	tsh	uo	51	
71	箍	k	u	35	
72	古	k	u	213	
73	苦	kh	u	213	
74	裤	kh	u	51	
75	吴	∅	u	55	
76	五	∅	u	213	
77	虎	x	u	213	
78	壶	x	u	55	
79	户	x	u	51	
80	乌	∅	u	35	
81	女	ȵ	y	213	
82	吕	l	uei	213	又
82	吕	l	y	213	又
83	徐	ɕ	y	55	
84	猪	tʂ	u	35	
85	除	tʂh	u	55	
86	初	tʂh	u	35	
87	锄	tʂh	u	55	
88	所	s	uo	213	
89	书	ʂ	u	35	
90	鼠	ʂ	u	213	
91	如	ʐ	u	55	
92	举	tɕ	y	213	
93	锯	tɕ	y	51	
94	去	tɕh	y	51	
95	渠	tɕh	y	55	
96	鱼	∅	y	55	
97	许	ɕ	y	213	
98	余	∅	y	55	
99	府	f	u	213	
100	付	f	u	51	
101	父	f	u	51	
102	武	∅	u	213	
103	雾	∅	u	51	
104	取	tɕh	iou	213	又
104	取	tɕh	y	213	又
105	柱	tʂ	u	51	
106	住	tʂ	u	51	
107	数	ʂ	u	213	
108	数	ʂ	u	51	
109	主	tʂ	u	213	
110	输	ʂ	u	35	
111	竖	ʂ	u	51	
112	树	ʂ	u	51	
113	句	tɕ	y	51	
114	区	tɕh	y	35	
115	遇	∅	y	51	
116	雨	∅	y	213	
117	芋	∅	y	51	
118	裕	∅	y	51	
119	胎	th	ai	35	
120	台	th	ai	55	
121	袋	t	ai	51	
122	来	l	ai	55	
123	菜	tsh	ai	51	
124	财	tsh	ai	55	
125	该	k	ai	35	
126	改	k	ai	213	
127	开	kh	ai	35	
128	海	x	ai	213	
129	爱	n	ai	51	又
129	爱	∅	ai	51	又
130	贝	p	ei	51	
131	带	t	ai	51	
132	盖	k	ai	51	
133	害	x	ai	51	
134	拜	p	ai	51	
135	排	ph	ai	55	
136	埋	m	ai	55	～藏
136	埋	m	an	55	～怨
137	戒	tɕ	iɛ	51	
138	摆	p	ai	213	
139	派	ph	ai	51	
140	牌	ph	ai	55	
141	买	m	ai	213	
142	卖	m	ai	51	
143	柴	tʂh	ai	55	
144	晒	ʂ	ai	51	
145	街	tɕ	iɛ	35	
146	解	tɕ	iɛ	213	
147	鞋	ɕ	iɛ	55	
148	蟹	ɕ	iɛ	51	
149	矮	n	ai	213	又
149	矮	∅	ai	213	又
150	败	p	ai	51	
151	币	p	i	51	
152	制	tʂ	ʅ	51	
153	世	ʂ	ʅ	51	
154	艺	∅	i	51	
155	米	m	i	213	
156	低	t	i	35	
157	梯	th	i	35	
158	剃	th	i	51	
159	弟	t	i	51	
160	递	t	i	51	
161	泥	ȵ	i	55	
162	犁	l	i	55	
163	西	ɕ	i	35	
164	洗	ɕ	i	213	
165	鸡	tɕ	i	35	
166	溪	ɕ	i	35	
167	契	tɕh	i	213	又
167	契	tɕh	i	51	又
168	系	ɕ	i	51	
169	杯	p	ei	35	
170	配	ph	ei	51	
171	赔	ph	ei	55	
172	背	p	ei	51	
173	煤	m	ei	55	
174	妹	m	ei	51	
175	对	t	uei	51	
176	雷	l	ei	55	
177	罪	ts	uei	51	
178	碎	s	uei	51	
179	灰	x	uei	35	
180	回	x	uei	55	
181	外	∅	uai	51	
182	会	x	uei	51	
183	怪	k	uai	51	
184	块	kh	uai	51	
185	怀	x	uai	55	
186	坏	x	uai	51	
187	拐	k	uai	213	
188	挂	k	uɑ	51	
189	歪	∅	uai	35	
190	画	x	uɑ	51	
191	快	kh	uai	51	
192	话	x	uɑ	51	
193	岁	s	uei	51	
194	卫	∅	uei	51	
195	肺	f	ei	51	
196	桂	k	uei	51	
197	碑	p	ei	35	
198	皮	ph	i	55	
199	被	p	ei	51	
200	紫	ts	ɿ	213	
201	刺	tsh	ɿ	51	
202	知	tʂ	ʅ	35	
203	池	tʂh	ʅ	55	
204	纸	tʂ	ʅ	213	
205	儿	∅	ər	55	
206	寄	tɕ	i	51	
207	骑	tɕh	i	55	～马
207	骑	tɕh	i	51	车～
208	蚁	∅	i	213	
209	义	∅	i	51	
210	戏	ɕ	i	51	
211	移	∅	i	55	
212	比	p	i	213	
213	屁	ph	i	51	
214	鼻	p	i	55	
215	眉	m	ei	55	
216	地	t	i	51	
217	梨	l	i	55	
218	资	ts	ɿ	35	
219	死	s	ɿ	213	
220	四	s	ɿ	51	
221	迟	tʂh	ʅ	55	
222	师	ʂ	ʅ	35	
223	指	tʂ	ʅ	213	
224	二	∅	ər	51	
225	饥	tɕ	i	35	
226	器	tɕh	i	51	
227	姨	∅	i	55	
228	李	l	i	213	
229	子	ts	ɿ	213	
230	字	ts	ɿ	51	
231	丝	s	ɿ	35	
232	祠	tsh	ɿ	55	
233	寺	s	ɿ	51	
234	治	tʂ	ʅ	51	
235	柿	ʂ	ʅ	51	
236	事	ʂ	ʅ	51	
237	使	ʂ	ʅ	213	
238	试	ʂ	ʅ	51	
239	时	ʂ	ʅ	55	
240	市	ʂ	ʅ	51	
241	耳	∅	ər	213	
242	记	tɕ	i	51	
243	棋	tɕh	i	55	
244	喜	ɕ	i	213	
245	意	∅	i	51	
246	几	tɕ	i	213	
247	气	tɕh	i	51	
248	希	ɕ	i	35	
249	衣	∅	i	35	
250	嘴	ts	uei	213	
251	随	s	uei	55	
252	吹	tʂh	uei	35	
253	垂	tʂh	uei	55	
254	规	k	uei	35	
255	亏	kh	uei	35	
256	跪	k	uei	51	
257	危	∅	uei	35	
258	类	l	ei	51	
259	醉	ts	uei	51	
260	追	tʂ	uei	35	
261	锤	tʂh	uei	55	
262	水	ʂ	uei	213	
263	龟	k	uei	35	
264	季	tɕ	i	51	
265	柜	k	uei	51	
266	位	∅	uei	51	
267	飞	f	ei	35	
268	费	f	ei	51	
269	肥	f	ei	55	
270	尾	∅	uei	213	又
270	尾	∅	i	213	又
271	味	∅	uei	51	
272	鬼	k	uei	213	
273	贵	k	uei	51	
274	围	∅	uei	55	
275	胃	∅	uei	51	
276	宝	p	ɑu	213	
277	抱	p	ɑu	51	
278	毛	m	ɑu	55	
279	帽	m	ɑu	51	
280	刀	t	ɑu	35	
281	讨	th	ɑu	213	
282	桃	th	ɑu	55	
283	道	t	ɑu	51	
284	脑	n	ɑu	213	
285	老	l	ɑu	213	
286	早	ts	ɑu	213	
287	灶	ts	ɑu	51	
288	草	tsh	ɑu	213	
289	糙	tsh	ɑu	35	
290	造	ts	ɑu	51	
291	嫂	s	ɑu	213	
292	高	k	ɑu	35	
293	靠	kh	ɑu	51	
294	熬	n	ɑu	35	又
294	熬	n	ɑu	55	又
294	熬	∅	ɑu	35	又，还读作Ǿɑu55
295	好	x	ɑu	213	
296	号	x	ɑu	51	
297	包	p	ɑu	35	
298	饱	p	ɑu	213	
299	炮	ph	ɑu	51	大～
299	炮	ph	ɑu	55	～制
299	炮	p	ɑu	35	～干
300	猫	m	ɑu	35	
301	闹	n	ɑu	51	
302	罩	tʂ	ɑu	51	
303	抓	tʂ	uɑ	35	
304	找	tʂ	ɑu	213	
305	抄	tʂh	ɑu	35	
306	交	tɕ	iɑu	35	
307	敲	tɕh	iɑu	35	
308	孝	ɕ	iɑu	51	
309	校	ɕ	iɑu	51	
310	表	p	iɑu	213	
311	票	ph	iɑu	51	
312	庙	m	iɑu	51	
313	焦	tɕ	iɑu	35	
314	小	ɕ	iɑu	213	
315	笑	ɕ	iɑu	51	
316	朝	tʂh	ɑu	55	
317	照	tʂ	ɑu	51	
318	烧	ʂ	ɑu	35	
319	绕	ʐ	ɑu	51	
320	桥	tɕh	iɑu	55	
321	轿	tɕ	iɑu	51	
322	腰	∅	iɑu	35	
323	要	∅	iɑu	51	
324	摇	∅	iɑu	55	
325	鸟	ȵ	iɑu	213	
326	钓	t	iɑu	51	
327	条	th	iɑu	55	
328	料	l	iɑu	51	
329	箫	ɕ	iɑu	35	
330	叫	tɕ	iɑu	51	
331	母	m	u	213	
332	抖	t	ou	213	
333	偷	th	ou	35	
334	头	th	ou	55	
335	豆	t	ou	51	
336	楼	l	ou	55	
337	走	ts	ou	213	
338	凑	tsh	ou	51	
339	钩	k	ou	35	
340	狗	k	ou	213	
341	够	k	ou	51	
342	口	kh	ou	213	
