	注释：-白读；=文读
#i	
p	[1]卑碑悲[2]脾毗琵[3]比彼[5]臂闭秘泌毖[6]弊币避备被=
pʰ	[1]披砒[2]疲脾皮=罴[3]鄙庇否=[5]屁=
b	[2]眉楣糜=徽[3]米美[6]未=味媚寐
t	[1]知蜘猪[2]池迟除持{维～}[3]底抵[5]戴-智置蒂致[6]箸弟-治痔雉稚己{家～}地=
tʰ	[2]啼=苔=[3]耻贮=企{～业}储[5]剃
l	[2]离篱狸[3]里=理李汝{你，原文作“女”}鲤[6]吕离厉利痢吏莅腻饵
ts	[1]支=枝=之芝[2]糍荠{美～}薯{番～：甘薯}[3]旨指=姊紫子-止只煮[5]志痣=制至贽质{人～}[6]舐-
tsʰ	[1]舒-{～被}鳃-眵[2]徐持[3]取鼠-侈齿=[5]处试-刺[6]饲-市-
s	[1]书须输西-{～瓜}施丝诗司-思-私-{家～}躯{hun3～：身体}[2]辞-匙祠时[3]暑徙=死矢[5]四世势=[6]是誓=寺示氏视峙恃畤
dz	[2]儿而愉[3]汝耳={木～}[6]二字
k	[1]车居枝-支-饥基机玑肌羁=姬[2]奇其期旗棋淇祈沂[3]举指矩几=己[5]记寄=痣-锯既[6]技妓忌己
kʰ	[1]区欺㩻{不正，原文作“欹”}[2]渠骑=蜞[3]起岂齿[5]去气弃器[6]柿
h	[1]希稀虚嘘熙[2]鱼-渔-[3]喜许=[5]肺[6]耳-
ɡ	[2]仪宜[3]语[6]义议遇
∅	[1]衣伊医漪於[2]夷姨移怡贻彝遗于[3]雨与倚椅以[5]意翳[6]异肄易
#iʔ	
p	[7]鳖
b	[7]覕[8]篾
t	[7]滴-[8]碟-
tʰ	[7]铁-
l	[8]裂-
ts	[7]接-褶-摺-[8]舌-折-{～扁担}
s	[7]薛-[8]蚀-
kʰ	[7]缺
#u	
p	[2]炰{～番薯原文作“烰”}匏[3]斧-{～头}[5]富-[6]妇-{新sim1～：媳妇}伏孵
pʰ	[2]芙-浮-葡{～萄}[3]殕{发霉}
b	[2]巫诬芜无毋[3]武舞侮[6]务雾
t	[1]推-堆蛛{蜘～}[2]厨橱[3]拄[5]注-{落～}
ts	[1]朱诛珠=资兹[2]瓷[3]主子[5]注=驻蛀=[6]住
tsʰ	[5]厝次
s	[1]舒输私=师思司=斯书[2]殊辞=饲=词[3]使=史驶=[5]四肆赐庶戍[6]祀似士事屿
dz	[3]愈[6]裕
k	[1]龟-蚼[3]久-韭-[5]灸-[6]舅-旧-
kʰ	[1]丘-邱-[2]跍{蹲}[6]臼-
h	[1]夫肤麸灰{训“烌”}烌[2]浮=扶=芙=俘符[3]脯{肉～}腐{～败}甫辅府俯斧=[5]赴富=付傅=副[6]腐{豆～}妇={～女}负父附
ɡ	[2]牛
∅	[6]有
#uʔ	
p	[7]发
pʰ	[8]□{ham5～：水肿}
tʰ	[7]托-
#a	
p	[1]巴芭疤[2]爸-{阿～}爬=琶=[3]饱-把=[5]坝霸豹[6]爸耙=罢
pʰ	[1]脬-{卵～：阴囊}抛-[6]泡-{水～}
b	[2]猫麻[6]密-觅-
t	[1]礁焦{乾}丈{～夫：男子}[2]茶[3]打[5]罩[6]奈{无～何}
tʰ	[5]踔诧咤
l	[1]拉[2]蟧{沙～}朥{板～油：猪油}[6]曆{～日}闹{吵～}
ts	[1]渣=查=[2]谁{训读，是～}[3]早-[5]榨炸[6]昨{～日}
tsʰ	[1]叉=差=[2]柴[3]炒-吵-
s	[1]纱=沙=[3]洒
k	[1]加=茄伽嘉=家=傢=胶-茭-{～白}铰{～刀}佳[2]贾假=绞-[5]架=价=嫁=教-假=[6]咬{咬}
kʰ	[1]骹{脚}尻{～川：屁股}[3]巧-
h	[2]虾=霞=暇=遐=□{～皮带}[5]孝-[6]厦=夏=
∅	[1]阿-鸦-
#aʔ	
pʰ	[7]拍-{打}
b	[7]肉{训读}□{肉}
t	[7]答搭贴[8]踏
tʰ	[7]塔[8]查
l	[8]蜡猎
ts	[7]札[8]铡-截-闸-{水～}
tsʰ	[7]插-
s	[8]煠-{～白水}
k	[7]裌{背心，原文作“䘥”}甲-胛-
kʰ	[8]阖{门～好}
h	[8]合-
∅	[7]鸭-押-[8]盒-匣-
#ia	
t	[1]爹
ts	[1]遮嗟[2]遮{这儿}[3]姐者[5]蔗鹧炙柘借{～口}[6]谢-{姓}
tsʰ	[1]车[2]豺-{狗～}斜-
s	[1]赊[2]畲斜邪[3]写[5]舍卸泻赦[6]谢=射石{～石}社
dz	[1]遮
k	[2]崎{高～}枷-[5]寄-[6]徛{陡峭，原文作“陭”}
kʰ	[1]奇{～数}[2]骑-[6]徛{站}
h	[1]靴桸{鲎～：舀物工具，原文作“𣟵”}[2]遐{那儿}[6]瓦-蚁-{狗～：蚂蚁}
ɡ	[2]蜈{～蚣}
∅	[1]埃-{轰～：尘埃}[2]耶爷椰[3]野冶[5]□{累，原文作“瘟”}[6]夜□{撒}
#iaʔ	
p	[7]壁-
pʰ	[7]僻-癖-[8]甓-癖-{出～：出麻疹}
t	[7]摘-[8]籴-{～米}
tʰ	[7]拆{～开}
l	[7]迹[8]掠{抓}搦{抓}𥷒{筊～}
ts	[7]隻-脊-睫-迹-[8]食-
tsʰ	[7]赤-刺-{～衫}
s	[7]锡-削-[8]夕{七～}石-{～榴}席{宴～}
k	[8]屐-揭{～石头}
kʰ	[7]隙缺{欠～}
h	[8]额{头～}
ɡ	[8]额{名～}
∅	[7]益-{进～}[8]役-疫-页-
#ua	
p	[5]簸-{～箕}
pʰ	[5]破-
b	[2]磨-{～刀}
t	[5]带-{皮～}[6]大-舵-
tʰ	[1]拖-[6]豸-{虫～}
l	[2]箩-{米～}[6]赖{姓}
ts	[2]蛇-谁{训读，是～}[3]纸-[6]誓
tsʰ	[5]蔡-[6]□{带领}
s	[1]沙-[3]徙-耍[5]续{训读}
k	[1]歌-柯-瓜过-{菜真～}[3]寡[5]卦挂过-{罪～}盖-{锅仔～}芥-{～菜}
kʰ	[1]夸誇胯[3]可-{小～}[5]𣹇{船～着沙}
h	[1]花[2]华譁铧[5]化[6]华
ɡ	[3]我-[6]外-
∅	[1]娃蛙娲[2]何{无奈～}[3]倚-[6]画-话-划-
#uaʔ	
p	[7]拨-[8]钹-跋-{跌}
pʰ	[7]泼-
b	[7]抹-[8]末-{药～}
tʰ	[7]獭-屉-脱-
l	[8]辣-捋-
ts	[8]□{不正，原文作“𪘧”}
tsʰ	[7]掣-擦-{～番薯签}
s	[7]煞-刷-
dz	[8]热-
k	[7]葛-刮-割-
kʰ	[7]渴阔
h	[7]喝-[8]伐
∅	[8]活{原文作“话”，应为有误}
#ɔ	
p	[1]晡{下～：下午}埠埔夫-{丈～：男人}[2]紨{衫～}袍{龙～}[3]补脯-{菜～}[5]布傅-怖佈播{训“布”}[6]步部哺
pʰ	[1]铺麸{麦～}[2]扶莆{～田}菩{～萨}[3]普谱圃[5]铺{店～}
b	[2]模{压～}[3]某{妻子}□{妻子；tsa6～：女人}牡畝姥[6]幕募慕贸茂戊
t	[1]都[2]涂{糊～}徒途厨{～子}[3]赌堵肚{腹～：肚子}[5]鬥{战～}妬[6]肚{猪～，原文作“豆”}杜窦度渡
tʰ	[2]涂{～骹：地上}[3]土{原文作阳平，应为误记}吐{～目；原文作阳平，应为误记}[5]吐兔
l	[2]奴炉卢沪芦娄螺{～丝}[3]鲁橹卤虏[6]路露卤赂陋瘘
ts	[1]租邹[3]祖组阻[6]助
tsʰ	[1]粗[3]楚础[5]醋
s	[1]苏酥梳=蔬=搜[3]叟瘦[5]素诉
k	[1]孤菇枯辜句{姓}[2]糊[3]古诂鼓估苟[5]故雇顾购构毂
kʰ	[1]枯{豆～}箍呼-{～鸡}[2]糊[3]苦许-{姓}[5]库裤寇
h	[1]呼=[2]胡=湖=糊=壶猴=喉=侯=[3]虎浒[5]戽[6]厚=户互护雨-后=候=
ɡ	[2]吾吴[3]偶{原文作阳平，应为误记}[6]五-伍-误悟
∅	[1]乌钨邬区{姓}殴=[2]胡-湖-壶-[3]呕[5]恶[6]芋-
#o	
p	[1]波玻菠=褒[2]婆[3]保宝堡[5]报簸=[6]暴{风～}
pʰ	[1]坡[3]跛颇[5]破=[6]部{一～册}抱
b	[2]无[3]母-{鸡～}[6]磨{石～}帽
t	[1]刀多[2]驼砣桃陶[3]朵倒岛[5]到倒[6]惰道稻盗蹈
tʰ	[1]拖=滔[2]桃[3]讨[5]妥椭唾
l	[2]箩=罗锣逻牢醪螺劳痨[3]老=脑恼[5]躼{个子高}[6]□{烧～：暖和}
ts	[1]糟遭[2]曹槽[3]左早=蚤=枣[5]做[6]坐=造皂
tsʰ	[1]臊操=[3]草=楚[5]错坐锉[6]造
s	[1]梭唆耍骚[2]趖{动作拖拉}[3]锁琐嫂[5]扫燥
k	[1]哥歌=高膏糕羔稿戈锅=[3]果=裹稿[5]过=告[6]号{年～}
kʰ	[1]柯=科[3]可=考洘[5]𣹇{船～浅}[6]课=
h	[2]何=荷何和=蠔=壕毫[3]好[6]贺祸号=浩
ɡ	[2]鹅俄蛾讹遨[6]饿傲
∅	[1]阿{～咾：称赞}窝倭娲蜗[2]蠔-[3]袄倭
#oʔ	
p	[7]博-{～运气}[8]薄箔
pʰ	[7]粕-
t	[7]桌-卓-[8]着-{火～}
l	[8]落-骆-{姓}
ts	[7]作-[8]昨-
s	[7]索-嗍-[8]镯-
k	[7]阁佫{替字，又}
h	[8]鹤
∅	[7]恶-{难}[8]学
#e	
p	[6]爸-
pʰ	[1]批{信}[3]䫌{喙～：脸颊}[6]稗-
b	[3]买-[6]卖-𣍐
t	[2]蹄题[3]短底贮-{盛，装；～饭}[5]戴-{姓}[6]苎{～麻}代-袋-埭-弟=地
tʰ	[1]钗-{玉～}[2]啼=[3]体[5]替退-
l	[2]螺-脶-{手～}犁黎[3]礼[6]丽荔例隶厉
ts	[1]灾-[2]齐蛴[5]祭晬际[6]坐-□{多}罪-{～过}
tsʰ	[1]妻栖[5]脆-粞
s	[1]西犀梳-蔬-{菜～}[2]箠{竹～}[3]洗所-黍[5]细[6]垂{颔～}
k	[1]街-圭鸡[3]改-[5]界{四～}疥计
kʰ	[1]溪稽[3]启契
h	[2]奚兮携[3]蟹{毛～仔}[6]蟹{毛～}
ɡ	[2]倪霓[6]诣
∅	[1]挨-{～米}[2]鞋-[3]矮-[6]解-{会}
#eʔ	
p	[7]八-[8]拔-
tʰ	[8]□{拿}
l	[8]笠-
ts	[7]节-[8]绝-
tsʰ	[7]册
s	[7]雪-[8]踅{绕}
k	[7]锲{粙～：镰刀}荚{一～涂豆}
kʰ	[7]䀫
h	[7]歇-
∅	[8]狭-
#ɛ	
p	[2]爬-[3]把-[6]爸-耙-
pʰ	[5]帕-
b	[3]马-玛-码-
t	[2]茶-
tʰ	[6]䖳
ts	[1]渣-[3]姐[5]债-炸-诈-[6]寨-
tsʰ	[1]岔-差-叉-初-
s	[1]纱-砂{米～}
k	[1]家-傢-加-佳-[2]椵-[3]假-[5]架-嫁-假-价-[6]下-{低}
h	[2]霞-暇-瑕-畦[6]下-夏-
ɡ	[2]芽牙衙
∅	[3]哑-[6]下-厦-{～门}
#ɛʔ	
p	[7]百-伯-擘-[8]白-帛-
b	[8]麦-
tʰ	[8]宅-
k	[7]格-隔-
kʰ	[7]客-
∅	[7]呃-{拍～}
#ue	
p	[1]杯-飞-菠-{～菱菜}[2]培赔[5]贝辈背{名词}[6]背{动词}倍
pʰ	[1]胚坯[2]皮-[5]配䫌{喙～}[6]被
b	[2]梅[3]尾-[6]未-
l	[6]内
ts	[5]最赘做-[6]罪睡{交～}
tsʰ	[1]吹-炊-[3]髓-[6]□{找}
s	[1]衰𤸬[5]岁税帅
dz	[2]捼[6]锐
k	[3]果-馃-[5]过-绘
kʰ	[2]瘸-[5]课-
h	[1]灰拻[2]回和-{～溪}[3]悔火-[5]货-岁-废[6]会-汇-
ɡ	[6]外=
∅	[1]锅-煨
#ueʔ	
b	[8]袜-
s	[7]说-{轻声细～}
k	[7]郭-
kʰ	[7]缺-
h	[7]血-
ɡ	[8]月-
#iu	
p	[1]彪
pʰ	[6]谬
t	[2]绸筹畴踌[3]肘[5]昼=[6]宙纣胄粙
tʰ	[1]抽=[3]丑
l	[1]抽[2]流=刘=留=[3]柳[5]溜[6]溜
ts	[1]周舟州珠-{目～：眼睛}[3]酒守-[5]蛀-咒[6]就
tsʰ	[1]鬚-秋[3]手-帚醜[6]树
s	[1]修收羞[2]囚泅售[3]手=守=首[5]秀兽绣锈宿{星～}[6]岫寿受
k	[1]勼[2]球求[3]九=久=[5]救厩[6]舅=旧=
kʰ	[1]丘=邱=坵=[2]□{～毛，原文作“⿺走勼”}[3]揪[6]䊆{馃真～}
h	[1]休[2]裘襦{棉～：棉袄，原文作“裘”}[3]朽[5]臭[6]复
∅	[1]忧幽[2]油由游邮尤[3]友酉有[5]幼{细}[6]右又柚祐
#io	
p	[1]标-镳-[2]表-[6]鳔-{鱼～}
pʰ	[2]瓢-漂-[5]票-
b	[2]描-[6]庙-
t	[2]潮-跳-[5]钓-[6]赵-掉{发抖}度{～晬}
tʰ	[1]挑-[2]跳-{弹跳}[5]粜-{～米}
ts	[1]椒-招-蕉-[3]少-[5]照-
tsʰ	[1]𤞚{～鸡}[2]杨-{～梅}[5]笑-唱-{～歌}
s	[1]烧-相-霄-[3]小-[6]邵-
dz	[6]尿-
k	[2]桥-茄-[5]叫-[6]轿-
kʰ	[5]窍
ɡ	[6]藠{露～}
∅	[1]幺-腰-[2]摇-窑-[3]舀-
#ioʔ	
t	[8]着-{～火烧}
ts	[7]借-□{棉～：棉胎}[8]石-
tsʰ	[7]尺-[8]席-
s	[7]惜-
k	[7]脚-
kʰ	[7]挈{拾}
h	[8]箬{树～}
∅	[7]约-[8]药-
#ui	
p	[2]肥-[5]痱-[6]吠-
pʰ	[5]屁-
t	[1]追堆=[2]槌[5]对[6]坠队
tʰ	[1]梯-推=[2]锤槌[3]腿[6]坠
l	[1]镭{铜～}[2]雷擂骡[3]累蕊[6]累类
ts	[1]锥[3]水-嘴[5]醉[6]瘁
tsʰ	[1]推吹=炊=崔催[5]翠碎脆=喙{嘴}
s	[1]蓑虽[2]垂=谁=[3]水=[6]睡穗遂隧祟
k	[1]龟奎{～洋}归[2]葵[3]鬼[5]贵季桂[6]跪柜
kʰ	[1]开亏窥[3]轨傀[5]愧气-
h	[1]飞=辉非徽挥扉麾妃[2]瓷{训读}□{瓷}[3]匪毁[5]费讳溃[6]惠吠慧
ɡ	[2]危嵬[6]魏伪
∅	[1]衣=威[2]为维围[3]委炜伟苇[5]畏尉慰蔚[6]为位胃
#ai	
p	[2]排牌[3]摆跛[5]拜[6]败稗=
pʰ	[3]否{坏}[5]沛派湃
b	[2]眉-楣-埋[3]䆀{～火}
t	[1]呆[2]台坮{埋}埋[3]歹滓[5]带=戴=[6]代=贷大奈{无～何}
tʰ	[1]胎笞{竹～}[2]治{杀，原文作“刣”}[3]癞-{～哥：麻疯}[5]态太泰=[6]待
l	[2]来莱梨-[6]利-裏-
ts	[1]灾=栽斋知[2]才财脐-材[3]宰指-{手～}载[5]债=再戴[6]在
tsʰ	[1]猜钗杈[2]柴裁豺[3]彩採采睬踩[5]蔡=菜
s	[1]西-犀-私-{～骹：私蓄}师-{～父}狮腮鳃[3]屎-使-驶-[5]赛婿-使-[6]似{熟～}
k	[1]该赅皆阶揩[2]解改=[5]界=介芥=盖=届戒丐疥
kʰ	[1]开=[3]楷凯铠[5]慨溉忾
h	[1]奒{大}咍[2]孩骸械[3]海[6]亥害蟹=械懈
ɡ	[2]涯崖[6]艾碍
∅	[1]哀挨=埃[3]矮蔼霭[5]爱隘
#uai	
k	[1]乖[3]拐[5]怪
kʰ	[5]块快=
h	[2]怀
#au	
p	[1]包胞鲍[2]疱[3]饱=
pʰ	[1]抛=刨[5]炮[6]抱
t	[1]刀兜[2]投-[3]斗-{一～米}[5]昼-{中午}罩-鬥-{～阵：一起}[6]豆-脰-
tʰ	[1]偷-[2]头-[3]㪗-[5]透-[6]毒-{～虫}
l	[2]刘-留-流-楼-[3]老-[6]老-漏-
ts	[1]槽-[2]巢-[3]蚤-走-[5]灶-奏-[6]找-{～钱}
tsʰ	[1]抄=操{～练}[3]吵=草-[5]臭-凑-
s	[1]稍梢[5]扫-哨嗽-
k	[1]交郊胶=铰=高{～果}沟-勾-[2]猴-侯-{姓}[3]狗-九-狡[5]校{～对}较够-教=[6]厚-
kʰ	[1]薅-敲阄-[3]口-巧-[5]叩哭-
h	[2]侯{等}[3]酵吼-[5]孝=[6]效後-{～生}鲎
ɡ	[2]𠢕{～讲话}
∅	[1]凹区欧瓯讴[2]喉-号-[3]拗坳[5]沤懊[6]后-
#auʔ	
pʰ	[8]雹=
l	[8]落-{交～：掉下}
#iau	
p	[1]标=镳=[3]表=婊[6]鳔=
pʰ	[1]飘漂[2]瓢=薸[5]票=
b	[2]苗=描=[3]秒杳眇淼[6]庙=妙
t	[1]刁雕凋貂碉[2]朝潮=条[5]吊钓=召[6]赵=调
tʰ	[1]挑=[5]跳[6]柱-
l	[3]了[6]料
ts	[1]焦=礁=招=[5]照=
tsʰ	[1]抄-{～家}[5]笑-
s	[1]消烧萧[3]小=少=[5]笑=[6]邵=
dz	[3]爪
k	[1]骄娇[2]桥=乔[3]缴皎搅[5]叫=[6]桥
kʰ	[1]跷[3]巧[5]窍=翘
h	[1]枵[3]晓
ɡ	[2]尧
∅	[1]枵腰幺[2]摇=窑=[5]要=[6]耀
#m	
∅	[2]梅-{杨～}[3]姆-[6]伓{不}毋{不}
#ɔm	
s	[1]参{人～}森[2]□{土气}
#im	
t	[2]沉[5]□{掷}朕鸩[6]𤆤{～鸡}
tʰ	[1]琛
l	[2]林=淋=临=[3]廪懔
ts	[1]□{吻}[2]蟳[3]枕婶-[5]浸
tsʰ	[1]侵深-[2]馋[3]寝[5]沁
s	[1]心[2]寻=[3]沈婶=[5]渗-[6]甚
dz	[3]忍[6]纫刃任
k	[1]今金[3]锦[5]禁[6]妗
kʰ	[1]钦矜衾[2]琴禽擒
h	[1]欣[2]熊
ɡ	[2]吟
∅	[1]音阴=淹-[2]淫[3]饮=
#ip	
l	[8]立
ts	[7]执[8]集楫
tsʰ	[7]辑
s	[7]湿涩=[8]习十=拾
dz	[8]入
k	[7]急级[8]及
kʰ	[7]吸[8]汲
h	[7]熻{～热}
#am	
t	[1]耽担=[2]谈谭澹{湿}[3]胆=[6]谈
tʰ	[1]贪[2]痰潭[5]探
l	[2]南蓝=篮=男淋-婪岚[3]揽缆览榄褴[6]滥舰
ts	[1]簪[3]斩[6]堑站
tsʰ	[1]参掺[2]蚕惭[3]惨[5]忏
s	[1]杉衫=三=[3]糁
k	[1]甘柑监=坩=[2]含-[3]敢=橄=感幹{竹～}[5]监鑑
kʰ	[1]龛堪戡勘[3]砍坎[5]盖{盖}
h	[1]蚶酣[2]咸含=衔函涵=[5]□{肿大，原文作“䫲”}[6]陷憾馅
ɡ	[2]岩癌[6]㬎
∅	[1]庵鹌[2]涵{水～}[3]饮-{米汤}[5]暗
#ap	
t	[7]答=褡[8]沓=踏=
tʰ	[7]塌
l	[7]□{凹陷}□{踩}[8]纳腊=
ts	[7]匝[8]杂十-
tsʰ	[7]插=
s	[7]霎{雨～仔}
k	[7]甲=鸽胛=[8]洽-
kʰ	[7]盖{姓}[8]礚
h	[7]呷大口吃[8]合
∅	[7]押=压[8]匣={～仔}
#iam	
