#符号说明：-白=文/书*俗?待考	
#调值	［1］53［2］31［5］423［6］213［7］5［8］23
#ɿ	
ʦɿ [1]猪诸诛蛛株朱珠知蜘智支枝肢栀资姿咨滋芝[5]著煮驻注主蛀制紫纸致脂指至子梓置滓之止址趾志痣嘴□{不洁}疰	
ʦhɿ [1]雌吹-{~牛，~喇叭}痴[5]褚处此刺眵翅次齿耻厕	
sɿ [1]梳书舒输世撕施私师蛳思司史诗始斯狮尸丝[5]暑输势死=四肆使驶试水	
zɿ [2]除储池迟辞祠词锄-{~头}如殊匙瓷兹慈磁持时莳厨橱[6]箸住竖树是雉豉自示视字伺祀嗣峙治士仕柿事市恃侍䊓{饭~：锅巴}墅柱乳誓氏似寺饲痔牸	
#iᶽ	
piᶽ [1]屄[5]闭臂比秘泌庇滗	
phiᶽ [1]批披㱟{用刀平切割肉}[5]譬屁	
biᶽ [2]皮疲脾琵肥-{~皂}薇-{蔷~花}[6]被避鐾坒币毙痹	
miᶽ [1]𡬍{小睡片刻}渳[2]弥迷眉-{~毛}[6]米未-{~嘞：早嘞}味-{~道}谜={~语}	
fiᶽ [1]飞非匪沸妃菲[5]废肺费䉬{箬~：竹席}	
viᶽ [2]维肥={~料，化~}微薇={紫~}惟唯[6]尾={末~，~部}未={~来}味={~精}	
tiᶽ [1]低[5]底抵帝蒂渧	
thiᶽ [1]梯[5]体替涕剃屉	
diᶽ [2]堤题提蹄啼[6]弟隶地第递	
niᶽ [1]你	
liᶽ [2]犁黎驴-{~子离篱璃梨厘狸[6]例厉励礼丽莉痢李里理鲤吏泪𤂰{流下，滴下}利	
ʦiᶽ [1]鲫-{~鱼}□{蜂拥而至}[5]祭际挤济剂姊左-	
ʦhiᶽ [1]蛆妻凄觑[5]砌	
siᶽ [1]西圾{垃~}[5]细婿胥死-髓-絮{棉~，被~}	
ziᶽ [2]徐齐脐荠{荸~}	
ʨiᶽ [1]鸡饥肌基箕机讥饥几龟-{乌~}阄{□(ŋɜʔ)~团：抓阄}[5]举-{抬~}稽计继鳜-寄纪几季鬼-{大头~，落水~}贵-冀己记既桂{姓}句-{一~闲话，万三~}	
ʨhiᶽ [1]欺亏-{~得，吃~}溪[5]去-{来~}启契企器弃起岂气汽	
ʥiᶽ [2]苣{莴~，~笋}奇骑岐奇祁萁棋旗期猗{古~园}[6]技其跪-{~下来}柜-{~台}忌	
ɕiᶽ [1]虚-{出~汗}牺熙希稀嬉嘻[5]许-{不~，~家滩}戏杞禧喜	
