"繁體"	"简体"	"音標"	"註釋"	"聲"	"韻"	"調"
"多"	"多"	"tɔ˦˥"	""	"t"	"ɔ"	"˦˥"
"他"	"他"	"tʰɒ˦˥"	""	"tʰ"	"ɒ"	"˦˥"
"舵"	"舵"	"tɔ˩˧"	""	"t"	"ɔ"	"˩˧"
"大"	"大"	"tʰɐɪ̯˦˩"	"白讀"	"t"	"ɐɪ̯"	"˦˩"
"大"	"大"	"tɒ˩˧"	""	"t"	"ɒ"	"˩˧"
"拖"	"拖"	"tʰɔ˦˥"	""	"tʰ"	"ɔ"	"˦˥"
"駝"	"驼"	"tʰɔ˨˩"	""	"tʰ"	"ɔ"	"˨˩"
"陀"	"陀"	"tʰɔ˨˩"	""	"tʰ"	"ɔ"	"˨˩"
"馱"	"驮"	"tʰɔ˨˩"	""	"tʰ"	"ɔ"	"˨˩"
"挪"	"挪"	"l̃ɔ˨˩"	""	"l̃"	"ɔ"	"˨˩"
"羅"	"罗"	"l̃ɔ˨˩"	""	"l̃"	"ɔ"	"˨˩"
"鑼"	"锣"	"l̃ɔ˨˩"	""	"l̃"	"ɔ"	"˨˩"
"籮"	"箩"	"l̃ɔ˨˩"	""	"l̃"	"ɔ"	"˨˩"
"左"	"左"	"t͡sɔ˦˩"	""	"t͡s"	"ɔ"	"˦˩"
"佐"	"佐"	"t͡sɔ˦˩"	""	"t͡s"	"ɔ"	"˦˩"
"做"	"做"	"t͡su˩˧"	""	"t͡s"	"u"	"˩˧"
"搓"	"搓"	"t͡sʰɔ˦˥"	""	"t͡sʰ"	"ɔ"	"˦˥"
"娑"	"娑"	"sɔ˦˥"	""	"s"	"ɔ"	"˦˥"
"歌"	"歌"	"kɔ˦˥"	""	"k"	"ɔ"	"˦˥"
"哥"	"哥"	"kɔ˦˥"	""	"k"	"ɔ"	"˦˥"
"個"	"个"	"kɐɪ̯˦˩"	"白讀1"	"k"	"ɐɪ̯"	"˦˩"
"個"	"個"	"kɔ˩˧"	""	"k"	"ɔ"	"˩˧"
"軻"	"轲"	"kʰɔ˦˥"	""	"kʰ"	"ɔ"	"˦˥"
"可"	"可"	"kʰɔ˦˩"	""	"kʰ"	"ɔ"	"˦˩"
"蛾"	"蛾"	"ɔ˨˩"	""	"ø"	"ɔ"	"˨˩"
"鵝"	"鹅"	"ɔ˨˩"	""	"ø"	"ɔ"	"˨˩"
"俄"	"俄"	"ɔ˨˩"	""	"ø"	"ɔ"	"˨˩"
"我"	"我"	"ŋᶢɔ˦˩"	""	"ŋᶢ"	"ɔ"	"˦˩"
"餓"	"饿"	"ɔ˩˧"	""	"ø"	"ɔ"	"˩˧"
"呵"	"呵"	"xɔ˦˥"	""	"x"	"ɔ"	"˦˥"
"訶"	"诃"	"xɔ˦˥"	"表示哄騙"	"x"	"ɔ"	"˦˥"
"抲"	"抲"	"xɒ˦˥"	"動詞，表示用手翻找"	"x"	"ɒ"	"˦˥"
"何"	"何"	"xɔ˨˩"	""	"x"	"ɔ"	"˨˩"
"河"	"河"	"xɔ˨˩"	""	"x"	"ɔ"	"˨˩"
"荷"	"荷"	"xɔ˨˩"	""	"x"	"ɔ"	"˨˩"
"苛"	"苛"	"Kʰɔ˦˥"	""	"kʰ"	"ɔ"	"˦˥"
"荷"	"荷"	"xɔ˩˧"	""	"x"	"ɔ"	"˩˧"
"賀"	"贺"	"xɔ˩˧"	""	"x"	"ɔ"	"˩˧"
"阿"	"阿"	"ɒ˦˥˥"	"張嘴"	"ø"	"ɒ"	"˦˥˥"
"阿"	"阿"	"ɒ˦˥"	"疑問"	"ø"	"ɒ"	"˦˥"
"阿"	"阿"	"ɒ˨˩"	"應答"	"Ø"	"ɒ"	"˨˩"
"阿"	"阿"	"ɔ˦˥"	"阿彌陀佛"	"Ø"	"ɔ"	"˦˥"
"阿"	"阿"	"ɔ˦˥"	"阿膠"	"ø"	"ɔ"	"˦˥"
"屙"	"屙"	"ŋᶢɔ˦˥"	""	"ŋᶢ"	"ɔ"	"˦˥"
"茄"	"茄"	"t͡ɕʰi˨˩"	"蕃茄"	"t͡ɕʰ"	"i"	"˨˩"
"波"	"波"	"pɔ˦˥"	""	"p"	"ɔ"	"˦˥"
"波"	"跛"	"pɐɪ̯˦˥"	"跛子，跛腳杆"	"p"	"ɐɪ̯"	"˦˥"
"跛"	"跛"	"pɔ˦˩"	"文讀"	"p"	"ɔ"	"˦˩"
"簸"	"簸"	"pɔ˦˩"	""	"p"	"ɔ"	"˦˩"
"播"	"播"	"pɔ˩˧"	""	"p"	"ɔ"	"˩˧"
"簸"	"簸"	"pɔ˩˧"	""	"p"	"ɔ"	"˩˧"
"頗"	"颇"	"pʰɔ˦˩"	""	"pʰ"	"ɔ"	"˦˩"
"坡"	"坡"	"pʰɔ˦˥"	""	"pʰ"	"ɔ"	"˦˥"
"玻"	"玻"	"pɔ˦˥"	""	"p"	"ɔ"	"˦˥"
"頗"	"颇"	"pʰɔ˦˩"	"文讀"	"pʰ"	"ɔ"	"˦˩"
"破"	"破"	"pʰɔ˩˧"	""	"pʰ"	"ɔ"	"˩˧"
"婆"	"婆"	"pʰɔ˨˩"	""	"pʰ"	"ɔ"	"˨˩"
"魔"	"魔"	"mᵇɔ˨˩"	""	"mᵇ"	"ɔ"	"˨˩"
"磨"	"磨"	"mᵇɔ˨˩"	""	"mᵇ"	"ɔ"	"˨˩"
"摩"	"摩"	"mᵇɔ˦˥"	""	"mᵇ"	"ɔ"	"˦˥"
"磨"	"磨"	"mᵇɔ˩˧"	""	"mᵇ"	"ɔ"	"˩˧"
"朵"	"朵"	"tɔ˦˥"	"耳朵"	"t"	"ɔ"	"˦˥"
"朵"	"朵"	"tɔ˦˩"	""	"t"	"ɔ"	"˦˩"
"躲"	"躲"	"tɔ˦˩"	""	"t"	"ɔ"	"˦˩"
"剁"	"剁"	"tɔ˩˧"	"剁，剁碎"	"t"	"ɔ"	"˩˧"
"妥"	"妥"	"tʰɔ˦˩"	""	"tʰ"	"ɔ"	"˦˩"
"唾"	"唾"	"tʰɔ˩˧"	""	"tʰ"	"ɔ"	"˩˧"
"惰"	"惰"	"tɔ˩˧"	""	"t"	"ɔ"	"˩˧"
"墮"	"堕"	"tɔ˩˧"	""	"t"	"ɔ"	"˩˧"
"囉"	"囉"	"l̃ɔ˦˥"	""	"l̃"	"ɔ"	"˦˥"
"那"	"那"	"l̃ɐɪ̯˩˧"	"白读"	"l̃"	"ɐɪ̯"	"˦˥"
"糯"	"糯"	"l̃ɔ˩˧"	"糯米"	"l̃"	"ɔ"	"˩˧"
"騾"	"骡"	"l̃ɔ˨˩"	""	"l̃"	"ɔ"	"˨˩"
"螺"	"螺"	"l̃ɔ˨˩"	""	"l̃"	"ɔ"	"˨˩"
"腡"	"脶"	"l̃ɔ˨˩"	""	"l̃"	"ɔ"	"˨˩"
"摞"	"摞"	"l̃ɔ˩˧"	""	"l̃"	"ɔ"	"˩˧"
"睃"	"睃"	"sɔ˨˩"	""	"s"	"ɔ"	"˨˩"
"銼"	"锉"	"t͡sʰɔ˩˧"	""	"t͡sʰ"	"ɔ"	"˩˧"
"矬"	"矬"	"t͡sʰɔ˨˩"	""	"t͡sʰ"	"ɔ"	"˨˩"
"坐"	"坐"	"t͡sɔ˩˧"	""	"t͡s"	"ɔ"	"˩˧"
"座"	"座"	"t͡sɔ˩˧"	""	"t͡s"	"ɔ"	"˩˧"
"蓑"	"蓑"	"sɔ˦˥"	""	"s"	"ɔ"	"˦˥"
