汉字	拼音	IPA	注释	编号	符号	调值	名称		说明：本字表使用Sawroeg，以武鸣壮语为主，收集了壮语（包含方言）的汉字音，不区分层次。				
多	do	toː24		1		24	阴平		官话层次的汉字音，去声字派入阴平24，模仿武鸣官话的去声24;阴平字派入阳去33，模仿武鸣官话的阴平33。				
他	de	teː24		2	z	31	阳平						
他	da	taː24		3	j	55	阴上						
她	de	teː24		3	j	55	阴上						
她	da	taː24		4	x	42	阳上						
舵	dox	toː42		5	q	35	阴去						
舵	daix	taːi42		6	h	33	阳去						
拖	do	toː24		7	p,t,k	55	短阴入						
拖	da	taː24		9	p,t,k	35	长阴入						
拖	daz	taː31		8	b,d,g	33	阳入						
駝	doz	toː31											
它	de	teː24											
它	da	taː24											
陀	dax	taː42	曼陀罗										
大	da	taː24											
馱	doz	toː31											
挪													
羅	laz	laː31											
羅	loz	loː31											
鑼	laz	laː31											
籮	loz	loː31											
左	coj	ɕoː55											
佐													
做													
助	coh	ɕoː33											
搓													
娑													
歌	go	koː24											
哥	go	koː24											
哥	goj	koː55											
哥	goq	koː35											
個													
軻													
可	hoj	hoː55											
蛾													
鵝													
俄													
我	ngox	ŋoː42											
我	ngoh	ŋoː33											
餓													
何	hoz	hoː31											
河	hoz	hoː31											
荷	hoz	hoː31											
荷	hax	haː42											
苛													
賀	hoh	hoː33											
阿	a	aː24											
啊	a	aː24											
茄	gwz	kɯː31											
茄	gez	keː31											
波	bo	poː24											
跛													
簸													
播	bo	poː24											
播	boq	poː35											
簸													
頗													
坡	bu	puː24											
坡	bo	poː24											
玻	bo	poː24											
玻	boh	poː33											
頗													
婆	buz	puː31											
婆	boz	poː31											
婆	baz	paː31											
破	buq	puː35											
魔													
磨	muz	muː31											
摩													
磨	muh	muː33											
朵	duj	tuː55											
躲	ndoj	ɗoː55											
剁	dox	toː42											
妥	doj	toː55											
唾													
惰													
墮													
囉	lo	loː24											
糯													
騾	loz	loː31											
螺	luz	luː31											
腡	luz	luː31											
裸	loh	loː33											
摞													
銼	doz	toː31											
銼	dauz	taːu31											
矬													
矬													
坐	caj	ɕaː55											
座													
蓑													
梭													
唆													
鎖	suj	θuː55											
鎖	saj	θaː55											
瑣	soj	θoː55											
鍋	gu	kuː24											
鍋	gva	kʷaː24											
過	gvaq	kʷaː35											
戈													
果	goj	koː55											
裹													
科													
棵	go	koː24											
窠													
顆													
課	goq	koː35											
訛													
臥	nguh	ŋuː33											
火	huj	huː55											
火	hoij	hoːi55											
夥	huj	huː55											
貨	huq	huː35											
禾	huz	huː31											
禾	hoz	hoː31	银嘉禾，即嘉禾银币										
和	huz	huː31											
和	hoz	hoː31	共和国										
禍	hux	huː42											
和	huh	huː33											
倭													
窩	u	uː24											
涴													
瘸	gvez	kʷeː31											
靴	ve	βeː24											
靴	heq	heː35											
巴	ba	paː24											
吧	ba	paː24											
疤	ba	paː24											
芭													
把	baj	paː55											
爸	ba	paː24											
杷	baz	paː31											
欛	baz	paː31											
壩	baq	paː35											
垻	baq	paː35											
霸	baq	paː35											
怕	bah	paː33											
琶	baz	paː31											
爬	baz	paː31											
麻	maz	maː31											
蟆													
媽	ma	maː24											
馬	max	maː42											
馬	maj	maː55	马铃薯										
碼	max	maː42											
瑪	max	maː42											
罵													
拿													
詫													
茶	caz	ɕaː31											
搽													
查	caz	ɕaː31											
楂	cah	ɕaː33											
渣													
詐													
榨	caq	ɕaː35											
炸	caq	ɕaː35											
叉	ca	ɕaː24											
杈													
差	ca	ɕaː24											
差	ci	ɕiː24											
岔	ca	ɕaː24											
岔	caq	ɕaː35											
汊													
乍													
沙	sa	θaː24											
沙	sah	θaː33	沙田柚										
紗	sa	θaː24											
灑	saj	θaː55											
嘉	gyah	kʲaː33	银嘉禾，即嘉禾银币										
家	gya	kʲaː24											
傢	gya	kʲaː24											
加	gya	kʲaː24											
假	gyaj	kʲaː55											
賈													
稼													
價	gyaq	kʲaː35											
架	gaq	kaː35	架桥										
架	gyaq	kʲaː35											
駕													
嫁	gyaq	kʲaː35											
嫁	gya	kʲaː24											
牙	ngaz	ŋaː31											
牙	nyaz	ȵaː31											
芽	ngaz	ŋaː31											
呀	a	aː24											
衙	ngaz	ŋaː31											
衙	yax	jaː42	衙门										
雅	ngax	ŋaː42											
訝	ngah	ŋaː33											
迓	ngah	ŋaː33											
蝦	ha	haː24											
霞													
遐													
瑕													
下	hah	haː33											
下	yah	jaː33											
夏	hah	haː33											
廈	hah	haː33											
暇													
丫	a	aː24											
鴉	a	aː24											
啞	ngaj	ŋaː55											
亞	aq	aː35											
嗟													
姐	cej	ɕeː55											
借	ciq	ɕiː35											
且	cij	ɕiː55											
藉	ciq	ɕiː35											
褯													
些	se	θeː24											
寫	sij	θiː55											
瀉	siq	θiː35											
卸	siq	θiː35											
邪	sez	θeː31											
斜	ciz	ɕiː31											
謝	cih	ɕiː33											
謝	sih	θiː33	花谢										
爹													
遮	cw	ɕɯː24											
者	cex	ɕeː42											
蔗													
車	ci	ɕiː24											
車	ceh	ɕeː33											
扯	cij	ɕiː55											
扯	cej	ɕeː55											
蛇													
射	siq	θiː35											
奢													
賒	si	θiː24											
捨	sij	θiː55											
赦													
舍	sij	θiː55											
社	six	θiː42											
社	ceq	ɕeː35											
惹	nyex	ȵeː42											
惹	yex	jeː42											
惹	ye	jeː24											
耶	yaz	jaː31											
椰	yaz	jaː31											
爺	yaz	jaː31											
爺	yez	jeː31											
冶	yax	jaː42											
也	yax	jaː42											
野	yax	jaː42											
野	yex	jeː42											
野	yej	jeː55											
夜	yah	jaː33											
夜	yeh	jeː33											
傻	saj	θaː55											
耍	saj	θaː55											
瓜	gva	kʷaː24											
瓜	gve	kʷeː24											
蝸	u	uː24											
寡													
剮													
咵													
垮													
跨													
娃	vaz	βaː31											
瓦	vax	βaː42											
花	va	βaː24											
化	vaq	βaː35											
華	vaz	βaː31											
嘩	vaz	βaː31											
划	vaz	βaː31											
蛙	va	βaː24											
洼	va	βaː24											
補	bouj	pou55											
譜	bouj	pou55											
譜	buj	puː55	歌谱										
布	bouq	pou35											
布	bouh	pou33											
佈	bouq	pou35											
鋪	bou	pou24											
鋪	bu	puː24											
普	bouj	pou55											
普	buj	puː55											
浦													
鋪	bouq	pou35											
怖	bouq	pou35											
菩	bouz	pou31											
蒲													
脯													
脯													
部	bouh	pou33											
簿	bouh	pou33											
步	bouh	pou33											
步	bu	puː24											
捕	bouh	pou33											
埠													
模	moz	moː31											
模	moh	moː33											
暮													
墓	moh	moː33											
募													
慕													
都	duj	tuː55											
都	doq	toː35											
堵													
賭	doj	toː55											
肚													
妒	doh	toː33											
蠹													
涂	doz	toː31											
涂	duz	tuː31											
塗	doz	toː31											
塗	duz	tuː31											
土	doj	toː55											
吐	doq	toː35											
兔	doq	toː35											
兔	duq	tuː35											
兔	douq	tou35											
途	doz	toː31											
鈽													
屠	doz	toː31											
圖	doz	toː31											
圖	douz	tou31											
徒	doz	toː31											
徒	duz	tuː31											
肚													
杜													
度	doh	toː33											
度	du	tuː24											
渡	doh	toː33											
渡	du	tuː24											
鍍	doh	toː33											
奴	noz	noː31											
努													
怒													
盧													
蘆	luz	luː31											
爐	loz	loː31											
爐	luz	luː31											
鹵	luj	luː55											
魯													
櫓													
虜													
露	loh	loː33											
路	loh	loː33											
賂													
租	co	ɕoː24											
祖	coj	ɕoː55											
祖	cu	ɕuː24											
組	cuj	ɕuː55											
做													
粗	co	ɕoː24											
粗	cu	ɕuː24											
醋	coq	ɕoː35											
錯	coq	ɕoː35											
措													
蘇	so	θoː24											
蘇	su	θuː24	紫苏										
酥													
素	soq	θoː35											
塑	soq	θoː35											
訴	soq	θoː35											
訴	su	θuː24											
嗉													
辜													
孤	go	koː24											
孤	gu	kuː24											
箍	goj	koː55											
箍	gu	kuː24											
姑	go	koː24											
姑	gu	kuː24	尼姑										
姑	gux	kuː42											
估	guj	kuː55											
古	guj	kuː55											
賈													
股	guj	kuː55											
鼓	guj	kuː55											
蠱													
故													
顧	goq	koː35											
顧	gu	kuː24											
固	goq	koː35											
固	gu	kuː24											
雇	goq	koː35											
枯	ho	hoː24											
枯	gu	kuː24											
苦	hoj	hoː55											
庫	hoq	hoː35											
褲													
梧	nguz	ŋuː31											
吾													
吳	nguz	ŋuː31											
五	ngux	ŋuː42											
五	haj	haː55											
午	ngux	ŋuː42											
伍	ngux	ŋuː42											
伍	haj	haː55											
悟	nguh	ŋuː33											
誤	nguh	ŋuː33											
呼	ho	hoː24											
虎	hoj	hoː55											
滸													
戽													
乎	hoz	hoː31											
壺	hoz	hoː31											
壺	huz	huː31											
胡	hoz	hoː31											
狐	hoz	hoː31											
湖	huz	huː31											
鈑													
戶	hoh	hoː33											
滬													
互	hoh	hoː33											
護	hoh	hoː33											
瓠	huh	huː33											
葫	huh	huː33											
烏	u	uː24											
嗚	u	uː24											
污	u	uː24											
塢	uq	uː35											
惡													
女	nawx	naɯ42											
廬													
驢	lawz	laɯ31											
呂													
侶													
旅													
慮													
濾	lawh	laɯ33											
蛆													
疽													
胥													
絮	sawh	θaɯ33											
徐	cawz	ɕaɯ31											
序	cawh	ɕaɯ33											
緒	cawh	ɕaɯ33											
叙	cawh	ɕaɯ33											
豬													
著													
著													
著													
褚													
除	cawz	ɕaɯ31											
儲													
苧													
箸	dawh	taɯ33											
箸	duq	tuː35											
箸	duh	tuː33											
阻													
初	co	ɕoː24											
楚	coj	ɕoː55											
楚	cuj	ɕuː55											
鋤													
鋤													
疏	so	θoː24											
蔬	so	θoː24											
梳	so	θoː24											
所	soj	θoː55											
疏	so	θoː24											
諸													
煮	cawj	ɕaɯ55											
處	cawq	ɕaɯ35											
書	saw	θaɯ24											
書	sw	θɯː24											
舒	saw	θaɯ24											
鼠	sawj	θaɯ55											
暑	saj	θaː55											
暑	sawq	θaɯ35											
黍													
庶													
恕													
墅													
薯	sawz	θaɯ31											
署	sawq	θaɯ35											
如	nyawz	ȵaɯ31											
汝													
居	gawq	kaɯ35											
車													
舉	gawj	kaɯ55											
舉	gij	kiː55											
鋸	gawq	kaɯ35											
據	gawq	kaɯ35											
據	gwq	kɯː35											
墟	haw	haɯ24											
去	hawq	haɯ35											
渠	gawz	kaɯ31											
巨													
距													
拒													
遽													
魚	ngawz	ŋaɯ31											
魚	nyawz	ȵaɯ31	木鱼										
漁	ngawz	ŋaɯ31											
語	ngawx	ŋaɯ42	名词										
語	ngawh	ŋaɯ33	动词										
御	ngawh	ŋaɯ33											
禦	ngawh	ŋaɯ33											
禦	nyawh	ȵaɯ33											
虚	haw	haɯ24											
噓													
許	hawj	haɯ55											
淤	yaw	jaɯ24											
於	yawz	jaɯ31											
余	yawz	jaɯ31											
餘	yawz	jaɯ31											
與	yawx	jaɯ42											
譽	yawh	jaɯ33											
預	yawh	jaɯ33											
豫	yawh	jaɯ33											
夫	fou	fou24											
夫	fu	fuː24											
夫	fuq	fuː35											
夫	fuh	fuː33											
膚													
甫	fux	fuː42											
斧	fouj	fou55											
斧	buj	puː55											
斧	fuj	fuː55											
府	fouj	fou55											
府	fuj	fuː55											
腑													
俯	fwq	fɯː35											
賦													
傅	fouh	fou33											
付													
敷													
俘													
撫													
赴													
赴													
訃													
符	fouz	fou31											
扶	fuz	fuː31											
扶	fwz	fɯː31											
釜													
腐	fuj	fuː55											
腐	fouh	fou33											
腐	fuh	fuː33											
輔	fuj	fuː55											
父	fux	fuː42											
父	boh	poː33											
附	fouq	fou35											
毋													
巫	mouz	mou31											
誣	mouz	mou31											
無	fouz	fou31											
舞	foux	fou42											
侮	foux	fou42											
武	foux	fou42											
鵡	foux	fou42											
霧	fouh	fou33											
務	fouh	fou33											
縷													
縷													
屢													
屢													
趨													
取													
取													
取													
娶													
趣													
聚													
需													
須	saw	θaɯ24											
鎢													
續	cuk	ɕuk55											
蛛													
株													
誅													
駐													
注													
厨	cawz	ɕaɯ31											
厨	suz	θuː31											
柱													
住													
芻													
雛													
數	soq	θoː35											
珠	caw	ɕaɯ24											
珠	ciq	ɕiː35											
朱													
主	cawj	ɕaɯ55											
主	couj	ɕou55											
主	cuj	ɕuː55	地主										
注													
鑄	couq	ɕou35											
樞													
輸	saw	θaɯ24											
輸	sw	θɯː24											
戍													
殊	saw	θaɯ24											
豎	sawh	θaɯ33											
樹	sawh	θaɯ33											
儒													
乳	nyawj	ȵaɯ55											
拘	gaw	kaɯ24											
駒													
俱													
矩	gawj	kaɯ55											
句	gawq	kaɯ35											
區	gaw	kaɯ24											
區	gih	kiː33											
驅	gaw	kaɯ24											
瞿													
具													
懼													
虞	ngawz	ŋaɯ31											
愚	ngawz	ŋaɯ31											
娛	ngawz	ŋaɯ31											
遇	ngawh	ŋaɯ33											
寓	ngawh	ŋaɯ33											
吁	haw	haɯ24											
迂	yaw	jaɯ24											
于	yawz	jaɯ31											
予	yawx	jaɯ42											
盂	yawz	jaɯ31											
雨	yawx	jaɯ42											
雨	hawx	haɯ42	谷雨										
禹	yawx	jaɯ42											
宇	yawx	jaɯ42											
羽	yawx	jaɯ42											
芋	yawh	jaɯ33											
俞	yawz	jaɯ31											
逾	yawz	jaɯ31											
榆	yawz	jaɯ31											
愉	yawz	jaɯ31											
愈	yawh	jaɯ33											
喻	yawh	jaɯ33											
裕	yawh	jaɯ33											
獃	ngaiz	ŋaːi31											
獃	ngaez	ŋai31											
戴	daiq	taːi35											
胎	dai	taːi24											
台													
態	daiq	taːi35											
貸													
貸													
臺	daiz	taːi31											
苔													
抬	daiz	taːi31											
抬	daix	taːi42											
殆													
待	daiq	taːi35											
待	daih	taːi33											
待	dai	taːi24											
怠	daiq	taːi35											
代	daih	taːi33											
袋	daeh	tai33											
乃													
耐	naih	naːi33											
來	laiz	laːi31											
災	cai	ɕaːi24											
栽													
宰	caij	ɕaːi55											
載													
再	caiq	ɕaːi35											
載													
猜	cai	ɕaːi24											
采	caij	ɕaːi55											
睬	caij	ɕaːi55											
彩	caij	ɕaːi55											
菜	caiq	ɕaːi35											
裁	caiz	ɕaːi31											
材	caiz	ɕaːi31											
才	caiz	ɕaːi31											
纔	caiz	ɕaːi31											
財	caiz	ɕaːi31											
在	caih	ɕaːi33											
腮													
腮													
賽	saiq	θaːi35											
該	gai	kaːi24											
改	gaij	kaːi55											
溉													
概	gaiq	kaːi35											
開	hai	haːi24											
開	gaih	kaːi33											
