#符号说明	-白读音 =文读音  □本字不明  {}内容注释
#调值	[1]阴平21 [2]阳平35 [3]上声32 [5]阴去44 [6]阳去33 [7a]阴入5 [8]阳入2 [7b]次阴入224
#ɿ	
ts	[1]姿之吱呲咨孜支枝栀滋知肢脂芝蜘咨赀资鲻龇{牙齿外张}[2]□{物体滑动的拟声词}[3]仔址姊子指旨梓止沚滓籽纸紫耔芷趾[5]制帜志挚智痣置翅至致制志□{卡住，堵塞}
tsʰ	[1]痴䟳眵蚩雌-魑□{脚下滑}
s	[1]师俬厮司嘶尸师思撕斯施狮私丝螄诗[2]时[3]使史始屎死矢驶[5]世势四思肆试誓驷逝=[6]事仕似侍士=市是氏示祀视逝-
#i	
t	[5]啲[6]的
n	[3]你
tɕ	[3]姐=
ø	[2]爷=咦
#j	
p	[1]屄[3]匕彼比=秕鄙[5]毙泌痹秘臂蔽闭币=
pʰ	[1]丕坯批披砒纰[2]啤琵疲皮脾赔-陪-
m	[1]眯[2]棉{~花}弥猕眉-{细~细眼}糜谜迷[3]米
t	[1]梯{电~}[2]题提鹈[3]体[5]剃嚏替[6]地弟第
l	[2]离=李=梨=[3]锂鲤[6]隶利例厉吏
ȵ	[2]泥倪妮尼霓鲵[3]拟[6]腻
tɕ	[1]机低叽基奇姬犄稽穄箕羁肌蜞觭鸡饥[3]几姐己几底抵挤济虮邸[5]冀剂=季寄帝既济祭纪继蒂计记谛际
tɕʰ	[1]欺妻凄期栖凄溪萋溪蹊技{~术}[2]其啼埼堤奇奚{姓}岐崎提旗期棋歧淇琦琪畸祁祈脐蛴蹄隄题骑骐鳍麒齐[3]企启启杞岂起体[5]剃去-器嚏契替弃气汽涕砌[6]地弟忌棣特{~为}第荠递-骑
ɕ	[1]兮唏嘻嬉希曦栖樨熙犀牺稀羲西[2]□{红~~：色鲜红}携-[3]喜徙洗玺禧蟢[5]细戏[6]系
ø	[1]衣伊依咿医[2]仪厘喱夷姨宜彝怡梨漓爷离={叔父}犁狸璃疑移篱胰遗离鹂黎[3]以倚已李椅理矣礼蚁=里□{食物绵软没有弹性}[5]异=亿意忆癔缢薏[6]例俐利励厉吏易曳毅猁异-义莉艺谊议离-丽
#ʋ̩	
p	[2]□{拟声词}[3]補补[5]佈布怖
pʰ	[1]孵潽{液体沸腾溢出}□{扇动}铺铺埠{堤岸上供上下海的缺口，通道，后演变为聚落集市}[2]匍脯莆菩葡蒲{~芹}[3]哺-圃埔捕普浦溥甫脯谱辅-附-[5]铺{简陋的床}[6]伏{鸡~窝}埠步簿部
f	[1]夫伕俘敷稃肤衭麸咐[2]巫-扶浮符芙蜉诬-凫[3]俯府抚斧腐腑釜{~冠}[5]付傅副富讣负赋赴[6]妇父附驸
t	[1]都嘟[2]□{~拟声词，物体上升}[3]堵睹肚赌[5]妒
tʰ	[2]图涂屠徒荼途[3]土吐[5]兔[6]度杜渡肚镀
n	[2]奴孥[3]努[6]怒
l	[1]噜[2]芦庐摅泸炉卢颅鲈鸬[3]乳{~胶漆}掳橹虏镥鲁卤[5]那{~个}[6]赂路露鹭
ts	[1]租[3]祖组阻
tsʰ	[1]粗[5]措醋
s	[1]苏稣酥[5]嗉塑溯素诉
tʂ	[1]猪侏朱株珠蛛诛诸铢[3]主拄煮[5]注疰著蛀注贮铸驻
tʂʰ	[1]初刍-[2]橱滁蜍锄除雏[3]储暑杵楚础处褚鼠[5]处[6]住助柱箸{~笼}
ʂ	[1]舒抒书梳枢毹疏蔬输[2]殊{特~}[3]数署薯黍[5]庶恕戍数殊漱[6]墅树竖
ʐ	[2]如儒孺濡茹蠕[3]乳汝
k	[1]姑咕孤箍菇菰蛄辜□{牙~：讲话不清}[3]估古股鼓[5]雇固故锢雇顾
kʰ	[1]枯骷[2]□{口齿不清}[3]苦[5]库裤
x	[1]呼乎[2]□{来~：打长牌}壶弧湖狐猢瑚糊胡葫蝴[3]浒{水~}琥虎[5]□{手臂挥舞}[6]互户扈沪瓠糊护□{往地上随意扔}
ø	[1]乌呜污邬钨[2]吴吾唔梧无胡{~蜂}芜蜈[3]五仵伍侮午捂武舞鹉[5]恶焐雾[6]务寤悟戊户{~槛}晤瓠误护{~短}
#y	
ȵ	[3]女
l	[2]驴=榈闾[3]侣吕旅缕铝[6]虑=滤=
tɕ	[1]车居拘驹[3]咀嘴沮矩举[5]俱具=句=惧据醉锯
tɕʰ	[1]催区岖蛆趋躯驱[2]徐-渠瞿衢随{~你}[3]取娶[5]去脆趣[6]具巨序{字~}拒叙炬穗绪罪聚距遂
ɕ	[1]尿{~素}嘘墟荽虚需须[2]徐=[3]浒{~澪}许[5]婿序岁煦碎絮酗
ø	[1]於{姓}淤瘀迂[2]于余俞围-娱愉愚于榆渔瑜盂臾虞逾余鱼[3]予宇禹羽与语雨[5]喂[6]喻寓御愈玉=御吁芋裕谕誉豫遇预驭
#ɛ	
p	[2]拜=[3]摆[5]拜□{不要}
pʰ	[1]□{感叹词，不要}[2]俳排牌[5]派湃[6]败
m	[2]埋[3]买[5]卖迈
ʋ̩	[1]歪=[3]崴[6]外
t	[1]呆[3]傣歹逮[5]带戴
tʰ	[1]胎苔趿{下垂}[2]抬台苔薹跆[5]太态汰泰[6]代大{~斧}待怠汏袋贷逮黛
n	[1]奶{~子}[3]乃奶艿[6]奈耐
l	[1]来[3]咧[6]擸濑癞籁赖俫{我~：我们}
ts	[1]灾哉栽[3]宰崽载[5]再载
tsʰ	[1]猜[2]才材裁财[3]彩采睬踩[5]菜蔡刬{全，都}[6]在载-
s	[1]鳃揌腮[5]塞赛
tʂ	[1]斋[3]者[5]债寨
tʂʰ	[1]钗[2]豺[5]虿
ʂ	[1]筛[2]柴[5]晒舍{宿~}[6]社
k	[1]街㨟{使移动}垓枷{连~：农具，常用于打黄豆}秸街该赅陔阶[3]改解[5]丐介届戒概溉界疥盖钙
kʰ	[1]开揩[3]䬵{打嗝}凯恺慨楷铠[5]隑{倚靠}
ŋ	[1]挨哀唉埃[2]呆{~板}挨皑[3]毐矮蔼霭[5]爱暧瑷隘艾=[5]砹碍艾-
x	[1]□{感叹词表意外}[2]孩谐还鞋骸[3]海蟹[5]□{哪~：哪里}[6]亥害氦骇
ø	[1]哎[5]爱
#iɛ	
tɕ	[1]阶皆[3]解[5]介届械界诫
tɕʰ	[3]且
ɕ	[2]携谐[3]写=[5]懈
ø	[3]也[5]液
#uɛ	
k	[1]乖[3]拐[5]怪
kʰ	[2]块{~钱}[3]擓[5]块快筷[6]擓{拎，提}
x	[1]竵{不正}[2]怀=槐淮踝[6]坏
ts	[1]□{失足}[5]啐
tʂ	[3]跩[5]拽
tʂʰ	[3]揣
ʂ	[1]摔衰[3]甩[5]帅率
#a	
p	[1]扒吧巴疤笆粑芭[3]㞎把靶[5]坝欛爸霸[6]叭
pʰ	[1]趴葩[2]扒掱爬琶筢耙螃[5]帕怕[6]罢
m	[1]妈[2]嘛麻蟆麻[3]玛码蚂马[6]骂
ʋ̩	[1]搲{扣}哇洼蛙[2]划-娃[3]搲{用瓢~米}瓦[5]凹洼[6]画-
t	[1]咑[3]打[5]大
tʰ	[1]他她它
n	[1]南{~无啊弥陀佛}[2]拿[3]哪=[5]那=[6]娜
l	[1]拉啦垃[2]□{屎尿遗身}哪{~个}[3]哪
s	[3]洒
ts	[3]咋
tʂ	[1]遮喳奓查楂渣碴挓{张开手指，嘴巴}[3]□{舞~：横七竖八，杂乱}砟[5]吒榨蔗蚱诈
tʂʰ	[1]车叉差杈蛼[2]搽{抹：~粉}查茬茶[3]扯[5]岔诧
ʂ	[1]沙奢痧砂纱莎裟赊鲨[2]佘蛇[3]傻舍[5]厦嗄舍赦□{耳~儿：耳屎}[6]射{~箭}社
ʐ	[2]蘘（~荷）
k	[1]家伽加痂袈[5]尬架{~子}界{不搭~}
kʰ	[1]咖[2]□{~蹦：大腿根部}□{~嗓子：咽喉部不适}[3]卡[5]揢{掐对方脖子}
x	[1]虾{麻~儿雨}哈颬{用手指挠痒痒}□{驼背}㗇{喘气}[2]瘕{~虚：傻瓜}[3]□{糊涂：~儿糊儿}[6]下
ŋ	[1]桠丫吖鸦□{硬塞}[2]伢牙芽蚜[3]哑[5]垩掗[6]枒{瓜果等的一瓣}閕{缺口}
ø	[1]阿[2]啊（感叹词）[5]阿{~姨：新派文读}
#ia	
p	[1]□{眼睛斜视着看人：眼睛~阿~的}
pʰ	[6]□{掌击的拟声词}
m	[1]乜{眯着眼睛斜视}
t	[1]爹[3]嗲{发~}
n	[3]□{你家合音}
tɕ	[1]佳加嘉家枷苴{~镇：如东东北部小镇}[3]假姐贾[5]借价嫁架=稼驾
tɕʰ	[1]笡{不正：~头儿}[2]斜茄邪[3]且[6]㴬{~尿}谢
ɕ	[1]虾=些[2]暇瑕遐霞[3]写[5]卸泻[6]下=厦夏
ø	[1]椰丫呀耶[2]涯爷{父亲}衙[3]也冶野雅[5]亚氩讶[6]夜
#ua	
tʂ	[1]抓 [3]爪
ʂ	[3]耍
k	[1]瓜呱[3]剐寡[5]卦挂掛褂
kʰ	[1]夸[2]刳{用刀，勺刮}[3]侉{粗野}垮[5]挎跨
x	[1]花[2]划哗华[5]化[6]划=桦画=华{姓}话
ŋ	[3]□{我家合音}
ø	[1]搲{用凹状器皿把东西取出来}[3]咓{呕吐}
#ya	
