cid	character	initial	final	tone	note
1	多	t	o	35	
2	拖	th	o	35	
3	大	th	æ	33	
4	锣	l	o	213	
5	左	ts	o	53	
6	歌	k	o	35	
7	个	∅	uo	33	
8	可	kh	o	53	
9	鹅	ŋ	o	213	
10	饿	ŋ	o	33	
11	河	h	o	213	
12	茄	tɕh	io	213	
13	破	ph	o	33	
14	婆	ph	o	213	
15	磨	m	o	213	
16	磨	m	o	33	
17	躲	t	o	53	
18	螺	l	o	213	
19	坐	tsh	o	213	
20	锁	s	o	53	
21	果	k	uo	33	
22	过	k	uo	33	
23	课	kh	o	35	
24	火	f	o	33	
25	货	f	o	33	
26	祸	f	o	53	
27	靴	f	yɵ	213	
28	把	∅	ua	53	
29	爬	ph	a	213	
30	马	m	a	53	
31	骂	m	a	33	
32	茶	tsh	a	213	
33	沙	s	a	35	
34	假	k	a	53	
35	嫁	k	a	33	
36	牙	ŋ	a	213	
37	虾	kh	a	213	
38	下	h	a	33	
39	夏	h	a	33	
40	哑	∅	a	33	
41	姐	tɕ	i	213	
42	借	tɕ	ia	33	
43	写	ɕ	ia	53	
44	斜	ɕ	ia	213	
45	谢	h	a	33	白
45	谢	ɕ	ie	33	文
46	车	tsh	a	35	
47	蛇	s	a	213	
48	射	s	a	33	
49	爷	∅	ia	33	
50	野	∅	ia	53	
51	夜	∅	ia	33	
52	瓜	k	ua	35	
53	瓦	ŋ	a	53	
54	花	f	a	35	
55	化	f	a	33	
56	华	f	a	213	
57	谱	ph	u	33	
58	布	p	u	33	
59	铺	ph	u	35	
60	簿	ph	u	33	
61	步	∅	u	33	白
61	步	ph	u	33	文
62	赌	t	u	53	
63	土	th	u	53	
64	图	th	u	213	
65	杜	th	u	33	
66	奴	l	u	213	
67	路	l	u	33	
68	租	ts	u	35	
69	做	ts	u	33	
70	错	tsh	o	35	
71	箍	k	u	35	
72	古	k	u	53	
73	苦	f	u	53	味苦
73	苦	kh	u	53	生活苦
74	裤	f	u	33	
75	吴	∅	ŋ	213	
76	五	∅	ŋ	53	
77	虎	f	u	53	
78	壶	f	u	213	
79	户	f	u	35	
80	乌	∅	u	35	
81	女	ŋ	y	53	
82	吕	l	iu	53	
83	徐	f	y	213	
84	猪	t	iu	35	
85	除	kh	y	213	
86	初	tsh	u	35	
87	锄	kh	y	213	
88	所	s	u	53	
89	书	f	y	35	
90	鼠	f	y	53	
91	如	∅	y	213	白
91	如	l	u	213	文
92	举	k	y	53	
93	锯	k	e	33	
94	去	tɕh	ie	33	
95	渠	kh	y	35	
96	鱼	∅	ŋ	213	
97	许	f	y	53	
98	余	∅	y	213	
99	府	f	u	53	
100	付	f	u	33	
101	父	f	u	33	
102	武	∅	u	53	
103	雾	∅	u	33	
104	取	kh	y	53	
105	柱	f	u	35	
106	住	kh	y	33	
107	数	s	u	53	
108	数	s	u	33	
109	主	k	y	53	
110	输	f	y	35	
111	竖	f	y	33	
112	树	f	y	33	
113	句	∅	y	33	
114	区	kh	y	35	
115	遇	∅	y	33	
116	雨	∅	y	53	
117	芋	∅	y	35	
118	裕	∅	y	33	
119	胎	th	æ	35	
120	台	th	æ	213	
121	袋	th	æ	35	
122	来	l	æ	213	
123	菜	tsh	æ	33	
124	财	tsh	æ	213	
125	该	k	æ	35	
126	改	k	æ	53	
127	开	kh	æ	35	
128	海	h	æ	53	
129	爱	∅	æ	33	
130	贝	p	e	33	
131	带	t	æ	35	
132	盖	k	æ	33	
133	害	h	æ	33	
134	拜	p	æ	33	
135	排	ph	æ	213	
136	埋	m	æ	213	
137	戒	k	æ	33	
138	摆	p	æ	53	
139	派	ph	æ	33	
140	牌	ph	æ	213	
141	买	m	æ	53	
142	卖	m	æ	33	
143	柴	tsh	æ	213	
