#ɿ	
ts	[1]支肢枝妓{疑似误读}栀{~子花}资姿咨脂滋兹辎{~重}之芝[2]执质直值织职殖植只{量词}[3]紫纸只{~有}姊旨指子梓滓止址趾齿{当面~齿：门牙}[5]滞制{~度，~造}翅技自致雉{~鸡}稚至字牸{~牛}伺{~机}祀{祭~}巳寺饲置痔治志痣
tsʰ	[1]雌疵{吹毛求~}痴嗤{~笑}差{参~}[2]池瓷{~器}驰糍{~粑}迟慈磁{~石}辞词祠持秩饬赤斥[3]此侈{奢~}耻齿[5]砌刺赐次似厕{~所}
s	[1]斯厮撕施匙{汤~}私师狮尸丝思{~想，意~}诗厕{茅~}[2]时鲥虱失室食蚀实瑟[3]豕死矢屎使始驶史[5]世势逝誓是氏四肆示视嗜士仕柿俟事试市侍恃
#ei	
p	[1]蓖{~麻}杯碑悲卑[5]贝备辈背{~诵，~包袱}倍焙{~干}避
pʰ	[1]胚{~胎}坯{~坯}[2]培陪赔裴[5]沛陛{~下}佩譬{~喻}辔配
m	[2]梅枚媒煤眉霉楣[3]美每[5]妹昧媚寐
f	[1]挥徽恢灰辉麾非痱{~子}飞妃[2]回茴{~香}肥[3]悔贿毁匪榧{~子}翡{~翠}[5]晦汇会{开~，~不~}绘废肺吠惠慧秽费讳
#eŋ	
p	[1]奔{~跑，~头儿}崩锛[3]本[5]笨
pʰ	[1]烹[2]盆[5]喷{~香，~嚏}
m	[2]门[5]闷
f	[1]昏婚浑{~浊}分{~开}芬纷荤[2]魂焚坟豶{牡豕}横{~直，蛮~}[3]粉[5]喷{~水}愤馄{~饨}混粪奋忿份{~量}
t	[1]登灯[3]等墩镫{鞍~}[5]顿扽饨{馄~}囤沌钝盾{矛~}凳邓瞪{~眼}
tʰ	[1]吞[2]屯臀豚腾疼誊{~写}藤
n	[2]能[5]嫩
l	[2]轮伦沦[3]冷
ts	[1]针斟珍榛真尊曾{姓氏}增憎征{~求}蒸筝睁贞侦正{~月}[3]枕诊拯{~救}整振震[5]镇阵蹭{磨~}赠证症郑正政
tsʰ	[1]参{~差}称{~呼}撑蛏[2]沉陈尘臣存澄橙曾{~经}惩丞承呈程成城诚盛{~饭}[3]趁逞{~能}[5]衬称{相~}秤{~杆}牚{椅子~儿}
s	[1]森参{人~}深身申伸娠僧升生牲笙声甥[2]神乘蝇{存疑}晨辰[3]髓榫{~头}省{~长,节~，反~}沈审婶笋损[5]葚{桑~}甚肾慎剩圣胜{~任，~败}盛{兴~}
k	[1]跟根更{~换，五~}耕庚羹今{白读。而~：现在}[3]哽{骨~在喉}埂{田~}梗耿[5]更{~加}
kʰ	[1]坑亨[3]肯垦恳啃{老鼠~}
ŋ	[1]恩[5]硬
x	[2]痕恒衡[3]很[5]恨杏
#a	
p	[1]巴芭爸疤[2]八[3]把{~握，~守，一~}[5]霸罢把{~柄}坝{堤~}
pʰ	[2]爬琶{琵~}杷{枇~}钯{~子}耙{~地，犁~}拔[5]怕帕
m	[1]妈[2]麻{~~子亮：天微亮}痲蟆{蛤~}抹{~布}[3]马码{~子}□{~□/lai31/古：石头}□{~□/ie31/：下午}[5]骂
f	[1]花[2]袜{白读。水~：袜子}华{~山，中~，姓}铧桦{~树}法{方~}乏滑猾发{~生，头~}伐筏罚划[5]化画话
t	[2]搭达答[3]打[5]大{~小，~黄}
tʰ	[1]他[2]踏搨{~本}榻塌塔獭{水~}溻
n	[2]拿纳捺{撇~}
l	[1]拉[2]腊蜡辣镴{锡~}
ts	[1]渣[2]杂扎{用针~，驻~}轧闸铡{~刀}栅{~栏}[3]眨{~眼}[5]诈榨{~油}炸{~弹，用油~}乍
tsʰ	[1]叉杈{枝~}差{~别，~不多}岔{~路}茬{麦~}[2]茶搽查{调~}楂{山~}插察擦
s	[1]沙纱衫萨[2]杀[3]傻撒{~种}
k	[1]痂{白读。结~}[2]夹{白读。~子}甲{白读。指~}
kʰ	[2]掐{白读}
ŋ	[1]丫{~杈}
x	[2]虾{白读。~子，~公}
#ai	
p	[3]摆[5]拜败稗
pʰ	[2]牌排{筏}[3]□{~~：对女儿的爱称。此说法与宁远平话相同}[5]派
m	[2]埋[3]买[5]卖迈
f	[2]怀淮槐[5]坏
t	[1]呆[5]带戴贷待怠代袋殆
tʰ	[1]胎[2]台苔抬[5]太泰态
n	[3]奶乃[5]耐奈
l	[2]来□{□ma45~古：石头}[3]□{口中的粘液}□{~崽们：男孩}[5]赖癞瘌㸊{~水：热水}
ts	[1]灾栽斋[3]宰载{一年半~}[5]再载{~重，满~}在债寨
tsʰ	[1]猜钗差{出~}[2]才{~能，刚~}材财豺柴裁[3]彩采睬[5]菜蔡
s	[1]腮鳃筛{~子}酾{~酒：倒酒}[5]晒赛
k	[1]该皆阶秸{麦~}街[3]解{讲~，~开，晓也}改[5]盖丐{乞~}介芥尬{尴~}疥届戒械界
kʰ	[1]开揩[3]凯楷[5]概溉慨
ŋ	[1]哀挨[2]呆{~板}埃{尘~}崖{山~}捱[3]蔼{和~}矮研{墨~熟了}[5]碍艾爱隘
x	[2]鞋孩谐[3]孩蟹[5]亥害骇{惊~}懈解{姓氏}
#au	
p	[1]褒{~奖}包胞鲍{~鱼}[3]保堡宝饱[5]抱菢{~小鸡}铇爆暴豹
pʰ	[1]泡抛[2]浮{~颈：大脖子}袍[3]跑[5]炮{枪~}泡{~菜}雹{冰~}
m	[1]猫[2]毛矛茅锚[3]卯[5]冒帽貌
t	[1]刀[3]祷岛倒{~水，打~}[5]到道稻盗导
tʰ	[1]滔[2]叨{唠~}掏桃淘{~米}陶萄涛[3]讨[5]套
n	[2]挠铙[3]脑恼[5]闹
l	[2]劳捞唠{~叨}涝{旱~}牢[3]老[5]□{~子：集市}
ts	[1]遭糟朝{今~}召昭招[3]早枣蚤澡爪{~牙，~子}找沼{~气}[5]灶皂罩棹笊{~篱}赵兆醮{打~，再~}
tsʰ	[1]操抄钞超[2]曹槽巢朝{~代}潮[3]草炒吵[5]糙{~米，粗~}躁造{建~}
s	[1]骚臊{~气}捎{~带}稍[2]韶{~关}[3]扫{~地，~帚}嫂少{多~}[5]潲{猪食}诏少{~年}绍邵
k	[1]高膏篙羔糕[3]稿搞[5]告窖
kʰ	[1]敲[3]考烤[5]靠犒
ŋ	[2]熬[3]袄咬[5]傲懊{~恼,~悔}奥坳
x	[1]蒿{蓬~}薅{除田草}[2]毫豪壕号{呼~}[3]好{~坏}[5]好{喜~}耗浩号{~数}
#aŋ	
p	[1]斑班颁扳{~手}般搬邦帮浜{沙家~}[3]板版榜绑[5]扮瓣办半伴拌棒蚌
pʰ	[1]攀扳{~援}潘[2]盘旁滂{~沱}螃庞[5]盼襻{纽~}拼{~命}判胖谤绊叛
m	[2]蛮瞒忙芒茫虻{牛~}盲[3]满莽蟒晚{~~：叔叔}[5]慢馒{~头}漫幔蔓{瓜~}
f	[1]欢番翻荒慌方芳肪{脂~}[2]凡帆还{~原，~有}环藩烦礬[3]缓反谎晃{~眼}仿{~效，相~，~佛}纺访[5]泛犯范唤换焕幻患宦贩饭放
t	[1]丹耽单{~独，姓氏}当{~时，应~}[3]胆掸{鸡毛~子}党挡{阻~}[5]谭旦但担{~任，挑~}诞{~生}当{~作，典~}蛋荡{放~}宕{延~}
tʰ	[1]贪摊摊汤[2]潭痰谈檀棠堂坛弹{~琴}螳{~螂}唐塘糖[3]坍{~塌}毯坦倘{~使}躺趟[5]淡炭叹烫探{试~}
n	[2]男南难{~易}囊[3]曩[5]难{患~}
l	[2]蓝篮兰栏拦郎狼廊[3]览揽缆榄{橄~}懒朗[5]滥烂浪
ts	[1]簪占{~卜}沾粘{~贴}毡瞻张章樟障{保~}[3]斩盏展颤趼长{生~}涨掌[5]暂渐站{~立，车~}占{~领}赞绽{破~}栈战葬藏
tsʰ	[1]餐参仓[2]蚕长残[3]惨
s	[1]三衫珊山桑商伤丧{~事}[2]常尝裳{衣~}偿[3]散伞嗓赏[5]膳丧{~失}上{~山，~面}
k	[1]柑甘泔{~水}尴{~尬}干{~涉，~湿}肝竿{竹~}间{中~}冈岗刚纲钢{~材}缸[3]感减敢橄{~榄}杆秆{稻~}赶擀{~面}讲[5]监{~察，~视，~牢}鉴舰干{~部}间{~断}谏钢{~刀钝了}扛港{~口}虹
kʰ	[1]堪勘{~探}龛嵌刊康肮{~脏}糠[3]坎砍慷{~慨}[5]看{~守，~见}抗炕
ŋ	[1]庵安鞍[2]岩颜{~色}昂[5]暗岸按案雁晏{晚也}
x	[1]憨{痴}酣鼾夯{打~}[2]韩行{~列}航杭含函咸{~阳，~淡}衔寒[3]喊罕[5]撼憾陷馅旱汉汗焊翰限苋{~菜}项巷
#o	
p	[2]钵拨钹博薄泊缚剥驳[3]跛[5]簸{~箕，~一~}薄{~荷}
pʰ	[1]坡[2]婆泼[3]颇[5]破
m	[1]摩模{~仿}[2]魔磨{~刀}莫馍模{~子，~范}寞摸末沫穆陌{~生}膜[5]磨{~面，石~}
t	[1]多□{~公、~婆：外公、外婆。此说法应该是宁远平话折合而来}[2]夺掇{拾~，掂~}[3]朵躲[5]舵剁惰踱
tʰ	[1]拖[2]托驮驼托铎[3]妥椭{~圆}[5]唾{~沫}
n	[1]挪[2]诺[3]哪{~个}[5]那糯{~米}
l	[1]啰{原字表作“罗”，~嗦}[2]罗锣箩骡螺瘰脶落洛骆酪络乐{快~}烙{烙铁：小气鬼的喻称}[3]卵{鹅~石}
ts	[2]作昨柞{~树}酌卓凿桌琢啄涿{~县}镯{~子}[3]左佐[5]坐座做
tsʰ	[1]搓[2]撮{~箕}戳[5]锉错{~误，~杂}
s	[1]蓑梭{织布~}唆[2]索勺芍{~药花}朔[3]莎{~草}锁所
k	[1]哥歌过{~费}锅[2]合割鸽各阁葛搁郭廓角国虢[3]戈果裹馃[5]个{~人，一~}琐{~碎}过
kʰ	[1]科眍[2]叩{~头}磕{~头}渴阔豁确郝{姓氏}扩壳[3]可棵颗[5]课
ŋ	[2]鹅蛾俄讹握鄂[3]我[5]卧饿
x	[1]喝蠚{蜂~人}[2]河何荷{~花}和{~气}禾合蛤{~蜊}盒{烟~}鹤霍藿{~香}[3]火伙和{~面}[5]荷{薄~，负~，~枪}贺货祸
Ø	[1]阿{~胶}倭窝蜗[2]恶{善~}[5]恶{可~}
#oŋ	
pʰ	[1]蜂{~子窝、鬼头~：在坟墓里做窝的蜂子}[2]朋棚彭膨{~胀}蓬篷[3]捧
p	[5]□{~拐：蝌蚪}
m	[2]萌蠓{~虫}[3]猛懵{~懂}[5]孟梦
t	[1]东冬[3]董懂[5]冻栋动洞
tʰ	[1]通[2]同铜桐筒童瞳[3]桶捅{~破}统[5]痛
n	[2]农脓
l	[1]聋[2]龙笼隆[3]垅垄[5]弄
ts	[1]宗棕鬃综{织布机上的~}踪{~迹}中{当~}忠钟盅终纵{~横}[3]总冢肿种{~类}[5]粽中{射~}仲种{~树}众纵{放~}诵颂讼重{轻~}
tsʰ	[1]聪匆葱囱{烟~}冲充[2]从{跟~}丛虫崇重{~复}[3]宠[5]铳{放~}
s	[1]松[3]嵩怂{~恿}[5]送宋
k	[1]公蚣{蜈~}工功攻{~击}弓躬宫恭供{~给}[3]汞拱{~手}巩{~固}[5]贡供{~着，上~}共
kʰ	[1]空{~虚}[3]孔[5]空{~缺}控
x	[1]轰哄{~出去}烘{~干}风枫疯封丰峰蜂锋[2]弘宏红洪鸿冯逢缝{~衣服}[3]哄{~骗}讽[5]哄{起~}凤奉俸缝{~隙}
Ø	[1]翁[5]瓮
#ɤ	
p	[2]北白百柏伯帛檗{黄~，药名}
pʰ	[2]泊{梁山~}迫拍魄
