#i	
p	[1]碑卑悲蓖[2]脾琵枇[3]彼比[4]婢[5]蔽敝闭被避秘泌庇痹备
pʰ	[1]披丕[2]皮={～蛋}疲[3]鄙[5]鼻
b	[2]眉楣媚微[3]米美[5]未=味
t	[1]知=蜘痴[2]池弛迟[3]底抵[4]弟[5]戴-{～帽}智致稚痔置治
tʰ	[2]苔-{青～}啼[3]耻
l	[2]离{～别}狸厘帘[3]履李里裏=理鲤[5]离{～开}利=痢吏
ts	[1]脂之芝[2]糍[3]紫只{～有}姊指=旨子-止趾址[4]舐[5]至志誌
tsʰ	[1]鳃[2]持[3]侈[4]市[5]刺翅{鱼～}饲试
dz	[2]儿而[5]二贰字
s	[1]撕施屍尸司-思-诗[2]匙辞-时[3]死始[4]是[5]世-氏豉四-示视寺恃侍
k	[1]支枝肢栀岐技妓饑饥肌基机=讥[2]奇祁其期棋旗[3]指{动词}几{茶～}己纪杞幾{～乎}[5]痣记忌{做～}既
kʰ	[1]欺[2]祈[3]齿起岂[4]柿[5]企器弃忌{禁忌}气=汽
ɡ	[2]宜仪谊疑[3]拟[5]义议
h	[1]牺熙希稀[3]喜[4]肺{又}耳-[5]戏
∅	[1]伊医衣依[2]移姨夷饴遗[4]椅已以[5]易肄意异
#u	
p	[3]斧[5]富-
pʰ	[2]芙浮[3]殕
b	[2]无[3]抚武舞侮鹉[5]巫诬雾务遇
t	[1]蛛推{训}[2]厨[3]拄
l	[2]愉[3]女{又}
ts	[1]株诛朱珠=硃[3]主[4]柱=[5]聚驻註住注铸
tsʰ	[1]趋[3]取[5]处{又}趣
dz	[2]如{又}儒喻[3]逾愈[5]裕
s	[1]须需枢输[2]殊[3]署{又}徙[5]戍树=
k	[1]拘驹龟[3]久-韭-[4]舅[5]句灸-旧
kʰ	[1]区驱丘-[2]瞿[4]俱具臼[5]惧
ɡ	[2]愚娱牛-
h	[1]夫=肤敷[2]符扶[3]府腑甫腐辅阜[4]父妇[5]付赋赴附负富=副
∅	[1]污[3]雨=宇禹羽[5]有-
#a	
p	[1]巴芭疤[3]把=饱[4]罢[5]霸豹
pʰ	[1]泡{灯～}
b	[2]麻={～痹}猫{野生}[5]觅
t	[1]焦{乾}
tʰ	[1]他
l	[1]拉
ts	[1]楂查{调～}[3]早[5]炸诈榨
tsʰ	[1]差{相～}[2]查{～工}樵[3]炒吵=
s	[1]莎沙=
k	[1]家=加=痂嘉稼佳傀{训}胶铰[3]假=贾绞[4]咬-[5]架=驾价=教-
kʰ	[1]骹[3]巧{～合}[5]敲
ɡ	[2]牙=
h	[2]霞=[4]下夏[5]厦{（大厦）}孝-
∅	[1]阿鸦丫亚
#ia	
t	[1]爹
ts	[3]姐者[5]藉{～口}蔗
tsʰ	[1]车奢[2]斜
dz	[1]遮[3]惹
s	[1]赊[2]邪蛇=佘[3]写[3]社舍[5]泻卸谢捨射麝赦泄{（疑误读为“泻”）}
k	[2]揭举[5]寄
kʰ	[2]骑[4]竖{训}徛
ɡ	[2]鹅-蜈
h	[1]靴[4]瓦-蚁
∅	[2]耶爷[3]野[5]也夜
#ua	
p	[5]簸
pʰ	[5]破-
b	[2]磨
t	[4]舵[5]大-带-
tʰ	[1]拖
l	[2]箩[5]赖-
ts	[1]抓[2]蛇-[3]纸[5]誓-
tsʰ	[5]娶{训}带{训}□{娶；带}蔡
s	[1]刷沙-[3]徙
k	[1]歌-瓜=[5]盖-芥挂卦
kʰ	[1]夸跨[5]可-{小～}
ɡ	[3]我-[5]外-
h	[1]花=[2]华[5]化=
∅	[1]蛙挖{新}[3]瓦=倚
#e	
p	[2]爬琶钯杷[3]把-[4]爸{训}[5]弊币毙耙
pʰ	[5]帕
b	[2]迷谜[3]马-码
t	[1]低[2]茶[4]弟[5]帝第递地=
tʰ	[2]提[3]体
l	[2]黎璃梨=[3]礼[5]例厉励丽隶
ts	[1]渣剂[2]齐=[5]债寨祭际济制製
tsʰ	[1]叉杈岔差{出～}妻=栖[5]厕
s	[1]纱西=[5]细=世=势誓=逝
k	[1]家-加-傢[3]假-[4]下-{高下}[5]架-嫁价-计继
kʰ	[1]稽[3]启
ɡ	[2]个{训}牙-芽衙[5]艺毅
h	[2]虾霞-奚[4]夏-{～天}[5]下-{动词}兮系繫係
∅	[3]哑[4]下-{上～}[5]下-{量词}
#ue	
p	[1]杯[2]培陪[5]贝辈背
pʰ	[1]批[5]沛稗配=佩
b	[3]买[5]卖
t	[2]题蹄[3]底[4]苎[5]兑地-
tʰ	[1]钗[5]替蜕
l	[2]犁[5]内
ts	[2]齐-[4]罪[5]多{训}□{多}做{训}最赘
tsʰ	[1]初-妻-
s	[1]梳疏-衰[3]黍洗[5]细-岁=帅
k	[1]瓜-街鸡奎[3]改[5]界-疥会{～计}刽怪-
kʰ	[1]溪魁盔恢[5]契桧绘
ɡ	[2]倪[4]蟹[5]外=
h	[1]花-恢{又}灰=[2]回=茴[3]贿悔[5]化-汇会{开～}废
∅	[1]挨[2]鞋[3]矮[4]解{会}[5]画话卫
#ui	
p	[2]肥[5]吠痱
pʰ	[5]屁
t	[1]堆追[5]对碓队坠
tʰ	[1]梯推=[2]槌锤[3]腿
l	[2]雷[3]累{积～}蕊垒[5]累{连～}泪类
ts	[1]锥[3]水-[5]醉
tsʰ	[1]催崔吹=炊=[5]碎脆=喙翠粹
s	[1]蓑虽[2]随垂遂隧[3]水=[5]瑞睡绥穗
k	[1]闺规归[3]幾诡鬼[4]跪[5]桂癸季柜贵
kʰ	[1]亏窥开-[2]葵逵[3]轨[5]气-愧
ɡ	[5]魏
h	[1]麾非飞={原文作白读，疑有误}妃辉挥徽[3]毁匪[5]肺惠慧费翡讳
∅	[1]威[2]危伪为{作～}惟维唯违围[3]萎委伟苇纬[5]为{因～}位畏慰胃谓
#ɔ	
p	[1]菠玻褒[2]婆袍[3]保堡宝[5]薄{～荷}报
pʰ	[1]波颇坡[4]抱-[5]破=
b	[2]无-[5]磨{石～}帽
t	[1]多刀[2]驼驮逃陶[3]祷岛倒{颠～}[4]道[5]道{又}到倒导盗
tʰ	[1]涛[2]桃萄[3]讨[5]妥套
l	[1]啰[2]罗锣骡勞牢涝[3]裸
ts	[1]遭[2]曹槽皂[3]左枣[4]坐=座造[5]佐
tsʰ	[1]臊[3]楚础草=[5]操{～作}糙凑错
s	[1]梭唆苏酥骚搜[3]锁琐嫂叟[5]素{尿～}扫={～粪}躁
k	[1]歌=哥戈高膏篙羔糕[3]果=裹稿[5]个过=告
kʰ	[1]科=[5]课=靠犒
ɡ	[2]鹅=[5]饿
h	[2]河何荷和=禾毫豪壕[3]好{好坏}[5]荷{薄～}贺号
∅	[1]窝
#iɔ	
p	[1]标錶{又}[3]表-錶[4]鳔
pʰ	[2]瓢薸[3]剖[5]票
b	[3]母=[5]庙贸
t	[2]潮-跳{～骹顿蹄}投=[3]斗=[5]鬥=钓赵
tʰ	[1]挑[2]跳{弹}头=[5]粜
l	[2]楼=[5]陋
ts	[1]焦蕉招邹[3]少-{多少}[5]照
tsʰ	[5]笑-耀-
s	[1]霄-烧萧-[3]小-[5]邵
dz	[5]尿
k	[2]桥荞[5]轿叫
kʰ	[3]口=[5]叩
ɡ	[3]偶藕
h	[2]侯[3]否[4]後=厚=后
∅	[1]腰幺-[2]摇窑[3]舀
#ə	
p	[1]飞-菠-[2]赔[3]倍[5]坝{水～}焙
pʰ	[1]胚坯[2]皮-[4]被{被子}[5]配-
b	[2]糜[3]尾[5]妹未-
t	[3]短[5]戴-{姓}袋块{训}□{块}跟{训}缀{跟}
tʰ	[1]胎-推-[5]退
l	[2]螺[3]儡
ts	[1]灾[4]坐-
tsʰ	[1]吹-炊-[3]髓[5]脆-
s	[5]税
k	[3]果-粿[5]过-
kʰ	[1]科-[2]瘸[3]可={新}[5]课-{～税}
h	[1]灰-[2]和-{～尚}回-[3]火夥[5]货岁-
∅	[1]锅[4]祸
#iu	
p	[1]彪
t	[1]丢[2]筹绸纣[4]宙
tʰ	[1]抽[3]丑醜
l	[1]溜[2]流=留=榴硫琉[3]纽柳[5]馏
ts	[1]珠-周舟州洲[3]酒守-[4]就{又}[5]蛀就咒
tsʰ	[1]鬚秋羞[2]愁[3]帚手[5]树-
s	[1]修收[2]囚泅仇酬售[3]首守=[4]受授[5]秀绣锈袖兽寿
dz	[2]柔
k	[2]求球[3]九=久=[5]救究纠
kʰ	[1]丘=[5]扭{训}□{扭}
ɡ	[2]牛=
h	[1]休[3]朽
∅	[1]优忧犹幽[2]尤邮由油游悠[3]有=友酉诱[5]又右佑釉柚幼
#ɯ	
t	[1]猪[2]除锄[5]著箸
tʰ	[3]储
l	[2]驴[3]女旅汝[4]吕[5]虑滤
ts	[1]诸书-资姿咨滋[2]薯瓷兹慈磁[3]煮子=梓[5]自
tsʰ	[1]蛆舒差{参～}[2]雌辞=词[3]鼠此[5]处次
