汉字	注释	音标
多		to1
拖		tʰo1
驼		tʰo2
大		tʰai6
锣		lo2
左		tso3
歌		ko1
哥		ko1
可		kʰo3
鹅		ŋo2
饿		ŋo6
河		xo2
贺		xo6
茄		tɕʰiɑ1
波		po1
坡		po1
破		pʰo5
婆		pʰo2
磨	~刀	mo2
磨	石~	mo6
朵		to7
糯		no6
螺		lo2
锉		tsʰo5
坐		tsʰo6
座		tsʰo6
唆		so1
锁		so3
果		ko3
过		ko5
课		kʰo5
火		xu3
货		xo5
禾		xo5
祸		xo6
靴		ɕyɑ1
疤		pɑ1
把		pɑ3
霸		pɑ5
怕		pʰɑ5
爬		pʰɑ2
耙	犁~	pʰɑ6
麻		mɑ2
马		mɑ3
骂		mɑ6
拿		nɑ2
茶		tsʰɑ2
榨		tsɑ5
叉		tsʰɑ1
查		tsʰɑ2
沙		sɑ1
家		tɕiɑ1=/kɑ1-
加		tɕiɑ1=/kɑ1-
假	真~	tɕiɑ3=/kɑ3-
嫁		tɕiɑ5=/kɑ5-
牙		ŋɑ2
芽		ŋɑ2
虾		xɑ1
下	方位	ɕiɑ6=/xɑ6-
下	动词	ɕiɑ6=/xɑ6-
哑		ŋɑ3
姐		tɕiɑ3
借		tɕiɑ5
写		ɕiɑ3
泻		ɕiɛ5
邪		ɕiɑ2
斜		ɕiɑ2
谢		ɕiɛ6
遮		tsɑ1
蔗		tsɑ5
车		tsʰɑ1
扯		tsʰɑ3
蛇		sɑ1
射		sɛ6=/sɑ6-
赊		sɑ1
舍	舍不得	sɑ3
社		sɛ6
惹		nɛ3
爷		iɛ2
野		iɛ3=/iɑ3-
夜		iɛ6=/iɑ6-
瓜		kuɑ1
垮		kʰuɑ3
瓦		uɑ3
花		xuɑ1
化		xuɑ5
补		pu3
布		pu5
铺	~设	pʰu1
部		pʰu6
簿		pʰu6
步		pʰu6
墓		mo6
都		təu1
赌		təu3
肚	猪~	təu3
土		tʰəu3
兔		tʰəu5
涂		tʰəu2
图		tʰəu2
杜		tʰəu6
肚	腹~	təu3
度		tʰəu6
炉		ləu2
卤		ləu3
路		ləu6
露		ləu6
租		tsəu1
祖		tsəu3
做		tso5
粗		tsʰəu1
醋		tsʰəu5
错		tsʰo5
苏		səu1
姑		ku1
箍		ku1
鼓		ku3
枯		kʰu1
苦		kʰu3
裤		kʰu5
吴		u2
五		u3
虎		xu3
胡		xu2=/u2-
湖		xu2
户		xu6
乌		u1
女		ny3
吕		ʅ3
徐		tɕʰi2
猪		tɕy1
除		tɕʰy2
苎		/
初		tsʰəu1
锄		tsʰəu2
助		tsʰəu6
梳		səu1
煮		tɕy3
书		ɕy1
鼠		ɕy3
薯		ɕy3
车	~马炮	tɕy1
锯		tɕy5=/kai5-
去		tɕʰy5=/tɕʰi5-
鱼		y2
语		ny3
虚		ɕy1
许		ɕy3
余		ʅ2
夫		fu1
斧		fu3
符		fu2
扶		fu2
辅		fu3
舞		u3
雾		u6
娶		tɕʰi3
鬚	鬍~	ɕi1
厨		tɕʰy2
柱		tɕʰy6
住		tɕʰy6
数	名词	səu5
朱		tɕy1
主		tɕy3
蛀		tɕy5
输		ɕy1
竖		ɕy5
树		ɕy6
句		tɕy5
