// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	p	pʰ	m	v	t	tʰ	n	l	ts	tsʰ	s	kʰ	x
@FIN	a
@TON	陰平	213
@TON	陽平	44
@TON	上聲	313
@TON	去聲	53

// Initial	Final	Tone	CharList (Space separated)
p	a	陰平	巴 疤
p	a	上聲	把{~握}
p	a	去聲	霸 壩 柄 爸 耙{~地} 罷
pʰ	a	陽平	鈀{~子} 爬 琶
pʰ	a	去聲	怕
m	a	陰平	媽
m	a	陽平	麻 蟆{蛤~}
m	a	上聲	馬 碼{尺~}
m	a	去聲	罵
v	a	陰平	挖1
v	a	上聲	瓦1{名詞}
v	a	去聲	瓦2{動詞} 漥
t	a	上聲	打
t	a	去聲	大1{東西很~}
tʰ	a	陰平	他
n	a	陽平	拿
n	a	上聲	哪1{在~了}
n	a	去聲	那
l	a	陰平	拉1{~住}
l	a	去聲	落1{丟三~四}
ts	a	陰平	渣 眨
ts	a	上聲	閘 鍘
ts	a	去聲	詐 榨 炸1{爆~} 乍{突然} 柵{~欄}
tsʰ	a	陰平	叉 差1{~別}
tsʰ	a	陽平	茶 搽 杈{丫~棒} 茬 查{調~}
tsʰ	a	去聲	差2{~不多} 岔{三~路}
s	a	陰平	沙 紗
s	a	上聲	傻 灑 撒
s	a	去聲	廈{大~} □{挑選}
kʰ	a	上聲	卡{~片}
x	a	陰平	呵{~氣}
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	p	pʰ	m	t	tʰ	n	l	ts	tsʰ	s	z	k	kʰ	ŋ	x
@FIN	au
@TON	陰平	213
@TON	陽平	44
@TON	上聲	313
@TON	去聲	53

// Initial	Final	Tone	CharList (Space separated)
p	au	陰平	包 胞1{雙~胎}
p	au	陽平	刨{~地}
p	au	上聲	保 堡1{雕~} 寶 飽 褒
p	au	去聲	抱 報 暴 鮑 豹 爆 鉋{推~}
pʰ	au	陰平	胞2{細~} 泡1{燈~}
pʰ	au	陽平	袍 拋 剖 狍{~子}
pʰ	au	上聲	跑
pʰ	au	去聲	炮 泡2{~面}
m	au	陽平	毛 茅 貓 矛
m	au	上聲	卯 牡
m	au	去聲	冒 帽 貌 茂 貿
t	au	陰平	刀 叨
t	au	上聲	島 倒1{打~} 導
t	au	去聲	道 稻 到 倒2{~水} 盜
tʰ	au	陰平	掏
tʰ	au	陽平	桃 逃 淘{~米} 陶 濤
tʰ	au	上聲	禱{~告} 討
tʰ	au	去聲	套
n	au	陽平	撓
n	au	上聲	腦 惱
n	au	去聲	鬧
l	au	陽平	勞 撈 牢 嘮{~叨}
l	au	上聲	老
l	au	去聲	澇 烙1{~餅}
ts	au	陰平	遭 糟 召 招
ts	au	陽平	鑿 着1{~急}
ts	au	上聲	早 棗 澡 爪1{~牙} 找 沼{~氣}
ts	au	去聲	皂 造 竈 罩 笊{~籬} 趙 兆 照 焯{把菜在開水中~~}
tsʰ	au	陰平	操1{~作} 抄 超
tsʰ	au	陽平	巢 曹 槽 朝{~代} 潮
tsʰ	au	上聲	草 炒 鈔 吵
tsʰ	au	去聲	躁 暴{~糙} 粗{~操} 曹{~}
s	au	陰平	騷 臊1{味} 梢 捎 稍 燒 紹
s	au	陽平	勺 芍 韶{~山}
s	au	上聲	掃1{~地} 嫂 少1{多~}
s	au	去聲	臊2{~子} 掃2{~帚} 潲{~雨} 少2{~白頭} 邵
z	au	陽平	饒{~命}
z	au	上聲	擾 繞1{圍~}
z	au	去聲	繞2{~線}
k	au	陰平	高 膏1{~藥} 糕
k	au	上聲	稿 搞
k	au	去聲	告 膏2{~車}
kʰ	au	上聲	考 烤
kʰ	au	去聲	靠 犒
ŋ	au	陽平	熬 嘵
ŋ	au	上聲	襖
ŋ	au	去聲	傲 整{烙餅用具} 奧
x	au	陰平	蒿{~子}
x	au	陽平	豪 壕 毫 號1{哭} 耗1{~費}
x	au	上聲	好1{~壞}
x	au	去聲	浩 好2{愛~} 號2{幾~} 耗2{~子}
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	z	k	kʰ	ŋ	x
@FIN	aʔ
@TON	入聲	3

// Initial	Final	Tone	CharList (Space separated)
p	aʔ	入聲	博 八 拔 撥 勃 餑 薄 泊 剝 駁
pʰ	aʔ	入聲	潑 模
m	aʔ	入聲	抹1{~桌子} 末 沫 沒1{沉~;莫;膜;寞;摸}
f	aʔ	入聲	法 乏 髮 發 伐 罰
v	aʔ	入聲	挖2{~土} 襪 握 沃
t	aʔ	入聲	答 搭 達
tʰ	aʔ	入聲	踏 塌 沓 塔 榻 渴
n	aʔ	入聲	納 捺
l	aʔ	入聲	拉2{~屎} 臘 蠟 獵 辣
ts	aʔ	入聲	雜 劄 炸2{~花生} 摺 褶 墊 蜇 哲 貴 宅 摘 折 窄 搾 擇 澤 則 浙 着2{~火}
tsʰ	aʔ	入聲	廁 插 擦 察 徹 撤 側 測 拆 策 冊
s	aʔ	入聲	攝 涉 澀 薩 撒2{~手} 殺 舌 設 色
z	aʔ	入聲	熱 若 弱
k	aʔ	入聲	鴿 割 葛 揭 各 閣 擱 格 革 隔
kʰ	aʔ	入聲	咳 磕 渴 客1{~車}
ŋ	aʔ	入聲	惡2{~心} 扼 額
x	aʔ	入聲	哈{點頭~腰} 合 喝 郝 核1{審~;赫} 盒2{~子}
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	k	kʰ	ŋ	x
@FIN	ei
@TON	陰平	213
@TON	陽平	44
@TON	上聲	313
@TON	去聲	53

// Initial	Final	Tone	CharList (Space separated)
p	ei	陰平	杯 碑 卑 悲
p	ei	陽平	白1{~色}
p	ei	上聲	擺
p	ei	去聲	貝 拜 鞴{~拐子} 敗 輩 背 卜{輩} 焙{~乾}
pʰ	ei	陰平	坯{~子}
pʰ	ei	陽平	排 牌 培 陪 賠
pʰ	ei	去聲	派 配 佩
m	ei	陽平	埋 梅 媒 煤 黴
m	ei	上聲	買 每 美
m	ei	去聲	邁 賣 妹 昧
f	ei	陰平	非 匪 飛 妃
f	ei	陽平	肥
f	ei	上聲	翡{~翠}
f	ei	去聲	廢 肺 費
v	ei	陰平	歪 危威 維 違
v	ei	陽平	皚{~磨} 為1{作~;唯;微} 稍{~圍}
v	ei	上聲	偽 委 偉 葦{~子} 蝟{尾1結~}
v	ei	去聲	外 衛 為2{~甚} 位 未 味 魏 畏 喂 慰 胃 謂
t	ei	陰平	獃
t	ei	上聲	逮 擿{雞毛~子}
t	ei	去聲	待 戴 貸 代 袋 帶 大2{~夫}
tʰ	ei	陰平	胎 苔
tʰ	ei	陽平	臺 抬
tʰ	ei	上聲	牘{打~}
tʰ	ei	去聲	態 太 泰
n	ei	陽平	崖{山~} 捱{~打}
n	ei	上聲	哪2{~個} 奶
n	ei	去聲	耐 奈 內
l	ei	陽平	來
l	ei	去聲	賴 癩
ts	ei	陰平	災 裁 齋
ts	ei	陽平	賊
ts	ei	上聲	宰 載
ts	ei	去聲	在 再 債 寨
tsʰ	ei	陽平	才 財 材 裁 纔 豺 柴
tsʰ	ei	上聲	猜 彩 採 踩 睬
tsʰ	ei	去聲	菜 蔡
s	ei	陰平	腮 鰓 篩
s	ei	去聲	賽 曬
k	ei	陰平	該
k	ei	上聲	改
k	ei	去聲	概 溉 蓋 給1{助詞}
kʰ	ei	陰平	開
kʰ	ei	上聲	凱 楷
kʰ	ei	去聲	慨{慷~}
ŋ	ei	陰平	挨{~住} 藹{和~}
ŋ	ei	去聲	礙 艾 愛
x	ei	上聲	海
x	ei	去聲	亥 害 和1{連詞}
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	p	pʰ	m	n	l	tɕ	tɕʰ	ɕ	Ø
@FIN	i
@TON	陰平	213
@TON	陽平	44
@TON	上聲	313
@TON	去聲	53

// Initial	Final	Tone	CharList (Space separated)
p	i	上聲	比 彼
p	i	去聲	蔽 蓖{~麻} 閉 弊 斃 幣 避 備 篦{~梳}
pʰ	i	陰平	批 披
pʰ	i	陽平	皮 琵{~琶} 枇{~琶} 庇{包~}
pʰ	i	上聲	疲 脾 痹{麻~}
pʰ	i	去聲	屁
m	i	陽平	迷 謎 眉
m	i	上聲	米
m	i	去聲	□{偷}
n	i	陽平	泥 尼
n	i	上聲	你
n	i	去聲	膩
l	i	陽平	犁 黎 離 璃 梨 釐 狸{~貓}
l	i	上聲	禮 李 裏 里 理 鯉
l	i	去聲	例 厲 勵 麗 隸 利 痢 栗
tɕ	i	陰平	低 雞 飢 肌 幾{茶~基} 機
tɕ	i	上聲	底 抵 擠 幾{~個}
tɕ	i	去聲	弟 帝 第 遞 地 祭 際 濟 劑{一~藥} 計 繼 技 妓 寄 冀 紀 記 忌 季 既
tɕʰ	i	陰平	梯 妻 欺 期
tɕʰ	i	陽平	題 提 蹄 屜 齊 奇 騎 其 棋 旗 杞
tɕʰ	i	上聲	體 啟 企 豈 起
tɕʰ	i	去聲	替 剃 砌 契 器 棄 氣 汽 訖
ɕ	i	陰平	西 棲 畦{菜~} 犧 稀
ɕ	i	上聲	洗 璽 喜 嬉{~蛛} 希
ɕ	i	去聲	細 壻 系 戲 係
Ø	i	陰平	醫 衣 依
Ø	i	陽平	誼 移 姨 疑
Ø	i	上聲	蟻 椅 以 已 尾2{~巴}
Ø	i	去聲	意 憶 億 藝 宜 義 議 毅 易 異
// HSD Syllabary Data Partition
// 地区：山西省-忻州市-寧武縣
// 来源：郭慧《山西寧武方言三區話語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-忻州市-寧武縣
@SRC	郭慧《山西寧武方言三區話語音研究》

@INI	l	tɕ	tɕʰ	ɕ	Ø
@FIN	ia
@TON	陰平	213
@TON	陽平	44
@TON	上聲	313
@TON	去聲	53

// Initial	Final	Tone	CharList (Space separated)
l	ia	陰平	倆
tɕ	ia	陰平	家 加 枷 嘉 傢{~具} 佳
