#i	
p	[3]比□{用手指指}[6]避
pʰ	[1]批[3]疕{痂}匪‖[9]费{～用}
m	[3]米美
t	[2]池□{2，～官：公公}[3]底{1，间～：房间；～爿：里面}□{刚}[6]弟{1，阿～：弟弟}
tʰ	[5]剃
n	[3]汝{2，你}
l	[2]离篱[3]李{□pʰʊ55～：李子；姓}理鲤□{□lɛ11～：穿山甲}[6]滤{1}|豉{豆～}
s	[1]施[2]匙[3]死[5]世势
tʃ	[1]枝{2，荔～}脂{胭～}[3]紫姊旨指{3，手～：戒指}子{1，鱼～}籽止[5]祭际制製至{夏～}志
tʃʰ	[5]刺{植物的刺}
k	[1]鸡[3]麂[5]计继桂季‖[9]纪{～念}
kʰ	[3]齿起[5]契
ŋ	[6]艺义|易{容～}
x	[3]喜[5]肺戏[6]系{关～}
∅	[2]移[3]椅以
#ʊ	
p	[2]菩{～萨}葡{～萄}[3]补[5]布[6]簿{～～：笔记本}部步
pʰ	[1]麸[2]扶{推}[3]谱浦殕{冬瓜表皮上的白霜，生～：发霉}□{～李：李子}[5]铺{十里}
m	[1]|夫{丈～：男人，丈～囝：男孩}[3]母{1，阿～：伯母，叔伯～：妯娌，做～农：女人}[5]墓{坟墓}[6]务雾|□{烟～：灰尘}
t	[3]赌肚{腹～：肚子}[6]□{路}□{～□lɛiŋ112：蜥蜴}‖[9]□{～袋：上衣的口袋}
tʰ	[3]土
l	[3]鲁
ts	[1]朱硃珠{2，蜀粒～：一颗珠}[3]祖组阻子{2，地支之一}[5]铸
tsʰ	[3]楚{清～；国名}此[5]厝{康～：地名}戍{房子}
s	[1]输{～赢}[3]史{历～}
k	[3]果馃古股鼓牯{牛～；公牛}[5]过{动词}句
kʰ	[1]锅{铁～：钢精锅}科窠{窝}靴[2]瘸{1，～骹：瘸子，～手：手有残废}[3]苦[5]课
ŋ	[1]|晡{冥～：晚上}[3]午{地支之一}
x	[3]虎府[5]货
∅	[3]舞
#y	
t	[2]□{1，～官：公公}
tʰ	[3]□{铁～：锅铲}
n	[3]女汝{1，你}
l	[3]吕铝
s	[3]绪{光～}暑黍{曲头～：高粱}髓
tʃ	[3]煮主沝{水}水
tʃʰ	[1]吹{蒸}炊[3]鼠{老～；～～：兔子}取
k	[3]举
ŋ	[3]语
x	[3]许{2，姓；～配}
∅	[1]|预{～备}[3]雨
#a	
p	[1]爸{2，阿～：爸爸}[2]爬耙{～□zau335：耙子}[3]把饱[5]霸
pʰ	[5]怕帕泡{□lɔuŋ11～：起泡}
m	[1]‖脬{𡳞niŋ44～袋：阴囊}[2]麻{2，～面：麻脸}蟆猫{1，野～}明{2，～旦：明天}[3]马妈{1，老～：妻子}[5]骂[6]妈{2，～～：姑}|爸{1，郎～：父亲}
t	[1]□{干燥}[2]茶
tʰ	[5]䖳{海蜇}‖[9]□{～□liu21：玩儿}
n	[1]□{伤疤}‖□{总～：只，副词}[2]□{拃}□{解大小便}
l	[1]拉
ts	[2]查{动词}□{□laŋ55～：围嘴儿}[3]早
tsʰ	[2]柴{柴，树}[3]炒
s	[1]纱痧疏{稀疏}[3]撒{斜滩不用与“夜”同音的有音无字（比如白琳把这个字读作[ia33]），而用“撒”}
k	[1]家加佳胶{～水}铰{剪；～刀：剪刀}□{蜻～：蜻蜓}‖交{1，～椅：椅子}□{～蚤：跳蚤}[3]假{真～；放～}[5]架驾嫁价教{1，动词}[6]咬[0]□{～□laʔ3侧：侧身}□{记～：记住}‖[9]绞{～米：碾米}
kʰ	[1]骹{脚}
ŋ	[1]□{手～：指缝，柴树～：树杈}[2]牙芽衙[3]雅
x	[2]霞蛤{～蟆：青蛙}虾[5]孝{1，带～}[6]下{动量词}夏{～至}
∅	[3]哑拗[6]下{～爿：下面；～堂：下课}[0]阿{词头}
#ie	
t	[1]爹{阿～：爸爸}[6]蛎{牡蛎}
s	[1]赊[2]邪斜{2，～滩：地名；形容词}蛇畲□{～□pau55花：杜鹃花}[3]写[5]卸赦舍{进～：姑娘招男子来家结婚落户}[6]社{1，公～}谢射麝
tʃ	[3]纸[5]蔗漈{小瀑布}‖[9]笊{～篱}柘{～荣：地名}
tʃʰ	[1]车{坐～}[2]斜{1，戴～：戴歪}[5]□{～农：传染}
k	[2]屿{秦～：地名}□{～头：石头}[5]寄
kʰ	[5]徛{2，陡；～戍：盖房子}[6]徛{1，站立}
ŋ	[2]鹅蜈{～蚣}□{～桶：马桶}[5]艾{草名}[6]蚁外
∅	[1]曰|□{□ty11～：婆婆}[3]野{～猫}[6]也夜
#uʌ	
p	[5]簸{动词；～箕}‖[9]斧{～头}
pʰ	[5]破{～柴：劈柴}
m	[2]磨{动词}麻{1，草名}
t	[6]大{1}
tʰ	[1]拖
l	[2]箩[5]濑{水流较急、较浅的地方}
ts	[1]抓
s	[1]沙鲨
k	[1]过{菜老}瓜[3]寡[5]芥{～菜}挂{～历}卦‖[9]庎{～橱：碗橱}
ŋ	[3]我[6]瓦{1}话{声母特殊}|夥{若～：多少}
x	[1]花[2]华{中～}[5]化{～脓}[6]画{名词}
∅	[6]瓦{2}
#ai	
p	[5]拜[6]败
pʰ	[5]派
m	[5]□{坏，破}
t	[1]‖代{2，～表}[2]台{2，戏～}□{埋；埋葬}□{鸡虱}[5]戴{2，姓}带{1}碓{水～}[6]大{2，～陆}
tʰ	[1]胎梯𥭘{筛子}筛{筛子}痴{风～：台风}[2]治{杀}[3]腿{大～}[5]态太泰
n	[5]奶{2，妗～：舅妈}[6]耐
l	[2]雷{1，～响：打雷}[3]□{篓}[6]赖
ts	[1]灾栽斋{食～：吃素}[2]才{奴～}材财豺脐[3]指{2，六～：六指儿}[5]再债[6]在寨
tsʰ	[1]差{出～}[3]彩采[5]菜蔡
s	[1]狮{猪～：配种用的公猪}师{1，～父}[3]屎使{解～得：可以}[5]婿
k	[1]该皆阶□{嗉子}[3]改[5]概溉盖界戒‖[9]解{2，～放}
kʰ	[1]开{2，～水}[3]凯
ŋ	[5]介{～绍}
x	[2]□{陶瓷器}[3]海[6]亥害
∅	[1]哀[3]□{一种海里的螃蟹，较小}‖[9]爱{2，～国}
#uai	
k	[3]拐[5]怪{责怪}
kʰ	[5]块{读字}快{3，爽～：舒服}
x	[2]怀
∅	[1]歪
#au	
p	[1]包[5]豹□{□sie11～花：杜鹃花}
pʰ	[1]□{老～：柚子}[5]炮
m	[3]卯[6]貌
t	[1]蔸{棵}□{碰～：两个人碰撞}□{暗舷～：傍晚}‖脰{～领：脖子。不是“衣领”的意思，而是“脖子”的意思。}[3]斗{容量单位}[5]昼[6]豆
tʰ	[1]偷[2]头[3]㪗{展开}[5]透毒{用毒药毒害致死}
n	[6]闹{～热：热闹}
l	[2]楼流{1}刘留[5]□{腹肚～：拉肚子}|□{舅～：舅舅}[6]老{1}漏
ts	[1]糟[3]蚤找[5]灶爪{骹～：爪。阴去}罩□{～痒：抓痒，耙～：耙子}
tsʰ	[1]抄[3]草吵[5]臭
s	[5]扫{动词}嗽
k	[1]交{2}钩沟[2]猴□{～□kuŋ42：蚯蚓}[3]垢九[5]教{2，～育}较□{到}□{起～：降霜}[6]厚
kʰ	[1]箍□{阄}[2]□{刮去}‖[9]快{2，～活。韵母特殊}
ŋ	[2]□{歪}[5]□{□pʰœuŋ11～：牙杯}
x	[1]薅{～塍：用耙子除草}[5]孝{2}鲎[6]校{～长}
∅	[2]号{哭}[6]後{1}
#ɛ	
p	[1]□{女阴}[2]排牌{筏子}摆
pʰ	[3]□{喙～：脸颊}□{翼～：翅膀}[5]稗
m	[3]买卖{2，贩～}[6]卖{1}𣍐{不会}
t	[1]低[2]题蹄[3]底{2，水～，鞋～}抵[5]帝[6]弟{2，徒～}第
tʰ	[3]体[5]替
n	[2]泥{水～}[3]奶{1，阿～：母亲}
l	[2]□{～□li42：穿山甲}[6]荔厘
ts	[1]遮[2]齐{～农：大家，汝～：你们}[5]□{苎丝}
s	[1]西‖社{2，～口：地名}[3]洗[5]细[6]□{多}
k	[1]街[2]个{2，的}[3]解{1，～开}[5]疥
kʰ	[1]溪[5]快{1，速度快；～活}
ŋ	[2]|□{□liŋ55～：较大的老鹰}
x	[6]蟹{淡水里的螃蟹}□{腻}
∅	[2]鞋[3]矮[5]□{看}[6]解{会}
#ɛu	
m	[6]茂贸
t	[1]雕[2]条投愁[5]鬥
n	[2]□{捻}□{歪}
l	[1]|馊{臭～：馊}[2]寮{灰～：茅棚}□{惹}[5]□{□tsʰœʔ3～：钹}[6]料
ts	[3]鸟走{读字}[5]奏皱咒
tsʰ	[2]□{性交。阳平}[5]凑
s	[1]搜[2]□{均匀；～～：常常}
k	[3]狗{～腿：走狗}□{难看，丑}[5]够构□{挂}
kʰ	[3]口{1}[5]扣□{蕃薯～：用白薯粉做的粉条}
x	[6]後{2，落～}候
∅	[1]欧[3]藕
#ɔ	
p	[2]婆{1，阿～：奶奶}□{～记：痣}[3]保宝[5]婆{2，外～：外祖母}报暴
pʰ	[1]坡‖菠{～萝。送气音}[6]抱
m	[1]□{刺～：野生的草莓}[2]魔毛无{没有，无}[3]母{2，猪～：母猪，虱～：虱子}[6]磨{名词}帽
β	[1]□{米～：炒米}
t	[1]多刀[2]驼{瘸腹～：驼子}驮{拿}逃[3]朵{耳～}岛倒{躺}[5]到[6]道{～士，味～}
tʰ	[2]桃[3]讨[5]套□{动量词，趟}
n	[1]‖糯{～米}[2]萄{葡～}□{拧}[3]脑
l	[2]罗锣萝{包～：玉米，菠～}逻劳牢[3]栳{鞋～：针线筐}[6]□{寻找}[0]了{1，助词。常读作[lə0]}‖[9]老{2，～师}
