#ɿ	
ts	[3]子{地支第一位}紫{紫色}走{跑}祖{拜～先}[5]灶{旧式炉灶}[0]子{痴～：疯子；秃～}
s	[1]狮{狮子}师{～傅：手艺师傅}厮{茅～：厕所}[2]瓷{～器}□{～□tsi1爷：蝉}[5]扫{～戍：打扫房子，扫地}[6]事{事情，事务}字巳{地支第六位}士{道～}
#i	
p	[1]蓖{～麻}蜱{乌～：臭虫}[3]笔比{用于比较的介词}斧{～头}[5]痱{热～：痱子}
pʰ	[2]皮{树皮，兽皮，皮革}枇{～杷}脾{发～气}[3]疕{饭～：锅巴}[5]鼻{鼻子；闻，嗅}屁
m	[2]眉{～毛}[3]米美{～国}[6]沕{潜水}寐{潜水}
f	[1]嬉{玩耍，戏弄}[3]匪{土～}[5]肺
v	[6]未{地支第八位}
t	[1]低{～头}[3]抵{～押}底{溪～}底{什～：什么}[5]智{～慧}□{□loŋ5～做：怎么做}[7]滴{量词；动词}仔{子尾，梅～：梅子，小囝～：婴儿}[0]仔{子尾}地{目珠开开～：眼睛睁得大大的；偷偷～}□{覆～倒：趴着睡；渠坐～：他坐着}
tʰ	[2]池{～塘}[3]体{身～}[6]地{～方}弟{徒～}[7]啼{哭}
l	[2]来梨离{远离}尼{～姑}呢{毛呢}泥{印～}狸{狐～}璃{玻～}篱{竹～笆}黎{姓}[3]裏{～布：衣服里子}[6]俐{伶～：干净}[7]里{距离单位}□{□liẽ2～：穿山甲}礼{送～}李{姓}鲤{～鱼}
ts	[1]□{□sɿ2～爷：蝉}[3]子{种子，核，仁；鱼～：鱼卵}姊{～仔：姐姐}□{～虫：蛔虫}
tsʰ	[2]餈{糯米甜糕}糍{糯米甜糕}齐鹚{鸬～：鹭鸶}脐{腹～：肚脐}荠{□ma7～：荸荠}[3]七漆[6]自{～～：自己}
s	[1]丝{蚕丝，生丝}西{～边}[2]□{个kai5～～仔：一点点}[3]死[5]四细{细小；精细}
tʃ	[3]汁{目～：眼泪}指{金手～：戒指}止{停～}指{动词；手～}织{～布}[5]痣
tʃʰ	[1]痴{疯}[6]□{𢫦□a5～：打喷嚏}
ʃ	[1]诗稀{（液体）稀}[2]时{～间}[3]屎喜{～欢}失{～眠}什{～底：什么}[5]戏试世{～界}[6]是市{～场}誓{～愿：誓言}
k	[1]支{个kai5～笔：一支笔}枝{树～}机{灵～：灵感}箕{粪～：簸箕}乩{扛～：扶乩，在桌上占卜}[3]几{多少？}己{天干第六位}麂{獐}[5]寄{～信}记{～性：记忆}[7]杞{枸～}橘{金～}
kʰ	[1]欺{～骗}[2]棋{～盘}奇{～怪}[3]起{起来，起床}[5]气{形容词，恼怒，生气}汽{～车}器{陶～}[6]忌{妒～}[7]虮{□luŋ2～：水蛭}
ŋ	[5]日{太阳；日子；～历}[6]二[7]耳{木～（读音存疑）}
∅	[1]□{～□ʃa2：谁}医{～生}衣{～裳：衣服}[2]寅{地支第三位}姨{～～：姨妈}[3]一乙{天干第二位}以{～后}[5]意{故～}
#iʔ	
m	[8]蜜{蜂蜜}
tʰ	[8]直侄{侄子}
l	[8]栗{栗子}曆{日～}逆{～水：逆流而上}励{鼓～（读音存疑）}莉{茉～花}
ts	[8]□{拥挤；挤}
tsʰ	[8]疾{疼，痛}
ʃ	[8]十食{吃，喝}实{结～；老～}
#u	
p	[3]腹{～屎：肚子}不{对～起}
pʰ	[1]铺{铺开，整理（床铺）}[2]菩{～萨}葡{～萄}[5]铺{店铺}[6]步{量词}部{全～}[7]簿
m	[2]模{～型}[5]目{～珠：眼睛}[7]母{～舅：舅舅；伯～；岳～}
f	[2]湖扶{支撑，托住}狐{～狸}糊{～里～涂}胡{～椒}蝴{～蝶}鬍{～须}虎{马～}壶{茶～}呼{招～个kai0下ha6：打下招呼，招作tʃai1，存疑}[3]福{～建}蝠{蝙～}[6]赴{唔～：赶不及}傅{师～}妇{寡～}父{岳～}
t	[1]都{副词}[3]赌{～博}[5]昼{～边：中午}妒{～忌}[7]肚{豨～：猪肚；鱼～}
tʰ	[2]徒{～弟}涂{糊里糊～}[3]土{～匪}吐{～澜：吐痰}[5]兔毒{毒（鱼）}吐{呕吐}[6]渡{～口}肚{兜～：围嘴}
l	[2]炉{炉子；火盆}鸬{～鹚：鹭鸶，原文为“鹭鸶”，应有误}芦{～苇}[6]露{露水}[7]鲁{粗～}
ts	[1]租
tsʰ	[1]粗[5]醋
s	[3]所{厕～}
tʃʰ	[1]初{～一：农历初一}[3]楚{清～}
ʃ	[1]梳{～仔：梳子}[3]叔{～～}[5]六数{动词}
k	[1]姑{～～}菇{香～}□{□he2～：喘气，气短}[3]鼓国{～家}古{～时：故事}[5]□{蹲}故{～事}
kʰ	[3]虎{老～}[5]裤[7]□{用罩子罩住鸡；鸡～：用来罩住鸡的罩子}
ŋ	[2]吴{姓}[3]五[7]午{地支第七位}
∅	[1]乌{黑}[2]鬍{筅帚～：鲶鱼}[3]戊{天干第五位}[6]雾
#uʔ	
pʰ	[8]覆{～□ti0倒：趴着睡}
m	[8]木{～头}
f	[8]忽{～然}袱{包～}
l	[8]鹿
#y	
pʰ	[1]夫{丈～□ʃa2：男人}[2]肥匏{～仔：葫芦}[3]殕{生～：发霉}[6]吠{（狗）叫}伏{孵（蛋）}[7]补{缝补}妇{新～：媳妇}
f	[3]雨许{姓}腐{豆～（读音存疑）}
t	[1]猪{豪～}[7]竹{竹子}
tʰ	[1]𥭘{动词，筛}筛{动词，筛}[2]锤{锤子，秤砣}厨{～师}橱{～桌：抽屉}[6]箸{～只：筷子}[7]苎{苎麻}
l	[2]驴[7]女{侄～：孙女（读音存疑）}
ts	[3]嘴{嘴，喙}
tsʰ	[2]徐{姓}[5]菜{蔬菜}喙{～澜：口水}[6]醉
s	[1]鬚{昆虫的触角；胡～}荽{芫～：香菜}[2]随{～便}[3]戌{地支第十一位}
tʃ	[1]朱{姓}蛀{米～虫：米虫（读音存疑）}珠{目～：眼睛}[3]煮主{～人}
tʃʰ	[3]出{出来，出现}鼠{老～}[5]树[6]箸{～只：筷子}
ʃ	[1]书输{输赢}[2]垂{～下ha7来}芦{～荚：一种用作牛饲料的大型粗芦苇}[3]水叔{～仔：叔叔}暑{中～}
k	[1]龟{乌～}[3]渠{他，她}举{举（手）}癸{天干第十位}[5]个{从属助词，的，是我～}锯贵桂{～花}[7]□{□kʰa1鱼～：捕鱼器}
kʰ	[2]□{～□tʰø̃7：门槛}葵{向日～}[3]豨{猪}跪[5]臼{石～}[6]旧具{家～}柜{桌～：柜子，橱柜}[7]菊{～花}曲{手～：手肘}
ŋ	[2]牛[5]肉[6]遇{～着：遇到}
∅	[2]如{～果}[3]□{姿势怪异，不是站也不是坐}[7]熨{熨（衣服）}
#yʔ	
l	[8]绿旅{～馆（读音存疑）}
ʃ	[8]熟
kʰ	[8]掘{（用工具）挖}
ŋ	[8]玉
#a	
p	[1]疤□{形容词，黏}巴{哑～；尾～}[2]巴{𢫦个kai0～掌：扇耳光}爸{阿～：爸爸，面称}[3]百八擘{张开嘴，～大嘴：打哈欠}掰{张开嘴，～大嘴：打哈欠}北{～边}[7]柏{～树}伯{大～；～母}[0]笆{竹篱～}
pʰ	[2]爬耙{耙子；动词，耙}□{～仔：李子}杷{枇～}□{□kʰo2□ʃo1～：一种不结网的蜘蛛}□{牛～：蜗牛}[3]迫{强～}[6]耙{耙子，碎土的农具；耙地}[7]巴{下～}
m	[1]妈{妈妈，面称；舅～}[2]痳{形容词}麻{～油：芝麻油}嫲{～仔：母亲；鸡～：母鸡；豨～：母猪}蟆{蛤～：青蛙，蟾蜍}马{～虎}[3]妈{阿～：奶奶，面称}[5]骂[7]马□{～荠：荸荠}
f	[1]花[2]划{～拳；～船}[3]發{～霉；～生}法{办～}[5]化{融化}[6]话{话语，语言}画{动词，画画；名词}
t	[1]多{我～：我们；你～：你们；渠～：他们}[3]打{～猎；～□kø7：打嗝}德{～国}[7]得{记～；给；被动标记}
tʰ	[3]铁贴塔[7]塌{倒塌}
l	[3]□{在，～戍下：在家}□{只，仅}
ts	[3]节{度～：过端午节}
tsʰ	[3]擦{～桌}[5]贼岔{打～}
s	[1]纱{纺～}[3]萨{菩～}
tʃ	[1]渣{渣滓}[3]隻{量词}□{这，～边：这边，～多人：这些人}[5]蔗{甘～}
tʃʰ	[1]车叉{鱼～}[2]茶畲{菜～：菜园}[3]拆厕{～所}赤{打背～：打赤膊}[7]侧{～面倒：侧着睡}
ʃ	[1]沙{豆～}[2]□{用于人的量词；人；□i1～：谁}[3]涩色{颜色；～子tsi3}舍{～唔得：舍不得}[5]赊{～账（读音存疑）}[6]射
k	[1]加家{～具；大～}[2]隔{（变调）～壁}[3]甲{手～：指甲；天干第一位}假{形容词}寡{守～}[5]嫁{嫁人}个{～半：一半}价{减～：打折，降价}[7]夹{～菜}荚{芦～：一种用作牛饲料的大型粗芦苇}[0]个{做～下ha7：整个，一起}
kʰ	[1]□{抓，捕}[3]客{～气}
ŋ	[2]牙芽
h	[2]蛤{～蟆：青蛙，蟾蜍；～蟆虫：蝌蚪}下{～巴}虾{～油}[6]下{息个～：休息一下}夏{～天}[7]下{～楼，～去；楼～；～昼：下午}虾瞎{～子}
∅	[2]阿{～爸：爸爸，面称}[3]鸭押{抵～}[5]□{还，仍}□{～曾去：还没去，曾ŋaŋ2当为“唔曾ŋ6ŋaŋ2”合音}□{𢫦～□tʃʰi6：打喷嚏}[7]哑鸦{老～：乌鸦}
#aʔ	
pʰ	[8]白
m	[8]脉𢫦{打}
f	[8]罚
tʰ	[8]踏{踩}叠{堆，摞}碟{～仔：碟子}
l	[8]辣拉搦{拿}猎{打～}喇{吹～箫：吹号角}□{～□saʔ8：肮脏；垃圾}
tsʰ	[8]□{蟑螂}
s	[8]□{□laʔ8～：肮脏；垃圾}
tʃʰ	[8]勺{从（灶上的）锅里舀；水～：水瓢}铡{～刀，原文“刀”作to2，存疑}
k	[8]夹{～仔：钳子}
h	[8]狭{狭窄}核{～桃}
#ia	
p	[3]壁{墙壁；～虎；篾～：栅栏}[7]壁{隔～}
f	[3]血
t	[1]爹{～仔：父亲}[7]□{拖，拉}
ts	[3]姐{大～：女佣}[5]借
tsʰ	[2]斜[6]谢{感谢；姓}
s	[3]写{～字}[5]泻{腹泻}
∅	[2]爷{□sɿ2□tsi1～：蝉}[3]也{～许}[7]野{～鸡；～豨：野猪}
#iaʔ	
l	[8]𤘃{扬谷用的大型扁平竹器}□{扬谷用的大型扁平竹器}曆{官～：历书，日历}
kʰ	[8]□{跨过}屐{柴～：木屐}
#ua	
ts	[3]爪{爪子}
k	[1]瓜[3]刮{原文作“剐”}寡{～妇}[5]挂
∅	[2]挖{挖（用手）}[3]□{那；～只：那个}[6]话{～事：说话，商量}[7]瓦
#uaʔ	
#ai	
p	[3]摆{打～子tsɿ0：发疟疾}[5]拜簸{簸（谷）}
pʰ	[2]牌{铺～：打麻将，打牌}簰{竹～：竹筏}[5]破{形容词}[6]败
m	[2]磨{动词}埋[6]卖[7]麻{芝麻}痳{出～：出麻疹}买
t	[1]多{量词，些；几～：多少？}□{□tʃa3～：这里；□loŋ5～：哪里}[5]戴带{～□tʰio6：带路；裤～}
tʰ	[1]拖{拖，拉}[2]抬{（两人）抬}苔{青～}[5]太{～阳穴}[6]大待{招～}
l	[2]犁拉{～尿，～屎}泥{土，土壤}[6]赖{散～：撒娇}
ts	[1]灾{火～}[5]再{～见}
tsʰ	[2]裁{裁布做衣服}材{棺～}[6]在{现～}
s	[1]沙{沙子}[2]婿{～郎：女婿（原文声调可能有误）}[3]洗{洗；生孩子}[5]细{（孩子）小}
tʃ	[1]斋{～菜：青菜，素菜；书～：学校}
tʃʰ	[2]柴{～屐：木屐}[3]□{麻风病}
