音標	調類	調值	
ba	1	22	扳攀
ba	2	21	排牌簰
ba	5	213	派盼襻
ba	6	44	稗敗辦絆（~跤）
ba	7	45	拔
bau	1	22	泡抛
bau	2	21	袍刨麅
bau	3	53	跑
bau	5	213	炮砲泡
bau	6	44	抱暴菢鉋
bi	1	22	批（～評）胚坯披丕
bi	2	21	培陪賠裴皮疲脾琵枇
bi	5	213	沛配佩焙屁
bi	6	44	敝弊幣斃陛倍被婢被避庇備背
bi	7	45	鼻劈（文）匹僻闢
bin	1	22	姘拼（文）
bin	2	21	貧頻憑平（文）評萍蘋瓶屏
bin	3	53	品
bin	5	213	聘牝
bin	6	44	並
biɑŋ	1	22	拼（白）
biɑŋ	2	21	平（白）坪（白）瓶（白）屏（白）萍（白）
biɑŋ	6	44	病（白）
biɛ	1	22	偏翩篇
biɛ	2	21	便
biɛ	5	213	騙片遍
biɛ	6	44	辨辯汴便辮
biɛ	7	45	别撇
biɔ	7	45	劈（白）
biʊ	1	22	飄漂（～流）
biʊ	2	21	嫖瓢剽
biʊ	3	53	漂（～白）剖
biʊ	5	213	票漂（～亮）
bu	1	22	鋪
bu	2	21	蒲菩荸鬻脯
bu	3	53	譜普浦捕
bu	5	213	鋪
bu	6	44	簿步部埠
bu	7	45	樸朴卜撲仆僕曝瀑
bɑŋ	1	22	滂乓烹（白）
bɑŋ	2	21	旁龐肨螃鳑徬膀彭（白）膨（白）
bɑŋ	5	213	胖
bɑŋ	6	44	傍蚌
bən	1	22	噴烹（文）
bən	2	21	盆湓彭（文）澎（文）盆朋棚蓬
bən	3	53	捧
bən	5	213	噴
bən	6	44	笨
bɤ	1	22	潘
bɤ	2	21	盤蟠
bɤ	5	213	判叛畔泮
bɤ	6	44	拌伴絆（羈~）
bɤ	7	45	潑勃𡋯餑
bɔ	2	21	爬扒
bɔ	6	44	罷
bɔ	7	45	拍白怕迫（逼~）
bʊ	1	22	頗坡
bʊ	2	21	婆
bʊ	5	213	破
bʊ	7	45	薄泊雹
da	1	22	胎坍灘攤
da	2	21	臺苔抬談痰檀壇彈
da	3	53	奤毯坦
da	5	213	態太泰炭碳嘆
da	6	44	大袋淡誕但彈蛋
da	7	45	踏搨沓塔榻塌溻達
dau	1	22	滔掏濤超㪕
dau	2	21	桃逃淘陶萄潮朝饒
dau	3	53	討繞
dau	5	213	套導
dau	6	44	道
di	1	22	梯推
di	2	21	題蹄啼犁黎雷離籬璃離梨釐狸
di	3	53	呂稆旅縷屢體禮腿儡履李里裏理鯉累壘
di	5	213	替剃退蜕
di	6	44	慮濾袋弟屉第遞例厲勵麗隸地利痢吏累類淚
di	7	45	立栗律曆力笛荔笠粒踢（文）
din	1	22	廳聽（一～可樂）汀
din	2	21	林淋臨鄰鱗燐陵菱亭停廷庭蜓鈴伶翎
din	3	53	領（文）檩艇挺
din	5	213	聽
din	6	44	定（文）吝凌令錠另
diɑŋ	1	22	聽廳
diɑŋ	2	21	靈零良涼量糧梁粱
diɑŋ	3	53	領（白）嶺兩
diɑŋ	5	213	聽（～話）
diɑŋ	6	44	定（白）亮諒輛量
diəu	2	21	流劉留榴硫琉餾
diəu	3	53	柳
diəu	6	44	溜
diəu	7	45	六綠
diɛ	1	22	添天吞
diɛ	2	21	廉鐮簾甜連蓮聯田塡憐蓮騰謄藤
diɛ	3	53	斂臉舔腆
diɛ	5	213	掭
diɛ	6	44	殮電殿奠佃垫練鍊戀鄧
diɛ	7	45	貼鐵忒特碟列獵帖疊牒蝶諜烈裂劣
diɔ	2	21	提
diɔ	7	45	踢（白）
diʊ	1	22	偷
diʊ	2	21	條樓頭投骰
diʊ	5	213	透
diʊ	6	44	料豆
dɑŋ	1	22	湯昌菖
dɑŋ	2	21	堂棠螳唐糖塘長腸場程（白）
dɑŋ	3	53	倘躺廠
dɑŋ	5	213	燙趟暢唱
dɑŋ	6	44	讓（文）蕩宕丈仗杖鄭（白）
dən	1	22	春通充沖稱衝舂
dən	2	21	程（文）城銅蟲沉陳塵屯豚飩臀囤澄懲橙同桐筒童瞳重丞
dən	3	53	蠢逞桶捅統寵
dən	5	213	趁稱秤痛銃
dən	6	44	任（文）閏（文）動洞重
dəu	1	22	吹偷抽
dəu	2	21	圖除錘綢徒屠途塗儲廚仇酬如（新派）儒（新派）揉
dəu	3	53	土吐處杵丑醜乳（新派）
dəu	5	213	臭吐兔處
dəu	6	44	杜柱住
dəu	7	45	秃獨讀牘犢毒畜逐軸辱（新派）入（新派）
dɤ	1	22	貪穿
dɤ	2	21	潭譚纏團糰傳椽篅然
dɤ	3	53	染喘冉
dɤ	5	213	探串
dɤ	6	44	傳（～記文學）斷
dɤ	7	45	入日脫奪出
dɔ	1	22	他（其～）車
dɔ	3	53	扯
dɔ	7	45	赤尺
dʊ	1	22	拖
dʊ	2	21	駝坨鴕馱
dʊ	3	53	妥椭
dʊ	6	44	舵惰垛
dʊ	5	213	唾
dʊ	7	45	託托鐸踱着綽焯
fa	1	22	翻藩翻番藩
fa	2	21	懷槐淮凡帆環煩礬繁藩
fa	3	53	反
fa	5	213	泛販
fa	6	44	壞犯飯
fa	7	45	法乏髮發伐筏罰
fi	1	22	虚嘘盔恢灰麾非飛妃揮輝徽
fi	2	21	回魁茴誰肥
fi	3	53	許悔毁水匪榧翡
fi	5	213	廢肺吠税疿費
fi	6	44	賄匯晦會繪惠慧穢睡瑞諱彙
fin	1	22	熏勳薰
fin	5	213	訓
fiɑŋ	1	22	兄
fiəu	2	21	浮
fiəu	3	53	否
fiɛ	1	22	靴
fiɛ	2	21	玄懸
fiɛ	7	45	血穴或惑獲
fu	1	22	呼乎夫膚跗敷俘孵麩
fu	2	21	胡湖狐壺瓠鬍符扶芙
fu	3	53	虎滸府腑俯甫脯斧撫釜腐輔
fu	5	213	付賦傅赴訃附阜富副復
fu	6	44	户滬戽互護瓠父婦負
fu	7	45	斛福幅蝠複腹覆服伏栿復
fɑŋ	1	22	荒慌方芳
fɑŋ	2	21	黃簧皇蝗肪妨房防橫（白）
fɑŋ	3	53	謊晃倣紡仿彷訪
fɑŋ	5	213	放
fən	1	22	昏婚分芬紛葷轟揈風楓瘋豐封峯蜂鋒
fən	2	21	魂餛渾焚墳弘宏紅洪鴻虹馮逢縫
fən	3	53	粉烘哄諷
fən	5	213	忿糞奮俸縫
fən	6	44	混憤份閧鳳奉
fɤ	1	22	歡
fɤ	2	21	桓
fɤ	5	213	唤
fɤ	6	44	緩焕幻患宦
fɤ	7	45	佛
fɔ	1	22	花
fɔ	2	21	華鏵划
fɔ	5	213	化
fɔ	6	44	畫話劃
fɔ	7	45	滑
i	1	22	伊醫衣依
i	2	21	移夷姨飴遺
i	3	53	伊（第三人稱，本字「渠」）渠
i	5	213	意異億忆
i	7	45	揖乙一逸憶抑益亦譯液腋翼疫役
in	1	22	音陰因姻殷應鷹鶯鸚櫻英嬰纓雍癰庸擁
in	2	21	淫寅匀仍蠅盈螢榮營塋戎絨融茸容蓉
in	3	53	飲飲引隱允尹永穎冗甬勇湧
in	5	213	蔭印應泳詠
in	6	44	用
iɑŋ	1	22	央秧殃
iɑŋ	2	21	瓤穰羊洋烊楊陽揚瘍贏
iɑŋ	3	53	壤攘嚷養癢影
iɑŋ	5	213	映
iɑŋ	6	44	樣
iəu	1	22	憂優悠幽
iəu	2	21	柔尤郵由油游猶
iəu	3	53	有友酉莠
iəu	5	213	誘幼
iəu	6	44	右
iəu	7	45	郁育辱欲慾浴
iɛ	1	22	淹閹醃焉煙燕
iɛ	2	21	炎鹽閻簷鹽顔延筵
iɛ	3	53	掩魘演
iɛ	5	213	厭雁燕嚥宴
iɛ	6	44	豔焰堰
iɛ	7	45	葉頁拽悦閲月越
iɔ	2	21	牙爺
iɔ	3	53	野也
iɔ	5	213	亞
iɔ	6	44	夜
iʊ	1	22	妖邀腰要么吆
iʊ	2	21	肴饒搖謠窰姚堯
iʊ	3	53	擾舀杳
iʊ	5	213	要耀鷂
iʊ	7	45	約藥鑰躍嶽岳樂
ka	1	22	該皆階街間
ka	3	53	改解減襇揀
ka	5	213	概溉蓋丐介界芥尬疥屆戒械間
ka	7	45	夾裌甲胛
kau	1	22	高膏篙羔糕交
kau	3	53	稿搞（本字攪）
kau	5	213	告膏教酵窖覺（白）
ku	1	22	箍姑孤估
ku	3	53	古牯股鼓
ku	5	213	故固錮雇顧
ku	7	45	穀谷
kua	1	22	乖關
kua	3	53	拐
kua	5	213	怪慣
kua	7	45	括聒刮
kui	1	22	居車拘駒圭閨規追龜歸鮭
kui	3	53	舉詭軌癸鬼
kui	5	213	據句綴鱖桂櫃貴劇劇
kui	7	45	橘
kuin	1	22	均鈞君軍
kuin	3	53	窘菌
kuɑŋ	1	22	光胱
kuən	3	53	滾
kuən	5	213	棍
kuɛ	1	22	捐鵑
kuɛ	3	53	捲
kuɛ	5	213	卷絹
kuɛ	7	45	厥憠掘決訣國
kuɤ	1	22	官棺觀冠鳏
kuɤ	3	53	管館
kuɤ	5	213	贯灌罐觀冠
kuɤ	7	45	骨郭
kuɔ	1	22	瓜
kuɔ	3	53	寡剮
kuɔ	5	213	掛卦
kɑŋ	1	22	岡崗剛綱鋼缸鋼
kɑŋ	3	53	講港
kɑŋ	5	213	杠
kən	1	22	公蚣工功攻弓躬宫恭供
kən	3	53	汞拱鞏
kən	5	213	貢供
kiɛ	1	22	跟根更粳庚耕
kiɛ	3	53	哽埂梗耿
kiɛ	5	213	更鋸
kiɛ	7	45	格革
kɤ	1	22	甘柑泔尷干肝竿乾
kɤ	3	53	感敢橄桿稈擀趕
kɤ	7	45	合蛤鴿割葛
kɔ	1	22	家痂
kɔ	3	53	假
kɔ	5	213	架駕嫁
kɔ	7	45	隔
kʊ	1	22	歌哥戈
kʊ	3	53	果
kʊ	5	213	個過
kʊ	7	45	各閣擱胳角
m̩	3	53	姆（～媽）
ma	2	21	埋蠻鰻
ma	3	53	買
ma	6	44	賣邁慢蔓
mau	2	21	毛茅矛錨
mau	3	53	卯
mau	6	44	冒帽貌
mi	2	21	迷梅枚媒煤糜彌眉楣黴
mi	3	53	米每靡美
mi	6	44	謎妹昧媚寐
mi	7	45	祕泌密蜜覓
