cid	character	initial	final	tone	note
1	多	t	o	51	
2	拖	th	ua	51	
3	大	t	ua	42	～嫩：大小，白
3	大	t	ai	42	～学，文
4	锣	l	o	44	
5	左	ts	o	31	
6	歌	k	o	51	
7	个	k	ɔ	21	～别，文
8	可	kh	o	31	
9	鹅	ŋ	o	44	
10	饿	ŋ	ɔ	42	
11	河	∅	o	44	
12	茄	k	yo	44	
13	破	ph	ua	21	～布
13	破	ph	ɔ	21	～坏
14	婆	p	o	44	
15	磨	m	ua	44	～刀
15	磨	m	ɔ	42	～豆腐
16	磨	m	ɔ	42	
18	螺	l	oy	44	
19	坐	θ	ɔy	42	
20	锁	θ	o	31	
21	果	k	ui	31	～子：旧时送礼或供奉用的小点心
21	果	k	uo	31	水～
22	过	k	uo	21	经～
23	课	kh	uo	21	
24	火	x	ui	31	起～
24	火	x	uo	31	～气
25	货	x	uo	21	
26	祸	x	uo	42	
27	靴	kh	uo	51	
28	把	p	a	31	
29	爬	p	a	44	
30	马	m	a	31	
31	骂	m	a	21	
32	茶	t	a	44	
33	沙	θ	ua	51	白
33	沙	θ	a	51	～县，文
34	假	k	a	31	
35	嫁	k	a	21	
36	牙	ŋ	a	44	
37	虾	x	a	44	
38	下	k	ia	42	悬～：高下
38	下	∅	a	42	上～
39	夏	x	a	42	
40	哑	∅	ɛ	31	～钩=：哑巴
40	哑	∅	a	31	病～：哑巴
41	姐	ts	ia	31	阿～：姑姑
42	借	ts	yo	21	
43	写	θ	ia	31	
44	斜	θ	ia	44	
45	谢	θ	ia	42	
46	车	tsh	ia	51	
47	蛇	θ	ia	44	
48	射	θ	ia	42	
49	爷	∅	ie	44	老天～
50	野	∅	ia	31	
51	夜	∅	ia	42	
52	瓜	k	ua	51	
53	瓦	m	ua	42	
54	花	x	ua	51	
55	化	x	ua	21	
56	华	x	ua	44	
57	谱	ph	uo	31	
58	布	p	uo	21	
59	铺	ph	uo	51	
60	簿	p	uo	42	
61	步	p	uo	42	
62	赌	t	u	31	
63	土	th	u	31	形容词，～气
64	图	t	u	44	
65	杜	t	ʊ	42	
66	奴	l	u	44	
67	路	l	uo	42	八～军
68	租	ts	u	51	
69	做	ts	ɔ	21	
70	错	tsh	ɔ	21	
71	箍	kh	u	51	
72	古	k	u	31	
73	苦	kh	u	31	
74	裤	kh	ʊ	21	
75	吴	ŋ	u	44	
76	五	ŋ	ʊ	42	
77	虎	x	u	31	
78	壶	x	u	44	
79	户	x	ʊ	42	
80	乌	∅	u	51	
81	女	l	y	31	
82	吕	l	y	31	
83	徐	θ	y	44	
84	猪	t	y	51	
85	除	t	y	44	
86	初	tsh	ø	51	～五
86	初	tsh	u	51	～中
87	锄	th	y	44	
88	所	θ	u	31	
89	书	ts	y	51	
90	鼠	tsh	y	31	
91	如	∅	y	44	
92	举	k	y	31	
93	锯	k	ʏ	21	
94	去	kh	yo	21	白
94	去	kh	ʏ	21	过～，文
95	渠	k	y	44	
96	鱼	ŋ	y	44	
97	许	x	y	31	
98	余	∅	y	44	
99	府	x	u	31	
100	付	x	ʊ	21	
101	父	x	ʊ	42	
102	武	∅	u	31	
103	雾	∅	ʊ	21	
104	取	tsh	y	31	
105	柱	th	ieu	42	白
105	柱	ts	ʏ	42	人名，文
106	住	ts	ʏ	42	
107	数	θ	ʊ	21	
108	数	θ	ʊ	21	
109	主	ts	uo	31	
110	输	θ	uo	51	～赢，白
110	输	θ	y	51	～血，文
112	树	tsh	ieu	21	单说
112	树	θ	ʏ	42	桉～
113	句	k	uo	21	
114	区	kh	y	51	
115	遇	ŋ	ʏ	42	
116	雨	∅	y	31	
117	芋	∅	uo	42	
118	裕	∅	ʏ	42	富～
119	胎	th	ai	51	轮～
120	台	t	ai	44	
121	袋	t	ɔy	42	
122	来	l	i	44	白
122	来	l	ai	44	～往，文
123	菜	tsh	ai	21	
124	财	ts	ai	44	
125	该	k	ai	51	
126	改	k	oy	31	～衣裳
126	改	k	ai	31	～变
127	开	kh	ui	51	～门
127	开	kh	ai	51	～始
128	海	x	ai	31	
129	爱	∅	ɔy	21	～食：喜欢吃
