	注释：-白读，=文读
#i	
p	[55]碑婢俾[42]脾{～炎}琵枇[21]彼比鄙{卑～}[22]箅{饭甑～}痹{手～：手麻}□{～□pɔ55：蜻蜓}□～{□pɔ33：蝙蝠}[33]被{～告}备庇蔽弊币毙闭鼻{闻}啤[24]蓖{～麻}篦{梳头的篦子}陛臂秘{～密，～书}笔毕{～业}必{～须}弼{～马温}逼碧滗{沥：～汤}煏□{□tu55～：马蜂}
pʰ	[55]披{～风}[21]鄙{～人}丕疕{痂}□{壁～：蝠蛛结的网}□{□kʰɛ24～：翅膀}[22]疲僻辟{开～}[33]鼻{名词}[24]脾{～气}匹{—～布}
m	[42]米-{大～}弥寐{～憩：睡觉}[21]米={五百～}美微目{～珠屎：眼眵}[22]迷谜靡眉楣媚[33]昧寐{梦～以求}未味{冇～道：害羞}沕{～水：潜水}□{～牌：抓牌}[24]糜{～□mʊ33：（食物）松软，脆}秘{～书}泌密={～切}蜜{甜～}□{蠓～屑：蠓虫}□{～嘴：亲嘴}
t	[55]知[42]第递雉{～斗：山鸡}鲤治{统～}蛰{惊～}值□{肉虫；～□tɔ42：灶蟋蟀}[21]低{降～}堤抵题里{～面}提{～审}持{坚～}迟{～到}[22]帝智置□{去□ni55～：去哪里}[33]事{话～：说话}[24]侄{～女（曹）}的{目～}滴{十～水}嫡笛狄敌{～人}适{～当}□{～好：最好（“第一”合音）}
tʰ	[21]体[22]治{～鱼：杀鱼}[33]滞[24]痔{～子：痔疮}
n	[55]□{去～□ti33：去哪里}[42]入日匿{～名信}[21]尼={～龙}[22]尼-{～姑}[33]二贰
l	[42]立力[21]礼李={姓；桃～}里{公～}理[22]黎璃梨厘狸={狐～}榴{手～弹}硫笠={戴～}栗={□kʊ33～□pɑu22：打栗暴}□{lai22～：干净}[33]厉{～害}隶{～书}利痢吏{贪官污～（曹）}□{kai22～䘆：蚯蚓}[24]厉{严～}励歷{～史}丽莉{茉～}沥{～水}
ts	[55]疾-{痛}[42]济集{～邮}[21]只{～有}脂{～肪}旨指={～示}止址姊{～妹}枳{～壳：中药}[22]鹚际荠{□mu21～：荸荠}製{～造}制{～服}致至之芝{人名用字，～麻}志{～向}誌{杂～}痣糍{～粑}[33]字寺己{～厝：同族人}□{□ku33～下：腋下}□{月～奶：月亮}[24]稚执{～照}汁{墨～}矢缉{通～}辑{编～}疾={痢～}侄{～女（杨）}质{～量}即鲫职织积殖植绩寂戢{姓}□{～□si24□py22：蜥蜴}
tsʰ	[55]妻尸{～体}痴□{□ai24～：喷嚏}[21]耻齿[22]栖刺{名词}试[33]豉{豆～子：豆鼓}市莳{～塍：插秧}□{眯；～目蝇：眯眼睛的人}[24]七柒戚{～继光}
s	[55]鸶{鹭～}犀誓{发～}施是氏司{～机}丝伺诗十什{～锦}拾{十}饲{～料}食={～堂}蚀□{□ka55～子：阴茎}[21]玺死屎始{秦～皇}□{～□kai21婆：癞蛤蟆}[22]势{有～}兮四肆时□{□kiãŋ42～：富有}[33]饲{～豨：喂猪}事={故～}[24]示势{形～}誓{宣～；～不两立}逝式{雅～：好看}祁{姓}似习{～惯}袭{～击}悉{熟～}失室惜{可～}昔夕席={主～}适{合～}释息熄媳识式饰析石={～榴}□{□li24～□py22：蜥蜴}
k	[55]稽枝肢技妓肌基机饥={～荒}姬箕{斗～：一种制作精致的竹篮子}萁{豆□kai24～：豆萁}□{面～子：面片}□{～□niɛ42：不错；挺好的}□{～□niɛ21的：什么样的}□{～□iɛ24：这么}[42]祁={～山}奇骑棋旗{红～}级葵{～菜，冬～}蕲{～蛇}□{～□tɔŋ22□a21：连接上下梁的柱子}[21]几{茶～；～乎；～个}祁={～山}己纪杞期[22]继记计{会～}[33]忌-{～日}□{赤～：地痞流氓}[24]既吉{～阳}戟击{游～队}激急级极及{～格}
kʰ	[55]柿{～饼}欺讥㩻{倾斜}[21]企启起其岂祈乞{～求}[22]器弃气汽斥虮{鼻涕虫，蚂蝗，蜗牛}[33]忌={妒～}
ŋ	[21]宜{适～}仪{司～；～器}谊疑拟凝{混～土}[33]艺义议毅
h	[55]牺箕{畚～子：簸箕}嬉{玩}熙希稀非{是～}飞={～机}妃[21]喜蟢匪[22]废肺戏费[33]系{是；联～；中文～}[24]吸橘{～梗：橘子}煽{～饭：焖饭}□{臭～：狐臭}
∅	[55]伊医衣依□{～昼：半天}□{～□ia22：母亲}□{固执而不听劝}[42]指-{手～子：手指，皮～子：顶针}栀{黄～子：栀子花}冀{伏～；～王}姨{大～；～丈（张）}肄异实{～在}亦易{交～}抑翼萁{狼～：长老了的蕨}[21]移已以遗[22]姨{～嫲□tse22：小姨（曹，杨）}意[33]易{容～}亿忆□{扎：～针}[24]夷矣沂揖{作～}乙一逸{一劳永～}益译疫
#u	
p	[55]□{～□lu55子：刨花}[42]葡部{干～，一～车}簿{分关～：阄书；～子：本子}□{～子：山坳}□{～蝶：蝴蝶}□{□tsia22～子：平房[21]补={～贴}□{～□lu21□se22：橡树籽}[22]佈{公～}怖[33]步[24]不
pʰ	[21]谱普浦{～城：地名}蒲{～公英}菩捕甫辅莆[24]讣{～告}仆{倒，前～后继；～人}
m	[42]暮目{针～：针鼻儿；～汁：眼泪}木□{陷；扎}[21]母{～子}□{～荠：荸荠}[22]模{～子；～范}摹媒{～人}[33]慕墓{公～}□{昏暗的，天～～子光：凌晨}□{□su33～：什么}[24]募戊穆{～斯林}牧
t	[55]都{～城；～是}肚{鱼～，猪～}□{～□pi24：马蜂}[42]妒{～忌}徒{～弟}涂{～抹，糊～}图杜{姓；～仲}毒{中～；～死}□{戳}[21]堵赌徒{叛～}屠途睹{耳闻目～}[33]度渡镀[24]独读牍督筑□{～眠：打瞌睡}
tʰ	[21]土[22]吐{呕～；～唾：～痰}兔[24]突秃{～头□tɔŋ33：淋雨；野～驴：不守清规的和尚}
n	[21]努□{眨眼}[22]奴{～狗：男仆}[33]怒
l	[55]□{□pu55～子：刨花}□{～□su24：垃圾}[42]芦={葫～}鹿禄[21]乳{麦～精}辱鲁橹掳卤□{□pu21～子：橡树籽}□{□ku21～喙：漱口}[22]炉庐{三顾茅～；～山}鸬{～鹚}□{搭～架：可以让小孩站着玩耍的凳子}[33]路{公～}露={暴～，寒～}鹭{～鸶}[24]□{山坑谷～磡：人迹罕至的地方}□{柜子；药～子：药罐子；盒子；匣子}
ts	[55]租资姿咨瓷兹滋磁撮{—～米}[42]自{～留地}慈辞族嘱{医～}[21]祖组阻紫子梓词祠□{拧（毛巾）使干；攥：～拳头}[33]助自{～己}
tsʰ	[55]粗初凿□{雷击：大树被～}[21]楚础雌此[22]醋刺{～刀}次[33]觑{看}[24]触
s	[55]苏酥稣{耶～}梳疏{亲～}蔬斯厮私师{当家～：住持}狮思巳司{东～：厕所}□{～食：馋}□{～起来：囚禁}[42]嗜{～食窟：后脑窝子}□{吸溜：～鼻涕}[21]所始{有～有终}史驶蜀[22]芦-{～苇}素诉塑{～像}疏{～文：注释佛经的文字}数{动词、名词}赐{舍～：施舍}嗣[33]露-{白～，～水}树{～立}士仕事={实～求是，～故}侍□{～□mu33：什么}[24]速束□{□lu55～：垃圾}
k	[55]姑孤估{～价}鸪{鹧～}□{篾～：篾片里的节}□{蹲}[42]糊{浆～}□{～□u24：那样}[21]古估{～对：猜谜}牯{动物性别语素，表示雄性，牛～子：小公牛}股鼓{饱满}故{～事}□{～□lu21喙：漱口}□{□～□iɔŋ33：上供}□{跌tiɛ24～：丢脸}[22]故{事～}固雇顾□{黄尾～：春笋尖}□{低：～头}句{句：一～事}□{还是}[33]□{～□tsi33下：腋下}[24]角{牛～豆：豇豆}穀{～物}谷{山坑～□lu24磡：人迹罕至的地方}
kʰ	[55]枯{～饼；干～}箍{金～棒}[21]苦虎{～球：蝗虫；老～}[22]库裤酷[24]壳={谷～}
ŋ	[42]吾五伍[21]午[22]吴[33]误悟
h	[55]户互{～助组}护{～士}夫肤父驸{招～马：入赘}妇={～女}缚斛{石～}服伏{三～天}呼{称～}[42]湖={～南}沪[21]府腑{肺～}腐{～败}釜□{下～板：一种面宽而可深挖的锄子}[22]狐乎腐{豆～}付咐{吩～}赋傅敷扶={～贫}芙附覆{～藨：覆盆子}负{正～}富副幅[33]赴护{看家～院}互{相～}负{～责}[24]復{～原；～兴}複{～习}俘获福腹={心～}覆伏{埋～}忽佛{仿～}茯{～苓}
∅	[55]乌污巫诬[42]壶瓠{水～芦}糊{～涂}符无{～中生有}勿喉{～咙管：喉咙}[21]菇{香～}胡{姓}鬍{～须}湖{西～}抚武舞侮鹉仵{～作}忤{～逆}□{冬～子：蚕蛹；冬～：蝼蛄}[33]务雾{喷～器}□{（用针）扎}[24]屋{房～}物□{那；～个：那个；ku42～：那样}
#y	
p	[42]背{～脊}匏{～桸：瓢}妇-{新～：媳妇}陂{石～}□{石～：石头}□{酵子}[21]脯{干果，杏～；桃～}[22]蒲-{菖～}斧痱{～子，生～}肥埠{～子头：山脊}㘵{地名用字}□{埋；生～：活埋}□{□li24□si24～：蜥蜴}[33]吠[24]剥{～花生}腹-{～脐：肚脐}
pʰ	[55]铺{～床；店～}麸{麦～子}雹{龙～}曝-{～晒}[21]殕{食物上生毛}[22]扶-{～拼；拼接房屋的木构件}屁{放～}[24]覆{趴着，原文“匍”}
t	[55]蛛{吊～子：蜘蛛}追株{苦～}□{顿齐；放，搁}[42]除苎{～麻}捶{～背脊}术{白～；金兀～}逐{～家～户}橱{豨～：猪圈}[21]躲[22]厨橱[33]箸{筷子}队坠{～袖䘼：结婚时女方长辈给新娘的礼金}[24]竹
tʰ	[22]锄槌锤□{～子：拐杖}[24]秃{野～驴：不守清规的和尚}畜{～牲}
n	[42]肉[21]女[22]□{～喙：吵架}[24]□{掐：～人中}
l	[42]六陸绿录[21]吕旅屡累{～积}侣铝履缕{丝～}[22]驴[33]虑滤累{～人：疲劳；连～}类□{～子：冰锥}[24]律率{速～}
ts	[55]禇{姓}诸诛株{～连九族}朱硃{～砂}朱{姓}珠{玻璃～}锥{～栗}鹐{鸟啄物}殊{文～菩萨}轴{～承}[42]聚徐醉驻{～军}[21]煮主嘴{亲～}[22]著{显～}註{～册}注{～意}蛀铸薯{番～；马铃～}[24]祝粥足烛
tsʰ	[55]秫{～米：糯米}[21]储{～蓄}鼠取娶[22]处{相～；办事～}喙{嘴；嬉～：光说不练}趣翠[24]出
s	[55]书须{必～}鬚{灯笼～；胡～}需输{～赢；运～}虽熟{～悉}□{～尿：把尿}[42]荽{芫～子：香菜}穗{灯笼～}恤{T～}[21]水{～窟：水坑儿}浒署{专～}殊{特～}[22]絮暑{处～}庶恕岁={万～}隨睡{午～（杨、曹）}遂□{～面：薄而带咸味的面}[33]叙序绪续树{人名用字}瑞[24]舒黍{芦～：高粱}睡{午～（张）}戌恤{抚～}術{技～}述肃宿{住～}叔淑粟俗{风～}
k	[55]居车{～马炮}距拘圭{地名用字}规{～矩}龟归□{～子：丸子之类的食品}[42]据渠{他}巨拒剧{～烈；戏～}俱瞿具惧炬[21]举诡轨鬼矩{规～}[22]锯{～子；～木头}桂癸季贵句瑰{玫～}[33]跪柜局[24]驹{白～过缝}菊渠{红旗～}
kʰ	[55]趋枢区{地～}驱亏[21]杵逵豨{猪}[24]屈麴{酒～}曲{～折；歌～}□{～人：嫁女儿；出嫁}
ŋ	[42]危玉{～镯子}狱[21]语[22]蜈梧鱼渔愚虞[33]禦{防～}御{～赐}豫{犹～}遇寓娱
h	[55]墟{赶～}虚雨-{落～：下雨，～衣，及时～}挥辉[21]许浒[33]惠慧[24]畜{～牧}蓄{储～}
∅	[55]威[42]余{姓}愈{～好}癒{病～}喻围{～巾}域郁嘱{遗～}属{家～}欲{～知后事}慾{～望}浴沸乳{豆腐～}[21]如汝于{～此；～是}餘{剩～}与{及，～人为善}儒雨={谷～，～水}宇禹羽萎{～缩}委维违围{包～}伟纬□{驱赶}[22]腻淤{～青；～泥}[33]榆逾愉迂畏誉{荣～}预芋{槟榔～：魔芋}卫位胃谓尉{～迟恭}勩{磨损}玉{地名用字}[24]芋{～头}裕慰熨沃{～水：浇水}育□{折叠}
#a	
p	[55]巴芭疤白□{双～树：合欢树}[42]琶{琵～}杷{枇～}[21]把{～握，～守，一～}迫{窄}[22]霸爬罢钯{～子}□{骹～：爪子}[33]爸耙{犁～，～地}[24]百柏伯擘{～喙：张开嘴}檗{黄～，药名}
pʰ	[21]八{～八pʰa24子：八哥}[22]怕帕[24]拍{𢫦～：打拍子}八{八pʰa21～子：八哥}
m	[42]麦蟆{蛤～}𢫦{打}[21]马码{～头，号～}玛蚂{～蝗钉：两头钉}[22]麻{手～}嫲{牛～：母牛}□{手～头：大拇指}[33]骂
t	[55]爹{父亲}踏□{踱，走}[42]碟-[21]打{一～：十二个}[22]茶{食～，一帖～子：一帖中药}[24]答搭□{～被：缝被子}
tʰ	[55]他{其～}沓{一～纸}叠□{纳：～鞋底}[42]□{差：质量～}[24]塔塌帖-{—～药}贴
n	[42]拿纳捺{撇～}哪{～吒}□{给（动词、介词）}[21]哪{～个}[22]□{拃；庹}[24]□{让，～渠去：让他去}
l	[55]拉[42]腊蜡猎□{～□pʰiɛ24：吹牛皮}[24]癞{～痢头}□{舔}□{□ka24～侧：侧着睡}
ts	[55]楂{山～}渣炸{～弹}剂{一～药，面～子}[42]诈查{调～}杂铡{龙头～}闸{～刀}焯煠{（老派）白～卵：白煮蛋}}泽{地名用字}[22]做[24]扎{用针～；捆～}札
tsʰ	[55]叉杈{树～}差{成绩～，～别}岔{叉道口}[22]䖳{～皮：海蜇皮}岔{打～：打岔}[24]插擦={～边}册□{掺；兑：～水}
s	[55]沙{西瓜很～}纱{黄～布}痧{扭～：刮痧}[21]傻耍{～赖皮}[24]萨䅴{穗}
k	[55]家{大～}傢{～具}加嘉稼{庄～}枷佳豭{～豨：公猪}□{～□si55子：阴茎}[42]夹{名词，动词}[21]假{真～；放～}[22]架驾稼{人名用字}价嫁{～接}迦假{放～：放学}[33]下{放，搁}[24]觉{感～；知～}夹{～袄}甲胛{肩～}匣{乌～：黑匣子}隔{～壁}□{～蟆：螳螂}□{～纸：草纸}□{～子：收晚稻的脱谷工具}□{～山：用罗盘看风水的过程}
