V1	V2	V2	
pa	3	22	把
pʰa	2	13	白
fa	2	13	法發罰劃
ta	2	13	達
tʰa	2	13	茶踏塔
tsa	2	13	雜閘
sa	2	13	蛇
tsʰa	1	55	插擦尺
ka	5	24	嫁
xa	3	22	下
ma	3	22	馬
ŋa	2	13	牙
la	2	13	爬
pa	1	55	八
pʰa	1	55	拍
fa	5	24	畫
ta	3	22	打
tsa	3	22	紮
sa	1	55	沙杉殺
ka	1	55	夾
xa	1	55	蝦瞎
ma	5	24	罵麥
ŋa	3	22	啞
la	5	24	辣
fa	1	55	花
ta	1	55	搭
tsa	1	55	摘
ŋa	1	55	鴨
la	1	55	拉蠟
pe	2	13	北
te	2	13	得
tʰe	2	13	特
tse	1	55	折織窄
se	2	13	色
tsʰe	2	13	直側測擇策
ke	2	13	格
kʰe	2	13	刻客
xe	1	55	黑
me	2	13	墨
ŋe	2	13	額
Ǿe	5	24	二
pe	1	55	百
se	5	24	射十舌
tsʰe	5	24	賊
ke	5	24	鋸句割
kʰe	5	24	去
se	1	55	虱塞
tsʰe	1	55	拆
ke	1	55	隔
po	5	24	薄
pu	5	24	布
pʰu	3	22	譜簿
fu	2	13	壺浮佛福服
ku	3	22	古
kʰu	3	22	苦
mu	3	22	母
lu	3	22	褥
Ǿu	2	13	吳物
pʰu	5	24	步
fu	3	22	虎府
ku	1	55	箍穀
kʰu	5	24	褲
mu	5	24	目
Ǿu	3	22	五武
pʰu	1	55	鋪
fu	5	24	戶付父富副婦縛
kʰu	1	55	哭
mu	1	55	木
Ǿu	5	24	霧
Ǿu	1	55	烏屋
pi	2	13	筆逼壁
pʰi	2	13	皮匹
ti	1	55	低
tʰi	5	24	梯剃弟遞笛
tɕi	2	13	集急及吉極積擊
ɕi	2	13	習息惜席錫
tɕʰi	2	13	騎棋
mi	2	13	眉
ȵi	2	13	泥
li	2	13	來犁梨
Ǿi	2	13	移姨一益
pi	3	22	比
pʰi	5	24	屁
tʰi	1	55	地
tɕi	3	22	幾
ɕi	3	22	洗喜
tɕʰi	5	24	器氣
mi	3	22	米
ȵi	5	24	藝蟻義
li	3	22	李
Ǿi	5	24	意
pi	5	24	幣
