#a			1阴平53 3阴上45 4阳上242 5阴去33 6阳去21 7a上阴入55 7b下阴入33 8a上阳入21 8b下阳入24				
p	[1]巴芭疤笆爸[3]把[4]爬[5]霸壩欛坝[6]琶杷耙罢						
pʰ	[1]啪{口水噼~:唾沫横飞}[5]怕帕						
m	[1]孖{~胎:双胞胎}[3]妈[4]马码[6]麻痲骂						
f	[1]花[5]化						
t	[3]打						
tʰ	[1]□{□tʰi1~□tʰi1~:形容下雨的声音，拟声词}他它						
n	[3]乸{猪~:母猪}[6]挪哪那乸{家婆~:婆婆}						
l	[1]□{山□kʰa1~:偏僻的山沟}[5]□{眼~:瞎子}						
ts	[1]楂渣抓[5]诈榨□{□ʔɐm1~鬼:魇住了}[6]茶查						
tsʰ	[1]差[5]叉岔汊乍						
s	[1]莎沙纱□{“三十”的合音。年~晚:年三十晚}[3]洒[4]瞎[5]耍						
k	[1]家加痂嘉傢[3]假{真~：放假}[5]贾架驾嫁稼价						
kʰ	[1]□{山~□la1:山沟(偏僻的山村)}						
h	[1]虾哈□{~腮:腮腺炎}[4]下{地~}[6]霞遐蝦暇厦{旁屋,厦门}下{~午}夏{姓~,春~}						
ŋ	[3]哑[4]雅瓦{名词}[6]牙芽衙砑□{~鹰:老鹰}						
Ø	[1]杈鸦丫桠[5]阿{~哥}亚						
#ua							
k	[1]瓜[3]寡剐[5]挂卦						
kʰ	[1]夸跨胯						
Ø	[1]蛙洼[6]华{姓~，~山，中~}铧桦画{名词}话						
#ai							
p	[3]摆[5]拜[6]排牌簰稗败						
pʰ	[5]派						
m	[4]买卖[5]迈[6]埋						
f	[5]快						
t	[1]姼{公~:外公。婆~:外婆}[5]带[6]大{~小，~夫。阿~:姑母}						
tʰ	[5]态贷太泰						
n	[4]乃奶						
l	[1]拉[3]□{颈~:落枕}[5]赖癞[6]例厉励□{~尿:(小孩子)尿床}						
ts	[4]豺[5]债[6]斋寨						
tsʰ	[1]猜钗差搋{~糍:揉粉团做糍粑}[3]□{歪,斜}						
s	[3]□{~茶:倒茶(无客人时说)}[5]晒势[6]誓逝						
k	[1]皆阶秸揩楷佳街[3]解[5]介界芥尬疥届戒蚧{蛤~}						
h	[4]谐械蟹[6]懈						
ŋ	[1]挨[6]艾涯崖捱艺桅毅						
ʔ	[1]哀埃[3]矮						
#uai							
k	[1]乖闺[3][5]怪[6]圭逵葵柜						
kʰ	[5]块筷[6]槐奎						
Ø	[1]歪[6]怀坏位						
#au							
p	[3]保堡宝[4]抱[5]报[6]袍暴菢曝瀑						
m	[5]冒茂谬[6]帽貌牡戊矛						
t	[1]刀叨[3]倒捣[4]道[5]到[6]桃逃淘陶萄稻盗悼豆逗痘						
tʰ	[1]祷滔掏涛[3]讨[5]套导						
n	[3]岛[4]脑恼[6]闹						
l	[1]捞[3]佬[4]老姥[5]□{早~米:早造米}[6]劳{~动，慰~}牢唠痨涝漏						
ts	[1]遭糟[3]早枣蚤[4]舅{(梁村读kiau4)}[5]灶救[6]糙曹槽皂造就袖骤臼旧{(梁村读kiau6)}						
tsʰ	[3]草[5]澡藻躁操臊燥						
s	[1]艘馊[6]寿授售						
ɬ	[3]嫂[5]扫{~地，~秆}[6]骚						
k	[1]高膏篙羔糕膏[3]稿[5]告						
kʰ	[3]考[5]烤拷靠犒						
h	[1]蒿[3]好{~坏}巧[5]好{爱~}[6]耗豪壕毫號浩号酷						
ŋ	[5]熬傲鏊□{猪肉}[6]肴淆						
ʔ	[5]袄奥懊						
#iau							
Ø	[6]又右祐						
#am							
p	[6]范{姓~}						
f	[4]犯[5]泛範贩{人~}						
t	[1]耽担{~水}[3]胆[4]潭谭[5]担{一~}[6]谈痰淡						
tʰ	[1]贪坍[5]探						
n	[4]腩{肚~:小肚子}[6]男南						
l	[3]览揽榄[5]滥缆舰[6]蓝篮						
ts	[1]簪□{~血:淤血}[3]斩眨[5]湛{~江市，地名}[6]蚕站谗馋						
tsʰ	[1]参[3]惨[5]杉忏						
ɬ	[1]三						
k	[1]甘柑泔蚶酣监[3]感敢橄[5]尴鉴						
kʰ	[3]砍						
h	[5]勘喊陷馅[6]含函撼憾咸鹹衔						
ŋ	[1]啱{对，正确。刚好，刚才。方言字}[6]癌岩						
ʔ	[5]暗						
#an							
p	[1]班斑扳[5]扮颁襻[6]办饭{煮~}						
pʰ	[1]攀[5]盼						
m	[4]晚[5]馒蔓[6]蛮慢万曼						
f	[1]藩翻番[3]反返[5]贩{单字}[6]凡帆烦繁矾饭						
t	[1]丹单[3]掸疸[5]旦诞[6]檀坛但弹{~琴，子~}蛋						
tʰ	[1]滩摊瘫[3]毯坦[5]炭叹						
n	[6]难						
l	[1]拦栏[4]懒[6]兰烂						
ts	[5]赞纂攒[6]赚绽栈阵						
tsʰ	[1]搀餐[3]产[5]灿						
s	[3]删疝[5]篡[6]慎						
ɬ	[4]珊[5]伞散{分~}						
#ian							
Ø	[5]□{喊，叫}[6]认润闰孕						
#uan							
Ø	[4]幻挽[6]顽						
#iaŋ							
pʰ	[1]烹{(梁村读pʰɐŋ)}						
ts	[6]层赠						
#iɐ							
m	[1]□{什么。“乜mɐt7a 嘢iɐ4”的合音}						
t	[1]爹						
ts	[1]遮[3]者{老~:老人。奖优~:奖励优秀的人}[4]社[5]借蔗鹧[6]谢蛇射麝						
tsʰ	[1]车{汽~}奢[3]扯□{□tiᴇk7b渠~:赶他走}[5]笡{歪斜}[6]邪						
s	[1]赊舍{我~妹:我的妹妹}[3]捨[5]赦舍{宿~}[6]余						
ɬ	[3]且些写泻[5]卸						
ʔ	[3]惹[4]椰野嘢{东西，方言字}[5]夜[6]爷						
#ɐi							
p	[1]□{~脚佬:瘸子。手~:手残}[5]蔽闭陛[6]敝币毙{(梁村pi6)}						
pʰ	[1]批						
m	[4]米[5]□{女阴}[6]迷谜						
t	[1]低[3]底抵抵[4]弟[5]滞帝蒂脐{肚~:肚脐眼}[6]题提蹄啼第递堤隶						
tʰ	[1]梯[3]体[5]嚏替涕剃						
n	[5]呢{①表示不定指“些”，个~:这些。彼~:那些。②相当于人称复数“们”，我~:我们。你~:你们}[6]泥尼						
l	[1]□{老鼠~:老鼠咬}[4]礼[6]犁黎丽荔						
ts	[3]崽仔{俗字，~女：子女，蚊~：蚊子}[4]柿{~果}[5]制製祭际挤济荠剂[6]柴齐脐{单字}						
tsʰ	[1]妻凄栖						
s	[1]筛[3]使[5]世						
ɬ	[1]西犀荽{芫~:香菜}[3]洗□{~田:犁田，耙田}[5]细婿						
k	[1]鸡[5]计继髻[6]□{倾~:聊天}						
kʰ	[1]稽溪[3]启[5]契						
h	[1]□{女阴}[4]系{~统，联~}係						
ŋ	[4]蚁[5]伪[6]倪霓危魏						
ʔ	[6]鞋						
#uɐi							
k	[1]龟归[3]诡轨鬼[5]桂癸季贵[6]跪						
kʰ	[1]盔规亏窥挥辉[3]毁[5]傀溃愧□{~屎虫:扒屎虫}[6]携						
Ø	[1]威□{个~:这样。彼~:那样。□tu1~:怎么样}[3]萎委餵[4]卫伟苇[5]秽慧畏慰纬胃谓猬彙[6]淮彗惠为{作~，~什么}维惟遗唯讳围违						
#ɐu							
pʰ	[1]褒泡{鱼~:鱼鳔}[3]剖						
f	[3]否[6]埠俘浮						
m	[1]亩贸[6]毛某谋						
t	[1]兜[3]斗抖陡纠□{嘴~□nɐu3:噘嘴}[5]鬥窦{鸡~}[6]头投						
