音标	调类	字汇							
tsɿ	1	知支枝肢资姿蔗（甘∽杆）只（这∽手）滋							
tsɿ	2	直值植织职执质							
tsɿ	3	只（∽有）止址趾纸子仔（∽细）籽紫指							
tsɿ	5	字自治制智这（白读）至致志痔							
tsʰɿ	1	痴							
tsʰɿ	2	词池持辞尺吃赤齿（牙∽）							
tsʰɿ	3	此耻							
tsʰɿ	5	次							
sɿ	1	师狮斯撕施私尸诗丝司诗							
sɿ	2	时匙十石实适湿食识释失室							
sɿ	3	死屎使始史驶豉							
sɿ	5	四是市事士仕世势示式试似誓视逝适（合∽）豉							
zɿ	2	日							
pi	1	憋							
pi	2	别必壁鼻笔滗							
pi	3	比							
pi	5	闭币弊毙备秘（∽密）被避							
pʰi	1	屄							
pʰi	2	皮疲脾啤枇琵匹撇僻癖							
pʰi	3	鄙擗							
pʰi	5	屁㡀（不好）							
mi	1	眯咪							
mi	2	迷谜篾蔑秘灭觅眉（∽毛）梅（杨∽）							
mi	3	米							
mi	5	沕							
ti	1	低							
ti	2	滴的（目∽）							
ti	3	底抵的（文读）							
ti	5	弟递地帝							
tʰi	1	梯剔（∽骨鸭）							
tʰi	2	题提蹄踢铁贴							
tʰi	3	体							
tʰi	5	剃替嚏							
ni	1	□的（白）							
ni	2	尼泥黎黎厘离璃漓宜疑捏力业孽律率							
ni	3	你李礼拟里理的（白）							
ni	5	利莉义议艺荔厉励丽腻例							
ni	10	的							
tɕi	1	鸡基几（茶∽）机挤（白）季（四∽豆）奇（∽数）							
tɕi	2	急集激级圾节结洁接							
tɕi	3	几挤（文读）己姐纪（∽律）							
tɕi	5	记计继剂际寄借纪（世∽，∽录片）季枝（文，科∽）							
tɕʰi	1	期溪欺妻凄							
tɕʰi	2	棋其旗奇（∽怪）骑齐七切							
tɕʰi	3	起启且							
tɕʰi	5	气汽企弃器技（白，∽术）去（白）							
ɕi	1	西希稀些							
ɕi	2	斜（文）携邪习息媳歇吸							
ɕi	3	喜洗写							
ɕi	5	细谢戏婿							
i	1	衣依医椰叶（茶∽货，差货，疑为黔中借词）							
i	2	移爷一叶宜（便∽）于（白，等∽）蚁（蚂∽子）益姨							
i	3	椅以野也里（白，∽头）已							
i	5	意夜液义（新）艺（新）忆亿异							
ki	3	嗝							
ki	5	锯（白读）							
kʰi	1	吃（白，偏乡音）							
pu	2	不							
pu	3	补							
pu	5	步布怖部卜（萝∽）							
pʰu	1	铺（∽床）							
pʰu	2	葡孛菩扑卜（占∽）							
pʰu	3	普谱甫浦							
pʰu	5	铺（卧∽）							
mu	2	模木睦							
mu	3	母姆拇							
mu	5	幕							
fu	1	呼敷夫肤俘傅（师∽）							
fu	2	服壶湖胡蝴糊狐弧扶符忽							
fu	3	府俯腐虎斧辅							
fu	5	父妇付附富副户护互							
tu	1	都							
tu	2	读独毒督							
tu	3	堵赌肚							
tu	5	度镀肚杜妒							
tʰu	2	涂途图屠突							
tʰu	3	土吐							
tʰu	5	兔							
nu	1	噜							
nu	2	六录绿驴炉泸芦陆							
nu	3	卤鲁努							
nu	5	路怒露							
ku	1	姑菇辜孤跍（“蹲”之意）							
ku	2	骨谷							
ku	3	古估股鼓							
ku	5	故顾固雇							
kʰu	1	箍枯							
kʰu	2	哭酷							
kʰu	3	苦							
kʰu	5	库裤							
tsu	1	猪诸朱珠蛛租							
tsu	2	触烛祝竹筑轴							
tsu	3	祖组主煮							
