#a							
ɓ	[1]巴芭疤笆[2]把[3]飽靶[5]豹霸欛垻壩						
f	[1]脬拋葩{量词，朵}[2]琶杷□{牙齒也叫~璃，來源不明}[5]冇{瘪}□{瘪}						
m	[1]妈嗎[2]麻痲螞蟆[3]馬[5]□{淺嘗}						
b	[1]叭碼笆[2]把						
ɗ	[1]擔{~任}□{乾枯}當{現在，一般不單用}□{現在}家{~ki1：自己}□{~ki1：自己}[2]禾{訓}□{禾苗}[3]疽胆[5]擔{~子}□{亂跳}						
t	[1]三昨{～晡}衫奈{無~何：勉強}[2]□{象聲詞，形容嗩吶的聲音}□{打}[3]早咱灑[5]罩榨炸{~彈}						
n	[1]□{在}[2]籃拿[3]□{表示程度加甚，相當於[越]和[愈]}[5]那哪						
l	[1]啦晾{訓}□{晾}[2]鯪朥{脂肪}□{脂肪}[3]□{形容湯的味道很奇怪，多重疊連用}[5]啦						
ts	[1]吒[3]□{tsi51~：形容女孩子的傻勁}						
s	[1]差{相~}叉杈汊岔睛纱薩磋沙裟[2]柴{训}查楂[3]炒吵灑[5]□{鋁}						
k	[1]柑膠嘉骯骹鉸{剪}家□{~bua42：一種野果}□{~ŋa21：形容人愚蠢、糊塗的樣子}[2]啣銜[3]攪敢絞[5]較教□{粥～：粥太稀}漖{粥～：粥太稀}						
h	[1]他骹{脚}[2]□{餓肚子}[3]巧坦[5]敲{～数：算数}						
ɦ	[1]也□{語氣助詞，相當於普通話的“呢”}[5]孝啊						
ŋ	[3]□{ka44~：形容人愚蠢、糊塗的樣子}						
Ø	[1]阿亞鴨也[2]□{形容小孩子貪得無厭}[3]拗[5]□{嘴硬不肯認輸}						
#aʔ							
ɓ	[7]爸[8]罷吧						
f	[7]拍{打}帕珀						
m	[7]媽□{凹下}[8]□{牛的叫聲}□{老~：伯父}						
ɗ	[7]搭答褡{背心}剳[8]踏						
t	[7]扎札紮靸{鞋～：拖鞋}□{鞋～：拖鞋}怎昨{~天}詐詫窄[8]閘柵雜煠{用水煮食物}□{背，原文記錄在“馱”字下}						
n	[7]娜□{剛剛，多重疊連用}抐						
l	[7]□{形容火點著了}拉[8]臘蠟擸						
s	[7]插鍤薩□{田~：即蚌}						
k	[7]甲合盖{训“合”，～被子}[8]咬						
h	[7]塔塌榻哈盍{盖住}□{盖住}[8]沓{疊}						
ɦ	[7]□{嗅}[8]啊						
Ø	[7]鴨匣押狎□{强迫}[8]嗄						
#o							
ɓ	[1]坡波玻播[2]婆[3]保寶褒榜[5]報薄{~荷}						
f	[1]頗坡[2]婆菩[5]勃						
m	[1]望{看}[2]毛摩魔						
b	[1]磨{石~}[2]無[3]拇母{雞~}某						
ɗ	[1]多刀當{承~}[2]躲{訓“逃”}逃堂桃{楊桃}长腸[3]倒{顛倒}[5]倒{~水}當{典當}						
d	[2]□{渾濁}醪{渾濁}						
t	[1]搓狀髒装妝多蔬疏霜臟□{欺骗}[2]所槽□{嘴~：嘴巴}□{鼻涕}[3]左佐棗嫂所[5]素嗉						
n	[1]浪[2]挪娜瓤榔□{指雄性蜜蜂，通常叫烏~}□{名詞詞頭，多用篇孩子排行的稱呼，相當於普通話的「老」。如:~大，即老大}[3]□{草坪}						
l	[1]□{量詞，指动物生育的次数}[2]籮鑼羅□{渾濁}醪{渾濁}螺郎勞						
s	[1]倉艙初{～中}疮[2]床傻□{傻}[3]楚搶[5]錯挫						
k	[1]哥歌缸扛竿{训“篙”}杆{训“篙”}篙{竹竿}江高膏姑孤過[3]稿[5]告鋼						
g	[1]餓[2]峨鵝						
h	[1]湯糠柯科軻苛棵顆[2]陀駝桃{~花}萄糖[3]讨妥可□{水浅，干涸}洘{水浅}[5]囥{藏}套燙						
ŋ	[2]娥蛾俄訛						
ɦ	[1]號[2]何河荷{～花}[3]好{～壞}[5]□{指示代詞，那}						
Ø	[1]荷{薄荷}央阿{阿膠}秧窩烏倭[2]蠔行{~列}[3]影□{脫臼}[5]映						
#oʔ							
ɓ	[7]駁播不[8]薄{厚～}抱泊						
f	[7]粕{残渣}[8]捧						
m	[7]□{黏附著}□{触电}饃膜[8]□{指示代词，这～：这里、量词，个}枚{訓，指示代词，这～：这里、量词，个}						
b	[7]姥[8]莫毋{勿}						
ɗ	[7]桌倒{~回來}[8]□{～喙：漱口}濯{～喙：漱口}着丈						
t	[7]做作索[8]昨{～日：昨天}助鐲造						
n	[7]□{跛腳}[8]兩{數詞}						
l	[7]□{動詞，意思是晒太陽，但只是晒一段很短的时間}[8]落{下}咯						
s	[7]挫塑座坐[8]□{象聲詞。趕牛聲，表示要牛向前走}						
k	[7]哥各□{身體因觸着凸起的硬東西而覺得難受或受伤}[8]□{~處：別處}						
