"汉字"	"拼音"	"IPA"	"注释"	""	"声调"	"调值"	"编号"	"缺音字"	"说明：整理自《闽南方言大词典》《漳州市志•方言》"
"多"	"to1"	"to44"	""	""	"阴平"	"44"	"1"	"蠹"	""
"多"	"tse6"	"tse22"	"训"	""	"阳平"	"13"	"2"	"渧"	""
"他"	"thann1"	"tʰã44"	"白"	""	"阴上"	"53"	"3"	"彙"	""
"他"	"tho1"	"tʰo44"	"文"	""	"阳上"	""	"4"	"蒐"	""
"舵"	"tua6"	"tua22"	"白"	""	"阴去"	"21"	"5"	"趟"	""
"舵"	"to6"	"to22"	"文"	""	"阳去"	"22"	"6"	"佞"	""
"舵"	"tai6"	"tai22"	"文"	""	"阴入"	"32"	"7"	""	""
"拖"	"thua1"	"tʰua44"	"白"	""	"阳入"	"121"	"8"	""	""
"拖"	"tho1"	"tʰo44"	"文"	""	""	""	""	""	""
"駝"	"to2"	"to13"	""	""	""	""	""	""	""
"陀"	"to2"	"to13"	""	""	""	""	""	""	""
"馱"	"to2"	"to13"	""	""	""	""	""	""	""
"馱"	"tua6"	"tua22"	"白"	""	""	""	""	""	""
"馱"	"to6"	"to22"	"文"	""	""	""	""	""	""
"挪"	"noo1"	"nɔ44"	""	""	""	""	""	""	""
"挪"	"noo3"	"nɔ53"	""	""	""	""	""	""	""
"羅"	"lo2"	"lo13"	""	""	""	""	""	""	""
"鑼"	"lo2"	"lo13"	""	""	""	""	""	""	""
"籮"	"lua2"	"lua13"	"白"	""	""	""	""	""	""
"籮"	"lo2"	"lo13"	"文"	""	""	""	""	""	""
"左"	"tso3"	"tso53"	""	""	""	""	""	""	""
"佐"	"tso3"	"tso53"	""	""	""	""	""	""	""
"做"	"tso5"	"tso21"	""	""	""	""	""	""	""
"助"	"tsoo6"	"tsɔ22"	""	""	""	""	""	""	""
"搓"	"tsho1"	"tsʰo44"	""	""	""	""	""	""	""
"搓"	"so1"	"so44"	""	""	""	""	""	""	""
"娑"	"so1"	"so44"	""	""	""	""	""	""	""
"歌"	"kua1"	"kua44"	"白"	""	""	""	""	""	""
"歌"	"ko1"	"ko44"	"文"	""	""	""	""	""	""
"哥"	"ko1"	"ko44"	""	""	""	""	""	""	""
"個"	"e2"	"e13"	"俗"	""	""	""	""	""	""
"個"	"ko5"	"ko21"	""	""	""	""	""	""	""
"軻"	"kho1"	"kʰo44"	""	""	""	""	""	""	""
"可"	"khua3"	"kʰua53"	"白"	""	""	""	""	""	""
"可"	"kho3"	"kʰo53"	"文"	""	""	""	""	""	""
"蛾"	"go2"	"ɡo13"	""	""	""	""	""	""	""
"鵝"	"gia2"	"ɡia13"	"白"	""	""	""	""	""	""
"鵝"	"go2"	"ɡo13"	"文"	""	""	""	""	""	""
"俄"	"go2"	"ɡo13"	""	""	""	""	""	""	""
"我"	"gua3"	"ɡua53"	"白"	""	""	""	""	""	""
"我"	"ngoo3"	"ŋɔ53"	"文"	""	""	""	""	""	""
"餓"	"go6"	"ɡo22"	""	""	""	""	""	""	""
"何"	"ua2"	"ua13"	"白"	""	""	""	""	""	""
"何"	"ho2"	"ho13"	"文"	""	""	""	""	""	""
"河"	"ho2"	"ho13"	""	""	""	""	""	""	""
"荷"	"ho2"	"ho13"	""	""	""	""	""	""	""
"荷"	"o2"	"o13"	""	""	""	""	""	""	""
"荷"	"ho6"	"ho22"	""	""	""	""	""	""	""
"苛"	"kho1"	"kʰo44"	""	""	""	""	""	""	""
"賀"	"ho6"	"ho22"	""	""	""	""	""	""	""
"阿"	"a1"	"a44"	"白"	""	""	""	""	""	""
"阿"	"o1"	"o44"	"文"	""	""	""	""	""	""
"茄"	"kee1"	"kɛ44"	""	""	""	""	""	""	""
"茄"	"kio2"	"kio13"	""	""	""	""	""	""	""
"波"	"pho1"	"pʰo44"	""	""	""	""	""	""	""
"跛"	"po3"	"po53"	""	""	""	""	""	""	""
"跛"	"pai3"	"pai53"	"训"	""	""	""	""	""	""
"簸"	"pua5"	"pua21"	"白"	""	""	""	""	""	""
"簸"	"po5"	"po21"	"文"	""	""	""	""	""	""
"播"	"poo5"	"pɔ21"	""	""	""	""	""	""	""
"頗"	"pho1"	"pʰo44"	""	""	""	""	""	""	""
"坡"	"pho1"	"pʰo44"	""	""	""	""	""	""	""
"玻"	"po1"	"po44"	""	""	""	""	""	""	""
"頗"	"pho3"	"pʰo53"	""	""	""	""	""	""	""
"婆"	"po2"	"po13"	""	""	""	""	""	""	""
"破"	"phua5"	"pʰua21"	"白"	""	""	""	""	""	""
"破"	"pho5"	"pʰo21"	"文"	""	""	""	""	""	""
"魔"	"moo2"	"mɔ13"	""	""	""	""	""	""	""
