"汉字"	"拼音"	"IPA"	"注释"	"廈門"	"声调"	"调值"	"编号"	""	"缺音字"
"多"	"to1"	"to44"	""	""	"阴平"	"44"	"1"	""	"鎢"
"多"	"tsue6"	"tsue22"	"训"	""	"阳平"	"24"	"2"	""	"尷"
"他"	"thann1"	"tʰã44"	""	""	"阴上"	"53"	"3"	""	""
"他"	"tho1"	"tʰo44"	""	""	"阳上"	""	"4"	""	""
"舵"	"tua6"	"tua22"	"白"	""	"阴去"	"21"	"5"	""	""
"舵"	"to6"	"to22"	"文"	""	"阳去"	"22"	"6"	""	""
"舵"	"tai6"	"tai22"	"文"	""	"阴入"	"32"	"7"	""	""
"大"	"ta6"	"ta22"	""	""	"阳入"	"4"	"8"	""	""
"拖"	"thua1"	"tʰua44"	"白"	""	""	""	""	""	""
"拖"	"tho1"	"tʰo44"	"文"	""	""	""	""	""	""
"駝"	"to2"	"to24"	""	""	""	""	""	""	""
"陀"	"to2"	"to24"	""	""	""	""	""	""	""
"陀"	"tho2"	"tʰo24"	""	""	""	""	""	""	""
"馱"	"tua2"	"tua24"	"白"	""	""	""	""	""	""
"馱"	"to2"	"to24"	"文"	""	""	""	""	""	""
"馱"	"tua6"	"tua22"	"白"	""	""	""	""	""	""
"馱"	"to6"	"to22"	"文"	""	""	""	""	""	""
"挪"	"noo1"	"nɔ44"	""	""	""	""	""	""	""
"挪"	"noo3"	"nɔ53"	""	""	""	""	""	""	""
"羅"	"lo2"	"lo24"	""	""	""	""	""	""	""
"鑼"	"lo2"	"lo24"	""	""	""	""	""	""	""
"籮"	"lua2"	"lua24"	"白"	""	""	""	""	""	""
"籮"	"lo2"	"lo24"	"文"	""	""	""	""	""	""
"左"	"tso3"	"tso53"	""	""	""	""	""	""	""
"佐"	"tso3"	"tso53"	""	""	""	""	""	""	""
"做"	"tsue5"	"tsue21"	""	""	""	""	""	""	""
"做"	"tso5"	"tso21"	""	""	""	""	""	""	""
"搓"	"tsho1"	"tsʰo44"	""	""	""	""	""	""	""
"搓"	"so1"	"so44"	""	""	""	""	""	""	""
"娑"	"so1"	"so44"	""	""	""	""	""	""	""
"歌"	"kua1"	"kua44"	"白"	""	""	""	""	""	""
"歌"	"ko1"	"ko44"	"文"	""	""	""	""	""	""
"哥"	"ko1"	"ko44"	""	""	""	""	""	""	""
"個"	"e2"	"e24"	"俗"	""	""	""	""	""	""
"個"	"ko5"	"ko21"	""	""	""	""	""	""	""
"軻"	"kho1"	"kʰo44"	""	""	""	""	""	""	""
"可"	"khua3"	"kʰua53"	"白"	""	""	""	""	""	""
"可"	"kho3"	"kʰo53"	"文"	""	""	""	""	""	""
"蛾"	"go2"	"ɡo24"	""	""	""	""	""	""	""
"鵝"	"gia2"	"ɡia24"	"白"	""	""	""	""	""	""
"鵝"	"go2"	"ɡo24"	"文"	""	""	""	""	""	""
"俄"	"go2"	"ɡo24"	""	""	""	""	""	""	""
"我"	"gua3"	"ɡua53"	"白"	""	""	""	""	""	""
"我"	"ngoo3"	"ŋɔ53"	"文"	""	""	""	""	""	""
"餓"	"go6"	"ɡo22"	""	""	""	""	""	""	""
"何"	"ua2"	"ua24"	"白"	""	""	""	""	""	""
"何"	"ho2"	"ho24"	"文"	""	""	""	""	""	""
"河"	"ho2"	"ho24"	""	""	""	""	""	""	""
"荷"	"ho2"	"ho24"	""	""	""	""	""	""	""
"荷"	"o2"	"o24"	""	""	""	""	""	""	""
"荷"	"ho6"	"ho22"	""	""	""	""	""	""	""
"苛"	"kho1"	"kʰo44"	""	""	""	""	""	""	""
"賀"	"ho6"	"ho22"	""	""	""	""	""	""	""
"阿"	"a1"	"a44"	"白"	""	""	""	""	""	""
"阿"	"o1"	"o44"	"文"	""	""	""	""	""	""
"茄"	"ka1"	"ka44"	""	""	""	""	""	""	""
"茄"	"kio2"	"kio24"	""	""	""	""	""	""	""
"茄"	"ka2"	"ka24"	""	""	""	""	""	""	""
"波"	"po1"	"po44"	""	""	""	""	""	""	""
"波"	"pho1"	"pʰo44"	""	""	""	""	""	""	""
"跛"	"po3"	"po53"	""	""	""	""	""	""	""
"跛"	"pai3"	"pai53"	"训"	""	""	""	""	""	""
"簸"	"pua5"	"pua21"	"白"	""	""	""	""	""	""
"簸"	"po5"	"po21"	"文"	""	""	""	""	""	""
"播"	"poo5"	"pɔ21"	""	""	""	""	""	""	""
"頗"	"pho1"	"pʰo44"	""	""	""	""	""	""	""
"坡"	"pho1"	"pʰo44"	""	""	""	""	""	""	""
"玻"	"po1"	"po44"	""	""	""	""	""	""	""
"頗"	"pho3"	"pʰo53"	""	""	""	""	""	""	""
"婆"	"po2"	"po24"	""	""	""	""	""	""	""
"破"	"phua5"	"pʰua21"	"白"	""	""	""	""	""	""
"破"	"pho5"	"pʰo21"	"文"	""	""	""	""	""	""
"魔"	"moo2"	"mɔ24"	""	""	""	""	""	""	""
"磨"	"bua2"	"bua24"	"白"	""	""	""	""	""	""
"磨"	"moo2"	"mɔ24"	"文"	""	""	""	""	""	""
"摩"	"moo2"	"mɔ24"	""	""	""	""	""	""	""
"磨"	"bo6"	"bo22"	""	""	""	""	""	""	""
"朵"	"to3"	"to53"	""	""	""	""	""	""	""
"躲"	"to3"	"to53"	""	""	""	""	""	""	""
"剁"	"to5"	"to21"	""	""	""	""	""	""	""
"妥"	"tho3"	"tʰo53"	""	""	""	""	""	""	""
"唾"	"tho5"	"tʰo21"	""	""	""	""	""	""	""
"惰"	"to6"	"to22"	""	""	""	""	""	""	""
"墮"	"to6"	"to22"	""	""	""	""	""	""	""
"囉"	"lo1"	"lo44"	""	""	""	""	""	""	""
"囉"	"lo2"	"lo24"	""	""	""	""	""	""	""
"糯"	"lo6"	"lo22"	""	""	""	""	""	""	""
"騾"	"lo2"	"lo24"	""	""	""	""	""	""	""
"螺"	"le2"	"le24"	"白"	""	""	""	""	""	""
"螺"	"lo2"	"lo24"	"文"	""	""	""	""	""	""
"腡"	"le2"	"le24"	"白"	""	""	""	""	""	""
"腡"	"lo2"	"lo24"	"文"	""	""	""	""	""	""
"裸"	"lo3"	"lo53"	""	""	""	""	""	""	""
"銼"	"tsho5"	"tsʰo21"	""	""	""	""	""	""	""
"矬"	"tso2"	"tso24"	""	""	""	""	""	""	""
"坐"	"tse6"	"tse22"	"白"	""	""	""	""	""	""
"坐"	"tso6"	"tso22"	"文"	""	""	""	""	""	""
"座"	"tse6"	"tse22"	"白"	""	""	""	""	""	""
"座"	"tso6"	"tso22"	"文"	""	""	""	""	""	""
"蓑"	"sue1"	"sue44"	""	""	""	""	""	""	""
"梭"	"so1"	"so44"	""	""	""	""	""	""	""
"唆"	"so1"	"so44"	""	""	""	""	""	""	""
"唆"	"so6"	"so22"	""	""	""	""	""	""	""
"鎖"	"so3"	"so53"	""	""	""	""	""	""	""
"瑣"	"so3"	"so53"	""	""	""	""	""	""	""
"鍋"	"e1"	"e44"	"白"	""	""	""	""	""	""
"鍋"	"ko1"	"ko44"	"文"	""	""	""	""	""	""
"過"	"kua1"	"kua44"	"白"	""	""	""	""	""	""
"過"	"ko1"	"ko44"	"文"	""	""	""	""	""	""
"過"	"kua5"	"kua21"	"白"	""	""	""	""	""	""
"過"	"ke5"	"ke21"	"白"	""	""	""	""	""	""
"過"	"ko5"	"ko21"	"文"	""	""	""	""	""	""
"戈"	"ko1"	"ko44"	""	""	""	""	""	""	""
"果"	"ke3"	"ke53"	"白"	""	""	""	""	""	""
"果"	"ko3"	"ko53"	"文"	""	""	""	""	""	""
"裹"	"ko3"	"ko53"	""	""	""	""	""	""	""
"科"	"khe1"	"kʰe44"	"白"	""	""	""	""	""	""
"科"	"kho1"	"kʰo44"	"文"	""	""	""	""	""	""
"棵"	"kho1"	"kʰo44"	""	""	""	""	""	""	""
"窠"	"kho1"	"kʰo44"	""	""	""	""	""	""	""
"顆"	"kho1"	"kʰo44"	""	""	""	""	""	""	""
"課"	"khe5"	"kʰe21"	"白"	""	""	""	""	""	""
"課"	"kho5"	"kʰo21"	"文"	""	""	""	""	""	""
"訛"	"go2"	"ɡo24"	""	""	""	""	""	""	""
"臥"	"go6"	"ɡo22"	""	""	""	""	""	""	""
"火"	"he3"	"he53"	"白"	""	""	""	""	""	""
"火"	"hoonn3"	"hɔ̃53"	"文"	""	""	""	""	""	""
"夥"	"he3"	"he53"	"白"	""	""	""	""	""	""
"夥"	"hoonn3"	"hɔ̃53"	"文"	""	""	""	""	""	""
"貨"	"he5"	"he21"	"白"	""	""	""	""	""	""
"貨"	"hoonn5"	"hɔ̃21"	"文"	""	""	""	""	""	""
"貨"	"ho5"	"ho21"	"文"	""	""	""	""	""	""
"禾"	"ho2"	"ho24"	""	""	""	""	""	""	""
"和"	"he2"	"he24"	"白"	""	""	""	""	""	""
"和"	"ho2"	"ho24"	"文"	""	""	""	""	""	""
"和"	"ho6"	"ho22"	""	""	""	""	""	""	""
"禍"	"e6"	"e22"	"白"	""	""	""	""	""	""
"禍"	"ho6"	"ho22"	"文"	""	""	""	""	""	""
"倭"	"e1"	"e44"	"白"	""	""	""	""	""	""
"倭"	"o1"	"o44"	"文"	""	""	""	""	""	""
"倭"	"o3"	"o53"	""	""	""	""	""	""	""
"倭"	"ue1"	"ue44"	""	""	""	""	""	""	""
"窩"	"o1"	"o44"	""	""	""	""	""	""	""
"涴"	"o5"	"o21"	""	""	""	""	""	""	""
"涴"	"uan1"	"uan44"	""	""	""	""	""	""	""
"涴"	"uan3"	"uan53"	""	""	""	""	""	""	""
"瘸"	"khe2"	"kʰe24"	"白"	""	""	""	""	""	""
"瘸"	"kio2"	"kio24"	"文"	""	""	""	""	""	""
"靴"	"hia1"	"hia44"	"白"	""	""	""	""	""	""
"靴"	"hio1"	"hio44"	"文"	""	""	""	""	""	""
"巴"	"pa1"	"pa44"	""	""	""	""	""	""	""
"疤"	"pa1"	"pa44"	""	""	""	""	""	""	""
"芭"	"pa1"	"pa44"	""	""	""	""	""	""	""
"把"	"pe3"	"pe53"	"白"	""	""	""	""	""	""
"把"	"pa3"	"pa53"	"文"	""	""	""	""	""	""
"爸"	"pe6"	"pe22"	"白"	""	""	""	""	""	""
"爸"	"pa6"	"pa22"	"文"	""	""	""	""	""	""
"杷"	"pe2"	"pe24"	"白"	""	""	""	""	""	""
"杷"	"pa2"	"pa24"	"文"	""	""	""	""	""	""
"壩"	"pe5"	"pe21"	"白"	""	""	""	""	""	""
"壩"	"pa5"	"pa21"	"文"	""	""	""	""	""	""
"垻"	"pe5"	"pe21"	"白"	""	""	""	""	""	""
"垻"	"pa5"	"pa21"	"文"	""	""	""	""	""	""
"霸"	"pa5"	"pa21"	""	""	""	""	""	""	""
"怕"	"phann5"	"pʰã21"	""	""	""	""	""	""	""
"琶"	"pe2"	"pe24"	"白"	""	""	""	""	""	""
"琶"	"pa2"	"pa24"	"文"	""	""	""	""	""	""
"爬"	"pe2"	"pe24"	"白"	""	""	""	""	""	""
"爬"	"pa2"	"pa24"	"文"	""	""	""	""	""	""
"爬"	"pha2"	"pʰa24"	"文"	""	""	""	""	""	""
"麻"	"mua2"	"mua24"	"白"	""	""	""	""	""	""
"麻"	"ba2"	"ba24"	"文"	""	""	""	""	""	""
"麻"	"ma2"	"ma24"	"文"	""	""	""	""	""	""
"媽"	"ma1"	"ma44"	"俗"	""	""	""	""	""	""
"媽"	"ma2"	"ma24"	""	""	""	""	""	""	""
"媽"	"ma3"	"ma53"	""	""	""	""	""	""	""
"馬"	"be3"	"be53"	"白"	""	""	""	""	""	""
"馬"	"ma3"	"ma53"	"文"	""	""	""	""	""	""
"碼"	"be3"	"be53"	"白"	""	""	""	""	""	""
"碼"	"ma3"	"ma53"	"文"	""	""	""	""	""	""
"罵"	"be6"	"be22"	"白"	""	""	""	""	""	""
"罵"	"ma6"	"ma22"	"文"	""	""	""	""	""	""
"拿"	"na3"	"na53"	"俗"	""	""	""	""	""	""
"拿"	"na2"	"na24"	""	""	""	""	""	""	""
"詫"	"tsha5"	"tsʰa21"	""	""	""	""	""	""	""
"詫"	"tha5"	"tʰa21"	""	""	""	""	""	""	""
"茶"	"te2"	"te24"	"白"	""	""	""	""	""	""
"茶"	"ta2"	"ta24"	"文"	""	""	""	""	""	""
"茶"	"tsha2"	"tsʰa24"	"文"	""	""	""	""	""	""
"查"	"tsa2"	"tsa24"	""	""	""	""	""	""	""
"渣"	"tse1"	"tse44"	"白"	""	""	""	""	""	""
"渣"	"tsa1"	"tsa44"	"文"	""	""	""	""	""	""
"詐"	"tse5"	"tse21"	"白"	""	""	""	""	""	""
"詐"	"tsa5"	"tsa21"	"文"	""	""	""	""	""	""
"榨"	"tse5"	"tse21"	"白"	""	""	""	""	""	""
"榨"	"tsa5"	"tsa21"	"文"	""	""	""	""	""	""
"炸"	"tsa5"	"tsa21"	"俗"	""	""	""	""	""	""
"炸"	"tsa6"	"tsa22"	""	""	""	""	""	""	""
"叉"	"tshe1"	"tsʰe44"	"白"	""	""	""	""	""	""
"叉"	"tsha1"	"tsʰa44"	"文"	""	""	""	""	""	""
"杈"	"tshe1"	"tsʰe44"	"白"	""	""	""	""	""	""
"杈"	"tsha1"	"tsʰa44"	"文"	""	""	""	""	""	""
"差"	"tsha1"	"tsʰa44"	""	""	""	""	""	""	""
"岔"	"tshe1"	"tsʰe44"	"白"	""	""	""	""	""	""
"岔"	"tsha1"	"tsʰa44"	"文"	""	""	""	""	""	""
"乍"	"tsa5"	"tsa21"	"俗"	""	""	""	""	""	""
"乍"	"tsa6"	"tsa22"	""	""	""	""	""	""	""
"沙"	"sua1"	"sua44"	"白"	""	""	""	""	""	""
"沙"	"sa1"	"sa44"	"文"	""	""	""	""	""	""
"紗"	"se1"	"se44"	"白"	""	""	""	""	""	""
"紗"	"sa1"	"sa44"	"文"	""	""	""	""	""	""
"灑"	"se5"	"se21"	"白"	""	""	""	""	""	""
"灑"	"sa3"	"sa53"	"文"	""	""	""	""	""	""
"嘉"	"ka1"	"ka44"	""	""	""	""	""	""	""
"家"	"ke1"	"ke44"	"白"	""	""	""	""	""	""
"家"	"ka1"	"ka44"	"文"	""	""	""	""	""	""
"傢"	"ka1"	"ka44"	""	""	""	""	""	""	""
"加"	"ke1"	"ke44"	"白"	""	""	""	""	""	""
"加"	"ka1"	"ka44"	"文"	""	""	""	""	""	""
"假"	"ke3"	"ke53"	"白"	""	""	""	""	""	""
"假"	"ka3"	"ka53"	"文"	""	""	""	""	""	""
"賈"	"ke3"	"ke53"	"白"	""	""	""	""	""	""
"賈"	"ka3"	"ka53"	"文"	""	""	""	""	""	""
"稼"	"ka5"	"ka21"	""	""	""	""	""	""	""
"假"	"ke5"	"ke21"	"白"	""	""	""	""	""	""
"假"	"ka5"	"ka21"	"文"	""	""	""	""	""	""
"價"	"ke5"	"ke21"	"白"	""	""	""	""	""	""
"價"	"ka5"	"ka21"	"文"	""	""	""	""	""	""
"架"	"ke5"	"ke21"	"白"	""	""	""	""	""	""
"架"	"ka5"	"ka21"	"文"	""	""	""	""	""	""
"駕"	"ka5"	"ka21"	""	""	""	""	""	""	""
"嫁"	"ke5"	"ke21"	"白"	""	""	""	""	""	""
"嫁"	"ka5"	"ka21"	"文"	""	""	""	""	""	""
"牙"	"ge2"	"ɡe24"	"白"	""	""	""	""	""	""
"牙"	"ga2"	"ɡa24"	"文"	""	""	""	""	""	""
"芽"	"ge2"	"ɡe24"	"白"	""	""	""	""	""	""
"芽"	"ga2"	"ɡa24"	"文"	""	""	""	""	""	""
"衙"	"ge2"	"ɡe24"	"白"	""	""	""	""	""	""
"衙"	"ga2"	"ɡa24"	"文"	""	""	""	""	""	""
"雅"	"nga3"	"ŋa53"	""	""	""	""	""	""	""
"訝"	"ga6"	"ɡa22"	""	""	""	""	""	""	""
"迓"	"ga6"	"ɡa22"	""	""	""	""	""	""	""
"蝦"	"he2"	"he24"	"白"	""	""	""	""	""	""
"蝦"	"ha2"	"ha24"	"文"	""	""	""	""	""	""
"嚇"	"ha5"	"ha21"	""	""	""	""	""	""	""
"霞"	"he2"	"he24"	"白"	""	""	""	""	""	""
"霞"	"ha2"	"ha24"	"文"	""	""	""	""	""	""
