cid	character	initial	final	tone	note
1	多	t	u	433	
2	拖	th	u	433	
3	大	d	a	24	
4	锣	l	u	223	
5	左	ts	u	51	
6	歌	k	u	433	
7	个	k	əʔ	53	
8	可	kh	u	51	
9	鹅	ŋ	u	223	
10	饿	ŋ	u	24	
11	河	∅	u	223	
12	茄	dʑ	ia	223	
13	破	ph	a	35	
14	婆	b	u	223	
15	磨	m	u	24	
16	磨	m	u	24	
17	躲	t	u	51	
18	螺	l	u	223	
19	坐	dz	u	24	
20	锁	s	u	51	
21	果	k	u	51	
22	过	k	u	35	
23	课	kh	u	433	
24	火	x	u	51	
25	货	x	u	35	
26	祸	∅	u	24	
27	靴	ɕ	y	433	
28	把	p	a	51	
29	爬	b	a	223	
30	马	m	a	51	
31	骂	m	a	24	
32	茶	dz	a	223	
33	沙	s	a	433	
34	假	tɕ	ia	51	
35	嫁	tɕ	ia	35	
36	牙	ŋ	a	223	
37	虾	x	a	433	
38	下	ʑ	ia	24	
39	夏	ʑ	ia	24	
40	哑	ŋ	a	51	白
41	姐	tɕ	i	51	
42	借	tɕ	ia	35	
43	写	ɕ	ia	51	
44	斜	ʑ	ia	223	
45	谢	ʑ	ia	24	
46	车	tsh	a	433	
47	蛇	z	a	223	
48	射	z	a	24	
49	爷	∅	ia	223	
50	野	∅	ia	51	
51	夜	∅	ia	24	
52	瓜	k	ua	433	
53	瓦	ŋ	a	51	
54	花	x	ua	433	
55	化	x	ua	35	
56	华	∅	ua	223	
57	谱	ph	u	51	
58	布	p	u	35	
59	铺	ph	u	433	
60	簿	b	u	24	
61	步	b	u	24	
62	赌	t	u	51	
63	土	th	u	51	
64	图	d	u	223	
65	杜	d	u	24	
66	奴	n	u	223	
67	路	l	u	24	
68	租	ts	u	433	
69	做	ts	u	35	
70	错	tsh	u	35	
71	箍	kh	u	433	
72	古	k	u	51	
73	苦	kh	u	51	
74	裤	kh	u	35	
75	吴	∅	u	223	
76	五	∅	u	51	
77	虎	x	u	51	
78	壶	∅	u	223	
79	户	∅	u	24	
80	乌	∅	u	433	
81	女	ȵ	y	51	
82	吕	l	i	51	
83	徐	ɕ	i	223	
84	猪	tɕ	y	433	
85	除	dʑ	y	223	
86	初	tsh	u	433	
87	锄	ʑ	y	223	
88	所	s	u	51	
89	书	ɕ	y	433	
90	鼠	tɕh	y	51	
91	如	ʑ	y	223	
92	举	tɕ	y	35	
93	锯	k	iəu	35	
94	去	tɕh	i	35	
95	渠	dʑ	y	24	
96	鱼	∅	y	223	
97	许	ɕ	y	51	
98	余	∅	y	223	
99	府	f	u	51	
100	付	f	u	35	
101	父	v	u	24	
102	武	∅	u	24	
103	雾	∅	u	24	
104	取	tɕh	y	51	
105	柱	ʑ	y	24	
106	住	dʑ	y	24	
107	数	ɕ	y	51	
108	数	s	u	35	
109	主	tɕ	y	51	
110	输	ɕ	y	433	
111	竖	ʑ	y	24	
112	树	ʑ	y	24	
113	句	tɕ	y	35	
114	区	tɕh	y	433	
115	遇	∅	y	24	
116	雨	∅	y	51	
117	芋	∅	y	24	
118	裕	∅	y	24	
119	胎	th	e	433	
120	台	d	e	223	
121	袋	d	e	24	
122	来	l	e	223	
123	菜	tsh	e	35	
124	财	dz	e	223	
125	该	k	e	433	
126	改	k	e	51	
127	开	kh	e	433	
128	海	x	e	51	
129	爱	∅	e	24	
130	贝	p	e	35	
131	带	t	a	35	
132	盖	k	e	35	
133	害	∅	e	35	
134	拜	p	a	35	
135	排	b	a	223	
136	埋	m	a	223	
137	戒	k	a	35	
138	摆	p	a	51	
139	派	ph	a	35	
140	牌	b	a	223	
141	买	m	a	51	
142	卖	m	a	24	
143	柴	z	a	223	
144	晒	s	a	35	
145	街	k	a	433	
146	解	k	a	51	
147	鞋	∅	a	223	
148	蟹	x	a	51	
149	矮	ŋ	a	51	
150	败	b	a	24	
151	币	b	i	24	
152	制	ts	ɿ	35	
153	世	s	ɿ	35	
154	艺	ȵ	i	35	
155	米	m	i	51	
156	低	t	i	433	
157	梯	th	e	433	
158	剃	th	i	433	
159	弟	d	i	24	
160	递	d	i	24	
161	泥	ȵ	i	223	
162	犁	l	i	223	
163	西	ɕ	i	433	
164	洗	ɕ	i	51	
165	鸡	tɕ	i	433	
166	溪	tɕh	i	433	
167	契	tɕh	i	35	
168	系	ɕ	i	433	
169	杯	p	e	433	
