// HSD Syllabary Data Partition
// 地区：陝西省-渭南市-大荔縣-朝邑鎮
// 来源：段蓓蕾《大荔（朝邑）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	陝西省-渭南市-大荔縣-朝邑鎮
@SRC	段蓓蕾《大荔（朝邑）方言語音研究》

@INI	p	pʰ	m	pf	pfʰ	f	v	t	tʰ	n	l	ts	tsʰ	s	k	kʰ	x
@FIN	ei
@TON	陰平	31
@TON	陽平	24
@TON	上聲	53
@TON	去聲	55

// Initial	Final	Tone	CharList (Space separated)
p	ei	陰平	北 背{~書包} 百 柏 掰{~開}
p	ei	陽平	帛 伯{大~，稱呼舅舅}
p	ei	上聲	悲 迫{壓~}
p	ei	去聲	背{脊~} 貝 被{~迫}
pʰ	ei	陰平	杯 拍 胚{新派} 坯{新派}
pʰ	ei	陽平	培{~養} 陪 賠 裴 伯{大~} 白
pʰ	ei	上聲	沛 轡 佩 魄{魂~}
pʰ	ei	去聲	倍 輩{~分} 配 背{~誦，耳~} 焙{土炕}
m	ei	陰平	麥 脈 默
m	ei	陽平	梅 枚 媒 煤 墨{~汁} 陌{~生} 玫{~瑰} 霉 眉{新派}
m	ei	上聲	每 美
m	ei	去聲	妹 昧 媚 寐
pf	ei	陰平	追 錐
pfʰ	ei	陰平	吹 炊
pfʰ	ei	陽平	垂 槌 錘{~子} 捶
pfʰ	ei	去聲	贅 墜
f	ei	陰平	摔 妃{新派}
f	ei	上聲	水 翡 匪{新派}
f	ei	去聲	稅 睡 瑞
v	ei	陰平	微 唯
v	ei	上聲	蕊
v	ei	去聲	芮 衛 銳 味 未
t	ei	陰平	得 德
tʰ	ei	陽平	忒 特{~殊}
n	ei	上聲	餒
n	ei	去聲	內{新派}
l	ei	陰平	肋 勒
l	ei	陽平	雷
l	ei	上聲	儡 累{積~} 壘 磊
l	ei	去聲	淚 類 累{勞~，連~} 內
ts	ei	陰平	則 窄 摘 責
tsʰ	ei	陰平	廁 測 側 拆 策 冊 柵
tsʰ	ei	陽平	賊 澤 擇{~菜} 宅
s	ei	陰平	澀 蝨 瑟 塞{~進去} 嗇 色
s	ei	陽平	誰
k	ei	陰平	格{~子} 革 隔 嗝{打~}
k	ei	上聲	給
kʰ	ei	陰平	刻{時~} 克 客
x	ei	陰平	赫 嚇 黑{新派}
// HSD Syllabary Data Partition
// 地区：陝西省-渭南市-大荔縣-朝邑鎮
// 来源：段蓓蕾《大荔（朝邑）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	陝西省-渭南市-大荔縣-朝邑鎮
@SRC	段蓓蕾《大荔（朝邑）方言語音研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	tɕ	tɕʰ	ɕ	∅
@FIN	i
@TON	陰平	31
@TON	陽平	24
@TON	上聲	53
@TON	去聲	55

// Initial	Final	Tone	CharList (Space separated)
p	i	陰平	碑 卑 臂 逼 筆 畢 必 壁 璧
p	i	上聲	婢 譬 比 秕{~穀，未成熟的谷子} 彼 鄙
p	i	去聲	蔽 敝 弊 幣 斃 陛 閉 備{准~} 碧 弼{~馬溫}
pʰ	i	陰平	批 坯{土~} 披 丕{曹~，人名} 胚{~胎}
pʰ	i	陽平	皮 疲 脾 枇{~杷} 琵{~琶} 鼻{~子}
pʰ	i	上聲	避 癖 劈
pʰ	i	去聲	被{~子，~窩} 庇 屁 婢 箅{~子} 僻 辟 匹{一~}
m	i	陰平	秘{必分~} 密 蜜 眯{~眼睛}
m	i	陽平	迷 謎 糜 彌 靡 眉{~眼媚} 媚
m	i	上聲	米
m	i	去聲	覓
f	i	陰平	非 飛 妃 扉 吠
f	i	陽平	肥
f	i	上聲	匪
f	i	去聲	費 肺 廢
v	i	陽平	微
v	i	去聲	味{~道} 未
t	i	陰平	低
t	i	陽平	嫡 提{~東西的} 的{~確}
t	i	上聲	底 抵 的{目~}
t	i	去聲	弟 帝 第
tʰ	i	陰平	梯 涕 屜 踢 剔 嚏
tʰ	i	陽平	提 題 堤 蹄 啼 笛 敵 狄
tʰ	i	上聲	體
tʰ	i	去聲	替 剃 遞{地下~，去幹農活}
n	i	陰平	匿 逆 溺
n	i	陽平	泥 倪 宜 誼 尼 疑
n	i	上聲	椅 你 擬 倚{~著}
n	i	去聲	膩{~歪}
l	i	陰平	荔 立 栗 力 歷{老黃~}
l	i	陽平	黎 犁 梨 麗 離{~遠：靠邊站} 籬 厘 狸{~貓：一種身上有花紋的貓} 璃
l	i	上聲	禮 李 里 鯉 理
l	i	去聲	例 厲 勵 履{~歷} 隸 利 痢 吏 粒 笠
tɕ	i	陰平	稽 薺{荸~，一種水果} 雞 飢 肌 幾{茶~} 基 杞{枸~子} 機 譏 輯{編~級} 給{供~} 鯽 即 吉 戟 積 跡 脊 藉{狼~} 績 寂 擊 激
tɕ	i	陽平	急 集{~中，~會}
tɕ	i	上聲	擠 幾{~個} 己
tɕ	i	去聲	際 祭 濟 計 繼{承~} 鞋 帶 髻{髮~：姑娘頭髮挽一起} 技 妓 寄 冀 紀 記 既 忌 季
tɕʰ	i	陰平	妻 企 欺 期 祈 七 漆 膝{膝書~} 戚 緝{~鞋口}
tɕʰ	i	陽平	齊 臍 岐 奇 騎 祁 鰭 其 棋 旗 極 及 疾
tɕʰ	i	上聲	啟 起 豈 乞 娶{~媳婦}
tɕʰ	i	去聲	既 際 砌 契 棄{去來~} 器 汽 氣 泣 迄 集{~一兩~}
ɕ	i	陰平	西 棲 犧 犀 婿 溪 奚 嬉 熙 希 稀 吸 悉 息 熄 惜 昔 夕 錫 析
ɕ	i	陽平	襲 習 席 徙
ɕ	i	上聲	洗 喜 媳 璽
ɕ	i	去聲	戲 細 系{聯~} 畦{指方形菜地}
∅	i	陰平	蟻 醫 以 矣 衣{依不~，不聽話} 揖 一 乙 益
∅	i	陽平	儀 移 伊 姨 夷 肄{~業} 沂 毅 遺 譯 疫 役 飴{高粱~}
∅	i	上聲	尾{~巴}
∅	i	去聲	藝 刈 翳{眼~，多指白內障} 縊 議 意 義 逸 易{難~，交~} 異 憶 億 抑 翼
// HSD Syllabary Data Partition
// 地区：陝西省-渭南市-大荔縣-朝邑鎮
// 来源：段蓓蕾《大荔（朝邑）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	陝西省-渭南市-大荔縣-朝邑鎮
@SRC	段蓓蕾《大荔（朝邑）方言語音研究》

@INI	p	pʰ	m	t	tʰ	l	tɕ	tɕʰ	ȵ	ɕ	∅
@FIN	iaɔ
@TON	陰平	31
@TON	陽平	24
@TON	上聲	53
@TON	去聲	55

// Initial	Final	Tone	CharList (Space separated)
p	iaɔ	陰平	膘 標 彪
p	iaɔ	上聲	表 裱
pʰ	iaɔ	陰平	飄 漂{~起來}
pʰ	iaɔ	陽平	瓢{瓜~兒} 嫖
pʰ	iaɔ	上聲	漂{~白}
pʰ	iaɔ	去聲	票 漂{~亮}
m	iaɔ	陽平	苗 描
m	iaɔ	上聲	渺 藐 秒
m	iaɔ	去聲	廟 妙
t	iaɔ	陰平	刁 貂 雕
t	iaɔ	去聲	釣 吊 掉 調{~動}
tʰ	iaɔ	陰平	挑{~選} 藿 灰{~菜}
tʰ	iaɔ	陽平	條 調{~整} 跳{~遠，~舞} 笤{~帚}
tʰ	iaɔ	上聲	挑{動詞，~出來，~釁}
tʰ	iaɔ	去聲	眺
l	iaɔ	陰平	撩
l	iaɔ	陽平	燎{星火~原} 聊 遼 繚{~得太：非常棒}
l	iaɔ	上聲	燎{火~眉毛} 繚 了{~解} 繚
l	iaɔ	去聲	瞭{~望} 料 尬 馬{~蹶子} 廖 □{放、置：~下，~進去} 尿
tɕ	iaɔ	陰平	交 郊 膠 教{~書} 蕉 焦 椒 澆 繳
tɕ	iaɔ	上聲	驕{~傲} 嬌{~氣} 絞 狡 皎 攪 矯{~情} 僥 餃{~子}
tɕ	iaɔ	去聲	教{~師} 叫 校{~對} 覺 窨 較 比{~~}
tɕʰ	iaɔ	陰平	敲 鍬{鐵~，鍁~邊} 悄
tɕʰ	iaɔ	陽平	樵 喬 僑 橋 蕎
tɕʰ	iaɔ	上聲	巧
tɕʰ	iaɔ	去聲	俏 鞘 轎 竅 瞧 牛 倒{~：反芻}
ȵ	iaɔ	上聲	咬 鳥 杳{~無音信}
ȵ	iaɔ	去聲	尿{新派}
ɕ	iaɔ	陰平	消 宵 硝 銷 霄 囂 蕭 簫
ɕ	iaɔ	陽平	淆
ɕ	iaɔ	上聲	小 曉{~得：知道}
ɕ	iaɔ	去聲	校 學{~，上} 酵 發{~孝} 效 笑
∅	iaɔ	陰平	妖 邀 腰 要{~求} 吆 么{~二三}
∅	iaɔ	陽平	肴 搖 謠 窯 姚 堯
∅	iaɔ	上聲	舀 杳{新派}
∅	iaɔ	去聲	要 耀 鷂{一種鳥} 靿{高~靴子}
// HSD Syllabary Data Partition
// 地区：陝西省-渭南市-大荔縣-朝邑鎮
// 来源：段蓓蕾《大荔（朝邑）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	陝西省-渭南市-大荔縣-朝邑鎮
@SRC	段蓓蕾《大荔（朝邑）方言語音研究》

@INI	m	t	l	tɕ	tɕʰ	ȵ	ɕ	∅
@FIN	iou
@TON	陰平	31
@TON	陽平	24
@TON	上聲	53
@TON	去聲	55

// Initial	Final	Tone	CharList (Space separated)
m	iou	上聲	謬
t	iou	陰平	丟
l	iou	陰平	縷 六 陸{大寫：六} 綠
l	iou	陽平	流 劉 留 榴 硫 琉{~璃}
l	iou	上聲	柳
l	iou	去聲	溜
tɕ	iou	陰平	揪{~住} 鬏{小辮子} 鳩 閹{抓~} 糾- 咎 糾 究 研{~柩}
tɕ	iou	上聲	酒 九 久 韭 灸 究{~竟}
tɕ	iou	去聲	救
tɕʰ	iou	陰平	秋 鞦 丘 仇{姓氏}
tɕʰ	iou	陽平	囚 求 球
tɕʰ	iou	上聲	糗{出醜}
tɕʰ	iou	去聲	就{~是；~菜：吃飯搭配菜} 舅 舊
ȵ	iou	陰平	妞
ȵ	iou	陽平	牛{~黃} 郵{~票(老派)}
ȵ	iou	上聲	紐 扭 友{老派}
ȵ	iou	去聲	又 拗
ɕ	iou	陰平	羞 修 休
ɕ	iou	上聲	朽 嗅
ɕ	iou	去聲	秀 繡 宿{~星} 鏽 袖
∅	iou	陰平	優 憂 悠 幽
∅	iou	陽平	尤 郵{新派} 由 魷{~魚} 油 遊 猶
∅	iou	上聲	有 友{新派} 酉
∅	iou	去聲	幼 誘 右{~岸，右邊} 佑 柚{~子} 莠 鼬{黃鼠狼別稱} 釉 又{新派}
// HSD Syllabary Data Partition
// 地区：陝西省-渭南市-大荔縣-朝邑鎮
// 来源：段蓓蕾《大荔（朝邑）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	陝西省-渭南市-大荔縣-朝邑鎮
@SRC	段蓓蕾《大荔（朝邑）方言語音研究》

@INI	p	pʰ	m	t	tʰ	l	tɕ	tɕʰ	ɲ	ç	∅
@FIN	iæ̃
@TON	陰平	31
@TON	陽平	24
@TON	上聲	53
@TON	去聲	55

// Initial	Final	Tone	CharList (Space separated)
p	iæ̃	陰平	編 鞭 邊 蝙
p	iæ̃	上聲	扁 匾 貶
p	iæ̃	去聲	遍{~一} 辯 辨 變{~化} 便{方~} 汴
pʰ	iæ̃	陰平	偏
pʰ	iæ̃	陽平	便{~宜}
pʰ	iæ̃	上聲	篇 片 諞{~閑傳：聊閑話}
pʰ	iæ̃	去聲	辮 騙{~人}
m	iæ̃	陽平	眠 棉 綿
m	iæ̃	上聲	免 娩 涴 澠
m	iæ̃	去聲	面
t	iæ̃	陰平	顛 掂 巔
t	iæ̃	上聲	典 腆{~肚子} 點
t	iæ̃	去聲	店 電 殿 奠 墊{~東西，~錢，動詞}
tʰ	iæ̃	陰平	天 添
tʰ	iæ̃	陽平	田 填 甜 □{~口吃，不蘸醬料吃東西}
tʰ	iæ̃	上聲	腆 靦{~舔}
tʰ	iæ̃	去聲	墊{~子，名詞}
l	iæ̃	陽平	憐 廉 鐮 聯 連 蓮
l	iæ̃	上聲	臉 斂
l	iæ̃	去聲	練 鏈 楝
tɕ	iæ̃	陰平	監{~視} 尖 兼 搛{~菜} 艱 間{中~} 奸 煎 肩 堅
tɕ	iæ̃	上聲	鑑 檢 儉 簡 柬 踐{~行} 撿 間{~斷} 繭 蠶{~澗} 剪 鐧{殺手~} 減 鹼{~面}
tɕ	iæ̃	去聲	間{~或} 諫 莧{~菜} 鍵 健 毽 健{~子} 薦{推~} 賤 錢 見 艦 監{國子~} 漸 劍 濺 箭
tɕʰ	iæ̃	陰平	千 潛 籤 牽 鉛 籤 殲{~滅} 謙 遷 虔{~誠}
tɕʰ	iæ̃	陽平	乾{~坤} 錢 前
tɕʰ	iæ̃	上聲	遣
tɕʰ	iæ̃	去聲	件 欠 芡{~實：一種藥材} 嵌 鍵{關~}
ɲ	iæ̃	陰平	蔫{放時間長了不新鮮，茄子~了} 淹 閹 醃
ɲ	iæ̃	陽平	嚴 儼{~然} 顏{~色} 年 拈 鯰{~魚} 言{~喻：說話}
ɲ	iæ̃	上聲	眼 碾 攆 掩 魘
ç	iæ̃	陰平	掀 鍁 仙 先 鮮{新~}
