#z̩
ts	[1]㿳之卮吱諮支枝梔滋知肢胑脂芝訾資趑鯔齜[2]吱[3]仔址姊子指止籽紙旨[5]制字=炙?自至痣翅治致智置
tsʰ	[1]㷰嗤字-寺牸痔癡跐雌魑黐[2]㓾{～魚}嗣慈持池瓷詞祠餈茨辭治{～魚}匙[3]此齒侈恥[5]伺刺次滯
s	[1]䲉絲事-司士屍市師思撕斯是-柿氏-獅私自視詩[2]弛時鰣[3]屎死始史使駛[5]世事=侍勢四失?巳是=氏=肆誓試
0	[1]二[3]耳[0]子
#i
p	[1]屄[3]比[5]斃泌{～湯}祕閉
pʰ	[1]伾坯批披焙痱砒篦背-被-{～單}𠜱[2]便-{～宜}疲皮脾賠-陪-培-[3]否痞坯[5]屁紕配-
m	[1]咪妹-渳眯[2]媒-棉-眉-迷黴-麋𤓒[3]米
n	[1]例利哩離膩-[2]尼泥犁梨璃離[3]李理禮裏里鯉[5]膩=麗莉[0]呢
tɕ	[1]低乩嘰基期機漈璣稽穄箕肌薺蟣譏飢雞齏[3]底抵幾己擠蟣[5]季忌=濟繫紀蘻計記鯚地=帝第=鱖罽
tɕʰ	[1]地-弟-梯涕妻忌-期欺洎溪蹊臍[2]啼堤提蹄䭣其奇旗棋臍騎齊䭣[3]砌起啓體[5]器契棄氣汽剃替
ɕ	[1]兮嘻熙稀西犧婿[3]喜洗蟢[5]些戲曦?{睡早～：睡懶覺}曦潟細系
0	[1]依勩醫咿易猗衣議[2]儀姨胰宜移疑遺[3]以已倚椅饐[5]義異藝意殪瞖翳臆議
#u
p	[1]𡜵[3]捕補[5]布佈怖
pʰ	[1]孵步部潽簿豧鋪[2]荸菩蒲[3]譜普甫[5]鋪
f	[1]乎互呵呼夫婦戶=敷父膚腐-芙虎衭麩副{一～}[2]壺扶浮湖狐符糊胡=葫巫誣[3]俯府戽斧糊腐{～化}腑虎釜[5]付副{正～}富護=負阜
t	[1]都[2]嘟[3]肚賭[5]妒度=鍍渡=
tʰ	[1]度-杜渡-{～船}肚-輸?[2]圖屠徒途塗[3]吐土[5]兔唾
n	[1]嚕路露魯[2]盧攎爐蘆[3]乳-滷鹵魯櫓
k	[1]咕姑菇孤箍菰[2]咕[3]估古咕股臌鼓[5]故顧僱
kʰ	[1]枯骷[2]鼓?{凸出}[3]苦[5]褲庫
ts	[1]朱豬珠租蛛諸[3]主煮祖阻[5]住=助柱注疰蛀
tsʰ	[1]住-初粗除*{擦去}[2]廚櫥署?除儲鋤[3]處暑杵鼠[5]處憷醋
s	[1]書樞樹疏豎蘇輸酥殊[3]數[5]數漱素膆訴殊+
z	[2]儒孺如茹[3]乳=汝
0	[1]烏嗚戶-護-{～短}污瓠[2]吳無胡-{～蜂}蕪糊{粘貼}[3]㳇五午忤武舞鵡[5]務塢惡戊捂焐悟誤霧
#y
n	[1]累{背～}[2]揄?{～捺人：嘲笑別人}累-鑢{劃開、鋸開}雷-驢[3]女呂鋁旅[5]淚類
tɕ	[1]堆-居拘疽苴車錐苣追[3]舉嘴-[5]句對-鋸最-隊墜贅聚懼據碓罪=醉
tɕʰ	[1]催-吹區崔序-推-蛆覷罪-[2]渠隨-捶錘[3]取娶腿-[5]去脆趣翠退-
ɕ	[1]尿序穗繻{～子}荽虛雖遂-須[2]隨+[3]水-許[5]婿歲-序=碎稅絮緒遂=
0	[1]與淤玉=芋迂預遇[2]餘俞榆盂愚漁虞魚[3]語雨喻羽禹[5]喂-{～奶}諭裕
#a
p	[1]叭吧巴扒把疤笆粑[3]㞎巴把靶[5]把罷霸爸壩
pʰ	[1]派+{～司}趴𤆵[2]扒爬耙鈀[5]怕䶕
m	[1]媽馬{～虎}罵[2]嫲蟆麻[3]嫲把+碼螞馬
v	[1]哇窪畫-[2]劃-[3]搲瓦[5]窪
t	[1]噠?大-[3]打[5]大=這{梁垛話}
tʰ	[1]他它她
n	[1]啦拉落{～雨}[2]拿[3]哪[5]拉那
k	[1]嘎家-傢尕袈[2]嘎尕[3]玍[5]嫁尬架-
kʰ	[1]卡{放進}揩+{～油}[2]佧{～強}拤[3]卡{魚骨刺}豭[5]抲{～緊}刻{一～兒}
x	[1]下-哈蝦𨉣{～腰}[2]哈蛤還-疜?{癡呆}
ts	[1]喳奓渣遮拃{抹～}蜡{𧈢～}[3]咋拃{一捺～}渣碴蔗吒{哪～}[5]䋏{裂缝}榨炸蚱詐這
tsʰ	[1]䞗叉差扯{～嗡：抖空竹}汊車蛼{～螯}[2]查茶搽[3]扯杈衩鑔?[5]叉杈岔茬㛼{～嘴}
s	[1]沙砂髿[2]蛇[3]傻灑?灑舍[5]嗄沙舍赦
z	[1]肏{语气词}[3]喏惹
0	[1]丫二啊砑鴉[2]伢兒庌牙-而[3]也-啞爾耳[5]堊掗
#ia
m	[3]乜𥉊
t	[1]爹[3]嗲
n	[3]你{堤東話}
tɕ	[1]佳加嘉袈家=枷苴{馬蘭～}[3]假姐笡賈[5]價借架=駕腳{小～兒}
tɕʰ	[1]㰤笡{～頭兒}謝-{姓}[2]斜茄邪強{～如}[5]雀{～兒}
ɕ	[1]下-些-夏蝦謝-{感～}𡤫[2]暇瑕霞[3]寫些[5]下=卸瀉-瀉{～意}
0	[1]㝞呀夜耶鴉[2]爺{叔叔}牙=雅[3]也-野-雅
#ua
k	[1]呱瓜[3]剮寡[5]卦掛褂
kʰ	[1]誇垮胯[2]侉擖{用刀刮}㓤{用刀刮}[3]侉[5]跨
x	[1]畫=花話𠝐{～開}[2]劃=華[3]花{碎、爛}[5]劃化
#ya
tɕ	[1]抓[3]爪
tɕʰ	[2]瘸
