#a	
Ø	[213]阿啊 [33]啊 [55]啊 [31]啊
p	[213]巴吧疤八叭扒 [33]拔 [55]把靶 [31]把爸耙罢坝
pʰ	[213]啪趴{~糕} [33]扒爬耙 [31]怕帕
m	[213]妈抹 [33]麻 [55]马码玛 [31]骂 [0]嘛
f	[213]发法 [33]罚伐阀筏乏
v	[213]哇蛙洼挖凹娃 [55]瓦挖{用力舀} [31]袜
t	[213]搭答 [33]打{~单位，每12个为一打}达鞑 [55]打{~动词} [31]大
tʰ	[213]他她它塔塌溻 [33]沓踏{实} [31]榻 [0]遢
n	[213]纳{~鞋底} [33]拿 [55]哪 [31]那捺呐纳{~税}
l	[213]拉垃 [33]剌 [55]喇 [31]蜡腊辣落{~掉队} [0]啦
k	[213]嘎 [33]嘎{~乌鸦叫} [55]嘎{~咕}尬
kʰ	[213]咖喀 [55]卡咯{~血}
ŋ	[213]腌{~臜}
x	[213]哈{~笑声} [33]哈{惊叹}蛤
tʂ	[213]扎札渣喳 [33]炸{~油条}铡闸 [55]拃眨 [31]诈炸{~弹}榨栅痄
tʂʰ	[213]搽插差馇嚓叉 [33]查茶碴茬察镲 [55]衩蹅 [31]杈岔诧差
ʂ	[213]沙纱杀煞刹𬡕 [55]傻洒- [31]啥厦煞洒{~利}
ts	[213]扎匝咂 [33]砸杂 [55]咋 [31]□{~合音，自家}
tsʰ	[213]擦
s	[213]仨撒萨 [55]洒＝ [31]卅飒
#ɤ	
Ø	[213]喔哦
p	[213]播饽拨剿钵卜搏博波＝ [33]薄脖钹驳勃 [55]跛簸 [31]簸
pʰ	[213]泼坡棵-波- [33]婆 [55]叵颇 [31]破魄＝
m	[213]摸抹馍 [33]磨模摩摹蘑魔 [55]抹 [31]磨漠寞貊没末秣 [0]么
f	[213]佛
t	[213]得＝德＝ [0]的地得
tʰ	[213]特 [31]特忑
n	[0]呢
l	[213]勒＝ [31]乐＝ [0]了
k	[213]哥割戈歌鸽搁阁格革嗝隔＝ [33]革骼硌 [55]各 [31]个
kʰ	[213]渴科栲{~栳栳}棵＝颗苛磕颏咳克瞌刻＝ [55]可坷 [31]客＝课克
ŋ	[213]娥遏恶 [33]俄讹鹅额峨腭愕 [31]厄噩饿
x	[213]喝郝赫呵壑和{搅~}耠 [33]和河何禾荷合核＝盒阖涸貉 [31]贺喝
tʂ	[213]折遮蜇褶蔗哲 [33]蛰辙□{~油脂遇冷变稠}折{存~} [55]者 [31]这 [0]着
tʂʰ	[213]车 [55]扯 [31]撤彻掣
ʂ	[213]奢赊余 [33]折蛇舌 [55]舍{施~} [31]舍{宿~}社设赦射涉摄慑
ʐ	[55]惹 [31]热
ts	[213]则＝责＝ [33]泽＝择＝ [31]仄＝
tsʰ	[213]册策＝恻测＝ [31]侧＝厕
s	[213]色＝ [31]涩瑟啬穑
#ɛ	
p	[213]掰百柏帛伯 [33]白 [55]摆 [31]败拜
pʰ	[213]拍 [33]牌排 [31]派湃魄-
m	[33]埋 [55]买 [31]卖脉迈麦
v	[213]歪 [55]崴 [31]外
t	[213]呆[55]歹逮□{~吃饭]} [31]代袋贷待带怠戴在-
tʰ	[213]胎苔态 [33]抬台□{~藏} [55]□{~打木棍游戏} [31]太汰泰
n	[55]奶 [31]耐奈
l	[33]来莱 [31]赖癞
k	[213]该赅 [55]改 [31]盖概溉丐
kʰ	[213]开 [55]楷揩慨凯 [31]忾
ŋ	[213]哀埃挨 [55]癌矮蔼 [31]爱碍隘
x	[213]咳核- [33]孩 [55]海 [31]害骇
tʂ	[213]窄斋摘责- [33]宅择-泽-□{~土冻酥} [55]仄-侧- [31]寨债
tʂʰ	[213]拆差测-策- [33]柴 [55]踩
ʂ	[213]筛色-瑟 [55]甩{~单独剩出}洒- [31]晒
ts	[213]灾栽 [55]宰载 [31]载在＝
tsʰ	[33]猜才材财裁 [55]采彩睬 [31]菜蔡
s	[213]塞＝鳃 [31]塞赛
#ɔ	
p	[213]包苞 [33]薄-雹刨 [55]饱保宝堡＝ [31]报抱＝暴爆豹鲍包{土气~}
pʰ	[213]抛泡 [33]刨袍咆 [55]跑 [31]炮泡
m	[213]摸猫 [33]毛茅矛髦 [55]锚铆卯毛{~票} [31]帽冒貌茂贸
t	[213]刀叨捯{用手~} [55]倒捣导岛蹈祷悼 [31]倒到道稻盗
tʰ	[213]掏滔绦涛韬 [33]桃逃陶淘＝ [55]讨 [31]套 [0]萄
n	[213]挠{~牌}孬 [33]挠{~抓} [55]脑恼瑙 [31]闹
l	[213]烙 [33]捞牢痨 [55]老佬洛- [31]涝落-酪辘-
k	[213]高膏羔糕篙镐 [55]搞稿藁 [31]告□{~车轴55油}
kʰ	[55]考烤 [31]靠槁铐
ŋ	[213]敖熬 [33]嗷熬 [55]袄 [31]傲奥鳌鏊
x	[213]郝薅蒿 [33]豪毫壕嚎 [55]好 [31]好耗号
tʂ	[213]着招召朝沼兆 [33]着 [55]找爪＝ [31]赵照罩
tʂʰ	[213]超抄钞嘲绰- [33]朝潮巢 [55]吵炒 [31]撬-
ʂ	[213]烧稍捎梢鞘 [33]勺 [55]少 [31]少哨绍
ʐ	[33]饶娆绕{~买物白搭一个} [55]扰 [31]绕弱-若-
ts	[213]遭糟 [33]凿 [55]早枣澡蚤 [31]噪燥躁造皂灶
tsʰ	[213]操 [33]糙曹漕槽 [55]草 [31]肏
s	[213]臊骚搔索- [55]嫂扫 [31]臊
#ou	
pʰ	[55]剖
m	[33]谋眸 [55]某
f	[55]否缶
t	[213]兜淘-{~米} [55]斗陡抖 [31]豆斗逗痘窦蚪
tʰ	[213]偷 [33]头投□{~淘米} [31]透投
l	[213]搂 [33]楼 [55]搂篓蒌 [31]漏露陋 [0]楼䝏{~半大猪}
k	[213]沟勾钩苟 [55]狗 [31]够购构垢
kʰ	[213]抠眍 [55]口 [31]叩寇扣
ŋ	[213]讴欧殴呕鸥偶 [55]熰藕 [31]讴
x	[213]吼 [33]侯猴喉 [55]吼{~藏迷吼} [31]候后厚
tʂ	[213]周□{~用手举}□{~用脚踢}州舟诌粥 [33]妯轴 [55]肘 [31]皱昼宙骤咒轴{~不灵活}绉甃 [0]碡
tʂʰ	[213]抽筹 [33]愁稠仇酬绸畴 [55]丑瞅 [31]臭
ʂ	[213]收 [33]熟- [55]手守首叔-鞣-{~用干粉末揉使水分干化} [31]瘦受授寿兽售狩
ʐ	[33]柔揉鞣＝ [55]蹂 [31]肉柔
ts	[55]走 [31]揍奏
tsʰ	[31]凑
s	[213]嗖搜馊 [55]叟嗾 [31]嗽
#æ	
p	[213]班斑搬般颁瘢扳 [55]板版 [31]半伴拌扮绊瓣办
pʰ	[213]攀 [33]盘 [31]叛盼畔判
m	[213]□{迭字，奶头} [33]瞒蛮馒 [55]满螨 [31]慢曼漫蔓墁
f	[213]翻番帆 [33]烦繁凡矾 [55]反返 [31]犯贩饭泛范
v	[213]弯湾剜豌 [33]完玩顽丸 [55]晚碗宛挽＝婉惋 [31]万蔓腕
t	[213]单郸丹耽担 [55]胆疸掸 [31]旦弹淡诞蛋石担
tʰ	[213]贪摊滩瘫坍 [33]弹坛谈痰谭檀 [55]坦毯袒 [31]叹炭探碳
n	[33]男南难喃 [55]喃{~□吃粉渣} [31]难
l	[33]兰蓝篮拦栏澜缆览 [55]揽懒缆览 [31]烂滥婪
k	[213]干甘肝杆竿柑泔 [55]敢赶感秆擀 [31]干赣
kʰ	[213]刊堪勘龛 [55]砍坎槛 [31]看瞰
ŋ	[213]安庵鹌鞍 [55]俺埯 [31]按暗案岸
x	[213]憨酣 [33]韩函涵寒罕悍还邯 [55]喊 [31]汉汗旱焊憾撼
tʂ	[213]沾粘毡曕 [55]展斩崭盏 [31]站蘸占战栈绽湛颤-
tʂʰ	[213]掺搀 [33]馋缠蝉谗潺蟾 [55]产铲 [31]忏颤＝
ʂ	[213]山衫扇煽膻珊删 [55]闪讪杉陕 [31]苫扇膳缮擅善骟鳝蟮
ʐ	[33]然髯 [55]冉燃染苒 [31]韧-
ts	[213]簪 [55]咱攒 [31]赞暂
tsʰ	[213]参餐蚕{沙~} [33]蚕残惭惨 [31]灿
s	[213]三 [55]散伞 [31]散
#ən	
p	[213]奔锛 [55]本 [31]奔
pʰ	[213]喷{~动词，喷涌} [33]盆 [31]喷{~量词，摘棉期数}
m	[213]闷焖 [33]门 [31]闷 [0]们
f	[213]分纷氛焚芬 [33]坟 [55]粉 [31]粪份分然奋愤粉{~石灰遇水粉化}
v	[213]温瘟 [33]文纹蚊闻 [55]吻稳紊 [31]问
t	[213]□{~鸟啄物} [31]扽
tʰ	[213]吞-
n	[31]嫩＝
k	[213]根跟 [31]亘震-艮
kʰ	[55]肯垦恳 [31]啃＝
ŋ	[213]恩摁 [55]摁{~硌}您
x	[55]狠很 [31]痕恨
tʂ	[213]真珍针臻斟箴贞＝祯＝侦＝ [55]诊疹枕 [31]阵振镇震＝
tʂʰ	[213]嗔抻昣 [33]晨辰臣陈尘沉 [55]碜 [31]衬称趁沉
ʂ	[213]身申深伸参森- [33]神 [55]审婶沈绅 [31]渗慎甚肾
ʐ	[33]人仁任 [55]忍 [31]认任仞纫韧＝饪闰
ts	[55]怎
tsʰ	[213]参
s	[213]森＝
#aŋ	
p	[213]邦帮梆浜 [55]绑榜膀 [31]傍谤磅＝蚌棒
pʰ	[213]乓膀-{~浮肿、笨拙}髈{~架子} [33]旁庞膀{~胱}彷 [55]耪嗙{~胡说} [31]胖
m	[33]忙盲芒氓茫 [55]莽蟒
f	[213]方芳坊 [33]房 [55]妨纺访舫防 [31]放
v	[213]汪 [33]王亡芒 [55]往网枉惘 [31]妄忘望旺
t	[213]当铛裆 [55]党挡档 [31]当挡荡宕
tʰ	[213]汤蹚 [33]堂膛棠糖糖唐塘 [55]躺淌倘 [31]烫趟
n	[213]齉馕{~吃饭}囔 [33]囊 [55]攮
l	[33]郎狼琅榔{~头}螂廊 [31]浪朗
k	[213]岗{~头}冈刚纲钢{~铁}缸肛 [55]岗{山~}港 [31]杠钢{~磨}
kʰ	[213]康槺慷 [55]扛 [31]亢炕抗
ŋ	[213]昂盎肮
x	[213]夯□{~放下不管} [33]行航杭 [31]晃-
tʂ	[213]张章樟蟑彰□{~放} [55]长涨掌 [31]丈仗杖胀障涨帐账
tʂʰ	[213]昌伥娼 [33]长场肠尝偿常 [55]厂敞场 [31]唱畅怅倡
ʂ	[213]伤墒殇商 [55]晌赏 [31]上尚绱裳
ʐ	[213]嚷 [33]瓤穰壤 [55]嚷 [31]让
ts	[213]脏赃 [31]脏葬藏
tsʰ	[213]仓沧苍舱 [33]藏
s	[213]桑丧 [55]嗓搡 [31]丧
#əŋ	
p	[213]崩绷嘣 [55]绷 [31]蹦泵迸磅-蚌
