tsɿ	1	资之芝
tsɿ	3	纸指旨止址
tsɿ	4	子{日~}
tsɿ	5	至{冬~}置□{~ta²¹火：火柴}
tsɿ	7	折{~被}□{灌~：化脓}
tsʰɿ	2	瓷慈磁辞词祠饲
tsʰɿ	5	次柿
sɿ	1	撕斯私师狮丝司思厕诗□{大~：大家}豉匙{饭~骨：肩胛骨}
sɿ	3	屎喜{~鹊}
sɿ	4	是□{热~：热闹}
sɿ	5	世{过~}翅势{架~}
sɿ	6	事舌十实
sɿ	7	湿□{茶~：茶叶}□{~kiou⁵³：农忙时候下午四点的加餐}
zɿ	2	时
pi	1	分{~开}蓖婆
pi	3	本
pi	5	畚簸闭
pi	4	辫
pi	6	薄{衣裳~}缚{~柴：捆柴}份
pi	7	钵□{换}
bi	2	朋盆
pʰi	5	破{~案}剖
pʰi	7	泼{~水}
mi	2	门迷
mi	6	磨{~盘}问{~路}
mi	7	□{ma³³ma³³~~：唠叨}
ti	3	点{差~}
ti	4	重子{裤~}里{屋~}
ti	6	直着{沿~}□{~tʰa²⁴：打喷嚏}
di	2	虫
tʰi	1	锑{~壶}
ni	2	人银浓{~茶}疑尼宜{便~}
ni	4	你{~们，尔}那□{量词，一~人，一个人}
li	6	力
tsi	1	针津珍真蒸征椒{辣~}
tsi	3	肿枕{~头}种{~子}
tsi	4	最
tsi	5	种□{ŋ²¹~声：别出声}智志
tsi	6	蛰{惊~}侄值□{kuei⁵³~：打仗}
tsi	7	鲫织
tsʰi	1	亲称{~重}
tsʰi	5	秤沁
tsʰi	7	戚□{揭：锅盖}
si	1	心深芯辛新薪身申{~冤}升尸
si	3	□{~股：屁股}
si	5	信势试式{~样}豉{~油：酱油}
si	6	息{利~}食{伙~}
si	7	惜识
zi	2	神匙剩唇松{~木树：松树}
ki	1	鸡{斑~：斑鸠}饥基机箕经{念~}金斤筋髻根更{三~半夜}
ki	3	紧几{~个}
ki	4	近襟{练~}
ki	5	寄记继季计
ɡi	2	旗棋□{~kio⁴¹：玩儿}
kʰi	5	契器汽气□{~xa⁴¹：现在}
xi	1	希
xi	3	恐{害怕}晨
xi	5	戏饩{~猪}
i	1	医衣依音{观~}阴荫檐{廊~底：屋檐}鹦
