tsɿ⁵²	之知栀蜘兹咨姿资滋芝枝支肢
tsɿ²²	值职植殖置汁织执糍隻质
tsɿ⁴⁴	子姊脂止指旨址趾梓紫滓只
tsɿ³⁵	至致炙智渍制製
tsɿ³¹	字自寺帜治痔痣志誌
tsʰɿ⁵²	雌痴
tsʰɿ²²	池驰迟持祠词慈辞磁瓷嗤
tsʰɿ⁴⁴	耻此
tsʰɿ³⁵	翅鹚次刺赐侍斥
sɿ⁵²	思尸师诗施狮丝司私斯撕饲嗣
sɿ²²	识食鲥蛳失十蚀室适鸶
sɿ⁴⁴	死史始驶使
sɿ³⁵	四士事世试寺侍氏仕市示式势视试饰恃柿誓巳似祀矣肆嗜
pi⁵²	 蓖陛
pi²²	必碧璧皮疲琵脾匹僻鼻
pi⁴⁴	比彼鄙被□{掰}
pi³⁵	闭臂滗箅蔽被
pi³¹	备币鐾毙敝弊避篦辟弼
pi⁵	逼笔毕
pʰi⁵²	批披枇秕
pʰi⁴⁴	痞
pʰi³⁵	庇界痹屁闢
mi⁵²	眯
mi²²	眉楣弥糜迷嵋
mi⁴⁴	米密蜜
mi³⁵	泌
mi³¹	秘谜
ti⁵²	低的
ti²²	敌堤滴狄涤荻笛嫡啼提题蹄嘀
ti⁴⁴	底抵
ti³⁵	弟帝蒂隶涕惕嚏迪
ti³¹	地递第屉
tʰi⁵²	梯
tʰi⁴⁴	体
tʰi³⁵	剃替
li²²	厘梨狸犁璃黎篱立栗笠粒尼倪逆呢离历泥
li⁴⁴	礼你李理鲤里裹
li³⁵	丽莉雳
li³¹	吏利励例荔厉疬痢腻
tɕi⁵²	鸡机肌基稽讥箕饥饑
tɕi²²	吸击迹积绩激及级即极辑籍脊鲫脐骑棋旗蛰侄秩祈齐崎集藉
tɕi⁴⁴	已挤纪杞纸圾几
tɕi³⁵	计祭记妓缉忌技际剂季既继寂寄髻麒契济泣冀嫉暨繫□{乳房}
tɕi⁵	吉急疾戟
tɕʰi⁵²	妻欺凄
tɕʰi²²	其祁期戚奇
tɕʰi⁴⁴	启起岂齿乞
tɕʰi³⁵	气祁鳍汽砌器氣企
tɕʰi⁵	七漆柒
ɕi⁵²	西希牺犀栖奚稀溪熙
ɕi²²	什拾夕昔析息悉惜熄习袭媳嬉时实蟋匙席
ɕi⁴⁴	矢屎洗喜玺是
ɕi³⁵	弃戏细系係
ɕi³¹	释逝豉
ɕi⁵	湿
i⁵²	衣医依咿
i²²	宜姨液腋揖夷移遗疑译仪谊咦
i⁴⁴	已以倚椅
i³⁵	蚁义亿忆艺议异意肄翼邑毅易{容~}
i³¹	二贰矣
i⁵	又日一乙亦益逸缢沂壹易{交~}
pu²²	不葡菩僕
pu⁴⁴	补朴甫蒲浦谱捕扑脯
pu³⁵	辅普佈舖
pu³¹	怖部埠簿步布
pʰu⁵²	铺
pʰu³⁵	瀑
pʰu³¹	讣赴扑卜仆
mu²²	目模
mu⁴⁴	母拇
mu³⁵	幕
mu³¹	睦
mu⁵	木牧穆
fu⁵²	麸夫肤呼
fu²²	忽佛孵敷伏扶芙服俘栿浮符福辐蝠缚腹覆乎狐壶湖葫糊蝴抚瑚弧複复胡鬍瓠
fu⁴⁴	府斧俯腑虎浒
fu³⁵	父付妇负幅釜腐附驸副傅富赋互护戽咐户瓠
fu³¹	復
tu⁵²	督都
tu²²	独牍犊屠
tu⁴⁴	堵赌拄肚
tu³¹	杜渡镀妒度踱
tu⁵	凸
tʰu²²	突图徒涂途
tʰu⁴⁴	土
tʰu³⁵	兔吐
tʰu⁵	秃
lu²²	奴卢芦炉鸬录庐
lu⁴⁴	卤鲁橹努
lu³⁵	禄
lu³¹	怒赂路鹭虏露
tsu⁵²	珠租株珠诛蛛
tsu²²	浊足锄触蜀轴烛逐瞩祝筑
tsu⁴⁴	主阻组祖诅
tsu³⁵	著蛀铸注
tsu³¹	助驻註
tsʰu⁵²	初粗
tsʰu²²	橱蓄族促畜
tsʰu⁴⁴	础楚曙薯
tsʰu³⁵	醋触处
su⁵²	蔬梳疏舒苏酥
su²²	叔殊淑熟术述俗肃速粟缩续赎属
su⁴⁴	数
su³⁵	塾束漱诉素塑戍溯数宿
ku⁵²	姑孤辜箍鸪
ku⁴⁴	古估股鼓牯
ku³⁵	固故顾雇锢
ku⁵	骨呱
kʰu⁵²	枯
kʰu²²	苦
kʰu⁴⁴	酷
kʰu³⁵	库裤
kʰu⁵	窟
u⁵²	乌污握巫诬呜
u²²	无吴梧蜈物勿
u⁴⁴	侮舞喔
u³⁵	吾务戊误悟雾恶{厌~}
u⁵	屋
ly²²	驴律率{效~}
ly⁴⁴	吕旅女缕履褛
ly³¹	虑滤
ly⁵	绿{~林好汉}
tɕy⁵²	猪朱居拘驹诸硃褚车{~马炮}
tɕy²²	除厨储瞿渠徐掬蛐蜍
tɕy⁴⁴	煮柱举矩俱
tɕy³⁵	句巨拒具剧惧据距锯聚踞炬
tɕy³¹	住
tɕy⁵	局菊鞠橘□{填塞}
tɕʰy⁵²	区驱蛆趋
tɕʰy²²	屈曲粬
tɕʰy⁴⁴	鼠黢暑署取娶
tɕʰy³⁵	趣
tɕʰy⁵	出
