#ɿ	
ts	①资滋兹姿咨 ③姊子紫梓 ⑤字自
tsʰ	①差{参~}雌 ②辞词祠磁慈糍瓷 ③此 ⑤次
s	①师狮思斯 ③死 ⑤四伺似寺士事
#ʅ	
tʂ	①之知支隻 ②执侄质直值植职殖掷 ③纸只 ⑤滞至治
tʂʰ	①痴匙 ②迟尺赤喫吃匙 ③耻齿 ⑤翅
ʂ	①诗尸豉施 ②失湿时十拾实食蚀室适 ③史使始驶屎 ⑤世势誓是示视式试市逝
ʐ	②日
#i	
p	②鼻笔必逼碧壁 ③比彼 ⑤敝闭被备
pʰ	①披匹枇 ②辟僻 ③鄙 ⑤屁
m	①眯 ②秘泌密 ③米 ⑤谜{∽语}
t	①低的 ②笛 ③底 ⑤帝弟第隶地
tʰ	①梯 ②提堤题踢 ③体 ⑤替
n	①的- ②泥尼疑宜逆溺 ③女你拟 ⑤腻
l	①驴{口语，毛~} ②驴离立栗律力历 ③吕屡李里 ⑤例
tɕ	①居拘鸡 ②楫缉集急及吉即极激 ③举己几 ⑤巨聚娶句祭计忌寄技妓季
tɕʰ	①妻棲 ②齐其旗奇泣七乞迄戚 ③起 ⑤去趣器气
ɕ	①虚西溪奚兮希 ②徐习吸息媳惜席夕 ③许洗喜玺徙 ⑤序细系戏
Ø	①医衣 ②鱼於餘愚夷移遗邑一译疫役亦逸 ③已以矣椅兴雨裹 ⑤遇艺义忆玉
#ʊ	
p	②不 ③补 ⑤布步部
pʰ	①铺{~没}潽{水沸外溢} ②勃卜扑瀑曝葡蒲 ③谱普甫 ⑤铺{店~}
m	②没木目 ③母亩模{~子} ⑤没
t	①都 ②读笃 ③赌肚 ⑤杜肚
tʰ	②图突秃 ③土吐 ⑤兔吐{呕~}
n	②奴 ③弩努 ⑤怒
l	②驴=鹿六陆绿 ③鲁撸卤 ⑤路露赂
k	①孤姑辜 ②骨谷 ③古估股贾鼓沽 ⑤固故雇顾
kʰ	①枯 ②哭酷 ③苦 ⑤库裤
ts	①租 ②卒足 ③祖 ⑤助
tsʰ	①粗初 ②锄族 ③楚 ⑤醋
s	①苏酥梳疏蔬 ②速肃俗续粟 ③数 ⑤素数
tʂ	①诸猪朱株 ②竹烛触筑嘱粥轴触 ③主煮 ⑤柱住注
tʂʰ	②除出厨 ③暑鼠黍处 ⑤處处{~所}
ʂ	①书舒输殊 ②術熟赎属 ③数{清点数目} ⑤树竖
ʐ	②如入肉 ⑤儒辱
#uᶹ	
f	①夫 ②符拂福服壶 ③府扶腐虎 ⑤父附妇负户
ⅴ	①乌 ②吴 ③五 ⑤雾
#iʊ	
tɕ	②局橘菊鞠
tɕʰ	②曲屈掘倔麯
ɕ	②畜{∽牧}蓄
Ø	②育域欲狱郁
#ᴀ	
p	①巴芭笆疤 ②跋拔爸八 ③把靶 ⑤罢耙霸坝
pʰ	①𤆵 ②爬 ③叭{拟声词} ⑤怕帕
m	①妈 ②麻蔴抹 ③马码 ⑤骂
f	①发{头∽} ②发{理~，~觉}伐罚法乏
t	②达答搭 ③打 ⑤大
tʰ	①他 ②踏塌塔獭榻
n	②拿纳 ③哪 ⑤那
l	①啦拉 ②辣腊蜡瘌 ③喇啦{来~}
k	③嘎{语气词}
kʰ	①咖卡 ③卡 ⑤□{跨}
x	①哈 ⑤下{白，等一∽}
ts	①咱{文读音} ②杂咂砸
tsʰ	②擦
s	①萨{菩~} ②靸 ③洒撒
tʂ	①渣楂 ②眨扎铡闸轧 ③拃 ⑤炸诈乍榨
tʂʰ	①差叉 ②茶查插察 ③蹅衩 ⑤岔诧
ʂ	①沙纱痧 ②杀 ③厦傻
Ø	①啊
#iᴀ	
tɕ	①家佳加咖嘉稼{庄∽} ②甲夹挟 ③假贾 ⑤嫁稼架驾价假{请~}
tɕʰ	①掐 ②掐恰 ⑤□{跨}
ɕ	①虾罅 ②霞瞎辖侠 ⑤下夏
Ø	①丫鸦 ②牙芽押鸭压 ③哑雅 ⑤亚
#uᴀ	
k	①瓜 ②刮括 ③寡剐 ⑤挂卦
kʰ	①夸 ③垮胯 ⑤跨挎
x	①花划{∽开} ②滑华铧划{∽船} ⑤化话画划{∽分}
ts	①□{皱}
tʂ	①抓 ②□{~球，踢} ③爪
tʂʰ	③□{撕}
ʂ	②刷 ③耍
Ø	①挖蛙 ②娃袜 ③瓦 ⑤凹
#o	
p	①波玻 ②拨博薄剥驳泼{活~} ③簸 ⑤播
pʰ	①坡 ②婆泼{~水} ③颇剖 ⑤破
m	①摸摩 ②魔模寞末莫沫没{~落} ③抹{~面} ⑤暮慕茂贸募磨{∽面}
t	①多 ②夺 ③躲朵 ⑤剁
tʰ	①拖 ②舵脱讬托 ③妥 ⑤唾
n	①□{口语，哄小孩睡的意思} ②挪 ⑤懦糯
l	①啰 ②乐酪罗骡洛 ③裸 ⑤摞
k	①歌哥锅戈 ②鸽割各角郭廓国 ③果 ⑤过个
kʰ	①科 ②磕壳 ③可 ⑤课
x	①喝 ②何河和合盍活鹤霍獲获盒 ③火伙 ⑤祸
ts	②作昨凿 ③左 ⑤做坐
tsʰ	①搓 ②撮 ⑤错锉措
s	①梭蓑 ②缩索率{效~、∽领} ③所
tʂ	①□{口语} ②桌捉着酌
tʂʰ	②戳
ʂ	②说勺
ʐ	②若弱
Ø	①窝 ②鹅恶沃 ③我 ⑤饿卧
#io	
n	②虐疟略
l	②略
tɕ	②脚觉爵嚼
tɕʰ	②确却鹊雀怯
ɕ	②学削
Ø	②药约岳
#ə	
p	②北百白伯柏
pʰ	②拍迫泊
m	②墨麦脉默 ③□{口语，发呆}
t	②得德
tʰ	②特
l	②勒
n	①的-
k	②格革隔 ③给
kʰ	②客刻克 ⑤去-
x	②黑赫嚇核
ts	②窄则摘责
tsʰ	②侧厕测策册拆择泽
s	②色涩瑟啬骰蝨塞穑
tʂ	①遮 ②哲折浙 ③者 ⑤这=
tʂʰ	①车 ②辙彻 ③扯 ⑤□{不正，偏斜之意}
ʂ	①赊奢 ②舌蛇涉设 ③捨 ⑤舍社射赦
ʐ	②热 ③惹
Ø	②儿而额 ③耳尔 ⑤二
#iᴇ	
p	①憋 ②别 ③瘪 ⑤彆{~拐，∽扭}
pʰ	②撇
m	②灭
t	①爹 ②跌迭碟谍蝶牒
tʰ	②贴帖铁
n	②捏业聂
l	②猎烈列劣
tɕ	②结节接截杰绝厥撅决 ③姐 ⑤借
tɕʰ	②切茄怯缺瘸 ③且
ɕ	①些靴 ②协邪血歇雪薛斜 ③写 ⑤泻谢泄卸
Ø	①耶椰曰 ②叶咽噎月越悦阅 ③野也 ⑤夜液
#æe	
