cid	character	initial	final	tone	note
1	多	t	ɔ	453	
2	拖	th	ɔ	453	
3	大	t	ai	32	
4	锣	l	ɔ	231	
5	左	tʃ	ɔ	32	
6	歌	k	ɔ	453	
7	个	k	ɔ	54	
8	可	kh	ɔ	34	
9	鹅	ŋ	ɔ	231	
10	饿	ŋ	ɔ	32	
11	河	h	ɔ	231	
12	茄	kh	ɛ	231	
13	破	ph	ɔ	54	
14	婆	ph	u	231	
15	磨	m	ɔ	32	
16	磨	m	ɔ	32	
17	躲	t	ɔ	34	
18	螺	l	y	231	
19	坐	tʃh	y	23	
20	锁	ɬ	y	34	
21	果	k	u	34	
22	过	k	u	54	
23	课	h	u	54	
24	火	h	u	34	
25	货	h	u	54	
26	祸	h	u	23	
27	靴	h	y	54	
28	把	p	a	34	
29	爬	ph	a	231	
30	马	m	a	34	
31	骂	m	a	32	
32	茶	tʃh	a	231	
33	沙	ʃ	a	453	
34	假	k	a	34	
35	嫁	k	a	54	
36	牙	ŋ	a	231	
37	虾	h	a	453	
38	下	h	a	32	
39	夏	h	a	32	
40	哑	∅	a	34	
41	姐	tʃ	ɛ	34	
42	借	tʃ	i	54	
43	写	ɬ	i	34	
44	斜	tʃh	i	231	
45	谢	tʃ	i	32	
46	车	tʃh	ɛ	453	
47	蛇	ʃ	i	231	
48	射	ʃ	ɛ	32	
49	爷	∅	iɛ	23	
50	野	∅	iɛ	23	
51	夜	h	i	32	
52	瓜	k	ua	453	
53	瓦	∅	ua	23	
54	花	∅	ua	453	
55	化	∅	ua	54	
56	华	∅	ua	231	
57	谱	ph	u	34	
58	布	p	ɔu	54	
59	铺	ph	ɔu	453	
60	簿	p	ɔu	32	
61	步	p	ɔu	32	
62	赌	t	u	34	
63	土	th	u	34	
64	图	th	u	231	
65	杜	t	ɔu	32	
66	奴	l	u	231	
67	路	l	ɔu	32	
68	租	tʃ	u	231	
69	做	tʃ	ɔu	54	
70	错	tʃh	ɔ	54	
71	箍	kh	u	453	
72	古	k	u	34	
73	苦	h	u	34	
74	裤	h	ɔu	54	
75	吴	∅	ŋ	231	
76	五	∅	ŋ	23	
77	虎	h	u	34	
78	壶	h	u	231	
79	户	h	u	23	
80	乌	∅	u	453	
81	女	n	ɔi	23	
82	吕	l	y	23	
83	徐	tʃh	y	231	
84	猪	tʃ	y	453	
85	除	tʃh	y	231	
86	初	tʃh	u	453	
87	锄	tʃ	u	32	
88	所	ɬ	ɔ	34	
89	书	ʃ	y	453	
90	鼠	ʃ	y	34	
91	如	ȵ	y	231	
92	举	k	y	34	
93	锯	k	ɔi	54	
94	去	h	ɔi	54	
95	渠	k	y	32	
96	鱼	ȵ	y	231	
97	许	h	y	34	
98	余	h	y	231	
99	府	f	u	34	
100	付	f	ɔu	54	
101	父	f	ɔu	32	
102	武	m	u	23	
103	雾	m	ɔu	32	
104	取	tʃh	y	34	
105	柱	tʃh	y	23	
106	住	tʃ	ɔi	32	
107	数	ʃ	u	34	
108	数	ʃ	ɔu	54	
109	主	tʃ	y	34	
110	输	ʃ	y	54	
111	竖	ʃ	ɔi	32	
112	树	ʃ	ɔi	32	
113	句	k	ɔi	54	
114	区	kh	y	453	
115	遇	ȵ	iɔi	32	
116	雨	h	y	23	
117	芋	h	ɔu	32	
118	裕	h	y	32	
119	胎	th	ai	453	
120	台	th	ai	231	
121	袋	t	ai	32	
122	来	l	ai	231	
123	菜	tʃh	ai	54	
124	财	tʃh	ai	231	
125	该	k	ɔi	453	
126	改	h	ɔi	34	
127	开	h	ɔi	453	
128	海	h	ɔi	34	
129	爱	∅	ɔi	54	
130	贝	p	ui	54	
131	带	t	ai	54	
132	盖	k	ɔi	54	
133	害	h	ɔi	32	
134	拜	p	ai	54	
135	排	ph	ai	231	
136	埋	m	ai	231	
137	戒	k	ai	54	
138	摆	p	ai	34	
139	派	ph	ai	54	
140	牌	ph	ai	231	
141	买	m	ai	23	
142	卖	m	ai	32	
143	柴	ʃ	ai	231	
144	晒	ʃ	ai	54	
145	街	k	ai	453	
146	解	k	ai	34	
147	鞋	h	ai	231	
148	蟹	h	ai	34	
149	矮	∅	ai	34	
150	败	p	ai	32	
151	币	p	ɐi	23	
152	制	tʃ	ɐi	54	
153	世	ʃ	ɐi	54	
154	艺	ŋ	ɐi	32	
155	米	m	ɐi	23	
156	低	t	ɐi	453	
157	梯	th	ɐi	453	
158	剃	th	ɐi	54	
159	弟	th	ɐi	23	
160	递	t	ɐi	32	
161	泥	n	ɐi	231	
162	犁	l	ɐi	231	
163	西	ɬ	ɐi	453	
164	洗	ɬ	ai	34	
165	鸡	k	ɐi	453	
166	溪	kh	ɐi	453	
167	契	kh	ɐi	54	
168	系	h	ɐi	32	
169	杯	p	ui	453	
170	配	ph	ui	54	
171	赔	ph	ui	231	
172	背	p	ui	32	
173	煤	m	ui	231	
174	妹	m	ui	32	
175	对	t	ui	54	
176	雷	l	ui	231	
177	罪	tʃ	ui	23	
178	碎	ɬ	ui	54	
179	灰	h	ui	453	
180	回	h	ui	231	
181	外	∅	ui	32	
182	会	h	ui	32	
183	怪	k	uai	54	
184	块	∅	uai	54	
185	怀	∅	uai	231	
186	坏	∅	uai	32	
187	拐	k	uai	34	
188	挂	k	ua	54	
189	歪	∅	uai	453	
190	画	∅	uak	2	
191	快	∅	uai	54	
192	话	∅	ua	32	
193	岁	ɬ	ui	54	
194	卫	∅	uɐi	32	
195	肺	f	ɐi	54	
196	桂	k	uɐi	54	
197	碑	p	i	453	
198	皮	ph	i	231	
199	被	ph	i	23	
200	紫	tʃ	ɐi	34	
201	刺	tʃh	ɛk	5	
202	知	tʃ	i	453	
203	池	tʃh	i	231	
204	纸	tʃ	i	34	
205	儿	ȵ	i	231	
206	寄	k	ɐi	54	
207	骑	kh	i	231	
208	蚁	ŋ	ɐi	23	
209	义	ȵ	i	32	
210	戏	h	ɐi	54	
211	移	h	i	231	
212	比	p	i	34	
213	屁	ph	ɐi	54	
214	鼻	p	ɐt	2	
215	眉	m	i	231	
216	地	t	ɐi	32	
217	梨	l	i	231	
218	资	tʃ	i	453	
219	死	ɬ	ɐi	453	
220	四	ɬ	ɐi	34	
221	迟	tʃh	i	231	
222	师	tʃ	i	34	
223	指	ʃ	ɐi	453	
224	二	ȵ	i	32	
225	饥	k	i	453	
226	器	h	ɐi	54	
227	姨	h	i	231	
228	李	l	i	23	
229	子	tʃ	ɐi	34	
230	字	tʃ	ɐi	32	
231	丝	ɬ	i	453	
232	祠	tʃh	i	231	
233	寺	tʃ	ɐi	32	
234	治	tʃ	ɐi	32	
235	柿	ʃ	ɐi	231	
236	事	ʃ	ɐi	32	
237	使	ʃ	ɐi	34	
238	试	ʃ	ɐi	54	
239	时	ɬ	i	231	
240	市	ʃ	i	23	
241	耳	ŋ	i	23	
242	记	k	ɐi	54	
243	棋	kh	i	231	
244	喜	h	i	34	
245	意	∅	ɐi	54	
246	几	k	i	34	
247	气	h	ɐi	54	
248	希	h	i	453	
249	衣	∅	i	453	
250	嘴	tʃ	i	34	
251	随	tʃh	ui	231	
252	吹	tʃ	ui	453	
253	垂	tʃh	ui	231	
254	规	kh	uɐi	453	
255	亏	kh	uɐi	453	
256	跪	k	uɐi	32	
257	危	ŋ	ɐi	32	
258	类	l	ui	23	
259	醉	tʃ	ui	54	
260	追	tʃ	ui	453	
261	锤	tʃh	ui	231	
262	水	ʃ	ui	34	
263	龟	k	uɐi	453	
264	季	k	ɐi	54	
265	柜	k	uɐi	32	
266	位	∅	uɐi	32	
267	飞	f	i	453	
268	费	f	ɐi	54	
269	肥	f	i	231	
270	尾	m	i	23	
271	味	m	ɐi	32	
272	鬼	k	uɐi	34	
273	贵	k	uɐi	54	
274	围	∅	uɐi	231	
275	胃	∅	uɐi	32	
276	宝	p	ɔu	34	
277	抱	ph	ɔu	23	
278	毛	m	ɔu	231	
279	帽	m	ɔu	32	
280	刀	t	ɔu	453	
281	讨	th	ɔu	34	
282	桃	th	ɔu	231	
283	道	t	ɔu	32	
284	脑	n	ɔu	23	
285	老	l	ɔu	23	
286	早	tʃ	ɔu	34	
287	灶	tʃ	ɔu	54	
288	草	tʃh	ɔu	34	
289	糙	tʃh	ɔu	54	
290	造	tʃh	ɔu	23	
291	嫂	ɬ	ɔu	34	
292	高	k	ɔu	453	
293	靠	kh	ɔu	54	
294	熬	ŋ	ɔu	231	
295	好	h	ɔu	34	
296	号	h	ɔu	32	
297	包	p	au	453	
298	饱	p	au	34	
299	炮	ph	au	54	
300	猫	m	ɛu	453	
301	闹	n	au	32	
302	罩	tʃ	au	54	
303	抓	ȵ	iau	453	
304	找	tʃ	au	34	
