#ɿ																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
ts	之芝支枝肢知蜘脂只织汁直值殖侄植职执帜挚掷质炙姿资咨兹滋孜炽		只止趾址纸指子仔籽姊滓紫梓辎	志痣智至致治痔制置滞稚翅字自蛰																																													
tsʰ	痴嗤吃斥赤叱饬差{参~}尺侈疵	池迟持驰弛词辞慈磁瓷雌	耻齿此	次赐刺秩																																													
s	尸诗师狮施湿失十什拾石识食蚀实室释适私思司斯撕丝蛳厮	时	史使驶始屎矢死	是士示视世似市柿恃伺试誓逝事势氏匙式饰拭四肆寺饲豉峙氏																																													
z	日																																																
#i																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
p	鼻{文}必壁璧毕碧逼笔	鼻{白}	比彼	被庇蔽弊毙避闭敝币备篦																																													
pʰ	辟僻霹劈癖愎	匹皮脾疲琵痺枇啤	鄙	屁																																													
m	泌密蜜	迷谜弥糜眉篾	米靡																																														
t	低滴笛敌的嫡狄		底抵	地弟第递隶帝缔蒂屉																																													
tʰ	梯涕踢剔惕锑	提堤题啼蹄	体	替剃嚏																																													
n	力立历粒笠栗傈砾沥雳	离漓璃篱梨犁黎藜厘罹	李理里鲤礼	利例厉励丽痢吏莉荔俐																																													
tɕ	鸡稽羁几{∽乎}企肌基姬辑缉籍鲫机讥饥箕级及疾吉即戟棘集叽积稷脊绩寂击激汲急圾吸迹节		己几{∽个}挤	季技忌记纪计寄既祭继际剂济妓																																													
tɕʰ	七妻欺期凄栖溪柒戚畦乞讫迄屹	其旗棋奇骑齐歧砌祁祈	起启岂	气汽弃器契																																													
ȵ	逆溺匿	尼泥宜谊疑霓仪	你拟	义议腻诣毅艺呢																																													
ɕ	西希稀熹牺兮熙犀析蜥淅晰昔惜夕汐悉锡息熄蟋嘻隙习席媳袭檄泣携	席{∽子}	喜洗徙铣	细戏系谢																																													
Ø	衣依伊一医壹揖亦邑乙役益溢抑轶懿	移夷姨贻怡译遗胰迤	椅蚁矣以已尾{白：∽巴}倚也	异意肄易蜴忆亿驿翼																																													
#uᶹ																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
p	不		补捕哺逋	布怖步部簿																																													
pʰ	铺卜扑仆朴蹼瀑曝	□{水开了}蒲菩	普谱浦	铺{~板}堡{地名}																																													
m	木目没睦沐牧	模	母姆	暮幕墓慕募																																													
f	夫肤麸孵敷呼孚拂伏服幅辐弗忽惚沸袱复腹覆馥囫	浮符扶胡湖蝴葫狐壶弧糊	府腑俯腐甫辅抚斧釜虎唬	富付咐附赴妇负赋父副傅户互沪护斛																																													
t	都督毒独读犊牍		赌睹堵肚{猪~}	杜肚{∽腹}度渡镀妒																																													
tʰ	秃突凸	途涂屠徒图	土吐	兔																																													
n	六陆绿禄鹿辘漉碌录戮律	卢泸颅芦炉庐奴	努鲁橹虏卤	怒路赂露鹭																																													
ts	朱珠株蛛猪诸足租祝筑竹烛逐卒		主煮祖阻组殂徂	做注住柱蛀驻竺助著铸																																													
tsʰ	初出促簇触畜{∽牲}绌黜族术{白∽}	除锄厨橱刍躇储贮	处{~理}楚础杵褚	处醋																																													
s	书疏蔬梳抒纾舒输枢殊叔俗肃速宿粟续苏酥嘱蜀属束	熟{白}	数暑署薯曙鼠黍墅	树竖漱恕数素诉塑																																													
z	入肉{文}辱褥	如茹儒	乳汝																																														
k	姑沽菇辜孤骨谷		古估股鼓	故固雇顾																																													
kʰ	箍枯哭酷窟梏	跍	苦	库裤																																													
Ø	乌呜钨巫诬屋勿物污	吴吾梧蜈无	五武午伍侮舞	悟晤误戊务雾恶{可~}																																													
#y																																																	
调\n声	阴 平	阳 平	上  声	去 声																																													
n			吕侣铝旅履缕	虑滤																																													
tɕ	居拘鞠局菊桔{~子}		举矩	巨炬距拒具俱惧句锯据聚娶剧																																													
tɕʰ	区驱躯蛆曲	渠	取	去趣																																													
ȵ			女																																														
ɕ	须需虚墟畜{~牧}蓄旭虽	徐	许	序叙婿絮绪遂隧穗																																													
Ø	迂淤	于鱼盂余予俞舆愉榆渔娱愚	雨羽与屿语宇予{~以}	誉预豫喻渝愈裕芋寓遇御玉尉慰																																													
#ɚ																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
Ø		儿而	耳尔	二贰																																													
#a																																																	
调\n声	阴 平	阳 平	上 声	去 声																																													
p	八捌爸{文}巴芭笆疤粑琶叭	爸{白}	把靶	罢坝霸吧把{刀~}																																													
pʰ	□{肉炖∽了}拔跋	爬筏耙	趴	怕帕																																													
