IPA	Tone	Tone	字
pa	6	24	罰
fa	2	31	罰
ta	6	24	踏
tha	5	424	塔擦
sa	6	24	雜
ka	6	24	夾
xa	5	424	瞎
ma	4	335	馬
ŋa	2	31	牙
la	6	24	蠟辣列
Ǿa	5	424	夏鴨
pa	2	31	爬
fa	5	424	發劃
ka	5	424	嫁甲
xa	1	51	蝦
ŋa	4	335	瓦
la	5	424	搭達
pa	5	424	八
fa	1	51	花
ka	3	44	假
ŋa	3	44	啞
pa	1	51	撥
thə	2	31	特
tsə	2	31	擇
po	2	31	剝
pho	1	51	潑
ko	1	51	穀
xo	1	51	哭
lo	6	24	綠
Ǿo	1	51	屋
pu	6	24	步
phu	3	44	譜
fu	5	424	富副婦
tu	6	24	杜
thu	3	44	土
tshu	2	31	除
ku	2	31	骨
xu	5	424	褲付父
mu	4	335	武母
nu	2	31	奴
lu	6	24	路
Ǿu	6	24	霧芋
pu	4	335	簿
phu	1	51	鋪
tu	2	31	圖
ku	3	44	箍古
xu	3	44	苦虎府
lu	3	44	賭
Ǿu	2	31	吳壺
pu	5	424	布
tu	5	424	做
Ǿu	4	335	戶
tu	1	51	租
Ǿu	1	51	烏
pi	6	24	被
phi	5	424	屁
fi	1	51	飛
ti	6	24	地
si	6	24	字寺市
tʃi	3	44	紙
ʃi	6	24	事
tʃhi	5	424	刺
tɕi	5	424	制治
ɕi	6	24	系
ki	2	31	騎棋吸
xi	5	424	契肺戲器氣
mi	6	24	味
ȵi	6	24	藝義二
li	2	31	梨
Ǿi	2	31	移姨日益
pi	2	31	皮肥匹
ti	3	44	子
si	2	31	祠食席
tʃi	1	51	知資
ʃi	2	31	遲時
tɕi	3	44	指錢
ɕi	5	424	世
ki	5	424	寄記季
xi	3	44	喜
mi	2	31	密
ȵi	4	335	耳
li	3	44	李
Ǿi	5	424	意
pi	3	44	比
si	5	424	四
ʃi	5	424	試式
ki	3	44	幾
mi	4	335	尾末
Ǿi	1	51	衣
pi	1	51	貝
si	3	44	死
ki	1	51	饑
si	1	51	師絲
tɕy	3	44	主
ɕy	6	24	柱住豎
tɕhy	3	44	取
ky	2	31	橘菊局
khy	5	424	區
xy	5	424	去
ȵy	2	31	魚
ly	2	31	律
Ǿy	6	24	遇芋裕玉
tɕy	1	51	豬
ɕy	2	31	徐
ky	5	424	鋸句
xy	1	51	輸
ȵy	4	335	女
ly	4	335	呂
Ǿy	2	31	如余
ɕy	5	424	數
ky	3	44	舉
Ǿy	4	335	雨
ɕy	3	44	鼠許數
ɕy	1	51	書
pai	6	24	敗
phai	5	424	派
tai	6	24	大姐
kai	5	424	戒
khai	3	44	開
mai	6	24	賣
ŋai	3	44	矮
lai	5	424	帶
Ǿai	2	31	鞋
pai	2	31	排牌
kai	3	44	解
mai	2	31	埋
pai	5	424	拜
kai	1	51	街
mai	4	335	買
pai	3	44	擺
poẽ	5	424	憋
phoẽ	1	51	劈
toẽ	4	335	弟
thoẽ	5	424	剃
soẽ	3	44	洗
ʃoẽ	3	44	使
koẽ	1	51	雞
khoẽ	3	44	可
moẽ	4	335	米
noẽ	2	31	泥
loẽ	2	31	犁
thoẽ	3	44	找
soẽ	1	51	西
loẽ	1	51	低
thoẽ	1	51	梯
næ	6	24	娘
phø	5	424	破
tø	6	24	袋
thø	5	424	菜
sø	6	24	坐
tʃø	6	24	賺
ʃø	5	424	刷
ɕø	2	31	鋤
tɕhø	1	51	初
kø	5	424	蓋割
xø	6	24	害
mø	6	24	磨
ȵø	6	24	愛
ŋø	6	24	餓汗
lø	2	31	鑼螺來
Ǿø	2	31	河
tø	2	31	台
thø	1	51	拖胎
sø	2	31	財
kø	3	44	改感
xø	5	424	看
mø	2	31	磨
ŋø	2	31	鵝
lø	1	51	多
Ǿø	5	424	愛
tø	5	424	左
sø	3	44	鎖所
kø	1	51	歌該甘肝
xø	3	44	海
mø	1	51	摸
ŋø	5	424	岸漢
xø	1	51	開
ŋø	1	51	安
pøæ	6	24	薄
tøæ	5	424	作
thøæ	5	424	錯托
tɕøæ	5	424	抓
køæ	5	424	各郭角
xøæ	5	424	殼
løæ	6	24	落
Ǿøæ	6	24	學
løæ	5	424	拉
Ǿøæ	5	424	惡
ʃɐɛ	6	24	直
kɐɛ	6	24	極
pɑo	2	31	浮
tɑo	6	24	豆
thɑo	5	424	湊
sɑo	6	24	袖賊
tshɑo	1	51	抽
kɑo	5	424	夠
xɑo	5	424	靠
mɑo	6	24	墨
ŋɑo	2	31	牛
lɑo	6	24	刺
Ǿɑo	6	24	後
tɑo	2	31	頭
thɑo	3	44	討
sɑo	1	51	修休
kɑo	3	44	狗
xɑo	3	44	口
ŋɑo	3	44	藕
lɑo	2	31	樓流
Ǿɑo	4	335	厚
tɑo	3	44	酒
thɑo	1	51	偷
kɑo	1	51	鉤
xɑo	1	51	刻黑
lɑo	1	51	得
Ǿɑo	3	44	紫
səɛ	1	51	色
pɛ	1	51	逼壁
fɛ	2	31	肥
tɛ	6	24	笛
thɛ	1	51	踢
tsɛ	1	51	正
sɛ	6	24	習席
tshɛ	1	51	尺
kɛ	6	24	急
xɛ	1	51	吃
lɛ	6	24	力曆
tɛ	1	51	集積
sɛ	1	51	息惜錫
tsɿ	3	44	紫
sɿ	6	24	試市
sɿ	2	31	實石
ŋǾ	4	335	五
tʃia	5	424	閘紮
ʃia	2	31	茶
tʃhia	5	424	插
Ǿia	6	24	下
ʃia	5	424	殺
ʃia	1	51	沙杉
tʃio	1	51	卒竹粥燭
ʃio	6	24	熟贖
tʃhio	1	51	畜
tɕio	6	24	侄
tɕhio	1	51	除出
ȵio	6	24	入日
Ǿio	1	51	一約
ʃio	1	51	叔
Ǿiu	2	31	育
piæ	6	24	白
phiæ	5	424	炮拍
tɕiæ	5	424	罩擇窄摘
ɕiæ	2	31	柴
tɕhiæ	5	424	拆策
kiæ	5	424	格隔
khiæ	1	51	敲
xiæ	5	424	孝客
miæ	6	24	貓襪麥
ŋiæ	6	24	額
piæ	5	424	百
ɕiæ	5	424	曬
tɕhiæ	1	51	抄
kiæ	1	51	交
miæ	2	31	毛
piæ	3	44	飽
piæ	1	51	包
thiɑo	2	31	條
tʃiɑo	6	24	舊
ʃiɑo	6	24	壽著
tʃhiɑo	5	424	臭
ɕiɑo	6	24	校
kiɑo	1	51	腳
Ǿiɑo	6	24	右藥
tʃiɑo	2	31	球
ʃiɑo	2	31	綢愁
Ǿiɑo	2	31	油
tʃiɑo	4	335	舅
ʃiɑo	5	424	瘦
Ǿiɑo	4	335	有
tʃiɑo	3	44	九
ʃiɑo	3	44	手
Ǿiɑo	5	424	幼
tʃiɑo	1	51	州側
piəu	3	44	表
phiəu	5	424	票
tiəu	2	31	條走
siəu	5	424	笑
tʃiəu	5	424	照
ʃiəu	2	31	朝
kiəu	6	24	轎
miəu	6	24	廟
ȵiəu	2	31	搖
liəu	6	24	料
Ǿiəu	5	424	要
tiəu	1	51	焦
siəu	3	44	小
ʃiəu	1	51	燒
kiəu	2	31	橋
ȵiəu	4	335	繞鳥
liəu	5	424	釣
Ǿiəu	1	51	腰
siəu	1	51	簫削
ȵiəu	1	51	黏
piɛ	6	24	別
fiɛ	1	51	血
tiɛ	6	24	碟
thiɛ	5	424	斜
siɛ	2	31	斜
ʃiɛ	6	24	石
tɕiɛ	1	51	折織
ɕiɛ	6	24	謝射協舌設失
tɕhiɛ	1	51	車
kiɛ	1	51	傑結
miɛ	6	24	滅篾
ȵiɛ	6	24	炎業熱孽月
liɛ	1	51	結
Ǿiɛ	6	24	夜葉越
tiɛ	5	424	借
thiɛ	1	51	撤鐵切
siɛ	3	44	寫
ɕiɛ	2	31	蛇
Ǿiɛ	2	31	熱
tiɛ	1	51	接及節截
Ǿiɛ	4	335	野
Ǿiɛ	1	51	爺
kua	5	424	掛刮
xua	5	424	化法
Ǿua	6	24	畫話滑
kua	1	51	瓜
Ǿua	2	31	華畫
Ǿua	5	424	挖
puẽ	6	24	背
phuẽ	5	424	配
fuẽ	5	424	費
tuẽ	5	424	醉
tsuẽ	1	51	追
suẽ	6	24	罪
tshuẽ	1	51	吹
kuẽ	6	24	櫃
khuẽ	3	44	跪
xuẽ	1	51	灰
muẽ	6	24	妹外
luẽ	6	24	類
Ǿuẽ	6	24	會衛位胃
puẽ	2	31	賠
fuẽ	1	51	虧
tuẽ	3	44	嘴
suẽ	2	31	隨
kuẽ	5	424	桂貴
muẽ	2	31	煤眉
luẽ	2	31	雷
Ǿuẽ	2	31	危圍
puẽ	1	51	杯碑
suẽ	5	424	碎歲
kuẽ	3	44	鬼
luẽ	5	424	對
kuẽ	1	51	規龜
puo	6	24	佛服
fuo	1	51	寬
tuo	6	24	道跌讀毒
thuo	5	424	糙
tsuo	1	51	族
suo	6	24	絕
kuo	2	31	鴿
khuo	5	424	課
xuo	6	24	霍
muo	6	24	帽密物木目
nuo	6	24	鬧肉
ŋuo	6	24	熬
luo	6	24	立栗鹿六
Ǿuo	6	24	禍號盒活
puo	2	31	婆
tuo	2	31	桃
thuo	3	44	草
suo	4	335	造
kuo	5	424	過
khuo	1	51	闊
xuo	5	424	貨
muo	2	31	毛
nuo	4	335	腦
ŋuo	2	31	握
luo	4	335	老
puo	4	335	抱
tuo	5	424	灶
thuo	1	51	脫七
suo	3	44	嫂
kuo	3	44	果
xuo	3	44	火好
nuo	5	424	小
luo	1	51	刀
puo	3	44	寶
tuo	3	44	早
suo	1	51	雪宿縮屬
kuo	1	51	高骨國
xuo	1	51	福
puo	1	51	筆北
tuo	1	51	足
fuæ	5	424	塊快
kuæ	5	424	怪
Ǿuæ	2	31	懷
kuæ	3	44	拐
Ǿuæ	1	51	壞
tɕyo	1	51	吉
ɕyo	6	24	十實
ʃyɛ	2	31	錘
tɕyɛ	1	51	決
kyɛ	1	51	打
khyɛ	1	51	缺
Ǿyɛ	2	31	月越
ʃyɛ	3	44	水
pan	6	24	飯
phan	5	424	判
fan	3	44	反
tan	2	31	彈
than	5	424	貪炭
san	2	31	蠶
tshan	3	44	鏟產
kan	5	424	監
man	6	24	慢
nan	6	24	難
ŋan	2	31	岩顏
lan	6	24	爛
Ǿan	2	31	鹹
pan	4	335	犯
fan	1	51	翻
tan	4	335	淡
than	3	44	毯
san	5	424	傘扇
kan	3	44	敢減
nan	2	31	南難
ŋan	4	335	眼
lan	2	31	藍蘭
Ǿan	4	335	限
pan	5	424	辦
san	1	51	三
kan	1	51	間奸
ŋan	3	44	安
lan	4	335	懶
pan	3	44	板
lan	3	44	膽黨
pan	1	51	班搬
lan	1	51	單
pin	3	44	冰
tɕhin	33	33	青
kin	3	44	緊
min	2	31	民明
Ǿin	2	31	人
tɕyn	3	44	准
ɕyn	2	31	純
kyn	3	44	均
Ǿyn	2	31	營
Ǿyn	3	44	永
ʃian	1	51	山
kuan	5	424	慣
Ǿuan	6	24	萬
kuan	3	44	官
Ǿuan	2	31	頑還
kuan	1	51	關
Ǿuan	3	44	彎晚
poŋ	6	24	鳳
toŋ	6	24	凍洞
thoŋ	5	424	痛
tsoŋ	1	51	中
soŋ	2	31	松
tʃhoŋ	1	51	沖
koŋ	6	24	共
khoŋ	3	44	孔
xoŋ	1	51	風豐封蜂
moŋ	6	24	夢
noŋ	2	31	膿濃
loŋ	6	24	弄
Ǿoŋ	2	31	紅
poŋ	2	31	防朋棚蓬
toŋ	2	31	銅
thoŋ	3	44	桶統
soŋ	5	424	送宋
koŋ	5	424	孔
moŋ	3	44	猛
loŋ	2	31	聾龍
Ǿoŋ	1	51	翁
poŋ	5	424	放
toŋ	4	335	動
thoŋ	1	51	通蔥
soŋ	1	51	松松
koŋ	1	51	公宮恭
loŋ	1	51	東冬中
toŋ	3	44	懂
toŋ	1	51	粽
pøɑŋ	3	44	綁
tøɑŋ	2	31	潭糖
thøɑŋ	1	51	湯倉窗
tɕøɑŋ	6	24	壯
ɕøɑŋ	2	31	床
tɕhøɑŋ	5	424	撞
køɑŋ	3	44	講梗
xøɑŋ	1	51	糠
møɑŋ	2	31	忙
løɑŋ	6	24	浪
pøɑŋ	1	51	幫
tɕøɑŋ	1	51	裝樁
ɕøɑŋ	1	51	霜雙
tɕhøɑŋ	1	51	瘡
køɑŋ	1	51	鋼江
pɑŋ	6	24	棒
fɑŋ	3	44	紡
tɑŋ	2	31	藤
tsɑŋ	3	44	張
sɑŋ	2	31	層
xɑŋ	3	44	肯
nɑŋ	2	31	能
lɑŋ	5	424	凳
pɑŋ	2	31	房
fɑŋ	1	51	慌方
tɑŋ	5	424	俊
lɑŋ	3	44	等
lɑŋ	1	51	燈
viaŋ	2	31	橫
tiaŋ	5	424	漿匠
thiaŋ	3	44	搶
siaŋ	4	335	像
ʃiaŋ	2	31	繩
tɕiaŋ	3	44	長
ɕiaŋ	2	31	長嘗
tɕhiaŋ	5	424	唱
kiaŋ	6	24	降
xiaŋ	1	51	坑
miaŋ	3	44	網
ȵiaŋ	6	24	讓
ŋiaŋ	6	24	硬
liaŋ	6	24	亮
Ǿiaŋ	6	24	樣
siaŋ	3	44	想
ʃiaŋ	5	424	向項
tɕiaŋ	1	51	張章爭
ɕiaŋ	4	335	上
tɕhiaŋ	3	44	廠
kiaŋ	3	44	江
ȵiaŋ	2	31	娘
ŋiaŋ	2	31	行
liaŋ	4	335	冷
Ǿiaŋ	1	51	秧
ʃiaŋ	3	44	響省
ɕiaŋ	1	51	參傷僧
kiaŋ	1	51	薑更耕
liaŋ	3	44	兩
ʃiaŋ	1	51	衫生
tʃioŋ	6	24	共
ʃioŋ	6	24	重
tʃhioŋ	1	51	充
Ǿioŋ	2	31	榮容
tʃioŋ	2	31	窮
ʃioŋ	2	31	蟲熊重
Ǿioŋ	5	424	用
tʃioŋ	5	424	種
ʃioŋ	1	51	雄兇
Ǿioŋ	3	44	擁
tʃioŋ	3	44	腫種
tʃioŋ	1	51	終
kuɑŋ	1	51	光
Ǿuɑŋ	6	24	旺
Ǿuɑŋ	2	31	黃王
Ǿuɑŋ	3	44	網
pẽ	6	24	病
fẽ	1	51	兄
tẽ	6	24	定
thẽ	1	51	清廳聽青
tsẽ	33	33	爭
sẽ	2	31	錢前
tshẽ	5	424	秤
kẽ	6	24	健
khẽ	6	24	慶
xẽ	1	51	牽輕
mẽ	6	24	命
ŋẽ	2	31	贏形
lẽ	2	31	零
Ǿẽ	1	51	興
pẽ	2	31	貧平瓶
tẽ	2	31	停
tsẽ	5	424	證正
sẽ	4	335	善靜
tshẽ	1	51	秤
kẽ	4	335	件
mẽ	2	31	民明名
ŋẽ	3	44	顯影
lẽ	3	44	典領頂
pẽ	5	424	柄
tẽ	3	44	典井
tsẽ	3	44	整
sẽ	5	424	線姓
kẽ	5	424	建鏡
lẽ	1	51	釘
pẽ	3	44	餅
sẽ	1	51	鮮先星
kẽ	1	51	經
pẽ	1	51	兵
poẽ	6	24	棉
phoẽ	2	31	品
foẽ	1	51	歡分
toẽ	6	24	斷
soẽ	2	31	尋
koẽ	1	51	官
moẽ	6	24	問
noẽ	4	335	暖
ŋoẽ	2	31	銀
loẽ	6	24	亂
Ǿoẽ	2	31	癢
poẽ	2	31	盤墳
toẽ	5	424	浸
soẽ	5	424	算
moẽ	2	31	蚊
loẽ	2	31	林
poẽ	5	424	把半糞
soẽ	1	51	心酸
moẽ	4	335	滿
loẽ	3	44	短
poẽ	3	44	粉
loẽ	1	51	端
poẽ	1	51	分
piẽ	6	24	便
phiẽ	5	424	騙片
tiẽ	6	24	店墊
thiẽ	3	44	淺
tʃiẽ	5	424	鎮
ʃiẽ	6	24	剩
tɕiẽ	5	424	占
ɕiẽ	6	24	現
kiẽ	2	31	鉗鐲
miẽ	6	24	面
ȵiẽ	6	24	驗念
liẽ	2	31	連蓮
Ǿiẽ	2	31	鹽嚴嫌延言
piẽ	5	424	變
tiẽ	2	31	甜田
thiẽ	1	51	簽添天
tʃiẽ	3	44	震
ʃiẽ	2	31	程城
ɕiẽ	3	44	險
kiẽ	5	424	見
miẽ	2	31	棉
ȵiẽ	2	31	年
Ǿiẽ	5	424	厭
piẽ	3	44	扁
tiẽ	5	424	劍
ʃiẽ	5	424	欠
ȵiẽ	4	335	染
Ǿiẽ	1	51	煙
tiẽ	3	44	點剪
ʃiẽ	1	51	聲
ȵiẽ	3	44	捏
tiẽ	1	51	尖
tʃioẽ	2	31	琴
ʃioẽ	6	24	順
tʃhioẽ	1	51	春
ȵioẽ	6	24	任認閏
Ǿioẽ	2	31	勻
tʃioẽ	3	44	緊
ʃioẽ	2	31	陳神辰唇
ȵioẽ	2	31	人
Ǿioẽ	4	335	引
tʃioẽ	1	51	針金
ʃioẽ	1	51	深身升
Ǿioẽ	5	424	印
Ǿioẽ	1	51	音
puẽ	2	31	盆
fuẽ	1	51	熏
tuẽ	5	424	進
thuẽ	5	424	寸
suẽ	2	31	全
kuẽ	2	31	裙
khuẽ	5	424	困
xuẽ	6	24	恨
muẽ	2	31	門
nuẽ	6	24	嫩
ŋuẽ	1	51	恩
luẽ	2	31	鄰輪
Ǿuẽ	6	24	運
puẽ	3	44	本
thuẽ	1	51	吞親村
suẽ	3	44	選筍
kuẽ	3	44	滾整
xuẽ	1	51	婚
luẽ	1	51	墩
Ǿuẽ	2	31	含魂雲營
suẽ	1	51	新孫
kuẽ	1	51	根軍
Ǿuẽ	5	424	暗
Ǿuẽ	3	44	碗溫
tʃyẽ	5	424	轉
ʃyẽ	2	31	傳船
tɕyẽ	2	31	勤
ɕyẽ	2	31	沉
tɕhyẽ	2	31	全
kyẽ	2	31	權
khyẽ	1	51	圈
ȵyẽ	4	335	軟
Ǿyẽ	6	24	院縣
tʃyẽ	1	51	磚
tɕyẽ	4	335	近
ɕyẽ	5	424	勸
kyẽ	3	44	卷
Ǿyẽ	2	31	完圓鉛原園
tɕyẽ	1	51	筋
ɕyẽ	1	51	閂
Ǿyẽ	4	335	遠
Ǿyẽ	1	51	冤
