cid	character	initial	final	tone	note
1	多	t	ɔ	35	
2	拖	th	ɔ	35	
3	大	t	ai	41	
4	锣	l	ɔ	41	
5	左	tʃ	ɔ	21	
6	歌	k	ɔ	35	
7	个	k	ɔ	33	
8	可	h	ɔi	21	
9	鹅	ŋ	ɔ	41	
10	饿	ŋ	ɔ	41	
11	河	h	ɔ	41	
12	茄	kh	ɛ	41	
13	破	ph	ɔ	33	
14	婆	ph	ɔ	41	
15	磨	m	ɔ	41	
16	磨	m	ɔ	41	
17	躲	t	ɔ	21	
18	螺	l	ɔ	41	
19	坐	tʃh	ɔ	21	
20	锁	s	ɔ	21	
21	果	k	ɔ	21	
22	过	k	ɔ	33	
23	课	f	ɔ	33	
24	火	f	ɔ	21	
25	货	f	ɔ	33	
26	祸	∅	uɔ	33	
27	靴	h	œ	35	
28	把	p	a	21	
29	爬	ph	a	41	
30	马	m	a	21	
32	茶	tʃh	a	41	
33	沙	ʃ	a	35	
34	假	k	a	21	
35	嫁	k	a	33	
36	牙	ŋ	a	41	
37	虾	h	a	35	
38	下	h	a	41	
39	夏	h	a	41	
40	哑	∅	a	21	
41	姐	tʃ	iɛ	35	
42	借	tʃ	iɛ	33	
43	写	ʃ	iɛ	21	
44	斜	ʃ	iɛ	41	
45	谢	tʃ	iɛ	41	
46	车	tʃh	iɛ	35	
47	蛇	ʃ	iɛ	41	
48	射	ʃ	iɛ	41	
49	爷	∅	iɛ	41	
50	野	∅	iɛ	21	
51	夜	∅	iɛ	41	
52	瓜	k	ua	35	
53	瓦	ŋ	a	21	
54	花	f	a	35	
55	化	f	a	33	
56	华	∅	ua	41	
57	谱	ph	u	21	
58	布	p	u	33	
59	铺	ph	u	35	
60	簿	p	ɔ	21	
61	步	p	u	41	
62	赌	t	u	21	
63	土	th	u	21	
64	图	th	u	41	
65	杜	t	u	41	
66	奴	n	u	41	
67	路	l	u	41	
68	租	tʃ	u	35	
69	做	tʃ	u	33	
70	错	tʃh	ɔ	33	
71	箍	kh	u	35	
72	古	k	u	21	
73	苦	f	u	21	
74	裤	f	u	33	
75	吴	∅	ŋ	41	
76	五	∅	ŋ	21	
77	虎	f	u	21	
78	壶	f	u	41	
79	户	f	u	41	
80	乌	∅	u	35	
81	女	n	i	21	
82	吕	l	ui	21	
83	徐	ʃ	i	41	
84	猪	tʃ	i	35	
85	除	tʃh	u	41	
86	初	tʃh	u	35	
87	锄	tʃh	u	41	
88	所	s	ɔ	21	
89	书	ʃ	i	35	
90	鼠	ʃ	i	21	
91	如	∅	iu	41	
92	举	tʃ	i	21	
93	锯	k	i	33	
94	去	h	i	33	
95	渠	kh	i	41	
96	鱼	ŋ	i	41	
97	许	ʃ	i	21	
98	余	∅	i	41	
99	府	f	u	21	
100	付	f	u	33	
101	父	f	u	41	
102	武	m	u	21	
103	雾	m	u	41	
104	取	h	i	21	
105	柱	tʃh	i	21	
106	住	tʃ	i	41	
107	数	ʃ	u	21	
108	数	ʃ	u	33	
109	主	tʃ	i	21	
110	输	ʃ	i	35	
