cid	character	initial	final	tone	note
1	多	t	ɵ	35	
2	拖	th	ɵ	35	
3	大	ɾh	ɵ	23	～人
3	大	ɾh	a	23	老～
4	锣	l	ɵ	24	
5	左	ts	ɵ	21	
6	歌	k	ɵ	35	
7	个	k	ɵ	23	
8	可	kh	ɵ	21	
9	鹅	ŋ	ɵ	24	
10	饿	ŋ	ɵ	23	
11	河	h	ɵ	24	
12	茄	h	i	24	读字
13	破	ph	ɵ	23	
14	婆	h	ɵ	24	
15	磨	m	ɵ	23	
16	磨	m	ɵ	23	
17	躲	t	ɵ	21	
18	螺	l	ɵ	24	
19	坐	h	ɵ	21	
20	锁	s	ɵ	21	
21	果	k	ɵ	21	
22	过	k	ɵ	23	
23	课	kh	ɵ	23	
24	火	x	ɵ	21	
25	货	x	ɵ	23	
26	祸	h	ɵ	21	
27	靴	ɕ	io	35	
28	把	p	o	21	
29	爬	h	o	24	
30	马	m	o	21	
31	骂	m	o	23	读字
32	茶	h	o	24	
33	沙	s	o	35	
34	假	k	o	21	白
34	假	tɕ	io	21	文
35	嫁	k	o	23	
36	牙	ŋ	o	24	
37	虾	x	o	35	
38	下	h	o	21	
39	夏	h	o	23	白
39	夏	ɕh	io	23	文
40	哑	∅	o	21	
41	姐	tɕ	ia	21	～夫
41	姐	tɕ	iʑ	21	～～
42	借	tɕ	ia	23	
43	写	ɕ	ia	21	
45	谢	ɕh	ia	23	
46	车	tsh	o	35	
47	蛇	h	o	24	
48	射	h	o	23	
49	爷	∅	iʑ	24	
50	野	∅	io	21	
51	夜	∅	io	23	
52	瓜	k	o	35	
53	瓦	ŋ	o	21	
54	花	x	o	35	
55	化	x	o	23	
56	华	∅	o	24	
57	谱	ph	u	21	
58	布	p	u	23	
59	铺	ph	u	35	
60	簿	h	u	21	
61	步	h	u	23	
62	赌	t	u	21	
63	土	th	u	21	
64	图	ɾh	u	24	
65	杜	ɾh	u	21	
66	奴	l	u	24	
67	路	l	u	23	
68	租	ts	u	35	
69	做	ts	ɵ	23	
