字音					
#i					
p	[1]悲 [2]脾 [3]鳖比 [5]痹 [6]被=				
pʰ	[1]披 [2]疲皮= [3]趴-疕{饭~，锅巴} [6]鼻				
b	[1]微= [2]眉= [3]米美□{躲藏} [6]味 [8b]篾				
t	[1]知= [2]池 [3]滴 [5]帝蒂渧 [6]递治迟侄 [8b]碟-				
tʰ	[1]黐 [2]啼 [3]铁耻 [5]剃				
l	[1]哩 [2]离□{~□tʰai1,筛子} [3]李鲤厘里理 [6]狸利痢攦{撕开} [8b]裂-				
ts	[1]芝姕{~屄，女阴} [2]荠 [3]接-紫指 [5]姐姊志 [6]䑛{舔} [8b]折-舌-				
tsʰ	[1]鳃 [2]持= [3]侈 [5]刺=饲 [6]寺市 [8b]蠘				
s	[1]丝施 [2]时折{~本} [3]死始 [5]四寺试肆闪-世= [6]是匙 [8b]蚀-				
dz	[2]儿 [6]二字 [8b]□{按压}				
k	[1]饥支枝更-箕 [2]期骑棋其奇旗琪 [3]几记 指=[5]志痣 [6]忌				
kʰ	[1]欺 [2]蜞 [3]齿 [5]气=器 [6]柿				
g	[2]疑 [6]义 [8b]□{~~掣，发抖状}				
h	[1]希 [3]耳-喜 [5]戏 [6]耳- [8b]嘻				
∅	[1]衣伊{第三人称单数} [2]移姨 [3]椅以 [5]意爷{瓯语借词}				
#u					
p	[2]炰匏 [3]发- [5]富- [6]孵妇-				
pʰ	[2]浮-潽 [3]殕{发霉} [6]□{煮沸溢出} [8b]浡{泛~，浮肿}				
b	[2]无= [3]舞武母 [6]雾 [8b]□{堆，量词}				
t	[1]蛛□{~~，刚刚} [2]橱 [3]拄 [5]注- [6]□{浸到水里}				
tʰ	[3]托{铲}				
l	[1]揄{乱放东西}				
ts	[1]珠 [2]咮{唤鸡声} [3]主 [5]聚 [6]住柱				
tsʰ	[1]趋 [3]取 [5]厝				
s	[1]输 [2]殊 [3]嗍{吮吸} [6]树=				
dz	[2]如 [6]喻裕				
k	[1]龟-伛 [3]久-韭 [5]句去-{~年} [6]具舅旧臼				
kʰ	[1]区窠 [2]跔{蹲} [8b]汩{嗽~~，咳嗽，拟声词}				
g	[2]牛 [6]寓				
h	[1]夫=呼= [2]符 [3]府 [5]付父富副 [6]妇=腐				
∅	[1]污 [3]雨= [5]煦{~烧} [6]有-				
#ɯ					
t	[1]猪 [2]除锄 [6]箸				
tʰ	[2]锄 [3]储				
l	[2]吕驴旅 [3]女你汝 [6]虑				
ts	[1]书资 [2]子薯磁 [3]煮 [6]自				
tsʰ	[1]蛆 [2]□{着迷} [3]鼠此 [5]次				
s	[1]思师= [2]徐 [3]使暑 [5]试= [6]祠事士				
k	[1]居 [2]渠翟 [3]矩举 [5]锯 [6]巨				
kʰ	[5]去				
g	[3]语 [6]御				
h	[1]虚 [2]鱼 [3]许				
∅	[2]余 [3]与 [5]□{腻} [6]预				
#a					
p	[1]巴伯爸 [2]爸 [3]百-饱 [5]坝霸 [6]罢				
pʰ	[1]葩 [3]拍- [8b]曝-				
b	[1]□{哭声，拟声词} [2]麻= [3]脉- [6]密-				
t	[1]凋□{口渴} [3]搭 [5]罩 [8b]踏				
tʰ	[3]塔 [5]踏□{牛卓：用} [8b]沓				
l	[1]拉 [2]灵-{~喉，喉咙} [6]烂-{瓯语借词，~沦：流氓}闹=㫰{瓯语借词，晒} [8b]蜡				
ts	[1]查渣姐-{瓯语借词} [2]昨-{~晡日：昨天} [3]早- [5]炸 [8b]闸				
tsʰ	[1]差 [2]柴 [3]插-吵- [8b]贼				
s	[1]沙= [3]洒 [8b]煠{用水煮食物}				
k	[1]家茄- [3]夹-甲 [5]教- [6]齩 [8b]圪				
kʰ	[1]骹 [3]巧- [5]敲 [8b]屐				
g	[2]牙 [6]咬讶				
h	[1]呵 [2]霞 [3]匄{瓯语借词，给；表被动}哈 [5]孝- [6]下= [8b]合-{合适}				
∅	[1]鸦 [3]崽仔-{俗字，用于名词后，有时会因为前字韵尾而改变声调与发音}鸭-押 [6]也- [8b]盒				
#ia					
p	[3]壁-蝙				
pʰ	[3]僻 [7]癖				
t	[1]爹 [3]摘- [8b]籴				
tʰ	[3]拆-				
l	[8b]掠-				
ts	[1]遮 [2]驾 [3]只者脊 [5]蔗 [8b]食-				
tsʰ	[1]车 [2]斜- [3]铲赤-				
s	[1]赊瞎= [2]邪 [3]写削锡-惬 [5]卸 [6]射谢 [8b]勺-石-				
dz	[3]迹- [5]□{个子高}				
k	[2]□{举} [3]揭-{挑出刺} [5]寄- [6]陭{坡陡}徛{站立}				
kʰ	[1]奇 [3]隙				
