// HSD Syllabary Data Partition
// 地区：山西省-大同市-渾源縣-永安鎮
// 来源：張津《渾源方言調查研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-大同市-渾源縣-永安鎮
@SRC	張津《渾源方言調查研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	k	kʰ	x	Ø
@FIN	a
@TON	陰平	31
@TON	陽平	22
@TON	上聲	53
@TON	去聲	214
@TON	輕聲	20

// Initial	Final	Tone	CharList (Space separated)
p	a	陰平	巴1 爬1{~架；~山；~坡；~山虎} 葩1{奇~} 吧1 叭1{單字音；~~一聲，象聲} 疤 芭 笆 扒1{~牆；~在；~住} 爸 八1{豬~戒}
p	a	陽平	拔 跋1{~涉；文體} 犮{涼，如：炕~的}
p	a	上聲	靶 把1{~握，~門，一~~} □{~~：屎或髒東西，後一個~讀輕聲} 伯1{阿拉伯~數字} 叭2{~一聲，象聲}
p	a	去聲	垻{~大~；堤~} 霸 罷 把2{~子} 耙1{~地} 扒2{~縫；~起板筋} 吧2{作語氣詞位於重讀的入聲後的讀音} 不1{否定詞，單用}
p	a	輕聲	吧3{作語氣詞位於舒聲或輕讀的入聲後的讀音} 巴2{作動詞（包括少數形容詞）後綴：拿~、拴~、扎~、緊~、攆~頭；詞綴“~蛋的、~刺的、~叉的、~眼的、~帶的”中的讀音；句子後加成分“~細的”中的讀音；“緊圪~~的”等少數“AB~~的”式形容詞詞綴“~~的”中的讀音；“精精~~的”等少數“AA~~的”式形容詞詞綴“~~的”中的讀音}
pʰ	a	陰平	啪1{單字音；~~一聲，象聲} 葩2{奇~} 杷1{枇~}
pʰ	a	陽平	爬2{~坡；~行；~叉} 耙2{~子：農具} 扒3{~肉條；~在桌子上睡著啦} 趴{跌了個馬~}
pʰ	a	上聲	杷2{~攬：貪占} 啪2{~一聲，象聲}
pʰ	a	去聲	怕
m	a	陰平	媽1 螞1{~蟻} 麻1{~衣相：即相術中的麻衣相法}
m	a	陽平	麻2{~住：將鴿子翅膀上的翎用針線縫住使之飛不高} 蟆1{癩蛤~} 嘛 螞2{~蟻，又寫作~蝗}
m	a	上聲	馬1 瑪1{~瑙} 螞3{~盤蚨；~蟻；~王：一種體形較大的馬蜂} 麼1{什~}
m	a	去聲	罵 螞4{~蚱}
m	a	輕聲	麼2{再~、要~} 馬2{詞綴“~爬的”中的讀音}
f	a	陽平	伐1{~木} 筏{~子} 罰{處~} 乏1{疲~} 閥1{門~} 垡{次~。~~子：流行病；~~菜：即一茬菜} 跋1{用腳踢} 發1{~~炮彈}
f	a	上聲	髮2{理~；披肩~} 乏2{缺~} 伐2{北~} 閥2{~門兒；學~；安全~}
v	a	陰平	挖1{用力往下~；~苦} 媧 搲1{用手~人：用手抓人} 哇1{老~；~~；後一個~讀輕聲} 蛙{青~} 窪1{大~：村名} 瑪2{~瑙}
v	a	陽平	哇2{打~~：小兒遊戲，口發~聲并以手拍之，後一個~讀輕聲}
v	a	上聲	搲2 瓦1{面~；磚~；~刀} 哇3{~一聲，象聲}
v	a	去聲	凹1{~陷} 窪2{低~} 襪 瓦2{~刀；~棧：壓棧；~泥墅：打土坯；~草：用刀把草根去掉} 搲3{用勺子扳、挖糊在鍋底的食物或沉澱在水裡的澱粉} 哇4{圪~圪~的：蛤蟆叫聲；作語氣詞位於重讀的入聲後的讀音}
v	a	輕聲	哇5{作語氣詞位於舒聲或輕讀的入聲後的讀音} 瓦3{作動詞後綴的讀音}
t	a	陰平	打1{~鬧；~掙；~騰；~點；~攪} 瘩1{疙~，如：身上起上疙~啦} 搭1{~~兒：一塊兒，~須兒化} 噠1{~~；後一個~讀輕聲} 垯{土疙~；拌疙~兒；一疙~} 塔1{荒疙~} 嗒1{鞋也忽~起了；脆~~的：前一個~讀變調去聲，後一個讀陰平} 耷1{忽~二片：片狀物分開~拉著的樣子}
t	a	陽平	沓1{~跟：鞋後跟因踩倒而折疊；~住} 韃{長毛兒~子：頭髮很長的人}
t	a	上聲	打2{~鬧；~人} 嗒2{忽~~一聲，象聲} 噠2{~一聲，象聲} 搭2{一~子牌} 跋1{蹶~蹶~的：形容人走路腳邁得又高又快的樣子；蹓~}
t	a	去聲	大1{~人}
tʰ	a	陰平	他 它 她 嗒3{忽~} 塌1{平不~；扁忽~；軟得忽~~的} 翨1{鳥飛聲} 喂{豬吃食聲}
tʰ	a	陽平	沓2{一~紙}
tʰ	a	上聲	嗒4{忽~~一聲} 翨2{鳥飛聲；~下飛啦}
n	a	陰平	腌1{~臢} 那1{~能行} 吶1{忽~：形容吃東西時不利索；~~；後一個~讀輕聲} 訥1{忽~：形容說話時嘟囔不清；~~：笨拙地嘟囔，後一個~讀輕聲}
n	a	陽平	拿{~來；~手} 糝{~糕：一種麵食} 南1{~無阿彌陀佛}
n	a	上聲	哪1{~個}
n	a	去聲	納1{出~；~鞋底} 枘{~命：小兒要鳥致死} 肭1
l	a	陰平	拉1{~拔；動詞後綴（位於重讀的入聲後），如：撲~、摸~、吃~、瀝~} 啦1{單字音；嘿~~一聲，象聲} 垃1{土坷~} 勒1{希特~}
l	a	陽平	落1{稀疏、稀~、稀少}
l	a	上聲	喇{~叭} 拉2{~沙：粗心大意} 啦2{黑~~一聲，象聲} 坷1{坷~子：半大顆粒狀的炭、石頭等東西}
l	a	去聲	臘 蠟 啦3{喝~、吃~沒：作語氣詞或用於反復問時位於重讀的入聲後的讀音；“黑~~的”等“A~~的”式形容詞中“A”為入聲時其詞綴中~的讀音} 拉3{~叭} 辣 拔1{指頭黑~子；髭黑~} 落2{~下啦}
l	a	輕聲	粒1{柵~子} 啦4{作語氣詞或用於反復問時位於舒聲或輕讀的入聲後的讀音，如：走~、米~沒、全割撤~} 拉4{動詞後綴（位於舒聲或輕讀的入聲後），如：扯~、搞~、撂~、套~；詞綴“~氣的、~味的、不~叭的”中的讀音；句子後加成分“~搭的、不~細的”中的讀音；詞綴“忽~的”中的讀音；“A~”式動詞的重疊式“AA~~的”式形容詞後邊的~的讀音}
