字	永阳东山	东屏金湖																														
多	to1	to1																														
拖	tʰo1	tʰo1																														
他	tʰa1	tʰa1																														
大	ta5	ta5																														
挪	no2	lo2																														
那	na5	la5																														
罗	no2	lo2																														
萝	no2	lo2																														
左	tso3	tso3																														
搓	tsʰo1	tsʰo1																														
哥	ko1	ko1																														
个	ko5	ko5																														
可	kʰo3	kʰo3																														
鹅	ŋo2	o2																														
我	ŋo3	o3																														
饿	ŋo5	ŋo5																														
河	xo2	xo2																														
贺	xo5	xo5																														
茄	tɕʰie2	tɕʰie2																														
波	po1	po1																														
坡	pʰo1	pʰo1																														
破	pʰo5	pʰo5																														
婆	pʰo2	pʰo2																														
磨(~刀)	mo2	mo2																														
躲	to3	to3																														
糯	no5	lo5																														
骡	no2	lo2																														
坐	tso5	tso5																														
锁	so3	so3																														
锅	ko1	ko1																														
果	ko3	ko3																														
过	ko5	ko5																														
棵	kʰo1	kʰo1																														
课	kʰo5	kʰo5																														
卧	ŋo5	uo5																														
火	xo3	xo3																														
货	xo5	xo5																														
和	xo2	xo2																														
禾	xo2	xo2																														
祸	xo5	xo5																														
窝	ŋo1	ŋo1																														
瘸	tʂʰʯe2	tɕʰye2																														
靴	ʂʯe1	ɕye1																														
巴	pa1	pa1																														
把	pa3	pa3																														
爸	ta2	pa2																														
怕	pʰa5	pʰa5																														
爬	pʰa2	pʰa2																														
麻	ma2	ma2																														
妈	ma1	ma1																														
马	ma3	ma3																														
骂	ma5	ma5																														
拿	na2	la2																														
茶	tsʰa2	tsʰa2																														
渣	tsa1	tsa1																														
榨	tsa5	tsa5																														
差(~别）	tsʰa1	tsʰa1																														
查	tsʰa2	tsʰa2																														
沙	sa1	sa1																														
洒	sa3	sa3																														
家	ʨia1	tɕia1																														
加	ʨia1	tɕia1																														
假	ʨia3	tɕia3																														
架	ʨia5	tɕia5																														
嫁	ʨia5	tɕia5																														
牙	ia2	ia2																														
伢	ŋa2	ŋa2																														
虾	ɕia1	ɕia1																														
吓	xa5	ɕia5																														
夏	ɕia5	ɕia5																														
下	ɕia5	ɕia5																														
鸦	ia1	ia1																														
哑	ia3	ia3																														
姐	ʨie3	tɕie3																														
借	ʨie5	tɕie5																														
且	tɕʰian3	tɕʰie3																														
写	ɕie3	ɕie3																														
斜	ɕie2	ɕie2																														
谢	ɕie5	ɕie5																														
遮	tsa1	tse1																														
蔗	tsa5	tsa1																														
车	tsʰe1	tsʰe1																														
扯	tsʰe3	tsʰe3																														
蛇	se2	se2																														
射	se5	se5																														
射	ɕie5																															
社	se5	se5																														
惹	ye3	ye3																														
爷	ie2	ie2																														
野	ie3	ie3																														
夜	ie5	ie5																														
瓜	kua1	kua1																														
夸	kʰua1	kʰua1																														
跨	kʰua5	kʰua5																														
瓦	ua3	ua3																														
花	fa1	fa1																														
化	fa5	fa5																														
华(中~)	fa2	fa2																														
蛙	ua1	ua1																														
