#i	
p	[1]碑{墓～}裨{把两块布连接在一起}[2]琵{～琶}枇{～杷}□{女阴}备{1，隆～：宽敞}篦{2，量词：一～}□{板～，鲂鱼}[3]比[5]闭泌庇{保～：保佑}痺[6]弊{作～}毙{枪～}被{～迫}避{～开}备{2，准～}[7a]鳖
pʰ	[1]披[2]皮{2，调皮}脾{～气}[3]疕{伤痂}痞{2，地～}[7a]□{粗话骂人}
b	[1]未{3，～时}[2]□{眯着眼看}寐味{1，味道}沕{潜入水中}□{帐～：蚊帐上的流苏}[5]米美{2，～国}[6]未{2，～来}味{2，趣～}篾[7a]□{躲藏起来}
t	[1]猪知{～识}[2]除箸{～双：筷子}橱厨{～房}池迟持{2，张～：提防}地{1，动～：地震}治{1，～谍：作弄人}[3]抵{2，～消}[5]戴{2}智{机～}致{2，细～}置{位～}[6]待{1，在（家）}弟{兄～}痔{～疮}治{2，政～}[7a]滴{哈不～：腋下挠痒}
tʰ	[2]储{～蓄}雉{～鸡}啼[3]耻{2，可～}□{撕开，撕裂}[5]剃[7a]铁{1，金属名}踢{3，玩自～：游戏名}
l	[1]□{反白～：翻白眼}[2]滤犁{2，铁钯～：农具名}离篱{2，菜～：菜园}儿{2，囝～：子女}腻{细～：客气，小心}二{2}厘{一～；～末：得利甚微}狸{狐～}字{1，～运：命运}□{无理谩骂}□{ba7～竹：竹名}[3]女{2，男～：子女}旅{～长}汝{你}李里{乡～}裏{2，被～}理{情～；～由}鲤{～鱼}[6]吕虑{考～}铝{1}例{举～}利{2，得～}痢{～疾}裂{3，裂开}[7a]□{脱（帽）}
ts	[1]朱殊珠{2，阿～：人名}支{2，～持}枝{2，荔～}脂{油～}[2]蜍{蟾～}薯{番～}餈鹚{鸬～}字{2，文字}膣{～bai1：女阴}[3]煮主{家～}紫{2，颜色名}只{量词，一～（线）}姊{大～}旨{圣～}指{2，～挥}止{不～：相当}子{2，种子}[5]注{～意}铸积{2，淤～：多得过分}制{～度}至{冬～}致{1，四～：整齐}志{同～}誌{名～：名片}[6]巳舌[7a]接{1，迎接}摺
tsʰ	[1]蛆鳃[2]徐持{1，维～}渍{潮湿}[3]处{四～}暑{1，处～}鼠{2，老～}杵{舂～}取{可～}[5]趣{兴～}厝{房子}刺饲{1，喂养}试{1，试一试}[6]市{墟～：赶集的场所；～场}柿{2，红膏赤～：满脸红光}
s	[1]书{文～}需{～要}输{2，运～}施豉{豆～}撕{把纸或布撕成长条}蛳{螺～}俬{家～}尸司{2，惯～：习惯}□{偷看一眼，～伊一盈：偷看他一下}丝鸶{鹭～}□{澜～：涎水}[2]匙{饭～}辞{2，辞去}时{2，平～；～间}事{1，故～}[3]绪{头～}暑{2，～假}死始{开～}[5]世{～界}势{～力；靠～}四试{2，考～}[6]序{秩～；～大：长辈}誓{发～}是氏{张～}示{表～；子：认输}视{轻～}寺{天灵～}折{1，折本}[7a]泄{给小孩把尿}□{轻轻抖动}
k	[1]居{～民}车{棋子名}支{1，支起来}箕{粪～，簸～}枝{1，树～}饥{～荒}基{地～；～础}机{2，～器；拖拉～}萁{毛～，草名，当地用作燃料}[2]渠{顺～：人名}奇棋期{时～}旗蜞{2，～蛇：中药名}岐{松柏～：地名}祈{～祷}[3]举矩{规～}杞{枸～}指{1，动词，指点}己{～家：自己}纪{世～}几{第～；～多}[5]据{根～}锯寄{2，～宿}痣记气{1，～势}[6]具{工～；～体}忌[7a]剧{汉～}
kʰ	[1]区{行政单位名}欺㩻{歪倒}[2]骑{2，～兵}其{～中}蜞{1，胡～：蚂蟥}[3]企{～业}齿{牙～；～屎：牙垢}起[5]去器{机～}弃{放弃}气{2，气体}[6]柿{1，柿子}[7a]缺{5，小缺口}□{笑声}
ɡ	[1]□{歪向一边}[2]如{石～：人名；～果}儿{1，～童}宜{便～}仪{作～：人名}而{～且}谊{友～}疑{怀～；～心}[3]语{论～}议{～价；会～}[6]誉{名～}预{～备}喻{比～}裕{2，长～：人名}义毅{陈～：人名}
h	[1]墟虚牺{～牲}熙{康～}希{～望}稀{1}[2]鱼[3]许{2，允～}喜{欢～；～欢}[5]肺戏[7a]□{笑声}
∅	[1]医依衣{雨～}[2]余{人名}馀{庆～：人名}于{姓}移夷{2，武～（茶）}姨{安～}肄{～业}[3]雨{2，谷～}禹{人名}倚{2，～靠}椅已{～经}[5]懿{司马～}意{有～；～思}[6]易{2，容～}异{～姓}[7a]伊{他}
#u	
p	[2]匏{瓠～：南瓜}炰{火中烧食，～番薯}□{呼气声}□{一～（屎）：一大堆粪便}伏{孵（卵）}[5]富{1，富裕}[6]妇{1，新～：媳}[7a]□{（泉水）冒出来}
pʰ	[5]浮烰{油炸，～鱼仔}葡{～萄}[3]普{1，～光：天刚亮}殕{臭～：东西发霉}□{～脐：肚脐突出}[6]皰{䫲～，又说pʰã5～，两腮鼓起，作生气状}□{水沸起}
m	[3]母{2，父～}
b	[1]□{模糊不清}[2]无{1，～论}牛{1，石～岭：地名}雾{1，迷雾}[3]武舞侮{～辱}鹉{鹦～}□{看不清楚}
t	[1]堆{1，一～}推{3，推开}[3]拄{遇到}[5]著{重～：大本钱}[6]□{两物相触}□{颔～：病名}[7a]□{仙～：喻爱搭话}
tʰ	[7a]推{4，向上顶起}戳{3，戳破}
n	[2]二{1}
l	[5]擂{1，研物，～来～去}[6]□{暗算他人}
ts	[1]珠{1，小圆玻璃珠}资{～本；投～}之{～字爿}芝{人名}滋{～润}[2]慈磁{～铁}[3]祖{3，公～：太爷}紫{2}子{1，～孙}[5]积{1，洪～}[6]自{～～：向来}住{靠不～}[7a]□{呼鸡声}
tsʰ	[3]此{故于～}□{瞌睡态}[5]次{一～；～序}[7a]趋{滑倒}
s	[1]输{1，负于他人}斯{～文}师{2，教～}私{1，自～；～人}司{1，～令}思{～想}[2]屿{鼓浪～：地名}辞{1，停～：无言以对}祠{祖～}嗣{后～}饲{2，～养}事{3，本～}时{1，～势仔：过得去}[3]所{1，～在}使{2，假～}史{历～}驶{2，驾～室}[5]恕赐四{1，“五～”；～散：各处}思{意～}[6]似{2，相～}士{棋子名}事{2，事情}侍{2，服～}[7a]□{吮吸}
k	[1]龟{1，金～：虫名，原文“蛄”}姑{1，姑母}孤{1，～怪}菇{1，香～}痀{𤸫～：驼背}欨{瘕～：咳嗽}糕{2}鸠{斑～}[2]旧{1，半～老：半新不旧}[3]久{2}[5]句{一～（话）}灸{针～}[6]舅旧[7a]□{蹲下}□{躲起来}
kʰ	[1]躯{，一～，一～棺柴：一口棺材}丘{一～（塍）}[2]求{3，用刀去（藤）皮}□{屈～：弯腰驼背，精神不振的样子}[6]臼{碓～：石臼}咎{恶～：凶残无比}
ɡ	[2]牛{1}[3]五{2，“～四”}伍{2，队～}午{2，下～}[6]又{3，～来}
h	[1]呼{1，喘气声}夫{2，利丈～：比男人还利害}肤{皮～}敷俘{～虏}麸{2，粉状}符{1，符合}灰{3，灰烬}[2]扶{1}芙{～蓉}腐{豆～；～化}符{2，下～：烧符咒}[3]府{政～}[5]付咐{吩～}赴富{2，～农}副[6]护父{2，师～；～母}附{香～：中药名}妇{2，～女}负{欺～；～担}
∅	[1]污{1，贪～}[2]愚{～拙：执拗}[5]恶{恶～：满脸不高兴的样子}裕{1，有～：有本钱}□{接近}[6]有{1}
#a	
p	[1]巴{古～}疤[2]钯{2，动词}[3]把{2，～握}饱[5]霸{恶～}豹□{躬身下蹲；俯撑着身子}[6]罢{～工}
pʰ	[1]抛{2}脬{卵～：阴囊}[5]怕{可～}泡{1，水泡}
b	[2]麻{2，麻木}猫{野猫}瞄□{粘住}[7a]□{肉}
t	[1]焦{乾}[2]□{竹～：草药名}[3]倒{3，～后：在后面}打{一～；～倒}[5]罩踔{跳跃状}[6]踏{踩踏}[7a]答{1，回答}搭{2，架上}
tʰ	[5]□{用尖的东西挑物}[6]沓[7a]塔搭{1，用杓装汤水}
l	[1]□{讨好人}[2]捞{2}蟧{～䗁：蜘蛛}[6]惹{1，招惹}□{用杓翻炒}腊邋{～遢}猎{拍～}
ts	[1]渣{2，渣滓}楂{2，山～}[3]早{1}[5]诈{奸～}炸[6]食{1，吃}[2]紮札{2}
