繁	IPA	調類	解釋	陰平-1	13
屄	pi	1		陽平-2	44
逼	pi	2		上聲-3	24
筆	pi	3		去聲-5	52
幣	pi	5			
批	pʰi	1			
脾	pʰi	2			
痞	pʰi	3			
屁	pʰi	5			
糜	mi	1			
謎	mi	2			
米	mi	3			
冪	mi	5			
低	ti	1			
滴	ti	2			
底	ti	3			
弟	ti	5			
提	tʰi	2			
體	tʰi	3			
剃	tʰi	5			
裡	li	3			
裏	li	3			
匿	li	5			
知	tsɿ	1			
直	tsɿ	2			
指	tsɿ	3			
志	tsɿ	5			
吃	tsʰɿ	1			
遲	tsʰɿ	2			
恥	tsʰɿ	3			
赤	tsʰɿ	5	文，赤色		
赤	tsʰɿ	2	白，打赤腳，打赤膊		
十	sɿ	1			
屎	sɿ	3			
是	sɿ	5			
日	ʐɿ	1	又		
日	ʐɿ	2	又		
雞	tɕi	1			
急	tɕi	2			
幾	tɕi	3			
寄	tɕi	5			
騎	tɕʰi	1			
齊	tɕʰi	2			
去	tɕʰi	5	去哪		
去	tɕʰi	5	去年，去求		
希	ɕi	1			
媳	ɕi	2			
洗	ɕi	3			
戲	ɕi	5			
醫	Øi	1			
移	Øi	2			
易	Øi	5			
不	pu	2			
捕	pu	3			
步	pu	5			
普	pʰu	1			
蒲	pʰu	2			
撲	pʰu	3			
瀑	pʰu	5			
伏	fu	2			
斧	fu	3			
付	fu	5			
姑	ku	1			
骨	ku	2			
穀	ku	2	穀雨		
穀	ku	2	稻穀		
固	ku	5			
枯	kʰu	1			
哭	kʰu	2			
苦	kʰu	3			
酷	kʰu	5			
呼	xu	1			
胡	xu	2			
虎	xu	3			
戶	xu	5			
烏	Øu	1			
無	Øu	2			
物	Øu	5			
律	ly	1			
驢	ly	2			
女	ly	3			
慮	ly	5			
豬	tɕy	1			
朱	tɕy	1			
珠	tɕy	1			
局	tɕy	2			
主	tɕy	3			
煮	tɕy	3			
注	tɕy	5			
住	tɕy	5			
祝	tɕy	5			
區	tɕʰy	1			
除	tɕʰy	2			
出	tɕʰy	1			
舒	tɕʰy	1			
處	tɕʰy	3			
祛	tɕʰy	5			
書	ɕy	1			
徐	ɕy	2			
數	ɕy	3			
樹	ɕy	5			
輸	Øy	1			
魚	Øy	2			
玉	Øy	5			
疤	pa	1			
拔	pa	2			
把	pa	3	給		
粑	pa	3	粑粑		
趴	pʰa	1			
粑	pʰa	2	釘耙子，榔耙子		
帕	pʰa	5			
抹	ma	1	抹布		
麻	ma	2			
媽	ma	3	年老婦人		
罵	ma	5			
法	fa	1			
罰	fa	2			
