ID	汉字	注释	拼音	声母	韵母	声调
1	多		=E2&F2&G2	t	o	1
2	他		=E3&F3&G3	th	a	1
3	舵		=E4&F4&G4	t	ua	6
4	舵		=E5&F5&G5	t	ai	6
5	大		=E6&F6&G6	t	ai	6
6	大		=E7&F7&G7	t	ua	7
7	大	大家官，公婆	=E8&F8&G8	t	a	1
8	大	同“太”	=E9&F9&G9	th	ai	3
9	拖		=E10&F10&G10	th	ua	1
10	駝		=E11&F11&G11	th	oh	8
11	陀		=E12&F12&G12	th	o	5
12	馱		=E13&F13&G13	th	o	5
13	挪		=E14&F14&G14	n	o	5
14	羅		=E15&F15&G15	l	o	5
15	鑼		=E16&F16&G16	l	o	5
16	籮	文读	=E17&F17&G17	l	o	5
17	籮	白读	=E18&F18&G18	l	ua	5
18	左		=E19&F19&G19	ts	o	2
19	佐		=E20&F20&G20	ts	o	2
20	做		=E21&F21&G21	ts	o	3
21	搓		=E22&F22&G22	s	o	1
22	搓		=E23&F23&G23	tsh	o	1
23	娑		=E24&F24&G24	s	o	1
24	歌	文读	=E25&F25&G25	k	o	1
25	歌	白读	=E26&F26&G26	k	ua	1
26	哥		=E27&F27&G27	k	o	1
27	個		=E28&F28&G28	k	ai	5
28	個	个人	=E29&F29&G29	k	o	3
29	個	个月	=E30&F30&G30	k	ou	3
30	軻		=E31&F31&G31	kh	o	1
31	可		=E32&F32&G32	kh	o	2
32	蛾		=E33&F33&G33	g	o	5
33	鵝		=E34&F34&G34	g	o	5
34	俄		=E35&F35&G35	ng	o	5
35	我	白读	=E36&F36&G36		ua	2
36	我	文读	=E37&F37&G37	ng	o	2
37	餓		=E38&F38&G38	g	o	7
38	何	文读	=E39&F39&G39	h	o	5
39	何	与“几”字合音成kua2，白读	=E40&F40&G40		ua	5
40	河		=E41&F41&G41	h	o	5
41	荷		=E42&F42&G42	h	o	5
42	荷	薄荷	=E43&F43&G43	h	o	3
43	荷	电荷	=E44&F44&G44	h	o	6
44	苛		=E45&F45&G45	kh	o	1
48	賀		=E46&F46&G46	h	o	7
49	阿		=E47&F47&G47		a	1
50	阿		=E48&F48&G48		o	1
51	茄		=E49&F49&G49	k	io	5
52	茄	雪茄	=E50&F50&G50	k	ia	1
53	波		=E51&F51&G51	p	o	1
54	跛		=E52&F52&G52	ph	o	2
55	簸		pfua3	pf	ua	3
56	播		pfua3	pf	ua	3
58	頗		=E55&F55&G55	ph	o	2
59	頗		pfhua2	pfh	ua	2
60	坡		=E57&F57&G57	p	o	1
61	玻		=E58&F58&G58	p	o	1
64	婆	白读	pfhua5	pfh	ua	5
65	婆	文读	=E60&F60&G60	p	o	5
66	婆	文读，婆娑	=E61&F61&G61	ph	o	5
67	魔		=E62&F62&G62	m	o	5
68	磨		bvua5	bv	ua	5
69	磨	石磨	=E64&F64&G64	m	o	7
70	摩		=E65&F65&G65	m	o	5
73	朵		=E66&F66&G66	t	o	2
74	躲		=E67&F67&G67	t	o	2
75	剁	训读，本字为“斲(斫)”	=E68&F68&G68	t	ok	4
76	剁		=E69&F69&G69	t	o	3
77	妥		=E70&F70&G70	th	o	2
78	唾		=E71&F71&G71	th	o	2
79	惰	白读	=E72&F72&G72	t	uann	6
80	惰	文读	=E73&F73&G73	t	o	6
81	墮		=E74&F74&G74	t	ui	6
82	囉		=E75&F75&G75	l	o	1
83	囉		=E76&F76&G76	l	o	5
84	糯		=E77&F77&G77	n	o	3
85	糯	训读，本字为“秫”	=E78&F78&G78	ts	uk	8
86	騾		=E79&F79&G79	l	o	5
87	螺		=E80&F80&G80	l	o	5
88	螺	白读，am2-lou1-thang5，蜗牛	=E81&F81&G81	l	ou	1
89	腡		=E82&F82&G82	l	o	5
90	裸		=E83&F83&G83	l	ua	2
91	裸	井都音	=E84&F84&G84	n	ua	2
92	摞		=E85&F85&G85	l	o	3
93	銼		=E86&F86&G86	tsh	o	3
94	矬		=E87&F87&G87	tsh	o	5
95	坐		=E88&F88&G88	ts	o	6
97	座		=E89&F89&G89	ts	o	7
98	蓑		=E90&F90&G90	s	ui	1
99	蓑	文读	=E91&F91&G91	s	o	1
100	梭		=E92&F92&G92	s	o	1
101	唆		=E93&F93&G93	s	o	1
102	鎖		=E94&F94&G94	s	o	2
103	瑣		=E95&F95&G95	s	o	2
104	鍋		=E96&F96&G96		ue	1
