#ɯ	
t	[1]猪[2]除[4]伫{在}[5]著{又}箸{筷子}苧{又}
tʰ	[2]锄[5]苧{又}
l	[2]驴[3]女吕汝{你}旅屡缕[5]虑滤
ts	[1]书{白，读～}资姿兹滋辎[2]薯{白，番～}[3]煮紫子{文，～女}梓滓纸{文，笔墨～砚}[5]自字{文，～典}
tsʰ	[1]蛆雌疵[2]徐慈磁瓷辞词[3]处{～理}鼠暑{处～}取此[5]处{～所}刺{文，～刀}次牸寺厕
s	[1]书{文、又，～记}舒{又}师{老～}狮{文}斯厮私司丝{文，～毫}思[2]祠[3]暑{～假}死{文，生生～～}使驶史[5]序叙绪絮赐四{文，～时}肆巳似祀饲{文，～料}伺士仕事
z	[2]如
k	[1]居裾{衣襟}车{～马炮}拘驹[2]渠[3]举矩{规～}[4]巨[5]锯据拒距俱
kʰ	[1]区驱[2]瞿[5]去惧
ɡ	[2]鱼{文，～肉百姓}渔愚虞娱[3]语[5]御
h	[1]墟{～市}虚嘘[2]鱼{白}[3]许{～愿}[7b]许{那}
∅	[1]於淤吁迂[2]余俞于盂愉榆逾[3]予屿[5]誉预豫喻裕
#i	
p	[1]蓖碑{文}卑悲[2]脾{～气}枇琵[3]彼比[5]闭篦痹箅婢敝蔽币陛臂被{～动}避庇备毙{白}[7b]鳖□{挽（衣袖）}□{卵～：荷包蛋（油煎的）}
pʰ	[1]批{文}披丕[2]皮{文，～蛋}疲脾{拍～寒：患疟疾}[3]疕{草埔～：草坪}痞{文，地～}[5]被{～告}屁{文，～股}鼻{～空：鼻子}鼻{白，嗅}[7b]躄{伏，覆}
b	[1]眯[2]迷谜弥眉微[3]米糜{文，～烂}靡美尾{文}[4]篾{白}[5]媚寐未味沕
t	[1]知{白}蜘低[2]堤池{白}迟{白}苔{青～}[3]底{文，到～}抵[4]弟{白，兄～}碟{白，碗～}挃{卜～：要，希望得到}[5]戴{白，～头帽}智致{色～：颜色}地{文}治稚置痔{白}[7b]滴{白，一～水}
tʰ	[3]耻[5]剃{又}[7b]铁{白}
l	[2]离篱梨{文，樊～花}犁{文}狸厘[3]履里{一～路}里{文，～通外国}理鲤李鳢[4]裂{白，～开}哩[5]隶利{文，～息}厉{白，～害}痢吏
ts	[1]知{文}脂之芝支{文，开～}枝{文，荔～}肢□{～bai22：女阴}[2]齐{文}荠□{骹头u33～：膝盖}糍{秫米～：糍粑}池{文}驰迟{文}□{tsi24：只}[3]纸{文}旨指{文，～挥}止趾址姊姐{又}子{白，种～}紫{白}挤{白}[4]舐舌{白}[5]祭际济剂滞制至致{文}痔{文}志痣{文}稚置治[7b]接{白，～农客}折{白，～被}即{这}
tsʰ	[1]妻嗤痴[2]持[3]齿{文，～轮}耻[5]砌脐{文}翅市刺{白，鱼～}试{文，尝～}饲{白，～鸭}
s	[1]西{文}施尸丝{白，铁～}诗□{夹～lan45：胳肢窝}[2]时匙始{白，开～}□{胳～:咯吱}[3]豕矢屎{文}始{文，～终}死{白，～侬}玺徙[4]是{白，伓～：不是}蚀[5]是{文，～非}氏豉示视嗜势寺柿{文}试{白，考～}恃侍{文，～奉}四{白，～个}细{文}豉□{～一个：那个}
z	[4]儿[5]二字{白，写～}
k	[1]稽栀饥几{茶～}几{～乎}基机支{白，一～笔}枝{白，树～}[2]奇欹岐祁鳍棋旗期[3]己几{文，～何}杞指{白，动词}[5]计{白}继系{～鞋带}髻{文}寄{文，～托}冀记既技妓忌痣{白}暨[4]□{豆～：连枷}
kʰ	[1]欺[2]骑{文，～兵}其蜞{蜈～：水蛭}[3]启起齿{白，喙～}[4]柿{白}[5]契{文，～约}气{文，空～}器弃雉{～鸡：野鸡}□{～杷：枇杷}[7b]缺{～喙：豁唇子}
ɡ	[2]倪疑宜[5]艺{文，文～}义议
h	[1]奚兮希[3]喜[4]耳{白，～囝}[5]戏系{又}
∅	[1]伊{他}医衣[2]夷维姨移[3]椅倚以已[5]瞖缢易异意亿忆
#u	
p	[2]瓠{番～：南瓜}烰{煨}[4]妇{白，新～：儿媳妇}[5]菢{孵}
pʰ	[1]噗{～～光：蒙蒙亮}[2]扶浮{白，～桥}芙{～蓉花}[3]殕{生～：发霉}[4]□{窝，一～蜂}□{丛，一～草}[5]□{刺～lan45：荆棘丛}鹁{～鸪}
b	[2]无{文，～产阶级}[3]舞母{白，鸡～}拇[5]雾帽{白}
t	[1]蛛嘟[2]厨[4]□{～死：溺死}□{到}[7b]厾{～眠：打瞌睡}
tʰ	[7b]揬{捅，戳}
ts	[1]珠{文，宝～}朱株诛诸[3]主□{豆～：豆腐乳}[5]著{又}聚注{～解}柱{文，砥～}住蛀铸
tsʰ	[2]雏[3]取娶{文}[5]厝{房子}趣
s	[1]须{文，～发}书{文、又，～记}输枢殊[2]薯{文，～类}[5]树{文，～立}署庶竖戍[7b]嗍{吮}
z	[2]儒[3]乳[5]愈
k	[1]□{咻～：气喘}鸪{鹁～}龟{车屎～：蜣螂}[3]久{白，长～}韭{白}[4]舅{白}[5]句具旧{白}
kʰ	[1]丘{块，一～塍}区{～域}躯{身～：身体}箍{目珠：眼眶}[2]□{耳囝～：耳挖子}跍{1，蹲}[3]跍{2，在}[4]臼{白，碓～}
ɡ	[2]牛{白}[5]遇
h	[1]夫肤麸{文}灰{火～：火烬}[2]符扶浮{文，～肿}[3]府斧{文，刀～手}腐{文，～败}否{文，～定}[4]父{白，师～}[5]傅{文，姓}赴父{文，～母}腐{白，豆～}附富副负妇{文}阜
∅	[1]□{门～：门墩}□{手斗～：胳膊肘儿}[3]雨{文，谷～}羽□{骹头～：膝盖}[4]有{白，～钱}[5]芋{文}
#a	
p	[1]巴疤爸八{八～：八哥儿}□{鱼～：鱼干}[3]把{文，～握}饱{白，食～}[5]霸坝{文}壩背{～脊}豹□{碓臼～：碓杵}[7b]百{白，一～}
pʰ	[1]抛{白}脬{鱼～：鱼鳔}[2]爬{文，～行}[4]泡[5]怕耙{文，犁～}[7b]拍{白，打}
t	[1]焦{白，干}大{～官：公公}[3]打[4]踏{白，～死}[5]丈{～夫：男人}[7b]搭{白}贴{白，～纸}
tʰ	[1]他她它[4]沓{摞}[7b]塔獭
l	[1]拉[4]镴[5]络{～腮胡}
ts	[1]查{姓}查{～某：女人}抓渣{文}[2]茶{文}查{调～}[3]早{白}[4]闸{白}铡截{白，一～}[5]炸诈榨{～油}□{挤}[7b]扎窄
tsʰ	[1]差{～不多}叉杈[2]查{又}柴豺{白}[3]炒{白，～菜}[5]岔[7b]插{白}
s	[1]沙{文，～发}纱{文，～窗}腮{络～胡}[3]傻[4]煠{清水煮}
k	[1]茄{文，雪～}家{文，～庭}加{文，增～}胶{白，～水}佳嘉交{白}[3]假{文，～使}贾搅{白，纠缠}铰[4]齩{咬}咬{咬}[5]架{文，～子}驾价{文，～值}嫁{文，～接}稼教{白，～书}较{白}漖{（粥）稀}[7b]夹{白，～裘：夹袄}甲{白}胛{白，肩～}□{盖}
kʰ	[1]抲骹{脚}[3]巧{白，奇～}[5]较{一百～加：一百多}敲{白，～门}
ɡ	[2]牙{文，～刷}芽{文，萌～}衙[3]雅[5]砑
h	[1]哈[2]虾{文，～兵～将}遐暇瑕霞{文，人名}蛤{～蟆：青蛙}[5]厦{文，大～}下{文，～级}夏{文，～天}孝{白，戴～}互{表被动的介词“互”的变读}
∅	[1]鸦丫桠[3]哑{文，～铃}[5]亚阿{～姨：姨母}[7b]鸭押{白}
#ia	
p	[7b]壁{白，隔～}
pʰ	[7b]劈{白，～开}僻{白}癖{白}壁{白，石～}
t	[4]籴{白}[7b]摘{白，～茶}爹{len32～：父亲面称}
tʰ	[7b]拆{白，～布：买布}
l	[4]掠{白，～鱼}□{头～：杆秤上称重量大的秤纽}
ts	[1]遮{文}[3]者姐[5]蔗借{文，～贷}借{～口}[7b]脊{白，背～}隻{白，一～牛}□{饭～：饭桶}
tsʰ	[1]车{马～}[2]斜[7b]赤{白，褪～体}
s	[1]赊奢佘[2]邪蛇{文，～行}[3]写[4]勺{白，～囝}[5]泻卸谢射麝赦舍社[7b]锡{白，～箔}泄{白，～腹肚：泻肚子}削{白，～皮}
z	[1]遮{白}[3]惹[7b]迹{白，骹～}
k	[2]崎{陡}徛{陡}揭{举}□{～棋：下棋}[5]寄{白，～信}
kʰ	[2]骑{白，～马}[4]徛{站}
ɡ	[2]蜈{～蚣}
h	[1]靴{白}[4]瓦{白，厝～}蚁{白，白～}桸{粗～：粪勺}额{白，头～：额}罅
∅	[1]鸦{又}丫{又}□{ien33～：灰尘}[2]爷[3]野也哑{又}[4]疫{白，瘟～}翼{蝴蝶}蝶{蝴蝶}[5]夜□{撒}亚{又}[7b]□{～刺：挑刺}
#ua	
p	[3]簸{白，动词}[4]跋{跌}[7b]拨{白，～饭}钵{白，骹～}
pʰ	[5]破{白，～了}[7b]泼{白，～水}
b	[2]磨{白，～刀}[4]末{白}[7b]抹{白，～药}
t	[5]大{白，～细}带{白，布～}
tʰ	[1]拖{白，～车}[7b]屉汰{清水漂洗}
l	[4]辣{白，～椒}[5]赖{白，做死～}
ts	[2]蛇{白，一尾～}[3]左{白}纸{白}笊[7b]笮{篾～：篾簟}□{这么，“即哇”的合音}
tsʰ	[5]□{带；娶}曳{带}拽{～尿：遗尿}□{～尿：遗尿}娶{训读，原文作“白读”}蔡{白}[7b]掣{抽搐；发抖；抖动}□{抢}
s	[1]沙{白，～子}纱[3]洒
k	[1]柯{姓}瓜{文，～分}[2]荷{～树}[3]寡{文，～欢}剐[5]盖{白，鼎～}芥{白，～菜}挂卦[7b]割{白，～麦}葛{白}
kʰ	[1]夸[3]垮[5]跨[7b]阔
ɡ	[3]我{白，自称}[5]外{白，～面}
