cid	character	initial	final	tone	note
1	多	t	uə	44	
2	拖	th	uə	44	
3	大	t	a	212	
4	锣	l	uə	52	
5	左	ts	uə	52	
6	歌	k	ɤ	44	
7	个	k	ɤ	212	
8	可	kh	ɤ	52	
9	鹅	ŋ	ɤ	52	
10	饿	ŋ	ɤ	212	
11	河	x	ɤ	52	
12	茄	tɕh	iə	52	
13	破	ph	ɤ	212	
14	婆	ph	ɤ	52	
15	磨	m	ɤ	52	
16	磨	m	ɤ	212	
17	躲	t	uə	52	
18	螺	l	uə	52	
19	坐	ts	uə	212	
20	锁	s	uə	52	
21	果	k	uə	52	
22	过	k	uə	212	
23	课	kh	ɤ	212	
24	火	x	uə	52	
25	货	x	uə	212	
26	祸	x	uə	212	
27	靴	ɕ	yə	44	
28	把	p	a	52	
29	爬	ph	a	52	
30	马	m	a	52	
31	骂	m	a	212	
32	茶	tsh	a	52	
33	沙	s	a	44	
34	假	tɕ	ia	52	
35	嫁	tɕ	ia	212	
36	牙	∅	ia	52	
37	虾	ɕ	ia	44	
38	下	ɕ	ia	212	
39	夏	ɕ	ia	212	
40	哑	∅	ia	52	
41	姐	tɕ	iə	52	
42	借	tɕ	iə	212	
43	写	ɕ	iə	52	
44	斜	ɕ	iə	52	
45	谢	ɕ	iə	212	
46	车	tʂh	ɤ	44	
47	蛇	ʂ	ɤ	52	
48	射	ʂ	ɤ	212	
49	爷	∅	iə	52	
50	野	∅	iə	52	
51	夜	∅	iə	212	
52	瓜	k	ua	44	
53	瓦	v	a	52	
54	花	x	ua	44	
55	化	x	ua	212	
56	华	x	ua	52	
57	谱	ph	u	52	
58	布	p	u	212	
59	铺	ph	u	44	
60	簿	p	u	212	
61	步	p	u	212	
62	赌	t	u	52	
63	土	th	u	52	
64	图	th	u	52	
65	杜	t	u	212	
66	奴	n	u	52	
67	路	l	u	212	
68	租	ts	u	44	
69	做	ts	uə	212	
70	错	tsh	uə	212	
71	箍	k	u	44	
72	古	k	u	52	
73	苦	kh	u	52	
74	裤	kh	u	212	
75	吴	v	u	52	
76	五	v	u	52	
77	虎	x	u	52	
78	壶	x	u	52	
79	户	x	u	212	
80	乌	v	u	44	
81	女	ȵ	y	52	
82	吕	l	y	52	
83	徐	ɕ	y	52	
84	猪	tʂ	u	44	
85	除	tʂh	u	52	
86	初	tʂh	u	52	
87	锄	tʂh	u	52	
88	所	s	uə	52	
89	书	f	u	44	
90	鼠	tʂh	u	52	
91	如	ʐ	u	212	
92	举	tɕ	y	52	
93	锯	tɕ	y	212	
94	去	tɕh	y	212	
95	渠	tɕh	y	52	
96	鱼	∅	y	52	
97	许	ɕ	y	52	
98	余	∅	y	52	
99	府	f	u	52	
100	付	f	u	212	
101	父	f	u	212	
102	武	v	u	52	
103	雾	v	u	212	
104	取	tɕh	y	52	
105	柱	tʂ	u	212	
106	住	tʂ	u	212	
107	数	f	u	52	
108	数	f	u	212	
109	主	tʂ	u	52	
110	输	f	u	44	
111	竖	f	u	212	
112	树	f	u	212	
113	句	tɕ	y	212	
114	区	tɕh	y	44	
115	遇	∅	y	212	
116	雨	∅	y	52	
117	芋	∅	y	212	
118	裕	∅	y	52	
119	胎	th	ɛ	44	
120	台	th	ɛ	52	
121	袋	t	ɛ	212	
122	来	l	ɛ	52	
123	菜	tsh	ɛ	212	
124	财	tsh	ɛ	52	
125	该	k	ɛ	44	
126	改	k	ɛ	52	
127	开	kh	ɛ	44	
128	海	x	ɛ	52	
129	爱	∅	ɛ	212	
130	贝	p	ei	52	
131	带	t	ɛ	212	
132	盖	k	ɛ	212	
133	害	x	ɛ	212	
134	拜	p	ɛ	212	
135	排	ph	ɛ	52	
136	埋	m	ɛ	52	
137	戒	tɕ	iə	212	
