ɿ
ts	[13]自字牸{～牛：母牛}滓[52]紫纸只{～有}姊子止趾址[44]资姿咨滋
tsʰ	[13]雌刺赐瓷{～器}辞词祠[52]此次慈磁[44]疵{吹毛求～}
s	[13]私四肆似祀{祭～}寺嗣侍{服～}[52]死[44]斯厮撕司丝思饲
ʅ
tʂ	[13]滞制{～度}制{～造}智致稚{幼～}至置治志{～气}志{标～}痣执汁秩质织职殖植掷炙[52]旨指[44]支枝肢脂痴之芝
tʂʰ	[13]翅豉{豆～}迟持痔直值赤斥尺吃[52]耻齿[44]侈{奢～}
ʂ	[13]世势誓逝是氏示视嗜士柿史驶始时湿十什{～锦}拾{～起来}实失室食蚀识式饰适释石[52]矢屎使[44]施师狮尸{～体}诗
ʐ	[13]日
i
p	[13]蔽敝弊币毙闭箅{～子}陛{～下}彼臂备{准～}鼻篦{～子}笔毕必弼逼碧璧壁[52]蓖{～麻}婢鄙比{～较}秕{～谷儿}
pʰ	[13]皮疲脾庇{包～}痹{麻～}屁琵{～琶}枇{～杷}匹僻辟[52]避[44]批坯{土～}披丕劈
m	[52]米
t	[13]帝弟第地嫡笛敌[52]底抵的{目～}[44]低堤滴
tʰ	[13]替涕{鼻～}剃屉{抽～}题提蹄啼踢剔[52]体[44]梯
l	[13]例厉励犁黎丽{美～}隶离{～别}篱璃{玻～}荔{～枝}离{～开半寸}梨利痢厘狸吏立笠粒力历{经～}历{农～  }[52]礼李里{公～}里{～外}理鲤栗
tɕ	[13]祭际挤济荠剂{一～药}计继系{～鞋带}髻寄技妓记杞{枸～}忌既季集辑急级给{～你，供～}及吸疾吉即鲫极积迹脊绩寂击激[52]冀己纪{～律}几(～个)[44]鸡稽饥{～饿}肌几{茶～子}基几{～乎}机讥饥{～荒}
tɕʰ	[13]箕砌齐脐契{～约}畦{菜～}奇骑岐器弃祁鳍欺杞{～人忧天}其棋期{时～}旗气汽祈泣七漆戚[52]启企起岂[44]妻箕
ɕ	[13]细系{～统}系{联～}徙戏习袭悉膝息熄媳惜昔席夕锡析[52]洗玺喜[44]西栖犀溪奚兮牺嬉熙希稀
ȵ	[13]倪尼拟匿逆{顺～}溺 [52]你
Ǿ	[13]艺宜仪蚁谊义议移易{容～}夷姨肄{～业}疑意矣已以异沂{～河}毅遗揖{作～}乙一逸忆亿抑翼益亦译易{交～}疫役[52]倚椅[44]伊医衣依
u
p	[13]布{棉～}布{宣～}怖{恐～}部簿步捕不[52]补卜
pʰ	[13]铺{店～}蒲菩{～萨}脯{胸～}仆{～人}瀑{～布}[52]谱普浦讣朴{～素}朴[44]铺{～设}
m	[13]模{～子}暮慕墓募谋木目穆牧[52]亩牡母{丈～}拇
