					註釋	字表
				阿	阿膠	ʔœ453
				阿	阿伯	ʔa445
				哀		ʔœ453
				埃		ʔai453
				挨	倚靠,挨近	ʔai453
				挨	又讀	ȵai453
				𢰇	倚靠,挨近	ʔai453
				𢰇	又讀	ȵɐi453
				捱	捱苦	ŋai231
				啀	咀嚼	ȵai423
				皚		ŋœ312
				癌		ŋam231
				矮		ʔai445
				藹		ʔœ445
				艾		ŋœ312
				隘		ʔai423
				愛		ʔœ423
				礙		ʔœ312
				安		ʔœn453
				桉	桉樹	ʔœn453
				氨		ʔœn453
				鞍		ʔœn453
				揞	掩也	ʔɐm445
				揞		ʔom445
				銨		ʔœn453
				岸		ŋœn312
				按		ʔœn423
				胺		ʔœn453
				案		ʔœn423
				暗		ʔom423
				黯		ʔom423
				昂		ŋœŋ24
				盎		jiɐŋ453
				盎	裝食物的器具	ŋœŋ445
				凹		mɐp45
				凹		nɐp45
				敖		ŋo312
				遨		ŋo312
				嗷		ŋo312
				獒		ŋo312
				摮		ŋo312
				熬		ŋo312
				螯		ŋo312
				翱		ŋo312
				鰲		ŋo312
				襖		ʔo445
				坳		ʔau453
				拗		ŋau445
				傲		ŋo423
				奧		ʔo423
				澳		ʔo423
				懊	懊惱	ʔo423
				懊	懊悔	ʔo423
				八		ɓat423
				巴		ɓa453
				扒		pa231
				叭		ɓa453
				芭		ɓa453
				疤		ɓa453
				捌		ɓat423
				笆		ɓa453
				粑		ɓa453
				拔		pat312
				跋	跋涉,跋扈	pat312
				把		ɓa445
				靶		ɓa445
				爸		ɓa453
				耙		pa231
				垻		ɓa423
				罷		pa312
				罷	來自《蒼梧本地話音系》	pa423
				罷		ɓa423
				霸		ɓa423
				壩		ɓa423
				欛		ɓa445
				吧	語末助詞	pa312
				吧	酒吧,網吧	ɓa453
				掰	用手掰開	mak423
				掰		mak453
				白		pak312
				百		ɓak453
				佰		ɓak453
				柏		ɓak453
				擺		ɓai445
				拜		ɓai423
				敗		pai312
				敗		pai312
				稗		pʌi312
				稗	來自《蒼梧本地話音系》	ɓʌi312
				扳		ɓan453
				班		ɓan453
				般		ɓun453
				斑		ɓan453
				搬		ɓun453
				頒		ɓan453
				癍		ɓan453
				板		ɓan445
				版		ɓan445
				半		ɓun423
				扮		pan312
				扮	來自《蒼梧本地話音系》	ɓan312
				伴	伴侶,夥伴	pun24
				拌		pun24
				湴	爛泥	pam312
				絆	～腳石	pun24
				𢴬		ɓan423
				辦		pan312
				瓣		pan312
				邦		ɓœŋ453
				浜		ɓɐŋ453
				浜		ɓœŋ453
				幫		ɓœŋ453
				鞤		ɓœŋ453
				綁		ɓœŋ445
				榜		ɓœŋ445
				膀	膀胱	pœŋ231
				膀	臂膀	ɓœŋ445
				蚌		pœŋ24
				棒		pʰʊŋ445
				棒		paŋ24
				傍		pœŋ312
				傍		pœŋ231
				磅	磅礴	pœŋ312
				磅	石落聲,磅秤	pœŋ312
				謗		pœŋ312
				鎊	鎊頭,削也	pʰœŋ453
				鎊	英鎊	pœŋ312
				包		ɓau453
				苞		ɓau453
				孢		ɓau453
				胞		ɓau453
				煲		ɓo453
				褒		ɓo453
				齙		ɓau312
				雹		pœk312
				雹	訓讀泡	pʰau453
				薄	薄荷	pœk312
				薄		pœk312
				保		ɓo445
				葆		ɓo445
				堡		ɓo445
				飽		ɓau445
				褓		ɓo445
				鴇		ɓo445
				寶		ɓo445
				抱		po24
				豹		ɓau423
				菢		po312
				報		ɓo423
				鉋		pau231
				暴		po312
				鮑		ɓau453
				鮑		ɓau423
				爆		ɓau423
				爆		po312
				陂	小水壩	ɓi453
				杯		ɓui453
				卑		ɓi453
				悲		ɓi453
				碑		ɓi453
				北		ɓɐk453
				貝		ɓui423
				背		ɓui423
				背	背誦	pui312
				倍		pui24
				狽		ɓui423
				被		pi24
				被		pi24
				備		pi312
				蓓	蓓蕾	pui24
				輩		ɓui423
				鋇		ɓui423
				奔		ɓɐn453
				逩		ɓɐn453
				本		ɓun445
				苯		ɓun445
				笨		pɐn312
				崩		ɓɐŋ453
