#a	
p	[1]巴芭疤白{~色}[2]爬琶杷帊[3]把飽
pʰ	[1]披-□{癲~:瘋子}
m	[1]麥脈□{~一把:抓一把}[2]麻痲貓-□{苦}[3]馬碼嫲媽
t	[1]䖳焦{嘴~:口渴}[2]茶[3]打
tʰ	[1]他宅{牛~村:地名}
l	[1]拉[2]拿拉{排泄}[3]哪那
ts	[1]查渣□{查問}[2]□{吵}[3]早-
tsʰ	[1]叉杈差[2]柴樵{木柴}[3]炒
θ	[1]莎紗沙□{靈敏}[3]灑
k	[1]家加嘉傢佳[3]假{真~}賈
kʰ	[1]骹
ŋ	[1]□{用力撬開}[2]牙芽衙伢[3]雅
h	[1]哈[2]蝦𨉣{弯}霞瑕遐
ø	[1]鴉丫[2]阿[3]啞亞
#ɑ	
p	[5]霸欛壩垻百伯掰[6]爸
pʰ	[5]怕帕拍{~球}𢫦
m	[5]罵
t	[5]矺{~落:壓下去}
tʰ	[5]澈{乾淨}
ts	[5]詐炸乍窄
tsʰ	[5]冊柵
k	[5]假{放~}架駕嫁稼價教{~他去，~育}格{方~}隔[6]咬
kʰ	[5]客{人~}
h	[6]廈{大~}下{~降}夏暇□{運走}
ø	[6]廈{~門}下{底~}
#ia	
t	[1]糴-
l	[1]搦{捉拿}
ts	[3]姐者
tsʰ	[1]車{馬~}□{水~倒:水傾瀉出來}[3]且
θ	[1]食-錫-[2]邪斜蛇[3]寫捨
k	[2]□{把衣服套上}
kʰ	[2]騎
ŋ	[1]額
h	[1]□{~~:敞開}
ø	[2]耶[3]也
#iɑ	
p	[5]臂壁
pʰ	[6]□{~開:避開}
t	[5]摘[6]蠣
tʰ	[5]拆
l	[5]裂-
ts	[5]蔗隻炙[6]遮=
tsʰ	[5]□{鏟}□{受影響}
θ	[5]瀉卸赦[6]謝賒佘社舍射麝
k	[5]寄
kʰ	[6]徛
ŋ	[5]艾[6]蟻外蛾
h	[5]嚇
ø	[6]夜移-{撒}
#ua	
m	[1]瓦[2]磨
tʰ	[1]拖
l	[1]□{搖擺身子}
ts	[1]抓[3]爪
θ	[1]沙
k	[1]瓜[3]寡
kʰ	[1]誇
ŋ	[3]我-
h	[1]花[2]華
ø	[1]劃蛙
#uɑ	
p	[5]簸{~一~，~箕}
pʰ	[5]破{~衣服}
t	[6]大=
k	[5]掛卦
kʰ	[5]侉垮跨
h	[5]化華{~山}樺□{大口吞}
ø	[6]畫話
#e	
p	[2]排牌簰擺{放}[3]擺{搖~}
m	[2]□{躲起來}[3]買
t	[1]低[2]堤題蹄[3]底
tʰ	[1]梯=[3]體
l	[2]泥犁黎璃尼[3]禮嬭{母親}
ts	[1]薺齋[2]齊[3]擠
tsʰ	[1]妻
θ	[1]西棲犀[3]洗
k	[1]街[3]解{~開}
kʰ	[1]溪奚□{啃}
ŋ	[2]倪[3]□{孩子氣;做~:撒嬌}
h	[3]□{斜視}
ø	[1]□{推}[2]鞋[3]矮
#ɛ	
pʰ	[5]稗
m	[6]賣
t	[5]帝[6]遮-{遮住}第遞弟{徒~}
tʰ	[5]替涕屜
l	[5]麗隸[6]厲勵履
ts	[5]濟臍劑
tsʰ	[5]粞{濕麵粉}
θ	[5]細婿[6]穧{多}□{多}
kʰ	[5]快-
h	[6]懈蟹
ø	[6]解{曉也}
#ie	
pʰ	[1]批𠜱{削}
t	[2]池馳
tʰ	[2]啼[3]扯{撕開}
ts	[1]支枝肢梔脂芝[3]紫□{這}
tsʰ	[3]扯侈
θ	[1]些施[2]匙
k	[1]雞繫{~鞋帶}圭閨奎規[2]□{衣著不光鮮}
kʰ	[1]□{發～:搞笑}[3]啓企
ø	[2]爺移=[3]椅
#iɛ	
p	[5]□{~跑:跑步}[6]避
t	[6]弟{兄~}
tʰ	[5]剃
l	[6]例離{分~}離{~開}荔
ts	[5]祭際穄制製
tsʰ	[5]刺翅
θ	[5]世勢逝[6]誓豉舐{以舌取物}
k	[5]計繼桂季
kʰ	[5]契
ŋ	[6]藝誼義議毅
h	[5]廢肺戲費[6]系繫{連～}係惠慧
ø	[6]□{嘴～:嘴饞}
#ø	
tʰ	[1]□{凸出}
l	[2]驢
ts	[1]□{差勁}□{沾到}
tsʰ	[1]初{~一}
θ	[1]梳疏{~遠，注～}蔬
kʰ	[3]□{痰}□{頭屑}
h	[2]喉-
#œ	
