-a		
p	[1]巴疤[2]爬琶杷耙扒[3]把饱-[5]霸坝伯-柏-百-掰-[6]罢{~免}爸{侬~}吧	
ph	[5]怕=泡-{水~}帕拍-	
m	[1]妈□{(抓)一药}[2]痲麻蟆猫-[3]马码□{祖母}[5]骂[8]脉麦	
t	[1]燋*{干}焦-{干}[2]茶[3]打[5]誓{压上}矺{压上}□{回礼}	
th	[1]他她它[2]䖳澈-{干净}	
n	[3]哪那拿	
l	[1]拉垃	
k	[1]傢家加嘉佳胶铰{~剪}[2]虼{~□saʔ23：蟑螂}[3]绞-假{真~}贾{姓}[5]假{放~}架驾嫁稼价教-格-隔-[6]□{咬}咬	
kh	[1]骹{脚}[5]卡客-□{~油}	
ŋ	[2]牙芽衙蚜涯崖[3]雅	
h	[1]哈[2]虾瑕遐霞[6]厦{大~}夏	
ts	[1]查渣[2]查{~哨}[5]乍诈炸	
tsh	[1]叉权差[2]柴樵-[3]炒吵-[5]册[6]岔{~路}姹	
s	[1]沙=纱傻痧{中暑}[5]撒	
0	[1]阿{~哥}[3]哑亚拗{折断}[6]下厦{~门}	
-o		
p	[1]菠玻[2]婆袍[3]保宝褒堡煲[5]报[6]暴爆[8]帛	
ph	[1]波坡[5]破=粕-[6]抱	
m	[1]馍[2]无-毛魔模=母{姜~：生姜}[6]磨{~粉}帽冒	
t	[1]多刀[2]舵驼驮掏{拿}逃萄陀[3]倒朵{耳~}岛祷[5]到桌卓[6]惰道	
th	[1]滔韬[2]桃[3]讨椭[5]套□[趟]	
n	[5]乇{~~：什么}[6]糯懦	
l	[1]啰[2]罗牢锣劳逻痨涝[3]姥{刘~~}老=	
k	[1]歌哥高糕篙戈膏羔□{沾上}[3]稿搞梗{茎，芥菜~，傀~儡囝}[5]告角{牛~}	
kh	[1]柯[2]□{慢煮}[3]可考[5]靠烤	
ŋ	[2]遨敖蛾俄[3]我=[6]饿傲	
h	[2]何蠔豪毫[3]好[5]好{喜爱}[6]贺号浩耗	
ts	[2]曹遭槽=[3]枣左佐[5]做造{建~}[6]坐=座皂澡	
tsh	[1]搓[3]草=[5]错燥躁挫	
s	[1]梭唆[2]槽-[3]锁嫂琐所[5]索-嗍{吮}[8]镯	
0	[2]河荷{~花}阿{~胶}[3]袄[5]噢岙沃	
-ɛ		
p	[2]排牌[3]摆{摇~}	
ph	[3]□{偏}䫌{喙~：脸颊}□{喙~：脸颊}[5]稗	
m	[3]买卖-[6]𣍐{不会}𠀾{不会}卖=□{莴苣}	
t	[1]低[2]题蹄[3]底抵[5]帝缔[6]第苧弟=	
th	[2]啼=[3]体[5]替	
n	[2]泥尼{~姑}[3]𰬾{母亲}𦆆{母亲}妳{母亲}奶{阔~~}[6]腻	
l	[2]犁黎驴[3]礼[5]锉[6]丽	
k	[1]街[2]□{的，我~}其{的，我~}[3]解-[5]疥壳{头~：头}[7]角{鸡~：公鸡}	
kh	[1]溪□{碰}[3]啃-[5]快-	
ŋ	[2]倪	
h	[3]□{白眼}	
ts	[1]剂[2]齐[3]挤[5]济脐□{大声喊}[6]助	
tsh	[1]妻凄棲初差{出~}[2]踩[5]擦[8]切{~开}贼	
s	[1]西疏梳蔬[3]洗玺徙黍[5]细[6]穧{多}□{多}	
0	[1]挨-{~时间}[2]鞋[3]矮[6]会-解-{会}	
-i		
p	[1]碑卑婢[2]脾彼枇□{~□puo212：蝙蝠}[3]比[5]痺{麻木}[6]陛弊币毙蓖被=备篦庇	
ph	[1]披悲[2]疲皮=肥=[3]鄙疕匪痞[5]屁=鼻	
m	[1]咪眯[2]微迷谜糜=弥靡眉{~眉：眉毛}楣媚唯维惟遗[3]米美[6]未=味昧	
t	[1]猪知[2]除锄{~草}弛迟持[5]著智致稚至置[6]箸滞地痔治[8]直{平~：平整，了结}	
th	[2]锄{~头}苔{青~}堤提[3]储褚耻贮	
n	[1]□{~夥：多少}[2]龈{牙齿~：牙龈}[3]女汝你尔[5]饵[6]二贰	
l	[2]来-梨-狸-[3]旅缕李里鲤[6]虑吕厉{~害}励利痢吏莉	
k	[1]机讥基肌饥居车={~马炮}驹拘技枝-妓姬稚[2]渠奇祁沂祈鳍棋其期[3]举矩纪已札几=[5]锯冀记既纪□{量词，一~椅：一条椅子}[6]据拒巨俱距瞿具忌	
kh	[1]趋区驱奚欺[2]骑[3]起岂齿-[5]器弃汽气[6]柿	
ŋ	[2]鱼渔愚娱虞宜仪疑[3]语耳=[6]御遇寓耳-	
h	[1]圩虚吁兮牺嬉熙希稀[3]许喜	
ts	[1]书[3]姊旨指只{~有}煮籽这-[5]志誌{县~}痣鲫[6]聚住驻注-意柱=字[停滞]	
tsh	[1]雌疵痴鳃[3]鼠取娶齿=[5]处试-趣饲-[6]市	
s	[1]舒=殊诗须鬚{胡~}需蛛输{运~}尸[2]徐时鲥薯[3]署死-[5]四肆试={考~}[6]序叙屿绪絮树=竖是氏示视嗜[8]□{晓~：知道，舍~：舍得}	
0	[1]淤迁孟医尹衣依[2]如于儒榆愉逾饴而夷姨俞[3]与乳雨宇禹羽以舆[5]亿忆抑意[6]预豫芋=异裕肄愈	
-u		
p	[2]菩葡蒲{~扇}瓠{葫芦瓜}□{~蝇：苍蝇}蚨{~蝇：苍蝇}[5]富-[6]孵{~鸡}妇{新~}	
ph	[2]浮-□{油炸}[3]殕{发霉长白毛}[6]腐-	
m	[3]母姆	
t	[1]都[2]图徒屠途涂[3]堵赌肚□{找钱}[6]妬度渡镀杜肚{~腹}	
th	[2]塗{泥土}[3]土{~气}[5]吐兔	
n	[1]哝{~嘴}[2]努奴农[6]怒	
l	[2]卢炉芦鸬庐驴[3]鲁橹卤滷{~鸭}捞-[5]露[6]路鹭{虾油}	
k	[1]姑菇孤枯辜□{蹲}踞{蹲}[2]糊-{米~}[3]古估牯股鼓久-[5]故固雇顾灸{~火}[6]旧-舅-	
kh	[1]箍={紫~咒}丘{-~田}呼-{~鸡}[3]苦古{~田}[5]库裤[6]臼{舂~}	
ŋ	[2]吴吾梧牛-[3]五=伍午[6]五-{~十}	
h	[1]呼=乎夫肤芙烌{纸~}[2]胡湖狐壶糊-{~涂}俘符[3]虎浒府腑甫斧=[5]付赋赴附富=副傅戽{~水}[6]户沪腐=互护辅妇=负阜父驸扶傅{师~}	
ts	[1]租资姿咨[2]慈兹滋磁自瓷[3]祖组子=梓阻	
tsh	[1]粗[3]此楚础[5]醋次={~要}	
s	[1]伺苏酥思司{~令}疏斯=师=[2]词祠辞嗣饲=[3]史使={~者}死=驶=[5]素诉塑庶恕数赐思{意~}[6]士=仕侍事=	
0	[1]乌污坞巫诬伊[2]无=[3]武舞侮鹉[5]恶{可~}□{躲}[6]务有-	
-ai		
p	[3]跛{~楩}[5]拜[6]败	
ph	[5]派	
m	[1]□{饭}[2]埋=眉{眉~：眉毛}[6]迈	
