"来源："	"李小平 2004《山西离石方言音系》；安静先生 整理录入"
"说明："	"代表城关音系。"
"#符号说明："	"-白=文*俗ʔ待考"
"#调值"	"［1］24［2］44［3］312［5］52［7］4［8］23"
"#u"	""
"p"	"［3］堡-补捕［5］抱布怖部簿步菢"
"pʰ"	"［1］喷{～喷水}铺［2］浦蒲菩脯葡扑{～克}［3］谱普［5］铺{店铺}"
"m"	"［2］毛-{～袄}模{～型}摹谋膜［3］某亩母拇［5］暮慕募幕"
"t"	"［1］端-都［3］短-堵赌肚{～子：胃}［5］断-锻-段-{一～书}缎-妒杜肚{腹}度渡镀踱"
"tʰ"	"［2］徒屠途涂图［3］土吐［5］兔"
"n"	"［3］女=语-{言～}［2］鱼-{～肉}［5］遇-{～上}"
"l"	"［2］驴［3］累-{积～}垒-{葺～}吕旅屡履［5］累-{～人}类-{分～}泪虑滤"
"ts"	"［1］追-{督促}锥-{～子}猪阻诸居车{～马炮}诛蛛株朱珠拘驹［3］嘴煮举拄主帚［5］缀-{～扣扣}赘-醉著助据锯巨拒距聚驻注柱住蛀铸俱矩句具惧剧"
"tsʰ"	"［1］吹炊-蛆初趋雏区驱［2］垂-槌-锤储锄渠厨橱瞿［3］取娶褚楚础处杵署趣数-{倒～}［5］脆-{干～}翠-粹-{纯～}去"
"s"	"［1］虽{～然}绥-兄梳疏蔬书舒墟虚嘘输殊［2］随{～便}谁徐须需［3］髓{骨～}水鼠黍薯许数［5］睡岁税{~务局}隧-{~道}穗-遂-{半身不~}絮序叙绪庶恕数戍竖树"
"z"	"［2］茔-围-{～起来}儒{又读}如鱼=渔於淤余馀愚虞吁迂于盂芋逾愉愈喻［3］女-{～：女儿}寓{又读}汝语=与儒乳孺雨宇禹苇-羽［5］喂-孺{又读}御誉预豫娱遇=寓魏-慰纬-玉芮-{活～～：鲜嫩}"
"k"	"［1］姑孤箍［3］古估股鼓［5］故固雇顾"
"kʰ"	"［3］苦［5］库裤"
"x"	"［1］呼乎夫跗麸芙［2］胡湖狐壶葫蝴糊肤敷俘孵符扶浮负-{欺～}父-{～师}阜-{楼～：楼梯}［3］虎浒府腑俯甫脯｛果～｝斧釜腐辅否［5］户沪互护付赋傅赴父=附驸富副妇负=阜="
"Ø"	"［1］梧乌污侮［2］吴蜈无［3］伍午吾武舞鹉［5］娱{~乐（老）}抚梧误悟巫诬务雾戊"
"#ɿ"	""
"p"	"［1］屄［3］饼-{柿～子}屏-{～住气}鄙比秕蓖彼篦［5］病-臂蔽敝弊币毙闭箅被避备"
"pʰ"	"［1］批披疲啤［2］凭-{～谁}平坪瓶皮琵便-{～宜}［3］脾庇痹［5］譬屁"
"m"	"［2］鸣-明-冥-迷谜=糜弥靡眉楣媚嵋名-{官～：大名}［3］米［5］命-"
