cid	character	initial	final	tone	note
1	多	t	ɔu	22	
2	拖	th	ɔu	22	
3	大	th	ai	31	
4	锣	l	ɔu	41	
5	左	ts	ɔu	31	
6	歌	k	ɔu	22	
7	个	k	ai	45	
8	可	kh	ɔu	31	
9	鹅	ŋ	ɔu	41	
10	饿	ŋ	ɔu	31	
11	河	h	ɔu	41	
12	茄	kh	iɔu	41	
13	破	ph	ɔu	45	
14	婆	ph	ɔu	41	
15	磨	m	ɔu	31	
16	磨	m	ɔu	31	
17	躲	t	ɔu	31	
18	螺	l	ɔu	41	
19	坐	tsh	ɔu	22	
20	锁	s	ɔu	31	
21	果	k	ɔu	31	
22	过	k	ɔu	45	
23	课	kh	ɔu	45	
24	火	f	ɔu	31	
25	货	f	ɔu	45	
26	祸	v	ɔu	22	
27	靴	s	ɔu	22	
28	把	p	a	31	
29	爬	ph	a	41	
30	马	m	a	22	
31	骂	m	a	45	
32	茶	tsh	a	41	
33	沙	s	a	22	
34	假	k	a	31	
35	嫁	k	a	45	
36	牙	ŋ	a	41	
37	虾	h	a	45	
38	下	h	a	31	
39	夏	h	a	31	
40	哑	∅	a	31	
41	姐	ts	ia	31	
42	借	ts	ia	45	
43	写	s	ia	31	
44	斜	tsh	ia	41	
45	谢	tsh	ia	31	
46	车	tʃh	a	22	
47	蛇	ʃ	a	41	
48	射	ʃ	a	31	
49	爷	∅	ia	41	
50	野	∅	ia	22	
51	夜	∅	ia	31	
52	瓜	k	a	22	
53	瓦	ŋ	a	31	
54	花	f	a	22	
55	化	f	a	45	
56	华	f	a	41	
57	谱	ph	u	22	
58	布	p	u	45	
59	铺	ph	u	22	
61	步	ph	u	31	
62	赌	t	u	31	
63	土	th	u	31	
64	图	th	u	41	
65	杜	th	u	45	
66	奴	n	u	41	
67	路	l	u	31	
68	租	ts	ɿ	22	
69	做	ts	ɔu	45	
70	错	tsh	ɔu	45	
71	箍	kh	u	22	
72	古	k	u	31	
73	苦	kh	u	31	
74	裤	kh	u	45	
75	吴	∅	m	41	
76	五	∅	m	31	
77	虎	f	u	31	
78	壶	f	u	41	
79	户	f	u	31	
80	乌	v	u	22	
81	女	ɲ	y	31	
82	吕	l	i	22	
83	徐	tsh	y	41	
84	猪	tʃ	y	22	
85	除	tʃh	y	41	
86	初	tsh	ɿ	22	
87	锄	tsh	ɿ	41	
88	所	s	ɔu	31	
89	书	ʃ	y	22	
90	鼠	tʃh	y	31	
91	如	∅	y	41	
92	举	k	y	31	
93	锯	k	i	45	
94	去	kh	i	45	
95	渠	kh	i	41	
96	鱼	ɲ	y	41	
97	许	ʃ	y	31	
98	余	∅	i	41	
99	府	f	u	31	
100	付	f	u	45	
101	父	f	u	31	
102	武	v	u	31	
103	雾	v	u	45	
104	取	tsh	i	31	
105	柱	tʃh	y	22	
106	住	tʃh	y	31	
107	数	s	ɿ	45	
108	数	s	ɿ	45	
109	主	tʃ	y	31	
110	输	ʃ	y	22	
