tsɿ	3	纸
tsɿ	5	自治
sɿ	1	思
sɿ	5	士市
fa	5	画划{计∽}话
fa	7	法
ta	5	大
la	7	蜡
tsa	2	闸
tsʰa	2	查
sa	7	杀
po	7	剥
tʰo	2	驼
lo	2	骆
ko	1	歌
ko	7	角{皂∽}
kʰo	1	科
xo	3	火
xo	5	货
xo	7	合
pɯ	7	北
mɯ	7	墨
tsʰɯ	1	车
tsʰɯ	7	策
kɯ	7	革
i	5	意
pi	5	备
pi	7	笔
ti	5	地
ti	7	敌
li	5	利
tɕi	1	机
tɕi	5	季忌计记
tɕi	7	极
tɕʰi	1	期
tɕʰi	2	骑
tɕʰi	5	器汽
tsi	7	积
si	1	西
pu	5	部
fu	3	腐
fu	5	护
fu	7	福
vu	3	舞
vu	5	悟务
tu	5	度
tʰu	2	图
lu	5	路
tsu	3	主
tsu	7	烛
tsʰu	2	族
su	1	书
su	2	术{算~}
su	5	数{∽目}
su	7	术
y	5	玉
tɕy	3	举
tʰai	5	代
tʰai	5	态
kai	5	界
kʰai	1	开
ŋai	5	爱
pei	5	背{∽书}
mei	2	煤
fei	1	飞
fei	5	会
tei	5	对
lei	2	驴
pau	3	宝
pau	5	报
pʰau	5	炮
tau	5	道导
tʰau	3	讨
tsau	5	皂
kau	1	告
xau	2	毫
təu	3	斗{一∽谷}
təu	5	斗{~争}
tsʰəu	5	臭
səu	1	收
səu	5	受
xəu	5	后
mən	2	门
pən	5	笨
fən	1	分
fən	2	横
tən	1	灯
lən	5	论
tsən	1	争
tsən	5	正政
tsʰən	5	寸
sən	1	生
sən	5	胜
zən	2	人
zən	5	任{~务}
faŋ	1	方
taŋ	3	党
tʰaŋ	2	糖
tsaŋ	3	长{社∽}
tsaŋ	5	帐
tsʰaŋ	5	唱
saŋ	1	伤商
kaŋ	1	钢
toŋ	1	东
toŋ	5	动
tʰoŋ	2	铜
noŋ	2	农
koŋ	1	工公
koŋ	5	共
ia	7	押
tɕia	1	家
tɕia	3	假
ɕia	7	夏
io	7	药
tɕio	7	觉
tɕʰio	7	确
ɕio	7	削学
iu	7	育狱
tɕiu	7	菊
tsie	1	尖
tsie	3	姐
tsie	7	节
sie	5	谢
piau	3	表
miau	2	苗
tiau	5	调{~查}
tʰiau	2	条
tɕiau	1	教
tɕiau	5	教{~育}
ɕiau	3	晓
ɕiau	5	孝校
tɕʰiəu	2	球
tɕiəu	5	救究
in	3	影
pʰin	2	平瓶
min	2	民
min	5	命
lin	3	领
tɕin	1	筋斤经
ɕin	5	幸
tsin	5	进
tsʰin	1	青
sin	5	信姓
iẽ	1	烟
iẽ	5	燕
piẽ	1	边
tiẽ	3	点
tiẽ	5	电
niẽ	1	研
niẽ	5	验
liẽ	2	镰
tɕiẽ	1	监
tɕiẽ	3	检碱
tɕiẽ	5	见
ɕiẽ	5	县
tsiẽ	5	贱
siẽ	1	仙先
siẽ	3	选
iaŋ	2	洋
liaŋ	2	梁
ɕiaŋ	1	乡
siaŋ	1	相{~信}
siaŋ	3	想
ioŋ	3	勇拥
ɕioŋ	2	雄
kua	5	挂
kuɯ	7	国
uai	5	外
uei	5	卫
tuei	5	对队
kuei	5	柜
tsuei	5	罪
suei	3	水
uən	2	文
kuaŋ	1	光
tɕʰye	7	缺
yẽ	2	员
syẽ	1	宣
yn	5	运
tɕʰyn	2	群
mã	5	慢
fã	3	反
fã	5	犯
tã	1	单
nã	2	南
kã	5	干{~部}
ŋã	1	安
tsʰã	3	产
