音标	调类	调值	辖字
kjɛn	1	334	甄堅[實際音]
kʰjɛn	1	334	牽
ʔjɛn	1	334	煙
xjɛn	1	334	祆
pjɛn	1	334	鞭
pʰjɛn	1	334	篇
ʍjɛn	1	334	淵[實際音]
ɸjɛn	1	334	萱[實際音]
tjɛn	1	334	顛
tʰjɛn	1	334	天
tɕʰjɛn	1	334	脠[實際音]
ȵjɛn	1	334	拈[實際音]
tsjɛn	1	334	箋
tsʰjɛn	1	334	千
sjɛn	1	334	仙
tʂjɛn	1	334	餰
kʰjɛn	2	113	乾[實際音]
gjɛn	2	113	乾[實際音]
ɣjɛn	2	113	賢
ɰjɛn	2	113	延
pʰjɛn	2	113	便
bjɛn	2	113	便
mjɛn	2	113	眠
βjɛn	2	113	懸[實際音]
wjɛn	2	113	員[實際音]
tʰjɛn	2	113	田
djɛn	2	113	田
njɛn	2	113	年連[實際音]
tɕʰjɛn	2	113	纏[實際音]
dʑjɛn	2	113	纏[實際音]
tsʰjɛn	2	113	前
dzjɛn	2	113	前
zjɛn	2	113	㳄
ʐjɛn	2	113	蟬
ljɛn	2	113	蓮
ɻjɛn	2	113	然
kjɛn	3	41	繭
kʰjɛn	3	41	遣
ʔjɛn	3	41	蝘
xjɛn	3	41	顯
pjɛn	3	41	褊
pʰjɛn	3	41	萹
ʍjɛn	3	41	遠[實際音]
tjɛn	3	41	典
tʰjɛn	3	41	腆
tɕjɛn	3	41	展[實際音]
tsjɛn	3	41	剪
tsʰjɛn	3	41	淺
sjɛn	3	41	獮
ŋjɛn	4	21	□[齒欠]𮯀[齒欠]
ɣjɛn	4	21	峴
ɰjɛn	4	21	演
mjɛn	4	21	緬
tʰjɛn	4	21	殄
djɛn	4	21	殄
njɛn	4	21	撚
tsʰjɛn	4	21	踐
dzjɛn	4	21	踐
zjɛn	4	21	□[絲羨]𦆀[絲羨]
kjɛn	5	55	見
kʰjɛn	5	55	譴
ʔjɛn	5	55	宴
xjɛn	5	55	韅
pjɛn	5	55	徧
pʰjɛn	5	55	鶣
ʍjɛn	5	55	怨[實際音]
tjɛn	5	55	殿
tʰjɛn	5	55	瑱
tɕjɛn	5	55	戰[實際音]
tsjɛn	5	55	箭
tsʰjɛn	5	55	蒨
sjɛn	5	55	霰
ŋjɛn	6	11	硯
ɣjɛn	6	11	見
ɰjɛn	6	11	衍
pʰjɛn	6	11	便
bjɛn	6	11	便
mjɛn	6	11	麫
tʰjɛn	6	11	電
djɛn	6	11	電
njɛn	6	11	睍
tsʰjɛn	6	11	賤
dzjɛn	6	11	賤
zjɛn	6	11	羨
ljɛn	6	11	練
kjɛt	7	4	結
kʰjɛt	7	4	猰
ʔjɛt	7	4	噎
xjɛt	7	4	□[大旨]𡘐[大旨]
pjɛt	7	4	鷩
pʰjɛt	7	4	撆
tjɛt	7	4	窒
tʰjɛt	7	4	鐵
tɕjɛt	7	4	折[實際音]
ŋjɛt	8	5	齧
ɣjɛt	8	5	纈
ɰjɛt	8	5	枻
pʰjɛt	8	5	蹩
bjɛt	8	5	蹩
tʰjɛt	8	5	姪
djɛt	8	5	姪
njɛt	8	5	涅
ljɛt	8	5	劣
kiŋ	1	334	驚
kʰiŋ	1	334	卿
ʔiŋ	1	334	霙
xiŋ	1	334	馨[實際音]
piŋ	1	334	兵
ʍiŋ	1	334	贇[實際音]
ɸiŋ	1	334	薰[實際音]
tiŋ	1	334	丁[實際音]
tʰiŋ	1	334	汀[實際音]
tɕiŋ	1	334	貞
tɕʰiŋ	1	334	檉
tsiŋ	1	334	精[實際音]
tsʰiŋ	1	334	清[實際音]
siŋ	1	334	星[實際音]
tʂiŋ	1	334	征
tʂʰiŋ	1	334	稱[實際音]
ʂiŋ	1	334	聲
kʰiŋ	2	113	檠勤[實際音]
giŋ	2	113	檠勤[實際音]
ŋiŋ	2	113	迎凝[實際音]
ɣiŋ	2	113	刑[實際音]
ɰiŋ	2	113	盈[實際音]
pʰiŋ	2	113	平
biŋ	2	113	平
miŋ	2	113	明
βiŋ	2	113	純[實際音]
wiŋ	2	113	云[實際音]
tʰiŋ	2	113	庭[實際音]
diŋ	2	113	庭[實際音]
niŋ	2	113	寧[實際音]林[實際音]
tɕʰiŋ	2	113	呈
dʑiŋ	2	113	呈
ȵiŋ	2	113	儜[實際音]
tsʰiŋ	2	113	情[實際音]
dziŋ	2	113	情[實際音]
ziŋ	2	113	餳[實際音]
ʐiŋ	2	113	成辰[實際音]
liŋ	2	113	跉
ɻiŋ	2	113	穰人[實際音]
kiŋ	3	41	警
ʔiŋ	3	41	影
piŋ	3	41	丙
ʍiŋ	3	41	永[實際音]
tiŋ	3	41	頂[實際音]
tɕiŋ	3	41	晸
tɕʰiŋ	3	41	逞
tsiŋ	3	41	井[實際音]
tʂiŋ	3	41	整
miŋ	4	21	皿
tɕʰiŋ	4	21	徎
dʑiŋ	4	21	徎
