#ɿ	
ts	①资之知支隻 ②侄质值植殖掷职 ③子纸只指止 ⑤自字治志翅至致刺
tsʰ	①雌痴 ②迟辞词尺秩赤喫吃池 ③此耻齿 ⑤次赐滞
s	①思私斯师狮诗施 ②时十食蚀石识失实匙 ③死使始矢 ⑤世示视士事伺四似寺侍是式试饰
z	②日
#i	
p	②必笔璧碧鼻逼 ③比彼 ⑤敝闭备被蔽
pʰ	②皮辟僻匹 ③鄙 ⑤屁
m	②迷泌密 ③米 ⑤沕{潜水}
t	①低 ②的笛 ③底 ⑤弟第帝地隶
tʰ	①梯 ②提堤题踢 ③体 ⑤替
n	②疑宜尼泥离立栗力歷逆溺 ③你李里理 ⑤例利
ȵ	②泥 ③你 ⑤议
tɕ	①鸡 ②集及吸吉急即极激缉楫 ③己几挤 ⑤祭计忌技妓寄季
tɕʰ	①妻棲欺溪 ②齐其旗奇七迄乞戚 ③起 ⑤器气去-
ɕ	①西奚兮希 ②习恤席息媳惜席泣 ③洗徙喜玺 ⑤细系戏
Ø	①衣依医伊 ②夷移遗邑逸一译亦 ③以矣已椅 ⑤义意忆议艺
#u	
p	①铺 ②不 ③补 ⑤布部步
pʰ	②勃扑仆卜瀑曝 ③谱普 ⑤铺
m	②木没目 ③母 ⑤暮
t	①都 ②毒笃 ③赌肚₂ ⑤肚杜度
tʰ	②突秃图 ③土 ⑤兔
n	②奴六驴鹿绿律陆 ③努 ⑤怒路
k	①孤姑 ②骨谷 ③古估 ⑤故
kʰ	①枯 ②哭酷 ③苦 ⑤裤
f	①呼{旧} ②忽{旧}胡{旧}乎{旧} ③虎{旧} ⑤户{旧}
ts	①猪诸 ②竹烛触 ③祖主 ⑤助做柱住注
tsʰ	①粗初 ②锄除出 ③楚處 ⑤醋处
s	①苏书殊 ②叔熟 ③鼠暑黍数 ⑤数素树
z	②如儒辱入肉 ③□{塞}□{打}
Ø	①乌
#uᶹ	
f	①夫 ②扶符胡服福佛拂 ③府腐虎 ⑤父附妇负户
Ø	②吴 ③五 ⑤雾
#iu	
ȵ	③女-{见语保}
#y	
tɕ	①居拘 ②橘局菊鞠足卒 ③举 ⑤巨娶聚句
tɕʰ	①区枢 ②屈掘曲族 ③取 ⑤去趣
ɕ	①须虚虽 ②徐戌速肃缩畜旭 ③许 ⑤序遂絮
ȵ	③女吕 ⑤滤
n	③吕履女
Ø	①迂 ②鱼愚餘於域役育狱郁欲鬱 ③雨羽与 ⑤遇玉
#a	
p	①巴 ②八爸百{老/乡}白{老/乡}北{老/乡} ③把 ⑤罢
pʰ	①趴 ②爬拔拍{老/乡}泊{老/乡} ③叭 ⑤怕
m	①妈 ②麻麦{老/乡} ③马 ⑤骂
f	②法伐髮
t	②答搭达得{老/乡}德{老/乡} ③打 ⑤大
tʰ	①他 ②踏塔塌
n	①拉 ②拿纳腊辣 ③哪 ⑤那
k	①旮 ②革{老/乡}格{老/乡}隔 ③嘎
kʰ	①□{夹在中间} ②客 ③卡
ŋ	②额{老/乡}厄
x	①哈 ②黑{老/乡}核赫 ③傻{俗，鲁莽} ⑤下-
ts	①渣 ②炸₁杂扎窄{老/乡}摘{老/乡}责{老/乡} ③鲊{∽肉：粉蒸肉} ⑤炸₂
tsʰ	①差 ②茶查插察择{老/乡}泽{老/乡} ③衩 ⑤岔
s	①沙 ②杀刹色{老/乡}舌{老/乡} ③撒 ⑤啥
z	②热
#ia	
tɕ	①家佳嗟 ②夹甲闸挟 ③假贾 ⑤架驾
tɕʰ	①□{tɕʰy[阳平]~：做事很绝} ②恰
ɕ	①虾 ②霞斜狹瞎匣 ③下-{取下，摘下} ⑤下
Ø	①鸦 ②牙鸭 ③雅 ⑤压
#ua	
k	①瓜 ②刮 ③寡 ⑤挂
kʰ	①夸 ②括 ③垮 ⑤跨
x	①花 ②滑 ③哗 ⑤化畫話
ts	①抓 ②啄辍缀拙□{踢} ③爪 ⑤{啥、做啥，~子}
tsʰ	②□{王~~，没本事，前字上声} ③□{王~~，没本事，后字阳平}
s	②刷 ③耍厦
z	②挼{和或蹉} ③□{不稳，偏来倒去}
Ø	①蛙挖 ②娃袜 ③瓦 ⑤凹
#o	
p	①波菠玻 ②剥缚 ③簸 ⑤播
pʰ	①坡 ②婆泼 ③颇□{豁出去}□{老是，总是} ⑤破
m	①摸 ②末莫魔 ③抹 ⑤磨
t	①多 ②夺 ③朶 ⑤舵剁
tʰ	①拖 ②脱託 ③妥 ⑤唾
n	②罗骡洛落 ⑤诺
k	①歌锅哥 ②鸽割各角 ③果 ⑤个过
kʰ	①科 ②渴壳 ③可 ⑤课
x	①喝 ②何河和盍合活霍鹤 ③火 ⑤祸
ŋ	②恶鹅沃 ③我{老} ⑤饿{老}
ts	②昨作桌酌捉着 ③左 ⑤坐
tsʰ	①搓 ②戳 ⑤锉
s	①蓑 ②缩说 ③所
z	②若弱
Ø	①窝 ②握龌 ③我 ⑤卧饿
#io	
tɕ	②覺脚
tɕʰ	②确雀却
ɕ	②学
n	②略
Ø	②岳约药
#e	
p	②百北白
pʰ	②拍
m	②麦默
t	②得
tʰ	②特
k	②隔格
kʰ	②刻客
x	②黑
ŋ	②额
ts	①遮 ②窄则 ③者 ⑤这
tsʰ	①车 ②测拆则 ③扯 ⑤□{让开，移动}
s	①奢 ②蛇舌色 ③舍 ⑤射社
z	②热 ③惹
#ie	
p	①憋 ②别 ③瘪 ⑤□{爆炸、飞溅}□{暴跳}
pʰ	②撇 ③擗{折(断)} ⑤㡀{孬}
m	①□{小，~狗儿} ②灭 ③搣{折断，分开}
t	①爹 ②跌迭
tʰ	②铁帖 ③腆{挺，∽起肚子}
n	②列劣聂业镊孽捏臬
ȵ	②孽
tɕ	②接杰竭节结 ③姐 ⑤借
tɕʰ	②切茄 ③且
ɕ	①些 ②邪胁协歇穴 ③写 ⑤謝泻
Ø	②叶爷噎 ③也野 ⑤夜
#ue	
k	②国
kʰ	②括
x	②或
#ye	
tɕ	①□{拘泥，过分客气} ②绝决
tɕʰ	②缺
ɕ	①靴 ②薛血削雪 ⑤□{非常，~白}
Ø	②阅月曰越
#ɚ	
Ø	①□{放牛娃~} ②而儿 ③尔耳 ⑤二贰
#ae	
p	①跛{~子：瘸子} ③摆 ⑤拜败
pʰ	②排牌 ③㧳{长度单位， 两手侧平举成直线，左右手中指之距叫一~} ⑤派
m	②埋 ③买 ⑤卖
t	①呆 ②逮 ③歹 ⑤代待带
tʰ	①胎 ②台抬 ③大- ⑤泰太
n	①奶 ②来 ③乃奶 ⑤赖
k	①该街皆 ③改解 ⑤盖界戒械
kʰ	①开 ③楷 ⑤概忾
x	①□{达到，~到了主任位置} ②鞋偕谐 ③海 ⑤亥害
ŋ	①哀 ②崖涯 ③矮 ⑤艾爱
ts	①灾斋 ③宰 ⑤再在债寨
tsʰ	①猜 ②才柴 ③採 ⑤蔡菜
s	①腮筛 ⑤晒
#iæe	
tɕ	①阶 ③解 ⑤介
ɕ	②谐 ⑤懈
#uae	
k	①乖 ②□{腿脚有毛病，失去平衡，走路不稳} ③拐 ⑤怪
kʰ	③块 ⑤快会{∽计}
x	②怀 ⑤坏
ts	⑤拽
tsʰ	①喘 ③揣喘 ⑤□{耍赖}
s	①衰 ③甩 ⑤帅
Ø	①歪 ⑤外
#ei	
p	①卑悲碑背 ⑤倍贝臂佩背秘
pʰ	①披批 ②陪 ③丕 ⑤配
m	②梅 ③美 ⑤妹
f	①飞非 ②肥 ③匪 ⑤肺费废
t	①低 ②敌 ③底 ⑤弟
tʰ	①梯 ②题 ③体 ⑤剃
n	②梨 ③李 ⑤利例
#uei	
t	①堆 ③趸{累计，总；整批} ⑤兌对
tʰ	①推 ②颓 ③腿 ⑤退
n	②雷 ③累₂垒屡 ⑤内类累₁
k	①归龟 ③鬼 ⑤桂贵柜跪
kʰ	①亏 ②葵 ③傀 ⑤愧
x	①灰徽 ②回 ③毀 ⑤会惠彗
ts	①锥追 ②贼 ③嘴 ⑤罪最醉
tsʰ	①吹 ②垂 ⑤脆翠悴粹
s	②隨誰 ③水 ⑤岁稅睡瑞
z	⑤锐
Ø	①威 ②危微围桅维惟为₁ ③委尾 ⑤卫畏位未味为₂外-{~爷、~婆}
#aɤ	
p	①包雹 ③饱保 ⑤报暴瀑曝抱
pʰ	①抛 ②袍 ③跑 ⑤礮
m	①猫 ②毛茅 ③卯 ⑤帽貌
t	①刀 ③倒 ⑤到道稻盗
tʰ	①滔 ②桃逃 ③讨 ⑤套
n	①捞 ②牢劳 ③脑老 ⑤闹
k	①高 ③稿 ⑤告
kʰ	①敲 ②□{糊状食物，苞谷~~} ③考 ⑤靠
x	①蒿 ②毫 ③好₁ ⑤好₂号
ŋ	①熬 ③袄咬 ⑤奥
s	①烧 ②□{不大方，难看} ③扫嫂少₁ ⑤绍少₂
ts	①槽朝招昭 ②着-{遭} ③早找 ⑤罩赵照
tsʰ	①超抄 ②曹巢潮朝 ③草炒吵 ⑤造糙
z	②饶 ③绕
#iaɤ	
p	①标彪 ③表
pʰ	①飘 ②瓢 ③漂 ⑤票
m	①喵 ②苗猫 ③秒 ⑤妙
t	①雕 ⑤钓弔调₁吊
tʰ	①挑 ②調₂条 ③□{调} ⑤跳
n	②聊燎 ③了鸟咬 ⑤料
ȵ	③鸟 ⑤尿
tɕ	①骄教₂交 ③绞 ⑤轿叫教₁嚼
tɕʰ	①撬 ②桥 ③巧 ⑤窍
ɕ	①消萧嚣肖 ②肴淆 ③小晓 ⑤校孝笑效
Ø	①妖 ②摇尧 ③舀 ⑤要
#əɤ	
f	③否
t	①都兜 ③斗 ⑤豆鬥
tʰ	①偷 ②头 ⑤透
n	②楼 ③缕屡 ⑤漏
ts	①周 ③走 ⑤奏
tsʰ	①抽 ②愁绸讎稠 ③丑醜 ⑤臭
s	①收 ②□{缩} ③手守首 ⑤瘦兽寿受
z	②柔 ⑤肉
k	①沟 ③狗 ⑤够
kʰ	①抠 ②扣-{把开口的容器底朝天扣住。把碗~哒。}③口 ⑤扣
ŋ	①欧 ③藕偶呕 ⑤怄
x	②侯 ③吼 ⑤候後厚
#iəɤ	
m	⑤缪
t	①丢
n	①溜 ②流留牛 ③纽柳
ȵ	②牛 ③纽 ⑤□{动}
tɕ	①纠 ②揪{口语，揪住不放} ③九久酒 ⑤舅救旧就
tɕʰ	①秋丘 ②求
ɕ	①休羞 ②囚□{对人纠缠不休} ③朽 ⑤袖秀
Ø	①忧 ②由尤犹油 ③有友 ⑤幼又右
#an	
t	①单 ③胆 ⑤旦
tʰ	①贪摊 ②潭谈弹 ③坦 ⑤叹
n	②南男难蓝兰 ③懒 ⑤烂
ts	①沾毡 ③斩展 ⑤暂赞站绽栈战
tsʰ	①餐 ②蚕 ③惨产 ⑤□{同意}
s	①三衫山 ②蝉禅 ③陕闪 ⑤散扇
z	②然 ③染
k	①干 ③感敢 ⑤干
kʰ	①看₂刊 ③砍 ⑤看
ŋ	①庵安 ②谙{想、估计} ③□{乌云密布，天色灰暗} ⑤岸暗晏₂
x	①酣憨 ②含衔鹹寒 ③喊 ⑤陷漢旱汗！
p	①班 ③板 ⑤半伴办
pʰ	①潘 ②盘 ⑤盼判叛
m	①□{mi[去]~：苞谷} ②蛮 ③满 ⑤慢
f	①翻 ②凡 ③反 ⑤饭范犯贩
#iɛn	
p	①边 ③贬扁 ⑤辨变
pʰ	①偏 ②便 ③谝{夸口} ⑤片遍骗
m	②棉眠 ③免 ⑤面
t	③点典 ⑤店
tʰ	①天 ②甜
n	①拈研 ②廉连联严年 ③脸 ⑤验念砚炼
ȵ	①拈 ②年严 ③碾 ⑤念
tɕ	①监姦间坚 ③减检茧剪捡 ⑤渐件健见建
tɕʰ	①谦千牵 ②前钳钱 ③浅 ⑤欠
ɕ	①先仙 ②闲嫌贤 ③险显 ⑤宪县现限
Ø	①醃烟 ②言延 ③眼演 ⑤厌晏₁
#uan	
t	①端 ③短 ⑤断
tʰ	②團 ③□{巴结}□{哄骗}
n	③暖卵 ⑤乱
k	①官關鳏观 ③管 ⑤惯贯
kʰ	①宽 ③欵皖款
x	①欢 ②环还 ③缓 ⑤换唤幻
ts	①专 ③转 ⑤篆
tsʰ	①川 ②船 ③铲 ⑤串
s	①删酸 ⑤算閂
z	③软阮
Ø	①弯 ②完玩 ③碗晚 ⑤院
#yɛn	
